* Measurement data measured by REW V5.20.13
* Source: Microphone (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.670. Timing signal peak level -34.1 dBFS, measurement signal peak level -29.1 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -11.5 dBFS using an acoustic timing reference
* Dated: Jul 10, 2023 9:44:03 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0424 ms (-15 mm, -0.57 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: 120.1 ppm
* Measurement: CrinZero 50 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 79.265 -35.0744
1.015000 79.381 -35.3209
1.030000 79.502 -35.5707
1.044000 79.619 -35.8068
1.060000 79.759 -36.0799
1.075000 79.898 -36.3390
1.090000 80.045 -36.6011
1.106000 80.211 -36.8840
1.120000 80.363 -37.1361
1.138000 80.565 -37.4666
1.150000 80.703 -37.6908
1.172000 80.964 -38.1093
1.180000 81.061 -38.2639
1.206000 81.383 -38.7742
1.220000 81.559 -39.0537
1.241000 81.826 -39.4789
1.250000 81.942 -39.6631
1.265000 82.135 -39.9727
1.280000 82.328 -40.2852
1.315000 82.776 -41.0246
1.320000 82.840 -41.1313
1.340000 83.092 -41.5604
1.360000 83.339 -41.9928
1.380000 83.581 -42.4280
1.400000 83.815 -42.8656
1.430000 84.151 -43.5250
1.450000 84.363 -43.9661
1.475000 84.611 -44.5197
1.500000 84.852 -45.0899
1.525000 85.088 -45.6769
1.550000 85.317 -46.2774
1.575000 85.540 -46.8880
1.600000 85.756 -47.5053
1.625000 85.964 -48.1259
1.650000 86.164 -48.7465
1.675000 86.356 -49.3635
1.700000 86.539 -49.9737
1.725000 86.713 -50.5735
1.750000 86.877 -51.1597
1.775000 87.031 -51.7288
1.800000 87.174 -52.2774
1.825000 87.306 -52.8022
1.850000 87.424 -53.3036
1.875000 87.526 -53.7901
1.900000 87.613 -54.2627
1.925000 87.686 -54.7222
1.950000 87.748 -55.1693
1.975000 87.800 -55.6049
2.000000 87.844 -56.0296
2.030000 87.890 -56.5259
2.060000 87.929 -57.0091
2.090000 87.966 -57.4803
2.120000 88.004 -57.9409
2.140000 88.031 -58.2427
2.180000 88.094 -58.8355
2.200000 88.132 -59.1272
2.240000 88.207 -59.6957
2.270000 88.260 -60.1077
2.300000 88.311 -60.5076
2.330000 88.361 -60.8960
2.360000 88.410 -61.2733
2.400000 88.476 -61.7599
2.430000 88.526 -62.1129
2.470000 88.596 -62.5686
2.500000 88.652 -62.8997
2.540000 88.732 -63.3276
2.580000 88.819 -63.7404
2.620000 88.914 -64.1336
2.650000 88.989 -64.4155
2.690000 89.093 -64.7756
2.720000 89.174 -65.0345
2.760000 89.283 -65.3662
2.800000 89.394 -65.6838
2.850000 89.532 -66.0634
2.900000 89.667 -66.4265
2.950000 89.798 -66.7744
3.000000 89.926 -67.0963
3.040000 90.028 -67.3359
3.070000 90.104 -67.5070
3.110000 90.206 -67.7256
3.150000 90.307 -67.9359
3.200000 90.435 -68.1910
3.250000 90.564 -68.4425
3.300000 90.695 -68.6954
3.350000 90.829 -68.9430
3.400000 90.964 -69.1800
3.450000 91.100 -69.4095
3.500000 91.237 -69.6345
3.550000 91.375 -69.8582
3.600000 91.513 -70.0834
3.650000 91.651 -70.3134
3.700000 91.790 -70.5464
3.750000 91.929 -70.7748
3.820000 92.125 -71.0931
3.870000 92.265 -71.3241
3.950000 92.488 -71.7102
4.000000 92.627 -71.9674
4.060000 92.793 -72.2961
4.120000 92.959 -72.6394
4.180000 93.124 -72.9963
4.250000 93.316 -73.4311
4.310000 93.478 -73.8202
4.370000 93.639 -74.2250
4.440000 93.824 -74.7181
4.500000 93.981 -75.1580
4.550000 94.111 -75.5365
4.620000 94.291 -76.0841
4.680000 94.442 -76.5693
4.750000 94.613 -77.1534
4.820000 94.780 -77.7597
4.870000 94.897 -78.2086
4.940000 95.058 -78.8543
5.000000 95.192 -79.4198
5.080000 95.366 -80.1840
5.150000 95.511 -80.8570
5.220000 95.652 -81.5432
5.300000 95.807 -82.3413
5.380000 95.955 -83.1455
5.450000 96.080 -83.8465
5.520000 96.199 -84.5401
5.600000 96.329 -85.3344
5.700000 96.483 -86.3251
5.800000 96.628 -87.2993
5.900000 96.766 -88.2447
6.000000 96.895 -89.1698
6.080000 96.992 -89.8934
6.150000 97.075 -90.5112
6.220000 97.155 -91.1118
6.300000 97.244 -91.7766
6.400000 97.350 -92.5786
6.500000 97.453 -93.3501
6.600000 97.554 -94.0928
6.700000 97.653 -94.8024
6.800000 97.751 -95.4816
6.900000 97.847 -96.1389
7.000000 97.945 -96.7812
7.100000 98.043 -97.4003
7.200000 98.141 -98.0030
7.300000 98.240 -98.6000
7.400000 98.339 -99.1957
7.500000 98.439 -99.7835
7.620000 98.559 -100.4871
7.750000 98.688 -101.2581
7.880000 98.817 -102.0350
8.000000 98.934 -102.7573
8.120000 99.048 -103.4868
8.250000 99.170 -104.2863
8.380000 99.288 -105.0881
8.500000 99.392 -105.8262
8.620000 99.493 -106.5660
8.750000 99.599 -107.3595
8.850000 99.677 -107.9592
9.000000 99.789 -108.8475
9.120000 99.875 -109.5405
9.250000 99.967 -110.2667
9.380000 100.057 -110.9706
9.500000 100.137 -111.6025
9.620000 100.214 -112.2168
9.750000 100.295 -112.8625
9.880000 100.370 -113.4936
10.000000 100.432 -114.0658
10.150000 100.502 -114.7644
10.300000 100.567 -115.4439
10.440000 100.621 -116.0575
10.600000 100.680 -116.7465
10.750000 100.738 -117.3864
10.900000 100.796 -118.0212
11.060000 100.858 -118.7119
11.200000 100.914 -119.3279
11.380000 100.983 -120.1235
11.500000 101.027 -120.6554
11.720000 101.106 -121.6276
11.800000 101.133 -121.9774
12.060000 101.221 -123.1036
12.200000 101.267 -123.7030
12.410000 101.333 -124.5892
12.500000 101.360 -124.9589
12.650000 101.404 -125.5630
12.800000 101.445 -126.1505
13.150000 101.539 -127.4505
13.200000 101.552 -127.6298
13.400000 101.607 -128.3301
13.600000 101.663 -129.0131
13.800000 101.722 -129.6808
14.000000 101.782 -130.3485
14.300000 101.872 -131.3565
14.500000 101.930 -132.0378
14.750000 102.000 -132.8957
15.000000 102.067 -133.7579
15.250000 102.132 -134.6177
15.500000 102.194 -135.4581
15.750000 102.252 -136.2707
16.000000 102.307 -137.0467
16.250000 102.362 -137.7954
16.500000 102.418 -138.5232
16.750000 102.477 -139.2397
17.000000 102.539 -139.9575
17.250000 102.602 -140.6816
17.500000 102.665 -141.4170
17.750000 102.725 -142.1612
18.000000 102.783 -142.9109
18.250000 102.837 -143.6624
18.500000 102.888 -144.4066
18.750000 102.937 -145.1400
19.000000 102.983 -145.8595
19.250000 103.029 -146.5652
19.500000 103.073 -147.2569
19.750000 103.117 -147.9344
20.000000 103.159 -148.5989
20.299999 103.209 -149.3834
20.600000 103.259 -150.1590
20.900000 103.307 -150.9314
21.200001 103.352 -151.7049
21.400000 103.381 -152.2212
21.799999 103.432 -153.2494
22.000000 103.455 -153.7570
22.400000 103.496 -154.7492
22.700001 103.525 -155.4668
23.000000 103.553 -156.1626
23.299999 103.581 -156.8463
23.600000 103.611 -157.5277
24.000000 103.650 -158.4456
24.299999 103.678 -159.1440
24.700001 103.711 -160.0813
25.000000 103.732 -160.7784
25.400000 103.755 -161.6868
25.799999 103.775 -162.5643
26.200001 103.796 -163.4167
26.500000 103.812 -164.0474
26.900000 103.833 -164.8856
27.200001 103.848 -165.5149
27.600000 103.866 -166.3522
28.000000 103.880 -167.1770
28.500000 103.893 -168.1722
29.000000 103.906 -169.1210
29.500000 103.921 -170.0395
30.000000 103.938 -170.9559
30.400000 103.949 -171.6972
30.700001 103.954 -172.2554
31.100000 103.958 -172.9929
31.500000 103.960 -173.7152
32.000000 103.962 -174.5968
32.500000 103.963 -175.4693
33.000000 103.962 -176.3458
33.500000 103.955 -177.2181
34.000000 103.945 -178.0657
34.500000 103.934 -178.8805
35.000000 103.924 -179.6730
35.500000 103.915 179.5423
36.000000 103.904 178.7634
36.500000 103.891 177.9971
37.000000 103.876 177.2450
37.500000 103.861 176.5021
38.200001 103.835 175.4791
38.700001 103.814 174.7740
39.500000 103.781 173.6945
40.000000 103.763 173.0227
40.599998 103.739 172.1954
41.200001 103.710 171.3622
41.799999 103.675 170.5580
42.500000 103.634 169.6664
43.099998 103.601 168.9202
43.700001 103.568 168.1803
44.400002 103.530 167.3322
45.000000 103.498 166.6136
45.500000 103.472 166.0100
46.200001 103.429 165.1664
46.799999 103.387 164.4787
47.500000 103.339 163.7395
48.200001 103.296 163.0326
48.700001 103.267 162.5227
49.400002 103.225 161.7903
50.000000 103.185 161.1474
50.799999 103.124 160.2920
51.500000 103.066 159.5779
52.200001 103.009 158.8919
53.000000 102.951 158.1113
53.799999 102.900 157.2965
54.500000 102.857 156.4951
55.200001 102.795 155.6581
56.000000 102.704 154.8967
57.000000 102.622 154.2748
58.000000 102.583 153.5989
59.000000 102.549 152.7864
60.000000 102.490 151.7898
60.799999 102.398 151.0487
61.500000 102.308 150.6092
62.200001 102.233 150.2554
63.000000 102.162 149.7719
64.000000 102.067 149.0645
65.000000 101.965 148.3590
66.000000 101.868 147.6893
67.000000 101.781 147.0247
68.000000 101.697 146.3475
69.000000 101.612 145.6963
70.000000 101.526 145.0648
71.000000 101.436 144.4639
72.000000 101.344 143.8951
73.000000 101.250 143.3295
74.000000 101.154 142.7733
75.000000 101.058 142.2287
76.199997 100.946 141.5959
77.500000 100.828 140.9079
78.800003 100.709 140.2630
80.000000 100.601 139.6786
81.199997 100.488 139.1153
82.500000 100.367 138.5544
83.800003 100.246 137.9838
85.000000 100.137 137.4709
86.199997 100.028 136.9491
87.500000 99.907 136.4147
88.500000 99.813 136.0356
90.000000 99.674 135.4789
91.199997 99.558 135.0495
92.500000 99.434 134.6151
93.800003 99.313 134.1794
95.000000 99.201 133.7875
96.199997 99.090 133.4202
97.500000 98.971 133.0361
98.800003 98.849 132.6670
100.000000 98.733 132.3430
101.500000 98.582 131.9481
103.000000 98.427 131.5471
104.400002 98.283 131.1951
106.000000 98.127 130.8089
107.500000 97.987 130.4739
109.000000 97.848 130.1772
110.599998 97.698 129.8990
112.000000 97.563 129.6924
113.800003 97.392 129.4539
115.000000 97.281 129.2764
117.199997 97.068 128.9722
118.000000 96.989 128.9046
120.599998 96.759 128.8149
122.000000 96.649 128.6093
124.099998 96.459 128.2571
125.000000 96.376 128.1364
126.500000 96.241 127.9698
128.000000 96.105 127.8731
131.500000 95.792 127.8349
132.000000 95.748 127.8298
134.000000 95.570 127.7948
136.000000 95.390 127.8112
138.000000 95.217 127.9127
140.000000 95.041 128.0618
143.000000 94.785 128.3557
145.000000 94.630 128.4946
147.500000 94.434 128.6841
150.000000 94.240 129.0269
152.500000 94.051 129.3624
155.000000 93.854 129.6440
157.500000 93.652 130.0458
160.000000 93.457 130.6048
162.500000 93.263 131.2017
165.000000 93.075 131.8115
167.500000 92.906 132.4020
170.000000 92.740 133.0132
172.500000 92.566 133.6493
175.000000 92.412 134.2471
177.500000 92.309 134.7474
180.000000 92.213 135.2018
182.500000 92.051 136.0159
185.000000 91.879 137.1256
187.500000 91.735 137.9937
190.000000 91.617 138.6364
192.500000 91.517 139.2930
195.000000 91.420 140.0629
197.500000 91.324 140.9654
200.000000 91.238 141.9188
203.000000 91.141 142.9655
206.000000 91.045 143.8430
209.000000 90.954 144.7083
212.000000 90.886 145.6408
214.000000 90.851 146.2333
218.000000 90.781 147.3463
220.000000 90.746 147.9026
224.000000 90.673 149.0008
227.000000 90.616 149.8912
230.000000 90.565 150.7982
233.000000 90.528 151.6332
236.000000 90.515 152.2756
240.000000 90.502 152.9481
243.000000 90.476 153.5016
247.000000 90.429 154.3289
250.000000 90.400 154.9612
254.000000 90.376 155.8250
258.000000 90.361 156.6529
262.000000 90.340 157.3661
265.000000 90.325 157.8715
269.000000 90.315 158.5430
272.000000 90.315 159.0100
276.000000 90.318 159.5405
