* Measurement data measured by REW V5.20.13
* Source: Microphone (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.670. Timing signal peak level -36.5 dBFS, measurement signal peak level -35.4 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Jul 10, 2023 8:33:51 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0524 ms (-18 mm, -0.71 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset Clock adjustment: 120.8 ppm
* Measurement: ZeroRed L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 69.001 2.7613
1.015000 69.142 -0.5027
1.030000 69.288 -3.6086
1.044000 69.430 -6.3491
1.060000 69.601 -9.2753
1.075000 69.770 -11.8008
1.090000 69.950 -14.0975
1.106000 70.153 -16.2817
1.120000 70.337 -17.9972
1.138000 70.581 -19.9588
1.150000 70.748 -21.1232
1.172000 71.061 -22.9828
1.180000 71.177 -23.5766
1.206000 71.562 -25.2313
1.220000 71.774 -25.9636
1.241000 72.095 -26.8799
1.250000 72.233 -27.2125
1.265000 72.466 -27.6962
1.280000 72.700 -28.1016
1.315000 73.248 -28.8094
1.320000 73.326 -28.8897
1.340000 73.639 -29.1760
1.360000 73.949 -29.4275
1.380000 74.257 -29.6721
1.400000 74.561 -29.9376
1.430000 75.006 -30.4358
1.450000 75.294 -30.8751
1.475000 75.645 -31.5660
1.500000 75.996 -32.2058
1.525000 76.349 -32.7510
1.550000 76.702 -33.2149
1.575000 77.054 -33.6108
1.600000 77.403 -33.9522
1.625000 77.749 -34.2522
1.650000 78.089 -34.5243
1.675000 78.422 -34.7817
1.700000 78.747 -35.0378
1.725000 79.062 -35.3060
1.750000 79.366 -35.5995
1.775000 79.657 -35.9317
1.800000 79.934 -36.3160
1.825000 80.196 -36.7656
1.850000 80.442 -37.2821
1.875000 80.672 -37.8407
1.900000 80.888 -38.4347
1.925000 81.091 -39.0580
1.950000 81.282 -39.7049
1.975000 81.464 -40.3692
2.000000 81.636 -41.0452
2.030000 81.831 -41.8635
2.060000 82.018 -42.6799
2.090000 82.197 -43.4841
2.120000 82.371 -44.2659
2.140000 82.485 -44.7697
2.180000 82.712 -45.7218
2.200000 82.826 -46.1641
2.240000 83.043 -46.9936
2.270000 83.194 -47.5787
2.300000 83.337 -48.1379
2.330000 83.473 -48.6763
2.360000 83.603 -49.1994
2.400000 83.769 -49.8817
2.430000 83.891 -50.3891
2.470000 84.051 -51.0697
2.500000 84.171 -51.5900
2.540000 84.334 -52.3068
2.580000 84.502 -53.0599
2.620000 84.670 -53.8414
2.650000 84.796 -54.4405
2.690000 84.963 -55.2508
2.720000 85.087 -55.8630
2.760000 85.251 -56.6796
2.800000 85.411 -57.4897
2.850000 85.607 -58.4822
2.900000 85.797 -59.4390
2.950000 85.980 -60.3480
3.000000 86.155 -61.2208
3.040000 86.290 -61.8985
3.070000 86.389 -62.3962
3.110000 86.519 -63.0478
3.150000 86.646 -63.6875
3.200000 86.801 -64.4740
3.250000 86.954 -65.2501
3.300000 87.107 -66.0201
3.350000 87.256 -66.7811
3.400000 87.403 -67.5289
3.450000 87.546 -68.2638
3.500000 87.687 -68.9861
3.550000 87.826 -69.6960
3.600000 87.962 -70.3938
3.650000 88.098 -71.0798
3.700000 88.232 -71.7532
3.750000 88.364 -72.4127
3.820000 88.545 -73.3145
3.870000 88.672 -73.9448
3.950000 88.873 -74.9324
4.000000 88.998 -75.5384
4.060000 89.146 -76.2538
4.120000 89.292 -76.9488
4.180000 89.436 -77.6273
4.250000 89.602 -78.4056
4.310000 89.743 -79.0679
4.370000 89.882 -79.7317
4.440000 90.044 -80.5115
4.500000 90.182 -81.1776
4.550000 90.295 -81.7309
4.620000 90.453 -82.5038
4.680000 90.586 -83.1652
4.750000 90.738 -83.9365
4.820000 90.889 -84.7067
4.870000 90.995 -85.2551
4.940000 91.141 -86.0218
5.000000 91.265 -86.6795
5.080000 91.425 -87.5596
5.150000 91.561 -88.3349
5.220000 91.694 -89.1175
5.300000 91.842 -90.0171
5.380000 91.985 -90.9163
5.450000 92.106 -91.6979
5.520000 92.223 -92.4713
5.600000 92.351 -93.3515
5.700000 92.504 -94.4441
5.800000 92.649 -95.5208
5.900000 92.787 -96.5752
6.000000 92.916 -97.6141
6.080000 93.014 -98.4309
6.150000 93.096 -99.1312
6.220000 93.176 -99.8150
6.300000 93.263 -100.5766
6.400000 93.365 -101.5029
6.500000 93.463 -102.3982
6.600000 93.556 -103.2600
6.700000 93.646 -104.0862
6.800000 93.731 -104.8791
6.900000 93.814 -105.6426
7.000000 93.896 -106.3797
7.100000 93.975 -107.0858
7.200000 94.053 -107.7654
7.300000 94.129 -108.4248
7.400000 94.205 -109.0663
7.500000 94.279 -109.6851
7.620000 94.368 -110.4070
7.750000 94.462 -111.1737
7.880000 94.556 -111.9199
8.000000 94.640 -112.5948
8.120000 94.723 -113.2618
8.250000 94.812 -113.9727
8.380000 94.899 -114.6733
8.500000 94.976 -115.3130
8.620000 95.052 -115.9452
8.750000 95.131 -116.6209
8.850000 95.191 -117.1338
9.000000 95.277 -117.8927
9.120000 95.344 -118.4892
9.250000 95.416 -119.1226
9.380000 95.487 -119.7435
9.500000 95.550 -120.3092
9.620000 95.610 -120.8693
9.750000 95.672 -121.4684
9.880000 95.727 -122.0625
10.000000 95.771 -122.6094
10.150000 95.816 -123.2875
10.300000 95.855 -123.9506
10.440000 95.882 -124.5541
10.600000 95.910 -125.2318
10.750000 95.937 -125.8566
10.900000 95.964 -126.4731
11.060000 95.992 -127.1363
11.200000 96.018 -127.7217
11.380000 96.050 -128.4699
11.500000 96.071 -128.9648
11.720000 96.107 -129.8613
11.800000 96.120 -130.1821
12.060000 96.163 -131.2087
12.200000 96.187 -131.7549
12.410000 96.223 -132.5619
12.500000 96.238 -132.8994
12.650000 96.261 -133.4516
12.800000 96.285 -133.9902
13.150000 96.338 -135.1908
13.200000 96.346 -135.3576
13.400000 96.380 -136.0119
13.600000 96.415 -136.6533
13.800000 96.453 -137.2835
14.000000 96.491 -137.9117
14.300000 96.547 -138.8515
14.500000 96.581 -139.4738
14.750000 96.622 -140.2370
15.000000 96.661 -140.9797
15.250000 96.701 -141.6983
15.500000 96.741 -142.3899
15.750000 96.781 -143.0565
16.000000 96.822 -143.7071
16.250000 96.862 -144.3596
16.500000 96.901 -145.0194
16.750000 96.938 -145.6907
17.000000 96.971 -146.3633
17.250000 97.000 -147.0276
17.500000 97.024 -147.6704
17.750000 97.044 -148.2799
18.000000 97.062 -148.8584
18.250000 97.081 -149.4088
18.500000 97.101 -149.9462
18.750000 97.124 -150.4812
19.000000 97.149 -151.0241
19.250000 97.173 -151.5827
19.500000 97.195 -152.1505
19.750000 97.214 -152.7221
20.000000 97.230 -153.2828
20.299999 97.245 -153.9318
20.600000 97.259 -154.5495
20.900000 97.273 -155.1386
21.200001 97.289 -155.7099
21.400000 97.302 -156.0890
21.799999 97.328 -156.8537
22.000000 97.341 -157.2436
22.400000 97.366 -158.0403
22.700001 97.382 -158.6447
23.000000 97.393 -159.2433
23.299999 97.400 -159.8228
23.600000 97.403 -160.3712
24.000000 97.405 -161.0395
24.299999 97.408 -161.4931
24.700001 97.418 -162.0520
25.000000 97.429 -162.4588
25.400000 97.449 -163.0124
25.799999 97.469 -163.5941
26.200001 97.485 -164.1977
26.500000 97.494 -164.6536
26.900000 97.502 -165.2528
27.200001 97.505 -165.6906
27.600000 97.507 -166.2572
28.000000 97.508 -166.8078
28.500000 97.512 -167.4916
29.000000 97.518 -168.2105
29.500000 97.519 -168.9917
30.000000 97.503 -169.7923
30.400000 97.475 -170.3725
30.700001 97.451 -170.7383
31.100000 97.424 -171.1296
31.500000 97.413 -171.4577
32.000000 97.422 -171.8986
32.500000 97.441 -172.4661
33.000000 97.450 -173.1311
33.500000 97.441 -173.7865
34.000000 97.426 -174.3586
34.500000 97.414 -174.8621
35.000000 97.407 -175.3467
35.500000 97.401 -175.8359
36.000000 97.392 -176.3208
36.500000 97.381 -176.7958
37.000000 97.370 -177.2725
37.500000 97.356 -177.7608
38.200001 97.331 -178.4471
38.700001 97.309 -178.9199
39.500000 97.276 -179.6412
40.000000 97.257 179.9203
40.599998 97.238 179.3978
41.200001 97.219 178.8695
41.799999 97.200 178.3343
42.500000 97.172 177.7274
43.099998 97.145 177.2443
43.700001 97.118 176.7906
44.400002 97.084 176.2936
45.000000 97.055 175.9058
45.500000 97.036 175.5980
46.200001 97.016 175.1299
46.799999 97.001 174.6592
47.500000 96.975 174.0757
48.200001 96.943 173.5357
48.700001 96.921 173.1916
49.400002 96.896 172.7473
50.000000 96.877 172.3914
50.799999 96.850 171.9900
51.500000 96.830 171.7181
52.200001 96.815 171.4319
53.000000 96.781 171.0224
53.799999 96.717 170.6281
54.500000 96.645 170.2941
55.200001 96.549 169.9359
56.000000 96.409 169.7641
57.000000 96.321 169.9598
58.000000 96.359 169.2623
59.000000 96.282 167.7794
60.000000 96.140 167.2080
60.799999 96.134 167.1422
61.500000 96.182 166.7946
62.200001 96.211 166.1843
63.000000 96.195 165.5252
64.000000 96.140 165.0591
65.000000 96.089 164.8117
66.000000 96.037 164.5334
67.000000 95.971 164.1872
68.000000 95.897 163.8210
69.000000 95.827 163.4458
70.000000 95.766 163.0268
71.000000 95.707 162.6146
72.000000 95.652 162.2707
73.000000 95.602 161.9512
74.000000 95.545 161.6380
75.000000 95.480 161.3641
76.199997 95.401 161.0607
77.500000 95.316 160.6891
78.800003 95.231 160.3141
80.000000 95.163 159.9875
81.199997 95.101 159.6293
82.500000 95.023 159.2615
83.800003 94.939 159.0154
85.000000 94.867 158.8246
86.199997 94.795 158.6071
87.500000 94.710 158.3481
88.500000 94.640 158.1624
90.000000 94.537 157.9169
91.199997 94.459 157.7592
92.500000 94.387 157.5997
93.800003 94.320 157.3990
95.000000 94.251 157.2035
96.199997 94.172 157.0703
97.500000 94.089 157.0006
98.800003 94.010 156.8986
100.000000 93.931 156.7662
101.500000 93.829 156.6069
103.000000 93.734 156.4671
104.400002 93.649 156.3423
106.000000 93.552 156.2408
107.500000 93.459 156.1625
109.000000 93.360 156.0847
110.599998 93.247 156.0621
112.000000 93.150 156.1194
113.800003 93.040 156.2839
115.000000 92.971 156.3293
117.199997 92.815 156.2274
118.000000 92.749 156.1620
120.599998 92.532 156.2473
122.000000 92.477 156.4811
124.099998 92.434 156.6289
125.000000 92.407 156.6709
126.500000 92.341 156.7957
128.000000 92.260 156.9742
131.500000 92.069 157.3917
132.000000 92.044 157.4512
134.000000 91.954 157.7513
136.000000 91.876 158.0625
138.000000 91.789 158.3704
140.000000 91.699 158.6806
143.000000 91.571 159.1620
145.000000 91.494 159.5219
147.500000 91.392 159.9858
150.000000 91.293 160.4703
152.500000 91.221 160.9390
155.000000 91.148 161.4299
157.500000 91.059 162.1160
160.000000 90.970 162.7430
162.500000 90.887 163.1772
165.000000 90.828 163.5865
167.500000 90.785 164.1094
170.000000 90.727 164.7614
172.500000 90.655 165.4833
175.000000 90.599 165.9656
177.500000 90.568 166.0873
180.000000 90.533 166.1776
182.500000 90.484 166.8765
185.000000 90.458 167.8664
187.500000 90.427 168.6426
190.000000 90.397 169.2477
192.500000 90.377 169.8200
195.000000 90.359 170.4310
197.500000 90.344 171.0085
200.000000 90.338 171.4978
203.000000 90.334 172.0427
206.000000 90.321 172.6275
209.000000 90.309 173.2280
212.000000 90.311 173.7869
214.000000 90.316 174.1466
218.000000 90.325 174.8990
220.000000 90.332 175.2526
224.000000 90.344 175.8669
227.000000 90.344 176.3040
230.000000 90.347 176.6827
233.000000 90.362 177.0338
236.000000 90.377 177.3647
240.000000 90.375 177.7472
243.000000 90.394 178.1155
247.000000 90.440 178.6432
250.000000 90.460 179.0195
254.000000 90.490 179.4567
258.000000 90.514 179.8951
262.000000 90.531 -179.7015
265.000000 90.543 -179.4226
269.000000 90.559 -179.1111
272.000000 90.581 -178.9148
276.000000 90.627 -178.6039
