* Measurement data measured by REW V5.20.13
* Source: Microphone (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.670. Timing signal peak level -37.0 dBFS, measurement signal peak level -34.9 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Jul 10, 2023 8:54:49 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0518 ms (-18 mm, -0.7 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: 120.6 ppm
* Measurement: ZeroRed R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 70.467 -34.3785
1.015000 70.557 -32.8734
1.030000 70.658 -31.4674
1.044000 70.765 -30.2527
1.060000 70.902 -28.9893
1.075000 71.047 -27.9353
1.090000 71.210 -27.0166
1.106000 71.405 -26.1956
1.120000 71.593 -25.6121
1.138000 71.857 -25.0351
1.150000 72.046 -24.7517
1.172000 72.418 -24.4252
1.180000 72.560 -24.3641
1.206000 73.043 -24.3553
1.220000 73.316 -24.4591
1.241000 73.737 -24.7374
1.250000 73.922 -24.8964
1.265000 74.233 -25.2074
1.280000 74.547 -25.5679
1.315000 75.286 -26.5517
1.320000 75.391 -26.7037
1.340000 75.810 -27.3268
1.360000 76.221 -27.9586
1.380000 76.622 -28.5777
1.400000 77.008 -29.1630
1.430000 77.554 -29.9310
1.450000 77.890 -30.3388
1.475000 78.274 -30.7100
1.500000 78.640 -31.0454
1.525000 78.993 -31.3797
1.550000 79.333 -31.7155
1.575000 79.660 -32.0559
1.600000 79.975 -32.4038
1.625000 80.279 -32.7619
1.650000 80.572 -33.1333
1.675000 80.853 -33.5208
1.700000 81.124 -33.9272
1.725000 81.385 -34.3556
1.750000 81.637 -34.8087
1.775000 81.879 -35.2895
1.800000 82.112 -35.8008
1.825000 82.337 -36.3456
1.850000 82.550 -36.9315
1.875000 82.747 -37.5675
1.900000 82.928 -38.2476
1.925000 83.096 -38.9650
1.950000 83.252 -39.7128
1.975000 83.397 -40.4845
2.000000 83.534 -41.2731
2.030000 83.690 -42.2325
2.060000 83.840 -43.1949
2.090000 83.986 -44.1488
2.120000 84.131 -45.0824
2.140000 84.230 -45.6878
2.180000 84.433 -46.8422
2.200000 84.540 -47.3844
2.240000 84.755 -48.4281
2.270000 84.912 -49.1881
2.300000 85.067 -49.9306
2.330000 85.220 -50.6575
2.360000 85.370 -51.3705
2.400000 85.569 -52.3028
2.430000 85.717 -52.9906
2.470000 85.914 -53.8959
2.500000 86.060 -54.5685
2.540000 86.256 -55.4600
2.580000 86.453 -56.3476
2.620000 86.651 -57.2174
2.650000 86.800 -57.8575
2.690000 86.998 -58.6974
2.720000 87.145 -59.3191
2.760000 87.341 -60.1401
2.800000 87.534 -60.9551
2.850000 87.770 -61.9709
2.900000 88.000 -62.9898
2.950000 88.222 -64.0193
3.000000 88.438 -65.0640
3.040000 88.607 -65.9057
3.070000 88.731 -66.5370
3.110000 88.893 -67.3749
3.150000 89.053 -68.2037
3.200000 89.248 -69.2196
3.250000 89.440 -70.2039
3.300000 89.627 -71.1468
3.350000 89.810 -72.0405
3.400000 89.989 -72.8920
3.450000 90.163 -73.7128
3.500000 90.333 -74.5146
3.550000 90.499 -75.3088
3.600000 90.662 -76.1072
3.650000 90.820 -76.9211
3.700000 90.975 -77.7586
3.750000 91.126 -78.6122
3.820000 91.330 -79.8180
3.870000 91.472 -80.6755
3.950000 91.691 -82.0177
4.000000 91.824 -82.8248
4.060000 91.980 -83.7488
4.120000 92.130 -84.6288
4.180000 92.276 -85.4761
4.250000 92.440 -86.4384
4.310000 92.577 -87.2532
4.370000 92.710 -88.0707
4.440000 92.861 -89.0380
4.500000 92.987 -89.8707
4.550000 93.089 -90.5626
4.620000 93.227 -91.5221
4.680000 93.343 -92.3303
4.750000 93.474 -93.2490
4.820000 93.602 -94.1368
4.870000 93.690 -94.7549
4.940000 93.811 -95.6022
5.000000 93.911 -96.3155
5.080000 94.041 -97.2541
5.150000 94.151 -98.0693
5.220000 94.257 -98.8769
5.300000 94.375 -99.7870
5.380000 94.489 -100.6815
5.450000 94.585 -101.4497
5.520000 94.678 -102.2029
5.600000 94.782 -103.0460
5.700000 94.906 -104.0749
5.800000 95.025 -105.0781
5.900000 95.140 -106.0569
6.000000 95.250 -107.0082
6.080000 95.335 -107.7517
6.150000 95.408 -108.3914
6.220000 95.479 -109.0229
6.300000 95.558 -109.7344
6.400000 95.653 -110.6066
6.500000 95.745 -111.4596
6.600000 95.835 -112.2933
6.700000 95.923 -113.1046
6.800000 96.008 -113.8959
6.900000 96.090 -114.6731
7.000000 96.171 -115.4417
7.100000 96.250 -116.1993
7.200000 96.326 -116.9451
7.300000 96.401 -117.6800
7.400000 96.474 -118.4036
7.500000 96.545 -119.1152
7.620000 96.627 -119.9565
7.750000 96.713 -120.8559
7.880000 96.795 -121.7424
8.000000 96.868 -122.5475
8.120000 96.938 -123.3389
8.250000 97.011 -124.1813
8.380000 97.081 -125.0076
8.500000 97.143 -125.7557
8.620000 97.202 -126.4899
8.750000 97.263 -127.2691
8.850000 97.309 -127.8565
9.000000 97.373 -128.7186
9.120000 97.424 -129.3914
9.250000 97.478 -130.1019
9.380000 97.531 -130.7933
9.500000 97.578 -131.4206
9.620000 97.622 -132.0398
9.750000 97.668 -132.6994
9.880000 97.706 -133.3518
10.000000 97.735 -133.9508
10.150000 97.762 -134.6916
10.300000 97.781 -135.4158
10.440000 97.791 -136.0756
10.600000 97.799 -136.8145
10.750000 97.805 -137.4930
10.900000 97.810 -138.1592
11.060000 97.816 -138.8672
11.200000 97.821 -139.4855
11.380000 97.826 -140.2640
11.500000 97.828 -140.7702
11.720000 97.831 -141.6723
11.800000 97.833 -141.9901
12.060000 97.840 -142.9925
12.200000 97.846 -143.5225
12.410000 97.858 -144.3038
12.500000 97.863 -144.6348
12.650000 97.871 -145.1803
12.800000 97.880 -145.7213
13.150000 97.898 -146.9742
13.200000 97.900 -147.1523
13.400000 97.909 -147.8642
13.600000 97.917 -148.5659
13.800000 97.922 -149.2551
14.000000 97.925 -149.9240
14.300000 97.924 -150.8836
14.500000 97.921 -151.4828
14.750000 97.919 -152.1882
15.000000 97.919 -152.8490
15.250000 97.927 -153.4864
15.500000 97.939 -154.1143
15.750000 97.956 -154.7423
16.000000 97.973 -155.3831
16.250000 97.987 -156.0400
16.500000 97.999 -156.7087
16.750000 98.007 -157.3781
17.000000 98.011 -158.0305
17.250000 98.013 -158.6580
17.500000 98.013 -159.2516
17.750000 98.013 -159.8130
18.000000 98.014 -160.3501
18.250000 98.017 -160.8724
18.500000 98.022 -161.3936
18.750000 98.029 -161.9192
19.000000 98.037 -162.4540
19.250000 98.044 -162.9983
19.500000 98.048 -163.5447
19.750000 98.050 -164.0872
20.000000 98.049 -164.6146
20.299999 98.044 -165.2221
20.600000 98.038 -165.7991
20.900000 98.031 -166.3467
21.200001 98.025 -166.8710
21.400000 98.022 -167.2116
21.799999 98.016 -167.8778
22.000000 98.013 -168.2066
22.400000 98.009 -168.8610
22.700001 98.006 -169.3502
23.000000 98.003 -169.8389
23.299999 97.998 -170.3278
23.600000 97.992 -170.8141
24.000000 97.980 -171.4499
24.299999 97.969 -171.9089
24.700001 97.953 -172.4893
25.000000 97.941 -172.9008
25.400000 97.926 -173.4255
25.799999 97.913 -173.9376
26.200001 97.901 -174.4486
26.500000 97.892 -174.8313
26.900000 97.878 -175.3346
27.200001 97.868 -175.7034
27.600000 97.853 -176.1859
28.000000 97.840 -176.6696
28.500000 97.822 -177.2922
29.000000 97.796 -177.9181
29.500000 97.763 -178.4949
30.000000 97.729 -178.9880
30.400000 97.707 -179.3453
30.700001 97.695 -179.6183
31.100000 97.682 179.9818
31.500000 97.667 179.5388
32.000000 97.639 178.9703
32.500000 97.603 178.4540
33.000000 97.568 178.0095
33.500000 97.540 177.5928
34.000000 97.519 177.1538
34.500000 97.498 176.6867
35.000000 97.473 176.2182
35.500000 97.446 175.7695
36.000000 97.419 175.3414
36.500000 97.391 174.9284
37.000000 97.364 174.5253
37.500000 97.339 174.1195
38.200001 97.300 173.5196
38.700001 97.265 173.0853
39.500000 97.195 172.5029
40.000000 97.156 172.2268
40.599998 97.122 171.9113
41.200001 97.095 171.5413
41.799999 97.065 171.1338
42.500000 97.026 170.6682
43.099998 96.993 170.2729
43.700001 96.956 169.8752
44.400002 96.907 169.4555
45.000000 96.867 169.1573
45.500000 96.838 168.9279
46.200001 96.803 168.5920
46.799999 96.774 168.2815
47.500000 96.737 167.9139
48.200001 96.699 167.5644
48.700001 96.673 167.3203
49.400002 96.638 166.9534
50.000000 96.603 166.6165
50.799999 96.547 166.2064
51.500000 96.497 165.9031
52.200001 96.450 165.6174
53.000000 96.396 165.3120
53.799999 96.341 165.0053
54.500000 96.279 164.7589
55.200001 96.210 164.6898
56.000000 96.168 164.8090
57.000000 96.176 164.5824
58.000000 96.112 163.9274
59.000000 96.000 163.8471
60.000000 95.996 163.8587
60.799999 96.001 163.2504
61.500000 95.944 162.5866
62.200001 95.858 162.1671
63.000000 95.778 161.8952
64.000000 95.704 161.5617
65.000000 95.645 161.2432
66.000000 95.596 160.8637
67.000000 95.534 160.5103
68.000000 95.473 160.2386
69.000000 95.408 159.9777
70.000000 95.337 159.7856
71.000000 95.270 159.6436
72.000000 95.209 159.4809
73.000000 95.148 159.2894
74.000000 95.086 159.0844
75.000000 95.024 158.8818
76.199997 94.948 158.6659
77.500000 94.865 158.4923
78.800003 94.788 158.3822
80.000000 94.722 158.2593
81.199997 94.653 158.1136
82.500000 94.577 157.9505
83.800003 94.502 157.7596
85.000000 94.429 157.5668
86.199997 94.351 157.4245
87.500000 94.271 157.3302
88.500000 94.211 157.2781
90.000000 94.123 157.2391
91.199997 94.059 157.1844
92.500000 93.987 157.0695
93.800003 93.912 156.9500
95.000000 93.843 156.8581
96.199997 93.777 156.8126
97.500000 93.713 156.8282
98.800003 93.654 156.8609
100.000000 93.596 156.8981
101.500000 93.512 156.9370
103.000000 93.418 156.9792
104.400002 93.338 156.9741
106.000000 93.255 156.9048
107.500000 93.188 156.8561
109.000000 93.122 156.8366
110.599998 93.035 156.9487
112.000000 92.956 157.1243
113.800003 92.859 157.2923
115.000000 92.800 157.3317
117.199997 92.721 157.4451
118.000000 92.706 157.5088
120.599998 92.652 157.5836
122.000000 92.567 157.7238
124.099998 92.433 158.1769
125.000000 92.383 158.3269
126.500000 92.309 158.4867
128.000000 92.245 158.5693
131.500000 92.104 158.9679
132.000000 92.084 159.0542
134.000000 92.007 159.4136
136.000000 91.933 159.7053
138.000000 91.866 160.0093
140.000000 91.809 160.3486
143.000000 91.725 160.8748
145.000000 91.656 161.1937
147.500000 91.574 161.5907
150.000000 91.516 161.9391
152.500000 91.464 162.3111
155.000000 91.404 162.7112
157.500000 91.338 163.0877
160.000000 91.287 163.4479
162.500000 91.257 163.8397
165.000000 91.235 164.3429
167.500000 91.204 164.9040
170.000000 91.147 165.3699
172.500000 91.071 165.7472
175.000000 91.028 166.1280
177.500000 91.046 166.5632
180.000000 91.085 166.9411
182.500000 91.044 167.2453
185.000000 90.956 167.7204
187.500000 90.899 168.1154
190.000000 90.877 168.4400
192.500000 90.874 168.7899
195.000000 90.870 169.1234
197.500000 90.857 169.4579
200.000000 90.840 169.8022
203.000000 90.824 170.2293
206.000000 90.815 170.6271
209.000000 90.807 171.0532
212.000000 90.801 171.5011
214.000000 90.795 171.7766
218.000000 90.784 172.2647
220.000000 90.780 172.4895
224.000000 90.764 172.9816
227.000000 90.753 173.3622
230.000000 90.750 173.6815
233.000000 90.744 173.9876
236.000000 90.737 174.2151
240.000000 90.731 174.3618
243.000000 90.726 174.6166
247.000000 90.719 175.1235
250.000000 90.714 175.4059
254.000000 90.718 175.6839
258.000000 90.728 176.0388
262.000000 90.733 176.4076
265.000000 90.734 176.6128
269.000000 90.743 176.8460
272.000000 90.754 177.0348
276.000000 90.766 177.2106
280.000000 90.777 177.3669
