* Measurement data measured by REW V5.30.9
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -19.9 dBFS, measurement signal peak level -16.2 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Mar 15, 2024 6:09:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -0.0678 ms (-23 mm, -0.92 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset
* Measurement: S2 Bass+ L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 79.983, -99.4249
1.015000, 80.094, -99.1610
1.030000, 80.206, -98.8914
1.044000, 80.309, -98.6343
1.060000, 80.427, -98.3336
1.075000, 80.538, -98.0450
1.090000, 80.650, -97.7499
1.106000, 80.770, -97.4293
1.120000, 80.876, -97.1464
1.138000, 81.014, -96.7816
1.150000, 81.107, -96.5376
1.172000, 81.278, -96.0951
1.180000, 81.341, -95.9402
1.206000, 81.542, -95.4333
1.220000, 81.649, -95.1583
1.241000, 81.808, -94.7425
1.250000, 81.875, -94.5630
1.265000, 81.985, -94.2617
1.280000, 82.092, -93.9578
1.315000, 82.330, -93.2367
1.320000, 82.362, -93.1321
1.340000, 82.487, -92.7098
1.360000, 82.604, -92.2790
1.380000, 82.712, -91.8783
1.400000, 82.809, -91.4835
1.430000, 82.935, -90.8738
1.450000, 83.003, -90.4548
1.475000, 83.068, -89.9134
1.500000, 83.106, -89.3466
1.525000, 83.119, -88.7556
1.550000, 83.111, -88.1460
1.575000, 83.084, -87.5447
1.600000, 83.042, -86.9742
1.625000, 82.990, -86.4000
1.650000, 82.930, -85.8267
1.675000, 82.867, -85.2581
1.700000, 82.804, -84.6978
1.725000, 82.746, -84.1490
1.750000, 82.695, -83.6145
1.775000, 82.655, -83.1138
1.800000, 82.631, -82.6647
1.825000, 82.625, -82.2320
1.850000, 82.634, -81.8049
1.875000, 82.653, -81.3682
1.900000, 82.679, -80.9211
1.925000, 82.712, -80.4685
1.950000, 82.751, -80.0154
1.975000, 82.796, -79.5839
2.000000, 82.845, -79.1945
2.030000, 82.910, -78.7440
2.060000, 82.980, -78.3197
2.090000, 83.054, -77.9270
2.120000, 83.131, -77.5705
2.140000, 83.184, -77.3549
2.180000, 83.292, -76.9994
2.200000, 83.347, -76.8646
2.240000, 83.462, -76.6099
2.270000, 83.555, -76.4193
2.300000, 83.652, -76.2316
2.330000, 83.754, -76.0518
2.360000, 83.859, -75.8850
2.400000, 84.003, -75.7378
2.430000, 84.113, -75.6593
2.470000, 84.261, -75.5942
2.500000, 84.372, -75.5786
2.540000, 84.519, -75.6053
2.580000, 84.664, -75.6976
2.620000, 84.810, -75.8496
2.650000, 84.921, -75.9695
2.690000, 85.071, -76.1380
2.720000, 85.184, -76.2720
2.760000, 85.335, -76.4614
2.800000, 85.486, -76.7072
2.850000, 85.671, -77.0480
2.900000, 85.852, -77.4238
2.950000, 86.028, -77.8355
3.000000, 86.200, -78.3033
3.040000, 86.336, -78.6987
3.070000, 86.437, -78.9981
3.110000, 86.570, -79.3989
3.150000, 86.700, -79.7999
3.200000, 86.860, -80.3305
3.250000, 87.017, -80.8731
3.300000, 87.169, -81.4151
3.350000, 87.317, -81.9608
3.400000, 87.461, -82.5441
3.450000, 87.601, -83.1384
3.500000, 87.738, -83.7224
3.550000, 87.871, -84.2894
3.600000, 88.001, -84.8620
3.650000, 88.128, -85.4239
3.700000, 88.252, -85.9695
3.750000, 88.371, -86.5069
3.820000, 88.533, -87.2776
3.870000, 88.645, -87.8169
3.950000, 88.820, -88.6336
4.000000, 88.927, -89.1316
4.060000, 89.055, -89.7064
4.120000, 89.181, -90.2525
4.180000, 89.303, -90.7814
4.250000, 89.444, -91.4012
4.310000, 89.564, -91.9039
4.370000, 89.684, -92.3837
4.440000, 89.823, -92.9418
4.500000, 89.942, -93.3922
4.550000, 90.041, -93.7500
4.620000, 90.178, -94.2593
4.680000, 90.297, -94.6895
4.750000, 90.436, -95.1797
4.820000, 90.576, -95.6773
4.870000, 90.677, -96.0250
4.940000, 90.819, -96.4984
5.000000, 90.941, -96.9143
5.080000, 91.101, -97.4849
5.150000, 91.241, -97.9916
5.220000, 91.380, -98.5231
5.300000, 91.537, -99.1378
5.380000, 91.692, -99.7572
5.450000, 91.824, -100.3244
5.520000, 91.952, -100.8993
5.600000, 92.095, -101.5801
5.700000, 92.266, -102.4570
5.800000, 92.429, -103.3338
5.900000, 92.579, -104.2208
6.000000, 92.718, -105.1210
6.080000, 92.822, -105.8500
6.150000, 92.906, -106.4650
6.220000, 92.986, -107.0698
6.300000, 93.069, -107.7401
6.400000, 93.164, -108.5597
6.500000, 93.249, -109.3471
6.600000, 93.327, -110.0668
6.700000, 93.397, -110.7324
6.800000, 93.461, -111.3452
6.900000, 93.523, -111.9088
7.000000, 93.584, -112.4046
7.100000, 93.646, -112.8429
7.200000, 93.709, -113.2339
7.300000, 93.775, -113.6011
7.400000, 93.846, -113.9385
7.500000, 93.922, -114.2568
7.620000, 94.019, -114.6335
7.750000, 94.131, -115.0729
7.880000, 94.251, -115.5486
8.000000, 94.363, -116.0285
8.120000, 94.474, -116.5785
8.250000, 94.592, -117.2461
8.380000, 94.703, -117.9691
8.500000, 94.795, -118.6922
8.620000, 94.876, -119.4600
8.750000, 94.950, -120.3060
8.850000, 94.997, -120.9533
9.000000, 95.050, -121.9143
9.120000, 95.081, -122.6460
9.250000, 95.103, -123.3749
9.380000, 95.116, -124.0370
9.500000, 95.125, -124.5822
9.620000, 95.135, -125.0450
9.750000, 95.147, -125.4683
9.880000, 95.159, -125.8381
10.000000, 95.172, -126.1287
10.150000, 95.192, -126.4887
10.300000, 95.223, -126.8601
10.440000, 95.263, -127.2352
10.600000, 95.320, -127.7401
10.750000, 95.383, -128.3251
10.900000, 95.451, -129.0148
11.060000, 95.519, -129.8989
11.200000, 95.573, -130.8076
11.380000, 95.624, -132.0561
11.500000, 95.643, -132.9255
11.720000, 95.649, -134.5230
11.800000, 95.642, -135.0848
12.060000, 95.594, -136.8135
12.200000, 95.557, -137.6642
12.410000, 95.494, -138.7580
12.500000, 95.467, -139.1534
12.650000, 95.423, -139.7154
12.800000, 95.386, -140.1749
13.150000, 95.348, -140.9980
13.200000, 95.349, -141.1064
13.400000, 95.368, -141.5210
13.600000, 95.407, -141.9469
13.800000, 95.460, -142.4174
14.000000, 95.521, -142.9489
14.300000, 95.612, -143.9207
14.500000, 95.666, -144.6066
14.750000, 95.722, -145.4620
15.000000, 95.770, -146.2843
15.250000, 95.815, -147.1015
15.500000, 95.857, -147.8510
15.750000, 95.895, -148.5307
16.000000, 95.930, -149.1483
16.250000, 95.965, -149.7556
16.500000, 96.000, -150.3126
16.750000, 96.035, -150.8237
17.000000, 96.073, -151.3021
17.250000, 96.116, -151.7895
17.500000, 96.161, -152.2767
17.750000, 96.207, -152.7785
18.000000, 96.250, -153.3090
18.250000, 96.289, -153.8906
18.500000, 96.319, -154.4913
18.750000, 96.339, -155.0872
19.000000, 96.350, -155.6540
19.250000, 96.355, -156.1936
19.500000, 96.357, -156.6700
19.750000, 96.361, -157.0851
20.000000, 96.371, -157.4565
20.299999, 96.394, -157.9140
20.600000, 96.427, -158.3978
20.900000, 96.466, -158.9426
21.200001, 96.504, -159.5768
21.400000, 96.525, -160.0373
21.799999, 96.553, -160.9917
22.000000, 96.561, -161.4671
22.400000, 96.565, -162.4046
22.700001, 96.563, -163.0506
23.000000, 96.559, -163.6448
23.299999, 96.557, -164.2091
23.600000, 96.556, -164.7310
24.000000, 96.562, -165.3755
24.299999, 96.572, -165.8550
24.700001, 96.590, -166.4898
25.000000, 96.604, -166.9701
25.400000, 96.619, -167.6310
25.799999, 96.628, -168.2637
26.200001, 96.635, -168.8595
26.500000, 96.641, -169.2921
26.900000, 96.652, -169.8708
27.200001, 96.658, -170.3269
27.600000, 96.655, -170.9381
28.000000, 96.638, -171.4745
28.500000, 96.615, -171.9537
29.000000, 96.629, -172.2771
29.500000, 96.691, -172.7590
30.000000, 96.760, -173.6181
30.400000, 96.783, -174.5293
30.700001, 96.772, -175.2237
31.100000, 96.731, -176.0320
31.500000, 96.681, -176.6470
32.000000, 96.638, -177.2041
32.500000, 96.625, -177.7451
33.000000, 96.618, -178.3636
33.500000, 96.601, -179.0039
34.000000, 96.582, -179.5605
34.500000, 96.576, 179.9474
35.000000, 96.583, 179.4419
35.500000, 96.593, 178.8657
36.000000, 96.596, 178.2466
36.500000, 96.590, 177.6261
37.000000, 96.580, 177.0269
37.500000, 96.565, 176.4352
38.200001, 96.535, 175.6362
38.700001, 96.507, 175.1138
39.500000, 96.469, 174.3724
40.000000, 96.455, 173.9093
40.599998, 96.440, 173.2843
41.200001, 96.417, 172.6235
41.799999, 96.386, 171.9964
42.500000, 96.354, 171.3153
43.099998, 96.333, 170.7144
43.700001, 96.307, 170.0851
44.400002, 96.265, 169.3963
45.000000, 96.227, 168.8880
45.500000, 96.201, 168.4971
46.200001, 96.170, 167.9491
46.799999, 96.144, 167.4681
47.500000, 96.115, 166.9045
48.200001, 96.085, 166.3211
48.700001, 96.061, 165.8859
49.400002, 96.021, 165.2766
50.000000, 95.981, 164.7760
50.799999, 95.923, 164.1543
51.500000, 95.870, 163.6856
52.200001, 95.827, 163.2869
53.000000, 95.794, 162.8350
53.799999, 95.770, 162.3071
54.500000, 95.749, 161.7736
55.200001, 95.717, 161.1958
56.000000, 95.667, 160.5662
57.000000, 95.601, 159.8528
58.000000, 95.528, 159.1550
59.000000, 95.451, 158.5544
60.000000, 95.386, 157.9409
60.799999, 95.326, 157.4257
61.500000, 95.271, 157.0207
62.200001, 95.221, 156.6450
63.000000, 95.168, 156.1926
64.000000, 95.095, 155.5816
65.000000, 95.010, 155.0587
66.000000, 94.944, 154.6354
67.000000, 94.892, 154.0835
68.000000, 94.829, 153.4529
69.000000, 94.760, 152.8168
70.000000, 94.676, 152.2246
71.000000, 94.595, 151.8259
72.000000, 94.546, 151.4486
73.000000, 94.497, 150.8824
74.000000, 94.412, 150.3049
75.000000, 94.313, 149.9407
76.199997, 94.211, 149.5791
77.500000, 94.095, 149.1134
78.800003, 93.979, 148.7158
80.000000, 93.892, 148.3039
81.199997, 93.808, 147.7699
82.500000, 93.705, 147.1635
83.800003, 93.593, 146.6541
85.000000, 93.492, 146.2567
86.199997, 93.395, 145.8609
87.500000, 93.285, 145.4049
88.500000, 93.199, 145.0978
90.000000, 93.076, 144.6956
91.199997, 92.984, 144.4414
92.500000, 92.891, 144.1580
93.800003, 92.785, 143.8555
95.000000, 92.678, 143.6108
96.199997, 92.570, 143.3554
97.500000, 92.456, 143.0446
98.800003, 92.347, 142.7281
100.000000, 92.252, 142.4957
101.500000, 92.145, 142.2950
103.000000, 92.034, 142.1036
104.400002, 91.915, 141.9819
106.000000, 91.779, 141.7824
107.500000, 91.638, 141.4923
109.000000, 91.497, 141.3567
110.599998, 91.379, 141.3822
112.000000, 91.276, 141.3603
113.800003, 91.113, 141.5755
115.000000, 91.016, 141.6691
117.199997, 90.814, 141.3515
118.000000, 90.737, 141.2117
120.599998, 90.528, 140.9022
122.000000, 90.435, 140.7799
124.099998, 90.262, 140.7679
125.000000, 90.179, 140.8633
126.500000, 90.047, 141.1049
128.000000, 89.935, 141.2827
131.500000, 89.709, 141.4886
132.000000, 89.678, 141.5247
134.000000, 89.538, 141.7061
136.000000, 89.385, 142.0674
138.000000, 89.244, 142.3745
140.000000, 89.098, 142.6205
143.000000, 88.908, 143.1771
145.000000, 88.793, 143.4510
147.500000, 88.632, 143.7816
150.000000, 88.464, 144.2323
152.500000, 88.309, 144.8427
155.000000, 88.168, 145.4806
157.500000, 88.027, 146.1734
160.000000, 87.885, 146.8152
162.500000, 87.748, 147.4558
165.000000, 87.639, 148.0942
167.500000, 87.540, 148.6473
170.000000, 87.425, 149.4054
172.500000, 87.316, 150.2819
175.000000, 87.228, 151.0125
177.500000, 87.144, 151.6113
180.000000, 87.070, 152.3478
182.500000, 86.998, 153.0844
185.000000, 86.905, 153.8454
187.500000, 86.823, 154.6575
190.000000, 86.754, 155.4366
192.500000, 86.687, 156.1350
195.000000, 86.627, 156.8634
197.500000, 86.592, 157.5409
200.000000, 86.565, 158.2350
203.000000, 86.534, 159.1360
206.000000, 86.485, 159.9178
209.000000, 86.444, 160.7267
212.000000, 86.426, 161.6865
214.000000, 86.419, 162.4131
218.000000, 86.388, 163.5322
220.000000, 86.380, 163.9247
224.000000, 86.395, 164.7167
227.000000, 86.407, 165.3436
230.000000, 86.377, 165.7677
233.000000, 86.341, 166.3479
236.000000, 86.309, 167.1394
240.000000, 86.293, 168.1744
243.000000, 86.319, 168.6811
247.000000, 86.349, 169.3766
250.000000, 86.364, 169.9789
254.000000, 86.377, 170.5529
258.000000, 86.380, 171.0772
262.000000, 86.398, 171.6603
265.000000, 86.417, 172.1664
269.000000, 86.436, 172.8482
272.000000, 86.449, 173.2299
276.000000, 86.470, 173.6559
280.000000, 86.498, 174.1712
285.000000, 86.540, 174.8450
290.000000, 86.577, 175.4634
295.000000, 86.614, 176.0899
300.000000, 86.633, 176.5181
304.000000, 86.644, 176.8078
307.000000, 86.652, 177.0648
311.000000, 86.672, 177.4548
315.000000, 86.696, 177.7847
320.000000, 86.710, 178.1310
325.000000, 86.724, 178.5060
330.000000, 86.749, 178.8760
335.000000, 86.758, 179.2443
340.000000, 86.766, 179.6157
345.000000, 86.787, 179.9013
350.000000, 86.809, -179.7463
355.000000, 86.823, -179.3622
360.000000, 86.830, -179.0800
365.000000, 86.849, -178.8476
370.000000, 86.880, -178.5503
375.000000, 86.900, -178.2667
382.000000, 86.915, -177.7657
387.000000, 86.914, -177.4813
395.000000, 86.901, -177.0125
400.000000, 86.903, -176.7048
406.000000, 86.914, -176.3065
412.000000, 86.921, -175.9377
418.000000, 86.921, -175.6765
425.000000, 86.909, -175.2622
431.000000, 86.895, -174.8617
437.000000, 86.894, -174.5379
444.000000, 86.909, -174.3085
450.000000, 86.915, -173.9773
455.000000, 86.911, -173.6533
462.000000, 86.901, -173.2957
468.000000, 86.896, -172.9283
475.000000, 86.908, -172.4914
482.000000, 86.922, -172.1337
487.000000, 86.921, -171.8734
494.000000, 86.910, -171.4957
500.000000, 86.899, -171.1993
508.000000, 86.899, -170.8838
515.000000, 86.909, -170.5405
522.000000, 86.910, -170.0996
530.000000, 86.912, -169.6645
538.000000, 86.921, -169.2195
545.000000, 86.922, -168.8110
552.000000, 86.925, -168.4447
560.000000, 86.931, -168.0522
570.000000, 86.931, -167.4649
580.000000, 86.934, -166.8403
590.000000, 86.946, -166.2868
600.000000, 86.945, -165.8164
608.000000, 86.943, -165.2862
615.000000, 86.941, -164.8133
622.000000, 86.938, -164.3557
630.000000, 86.938, -163.9361
