* Measurement data measured by REW V5.20.13
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.910. Timing signal peak level -31.1 dBFS, measurement signal peak level -26.8 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Aug 27, 2023 3:20:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0675 ms (-23 mm, -0.91 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: -0.5 ppm
* Measurement: WF-XM5 S2 50% R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 44.716 115.7129
1.015000 44.674 113.7018
1.030000 44.628 111.6278
1.044000 44.583 109.6335
1.060000 44.527 107.2826
1.075000 44.472 105.0069
1.090000 44.413 102.6595
1.106000 44.343 100.0712
1.120000 44.264 97.7189
1.138000 44.137 94.5763
1.150000 44.039 92.4116
1.172000 43.835 88.3084
1.180000 43.754 86.7758
1.206000 43.474 81.6585
1.220000 43.315 78.8237
1.241000 43.073 74.4790
1.250000 42.969 72.5863
1.265000 42.798 69.3948
1.280000 42.631 66.1618
1.315000 42.273 58.4867
1.320000 42.227 57.3781
1.340000 42.059 52.9213
1.360000 41.921 48.4380
1.380000 41.821 43.9407
1.400000 41.762 39.4419
1.430000 41.768 32.7187
1.450000 41.843 28.2715
1.475000 42.026 22.7447
1.500000 42.307 17.0252
1.525000 42.676 11.0979
1.550000 43.121 5.0113
1.575000 43.632 -1.1859
1.600000 44.197 -7.4450
1.625000 44.805 -13.7174
1.650000 45.445 -19.9545
1.675000 46.107 -26.1076
1.700000 46.779 -32.1281
1.725000 47.451 -37.9673
1.750000 48.110 -43.5766
1.775000 48.747 -48.9073
1.800000 49.351 -53.9109
1.825000 49.909 -58.5386
1.850000 50.430 -62.7801
1.875000 50.950 -66.7158
1.900000 51.469 -70.3742
1.925000 51.987 -73.7803
1.950000 52.501 -76.9593
1.975000 53.011 -79.9364
2.000000 53.515 -82.7369
2.030000 54.110 -85.8995
2.060000 54.693 -88.8874
2.090000 55.261 -91.7441
2.120000 55.812 -94.5130
2.140000 56.169 -96.3317
2.180000 56.854 -99.9615
2.200000 57.182 -101.7973
2.240000 57.807 -105.2925
2.270000 58.253 -107.7088
2.300000 58.681 -109.9763
2.330000 59.092 -112.1190
2.360000 59.488 -114.1611
2.400000 59.994 -116.7690
2.430000 60.360 -118.6700
2.470000 60.831 -121.1774
2.500000 61.174 -123.0687
2.540000 61.620 -125.6507
2.580000 62.056 -128.3418
2.620000 62.472 -131.0704
2.650000 62.770 -133.1196
2.690000 63.151 -135.8446
2.720000 63.425 -137.8751
2.760000 63.776 -140.5538
2.800000 64.112 -143.1868
2.850000 64.514 -146.3926
2.900000 64.899 -149.4781
2.950000 65.269 -152.4184
3.000000 65.616 -155.2216
3.040000 65.879 -157.3797
3.070000 66.067 -158.9550
3.110000 66.307 -161.0055
3.150000 66.535 -163.0074
3.200000 66.807 -165.4560
3.250000 67.066 -167.8619
3.300000 67.312 -170.2435
3.350000 67.543 -172.6077
3.400000 67.757 -174.9403
3.450000 67.954 -177.2261
3.500000 68.138 -179.4498
3.550000 68.312 178.4038
3.600000 68.476 176.3500
3.650000 68.633 174.4041
3.700000 68.782 172.5724
3.750000 68.918 170.8387
3.820000 69.089 168.5663
3.870000 69.202 167.0473
3.950000 69.375 164.7849
4.000000 69.482 163.4688
4.060000 69.614 161.9884
4.120000 69.737 160.6443
4.180000 69.854 159.4230
4.250000 69.990 158.1270
4.310000 70.112 157.1037
4.370000 70.244 156.1404
4.440000 70.413 155.0982
4.500000 70.565 154.3297
4.550000 70.696 153.7541
4.620000 70.889 153.0031
4.680000 71.062 152.3691
4.750000 71.275 151.5873
4.820000 71.503 150.7657
4.870000 71.675 150.1956
4.940000 71.926 149.3943
5.000000 72.147 148.6796
5.080000 72.441 147.6442
5.150000 72.694 146.6247
5.220000 72.951 145.5148
5.300000 73.248 144.1562
5.380000 73.540 142.7113
5.450000 73.785 141.3843
5.520000 74.016 140.0023
5.600000 74.268 138.3248
5.700000 74.567 136.1141
5.800000 74.841 133.8413
5.900000 75.083 131.5608
6.000000 75.295 129.2127
6.080000 75.445 127.3147
6.150000 75.562 125.6733
6.220000 75.667 124.0779
6.300000 75.769 122.3002
6.400000 75.870 120.1128
6.500000 75.949 118.0081
6.600000 76.013 116.0337
6.700000 76.057 114.1890
6.800000 76.082 112.4591
6.900000 76.099 110.8533
7.000000 76.114 109.3833
7.100000 76.121 108.0627
7.200000 76.125 106.8625
7.300000 76.132 105.7465
7.400000 76.148 104.7083
7.500000 76.167 103.7741
7.620000 76.198 102.7228
7.750000 76.242 101.5913
7.880000 76.298 100.5047
8.000000 76.357 99.5040
8.120000 76.417 98.4603
8.250000 76.487 97.2998
8.380000 76.556 96.1074
8.500000 76.616 94.9726
8.620000 76.674 93.8065
8.750000 76.732 92.5123
8.850000 76.774 91.4988
9.000000 76.833 89.9514
9.120000 76.875 88.6711
9.250000 76.919 87.2321
9.380000 76.960 85.7456
9.500000 76.986 84.3081
9.620000 77.001 82.7903
9.750000 77.006 81.0671
9.880000 76.982 79.2819
10.000000 76.930 77.5596
10.150000 76.828 75.3357
10.300000 76.671 73.1762
10.440000 76.472 71.1572
10.600000 76.190 69.0864
10.750000 75.871 67.5137
10.900000 75.506 66.3029
11.060000 75.108 65.7724
11.200000 74.736 65.9434
11.380000 74.338 66.9143
11.500000 74.136 68.1564
11.720000 73.945 70.9248
11.800000 73.966 71.9088
12.060000 74.290 74.9228
12.200000 74.574 75.7148
12.410000 75.111 75.9102
12.500000 75.322 75.5651
12.650000 75.672 74.3602
12.800000 75.980 72.6818
13.150000 76.437 67.5377
13.200000 76.475 66.7894
13.400000 76.551 63.7411
13.600000 76.548 61.0451
13.800000 76.474 58.8792
14.000000 76.400 57.3058
14.300000 76.331 55.9738
14.500000 76.380 55.4988
14.750000 76.540 54.8068
15.000000 76.796 53.7334
15.250000 77.070 51.9137
15.500000 77.296 49.5093
15.750000 77.438 46.6787
16.000000 77.463 43.7994
16.250000 77.389 41.2699
16.500000 77.237 39.2887
16.750000 77.048 38.0885
17.000000 76.887 37.6086
17.250000 76.787 37.6791
17.500000 76.787 38.0543
17.750000 76.881 38.2888
18.000000 77.041 38.1918
18.250000 77.236 37.5609
18.500000 77.409 36.3702
18.750000 77.533 34.7426
19.000000 77.583 32.7980
19.250000 77.543 30.8386
19.500000 77.419 29.1122
19.750000 77.222 27.8204
20.000000 76.989 27.2264
20.299999 76.737 27.4064
20.600000 76.589 28.3174
20.900000 76.598 29.4541
21.200001 76.754 30.1586
21.400000 76.893 30.1442
21.799999 77.158 28.9990
22.000000 77.242 28.0120
22.400000 77.271 25.7926
22.700001 77.188 24.4056
23.000000 77.063 23.5601
23.299999 76.950 23.2295
23.600000 76.880 23.2305
24.000000 76.871 23.3755
24.299999 76.908 23.3705
24.700001 76.981 23.1422
25.000000 77.036 22.8604
25.400000 77.107 22.4116
25.799999 77.177 21.8906
26.200001 77.238 21.3087
26.500000 77.276 20.8858
26.900000 77.328 20.4131
27.200001 77.385 20.1043
27.600000 77.499 19.5763
28.000000 77.639 18.6124
28.500000 77.755 16.6240
29.000000 77.706 14.3857
29.500000 77.518 12.9681
30.000000 77.367 12.7783
30.400000 77.382 12.8958
30.700001 77.465 12.6510
31.100000 77.579 11.5282
31.500000 77.598 9.6980
32.000000 77.407 7.4839
32.500000 77.058 6.6021
33.000000 76.762 7.2407
33.500000 76.649 8.3917
34.000000 76.658 9.0568
34.500000 76.666 9.2367
35.000000 76.655 9.4041
35.500000 76.686 9.5794
36.000000 76.763 9.2884
36.500000 76.809 8.3163
37.000000 76.760 7.0630
37.500000 76.635 6.0746
38.200001 76.465 5.3336
38.700001 76.394 4.9297
39.500000 76.332 4.1923
40.000000 76.327 3.7339
40.599998 76.363 3.0378
41.200001 76.398 2.0679
41.799999 76.390 1.1232
42.500000 76.362 0.4751
43.099998 76.367 0.1719
43.700001 76.383 -0.1360
44.400002 76.387 -0.4063
45.000000 76.402 -0.5115
45.500000 76.432 -0.7071
46.200001 76.458 -1.3598
46.799999 76.425 -2.0837
47.500000 76.339 -2.7283
48.200001 76.255 -3.1042
48.700001 76.213 -3.2515
49.400002 76.211 -3.3671
50.000000 76.279 -3.7042
50.799999 76.372 -5.0957
51.500000 76.304 -6.7492
52.200001 76.101 -7.5597
53.000000 75.932 -7.0820
53.799999 75.962 -6.6692
54.500000 76.001 -7.2296
55.200001 75.931 -8.0384
56.000000 75.787 -8.3347
57.000000 75.728 -8.2481
58.000000 75.738 -8.9785
59.000000 75.647 -9.8364
60.000000 75.585 -9.9230
60.799999 75.612 -10.1157
61.500000 75.612 -10.5315
62.200001 75.574 -10.7482
63.000000 75.557 -10.7089
64.000000 75.564 -10.9622
65.000000 75.516 -11.1804
66.000000 75.521 -11.3025
67.000000 75.493 -12.0688
68.000000 75.348 -12.3359
69.000000 75.270 -11.8201
70.000000 75.318 -11.4956
71.000000 75.383 -12.3708
72.000000 75.199 -13.7177
73.000000 74.920 -13.3586
74.000000 74.900 -12.7294
75.000000 74.981 -13.4973
76.199997 74.996 -15.6399
77.500000 74.742 -17.7181
78.800003 74.462 -17.2352
80.000000 74.424 -16.1279
81.199997 74.438 -15.4766
82.500000 74.439 -15.1301
83.800003 74.448 -15.6881
85.000000 74.392 -16.9313
86.199997 74.316 -18.3646
87.500000 74.218 -19.5346
88.500000 74.200 -19.8054
90.000000 74.275 -19.8573
91.199997 74.308 -19.8511
92.500000 74.276 -19.4856
93.800003 74.235 -19.1335
95.000000 74.176 -19.1213
96.199997 74.109 -19.3910
97.500000 74.029 -19.8521
98.800003 73.961 -20.1660
100.000000 73.925 -20.3555
101.500000 73.874 -20.5266
103.000000 73.819 -20.5468
104.400002 73.789 -20.8138
106.000000 73.708 -21.5472
107.500000 73.589 -21.8740
109.000000 73.521 -21.8699
110.599998 73.458 -21.8295
112.000000 73.399 -21.6529
113.800003 73.342 -21.4366
115.000000 73.324 -21.4008
117.199997 73.325 -21.7743
118.000000 73.318 -22.0868
120.599998 73.165 -23.0959
122.000000 73.042 -23.2555
124.099998 72.890 -23.1342
125.000000 72.851 -23.0338
126.500000 72.810 -22.9493
128.000000 72.777 -22.9171
131.500000 72.697 -23.0233
132.000000 72.685 -23.0756
134.000000 72.630 -23.4034
136.000000 72.562 -23.7266
138.000000 72.496 -23.8940
140.000000 72.434 -23.8740
143.000000 72.349 -23.8109
145.000000 72.275 -23.8304
147.500000 72.187 -23.7961
150.000000 72.129 -23.7576
152.500000 72.083 -23.7829
155.000000 72.015 -23.8176
157.500000 71.929 -23.7884
160.000000 71.843 -23.7388
162.500000 71.756 -23.7465
165.000000 71.670 -23.7393
167.500000 71.593 -23.6852
170.000000 71.524 -23.5585
172.500000 71.469 -23.4125
175.000000 71.425 -23.3165
177.500000 71.371 -23.2561
180.000000 71.298 -23.1685
182.500000 71.222 -23.0835
185.000000 71.156 -23.0143
187.500000 71.097 -22.9882
190.000000 71.033 -22.9402
192.500000 70.978 -22.7980
195.000000 70.936 -22.5958
197.500000 70.883 -22.3936
200.000000 70.813 -22.2811
203.000000 70.725 -22.2880
206.000000 70.653 -22.2175
209.000000 70.599 -21.9265
212.000000 70.553 -21.5959
214.000000 70.519 -21.4046
218.000000 70.444 -21.0817
220.000000 70.403 -20.9637
224.000000 70.326 -20.7678
227.000000 70.274 -20.5747
230.000000 70.225 -20.2960
233.000000 70.181 -20.0123
236.000000 70.136 -19.7726
240.000000 70.068 -19.4643
243.000000 70.017 -19.2665
247.000000 69.956 -19.0471
250.000000 69.912 -18.8585
254.000000 69.859 -18.5437
258.000000 69.813 -18.2242
262.000000 69.749 -17.8627
265.000000 69.706 -17.5630
269.000000 69.666 -17.2595
272.000000 69.637 -17.0784
276.000000 69.597 -16.7813
280.000000 69.564 -16.4072
285.000000 69.522 -16.0333
290.000000 69.480 -15.7426
295.000000 69.436 -15.3047
