* Measurement data measured by REW V5.20.13
* Source: Microphone (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.670. Timing signal peak level -36.5 dBFS, measurement signal peak level -30.2 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Jul 10, 2023 8:40:06 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0514 ms (-18 mm, -0.69 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset Clock adjustment: 120.9 ppm
* Measurement: ZeroRed 25 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 72.644 -92.9427
1.015000 72.764 -89.8391
1.030000 72.891 -86.8467
1.044000 73.018 -84.1687
1.060000 73.175 -81.2617
1.075000 73.333 -78.7020
1.090000 73.504 -76.3195
1.106000 73.701 -73.9762
1.120000 73.884 -72.0123
1.138000 74.128 -69.5801
1.150000 74.298 -68.0162
1.172000 74.620 -65.2675
1.180000 74.740 -64.3058
1.206000 75.143 -61.3179
1.220000 75.366 -59.7956
1.241000 75.707 -57.6246
1.250000 75.855 -56.7352
1.265000 76.105 -55.3070
1.280000 76.357 -53.9461
1.315000 76.950 -51.0295
1.320000 77.035 -50.6421
1.340000 77.374 -49.1649
1.360000 77.712 -47.8026
1.380000 78.048 -46.5539
1.400000 78.378 -45.4175
1.430000 78.863 -43.9207
1.450000 79.176 -43.0595
1.475000 79.555 -42.1520
1.500000 79.935 -41.5716
1.525000 80.318 -41.3161
1.550000 80.702 -41.3435
1.575000 81.087 -41.6120
1.600000 81.469 -42.0797
1.625000 81.848 -42.7047
1.650000 82.222 -43.4450
1.675000 82.589 -44.2588
1.700000 82.947 -45.1041
1.725000 83.295 -45.9392
1.750000 83.631 -46.7220
1.775000 83.954 -47.4107
1.800000 84.261 -47.9634
1.825000 84.551 -48.3381
1.850000 84.824 -48.5408
1.875000 85.080 -48.6703
1.900000 85.322 -48.7415
1.925000 85.549 -48.7649
1.950000 85.765 -48.7512
1.975000 85.969 -48.7107
2.000000 86.164 -48.6540
2.030000 86.387 -48.5795
2.060000 86.600 -48.5151
2.090000 86.806 -48.4789
2.120000 87.006 -48.4893
2.140000 87.138 -48.5310
2.180000 87.399 -48.7222
2.200000 87.531 -48.8824
2.240000 87.784 -49.3107
2.270000 87.963 -49.7066
2.300000 88.133 -50.1559
2.330000 88.296 -50.6488
2.360000 88.453 -51.1758
2.400000 88.655 -51.9149
2.430000 88.803 -52.4841
2.470000 88.997 -53.2445
2.500000 89.142 -53.8034
2.540000 89.337 -54.5153
2.580000 89.535 -55.1745
2.620000 89.733 -55.8222
2.650000 89.880 -56.3074
2.690000 90.074 -56.9528
2.720000 90.218 -57.4348
2.760000 90.407 -58.0740
2.800000 90.592 -58.7081
2.850000 90.819 -59.4916
2.900000 91.038 -60.2629
2.950000 91.250 -61.0179
3.000000 91.454 -61.7456
3.040000 91.612 -62.3121
3.070000 91.728 -62.7313
3.110000 91.880 -63.2871
3.150000 92.028 -63.8439
3.200000 92.208 -64.5496
3.250000 92.385 -65.2756
3.300000 92.559 -66.0323
3.350000 92.730 -66.8336
3.400000 92.895 -67.6729
3.450000 93.056 -68.5332
3.500000 93.213 -69.3975
3.550000 93.367 -70.2489
3.600000 93.517 -71.0705
3.650000 93.664 -71.8454
3.700000 93.808 -72.5610
3.750000 93.948 -73.2270
3.820000 94.138 -74.1024
3.870000 94.270 -74.7054
3.950000 94.476 -75.6696
4.000000 94.601 -76.2932
4.060000 94.749 -77.0827
4.120000 94.892 -77.9088
4.180000 95.031 -78.7535
4.250000 95.188 -79.7395
4.310000 95.321 -80.5654
4.370000 95.450 -81.3555
4.440000 95.599 -82.2137
4.500000 95.724 -82.9036
4.550000 95.825 -83.4561
4.620000 95.964 -84.2101
4.680000 96.081 -84.8519
4.750000 96.216 -85.6128
4.820000 96.347 -86.3960
4.870000 96.440 -86.9610
4.940000 96.567 -87.7530
5.000000 96.673 -88.4272
5.080000 96.812 -89.3097
5.150000 96.931 -90.0580
5.220000 97.048 -90.7850
5.300000 97.178 -91.5965
5.380000 97.305 -92.3937
5.450000 97.413 -93.0846
5.520000 97.519 -93.7733
5.600000 97.637 -94.5545
5.700000 97.780 -95.5190
5.800000 97.918 -96.4686
5.900000 98.052 -97.4022
6.000000 98.181 -98.3220
6.080000 98.282 -99.0463
6.150000 98.368 -99.6702
6.220000 98.451 -100.2835
6.300000 98.545 -100.9702
6.400000 98.658 -101.8091
6.500000 98.768 -102.6304
6.600000 98.875 -103.4384
6.700000 98.978 -104.2343
6.800000 99.079 -105.0159
6.900000 99.178 -105.7811
7.000000 99.274 -106.5275
7.100000 99.368 -107.2530
7.200000 99.461 -107.9625
7.300000 99.551 -108.6621
7.400000 99.640 -109.3549
7.500000 99.727 -110.0379
7.620000 99.829 -110.8447
7.750000 99.937 -111.7035
7.880000 100.042 -112.5449
8.000000 100.136 -113.3098
8.120000 100.228 -114.0667
8.250000 100.325 -114.8767
8.380000 100.418 -115.6750
8.500000 100.502 -116.4009
8.620000 100.583 -117.1167
8.750000 100.668 -117.8793
8.850000 100.731 -118.4560
9.000000 100.822 -119.3060
9.120000 100.893 -119.9717
9.250000 100.970 -120.6768
9.380000 101.045 -121.3657
9.500000 101.111 -121.9914
9.620000 101.175 -122.6085
9.750000 101.241 -123.2661
9.880000 101.300 -123.9177
10.000000 101.347 -124.5176
10.150000 101.397 -125.2609
10.300000 101.439 -125.9885
10.440000 101.470 -126.6519
10.600000 101.501 -127.3965
10.750000 101.530 -128.0826
10.900000 101.557 -128.7581
11.060000 101.586 -129.4767
11.200000 101.610 -130.1048
11.380000 101.640 -130.8970
11.500000 101.659 -131.4130
11.720000 101.692 -132.3346
11.800000 101.704 -132.6597
12.060000 101.746 -133.6871
12.200000 101.770 -134.2311
12.410000 101.808 -135.0339
12.500000 101.825 -135.3733
12.650000 101.852 -135.9324
12.800000 101.879 -136.4850
13.150000 101.939 -137.7533
13.200000 101.948 -137.9323
13.400000 101.982 -138.6440
13.600000 102.017 -139.3453
13.800000 102.051 -140.0347
14.000000 102.085 -140.7159
14.300000 102.133 -141.7235
14.500000 102.163 -142.3857
14.750000 102.199 -143.2034
15.000000 102.234 -144.0102
15.250000 102.268 -144.8084
15.500000 102.300 -145.5850
15.750000 102.330 -146.3331
16.000000 102.357 -147.0435
16.250000 102.385 -147.7242
16.500000 102.414 -148.3828
16.750000 102.448 -149.0312
17.000000 102.485 -149.6893
17.250000 102.524 -150.3650
17.500000 102.562 -151.0673
17.750000 102.595 -151.7883
18.000000 102.622 -152.5159
18.250000 102.641 -153.2366
18.500000 102.655 -153.9254
18.750000 102.666 -154.5749
19.000000 102.677 -155.1788
19.250000 102.690 -155.7460
19.500000 102.707 -156.2896
19.750000 102.727 -156.8205
20.000000 102.750 -157.3559
20.299999 102.779 -158.0126
20.600000 102.806 -158.6866
20.900000 102.830 -159.3699
21.200001 102.848 -160.0471
21.400000 102.857 -160.4859
21.799999 102.872 -161.3233
22.000000 102.878 -161.7194
22.400000 102.893 -162.4713
22.700001 102.908 -163.0130
23.000000 102.927 -163.5541
23.299999 102.948 -164.1130
23.600000 102.969 -164.7002
24.000000 102.994 -165.5289
24.299999 103.006 -166.1704
24.700001 103.010 -167.0190
25.000000 103.006 -167.6253
25.400000 102.996 -168.3731
25.799999 102.985 -169.0536
26.200001 102.977 -169.6891
26.500000 102.974 -170.1507
26.900000 102.973 -170.7558
27.200001 102.973 -171.2039
27.600000 102.976 -171.7948
28.000000 102.982 -172.3855
28.500000 102.993 -173.1442
29.000000 103.004 -173.9417
29.500000 103.011 -174.7680
30.000000 103.009 -175.5924
30.400000 103.000 -176.2314
30.700001 102.991 -176.6928
31.100000 102.976 -177.2808
31.500000 102.961 -177.8381
32.000000 102.942 -178.4973
32.500000 102.924 -179.1264
33.000000 102.907 -179.7357
33.500000 102.890 179.6721
34.000000 102.876 179.0895
34.500000 102.864 178.4954
35.000000 102.851 177.8727
35.500000 102.832 177.2351
36.000000 102.805 176.6234
36.500000 102.776 176.0671
37.000000 102.751 175.5543
37.500000 102.733 175.0431
38.200001 102.713 174.2750
38.700001 102.695 173.6984
39.500000 102.658 172.8028
40.000000 102.633 172.2784
40.599998 102.605 171.6727
41.200001 102.576 171.0761
41.799999 102.545 170.4932
42.500000 102.507 169.8487
43.099998 102.478 169.3180
43.700001 102.450 168.7743
44.400002 102.415 168.1076
45.000000 102.380 167.5307
45.500000 102.348 167.0612
46.200001 102.303 166.4178
46.799999 102.265 165.8764
47.500000 102.222 165.2703
48.200001 102.185 164.6861
48.700001 102.160 164.2678
49.400002 102.124 163.6901
50.000000 102.091 163.2377
50.799999 102.054 162.6834
51.500000 102.025 162.1596
52.200001 101.983 161.5999
53.000000 101.922 161.0132
53.799999 101.859 160.4412
54.500000 101.792 159.9056
55.200001 101.713 159.4489
56.000000 101.637 159.0651
57.000000 101.587 158.4804
58.000000 101.547 157.6206
59.000000 101.481 156.6020
60.000000 101.368 155.8228
60.799999 101.292 155.5458
61.500000 101.258 155.3474
62.200001 101.233 155.0489
63.000000 101.197 154.6255
64.000000 101.132 154.0654
65.000000 101.050 153.5402
66.000000 100.968 153.0483
67.000000 100.889 152.5065
68.000000 100.805 151.9574
69.000000 100.726 151.4381
70.000000 100.651 150.9393
71.000000 100.578 150.4625
72.000000 100.501 150.0142
73.000000 100.420 149.6148
74.000000 100.339 149.2468
75.000000 100.259 148.8794
76.199997 100.166 148.4032
77.500000 100.062 147.8143
78.800003 99.953 147.2611
80.000000 99.854 146.8041
81.199997 99.758 146.3976
82.500000 99.654 145.9944
83.800003 99.547 145.6182
85.000000 99.448 145.2820
86.199997 99.349 144.9424
87.500000 99.244 144.5657
88.500000 99.164 144.2686
90.000000 99.043 143.8458
91.199997 98.947 143.5421
92.500000 98.842 143.2432
93.800003 98.736 142.9757
95.000000 98.636 142.7474
96.199997 98.536 142.5248
97.500000 98.428 142.2706
98.800003 98.318 142.0208
100.000000 98.216 141.8216
101.500000 98.090 141.6216
103.000000 97.967 141.4733
104.400002 97.855 141.3490
106.000000 97.727 141.1760
107.500000 97.605 140.9948
109.000000 97.486 140.8150
110.599998 97.359 140.6525
112.000000 97.248 140.5696
113.800003 97.100 140.5239
115.000000 96.997 140.5172
117.199997 96.804 140.4058
118.000000 96.728 140.3476
120.599998 96.504 140.4371
122.000000 96.422 140.4860
124.099998 96.293 140.5223
125.000000 96.235 140.5587
126.500000 96.135 140.6133
128.000000 96.030 140.6712
131.500000 95.800 140.8421
132.000000 95.766 140.8765
134.000000 95.631 141.0912
136.000000 95.497 141.3701
138.000000 95.368 141.6707
140.000000 95.251 141.9431
143.000000 95.077 142.3293
145.000000 94.960 142.6341
147.500000 94.815 143.0547
150.000000 94.678 143.5333
152.500000 94.554 143.9993
155.000000 94.439 144.3951
157.500000 94.322 144.8318
160.000000 94.213 145.4009
162.500000 94.107 146.0185
165.000000 94.004 146.6449
167.500000 93.904 147.1926
170.000000 93.805 147.6664
172.500000 93.710 148.1914
175.000000 93.618 148.8676
177.500000 93.511 149.6988
180.000000 93.426 150.4786
182.500000 93.378 150.8174
185.000000 93.330 151.0674
187.500000 93.276 151.5231
190.000000 93.207 152.1326
192.500000 93.147 152.7423
195.000000 93.104 153.2664
197.500000 93.061 153.7690
200.000000 93.014 154.2779
203.000000 92.963 154.8460
206.000000 92.918 155.4280
209.000000 92.874 156.1125
212.000000 92.841 156.7631
214.000000 92.822 157.1234
218.000000 92.785 157.7557
220.000000 92.768 158.0504
224.000000 92.733 158.6695
227.000000 92.702 159.1541
230.000000 92.676 159.6342
233.000000 92.652 160.1359
236.000000 92.631 160.6777
240.000000 92.621 161.2331
243.000000 92.619 161.5603
247.000000 92.614 162.0493
250.000000 92.607 162.4553
254.000000 92.596 162.9623
258.000000 92.584 163.3888
262.000000 92.573 163.8218
265.000000 92.568 164.1482
269.000000 92.555 164.5181
272.000000 92.544 164.7729
276.000000 92.537 165.1251
