* Measurement data measured by REW V5.20.13
* Source: Microphone (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.670. Timing signal peak level -36.3 dBFS, measurement signal peak level -25.7 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -11.0 dBFS using an acoustic timing reference
* Dated: Jul 10, 2023 9:02:17 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0430 ms (-15 mm, -0.58 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: 120.4 ppm
* Measurement: ZeroRed 75 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 71.408 -52.6357
1.015000 71.273 -50.6614
1.030000 71.185 -48.8138
1.044000 71.151 -47.2140
1.060000 71.174 -45.5455
1.075000 71.261 -44.1483
1.090000 71.419 -42.9246
1.106000 71.670 -41.8236
1.120000 71.964 -41.0357
1.138000 72.436 -40.2482
1.150000 72.806 -39.8548
1.172000 73.584 -39.3840
1.180000 73.896 -39.2871
1.206000 75.003 -39.2168
1.220000 75.651 -39.3178
1.241000 76.674 -39.6251
1.250000 77.129 -39.8070
1.265000 77.903 -40.1674
1.280000 78.691 -40.5889
1.315000 80.555 -41.7431
1.320000 80.820 -41.9209
1.340000 81.871 -42.6469
1.360000 82.894 -43.3748
1.380000 83.874 -44.0763
1.400000 84.796 -44.7228
1.430000 86.040 -45.5273
1.450000 86.755 -45.9118
1.475000 87.502 -46.1932
1.500000 88.154 -46.4102
1.525000 88.735 -46.6092
1.550000 89.252 -46.7946
1.575000 89.710 -46.9705
1.600000 90.119 -47.1414
1.625000 90.483 -47.3115
1.650000 90.810 -47.4851
1.675000 91.107 -47.6665
1.700000 91.381 -47.8599
1.725000 91.639 -48.0698
1.750000 91.887 -48.3003
1.775000 92.132 -48.5558
1.800000 92.382 -48.8406
1.825000 92.643 -49.1590
1.850000 92.909 -49.5140
1.875000 93.154 -49.9027
1.900000 93.377 -50.3213
1.925000 93.583 -50.7660
1.950000 93.772 -51.2329
1.975000 93.946 -51.7183
2.000000 94.109 -52.2182
2.030000 94.292 -52.8319
2.060000 94.464 -53.4546
2.090000 94.630 -54.0795
2.120000 94.793 -54.7000
2.140000 94.901 -55.1080
2.180000 95.125 -55.9016
2.200000 95.241 -56.2834
2.240000 95.471 -57.0391
2.270000 95.634 -57.6065
2.300000 95.792 -58.1738
2.330000 95.945 -58.7404
2.360000 96.093 -59.3056
2.400000 96.286 -60.0563
2.430000 96.427 -60.6163
2.470000 96.612 -61.3577
2.500000 96.750 -61.9091
2.540000 96.933 -62.6370
2.580000 97.118 -63.3547
2.620000 97.302 -64.0580
2.650000 97.438 -64.5772
2.690000 97.618 -65.2616
2.720000 97.750 -65.7709
2.760000 97.925 -66.4474
2.800000 98.095 -67.1246
2.850000 98.304 -67.9773
2.900000 98.506 -68.8437
2.950000 98.701 -69.7319
3.000000 98.889 -70.6518
3.040000 99.035 -71.4040
3.070000 99.142 -71.9730
3.110000 99.281 -72.7327
3.150000 99.417 -73.4872
3.200000 99.583 -74.4125
3.250000 99.746 -75.3054
3.300000 99.906 -76.1524
3.350000 100.062 -76.9485
3.400000 100.213 -77.7042
3.450000 100.361 -78.4306
3.500000 100.504 -79.1387
3.550000 100.645 -79.8396
3.600000 100.782 -80.5444
3.650000 100.917 -81.2643
3.700000 101.049 -82.0066
3.750000 101.178 -82.7643
3.820000 101.354 -83.8354
3.870000 101.475 -84.5969
3.950000 101.665 -85.7868
4.000000 101.782 -86.5002
4.060000 101.919 -87.3134
4.120000 102.053 -88.0828
4.180000 102.184 -88.8204
4.250000 102.333 -89.6567
4.310000 102.459 -90.3665
4.370000 102.582 -91.0826
4.440000 102.725 -91.9357
4.500000 102.845 -92.6713
4.550000 102.944 -93.2842
4.620000 103.080 -94.1382
4.680000 103.194 -94.8629
4.750000 103.326 -95.6955
4.820000 103.456 -96.5097
4.870000 103.548 -97.0810
4.940000 103.674 -97.8711
5.000000 103.780 -98.5437
5.080000 103.919 -99.4408
5.150000 104.038 -100.2323
5.220000 104.155 -101.0276
5.300000 104.285 -101.9374
5.380000 104.411 -102.8459
5.450000 104.519 -103.6379
5.520000 104.623 -104.4258
5.600000 104.739 -105.3246
5.700000 104.879 -106.4435
5.800000 105.012 -107.5528
5.900000 105.140 -108.6483
6.000000 105.261 -109.7335
6.080000 105.353 -110.5931
6.150000 105.431 -111.3373
6.220000 105.507 -112.0729
6.300000 105.589 -112.9051
6.400000 105.687 -113.9338
6.500000 105.779 -114.9424
6.600000 105.868 -115.9227
6.700000 105.951 -116.8735
6.800000 106.030 -117.7982
6.900000 106.106 -118.6983
7.000000 106.180 -119.5748
7.100000 106.250 -120.4271
7.200000 106.318 -121.2553
7.300000 106.385 -122.0601
7.400000 106.450 -122.8399
7.500000 106.514 -123.5938
7.620000 106.588 -124.4721
7.750000 106.669 -125.4004
7.880000 106.748 -126.2994
8.000000 106.820 -127.1099
8.120000 106.892 -127.9084
8.250000 106.970 -128.7552
8.380000 107.047 -129.5906
8.500000 107.116 -130.3579
8.620000 107.185 -131.1185
8.750000 107.258 -131.9378
8.850000 107.313 -132.5670
9.000000 107.392 -133.5083
9.120000 107.453 -134.2559
9.250000 107.517 -135.0586
9.380000 107.580 -135.8548
9.500000 107.633 -136.5823
9.620000 107.681 -137.3030
9.750000 107.729 -138.0763
9.880000 107.769 -138.8357
10.000000 107.796 -139.5248
10.150000 107.820 -140.3687
10.300000 107.835 -141.1761
10.440000 107.841 -141.8941
10.600000 107.843 -142.6812
10.750000 107.848 -143.3853
10.900000 107.853 -144.0619
11.060000 107.862 -144.7797
11.200000 107.873 -145.4017
11.380000 107.890 -146.2021
11.500000 107.902 -146.7368
11.720000 107.927 -147.7278
11.800000 107.936 -148.0952
12.060000 107.968 -149.3127
12.200000 107.983 -149.9916
12.410000 108.003 -151.0305
12.500000 108.008 -151.4728
12.650000 108.011 -152.2131
12.800000 108.010 -152.9373
13.150000 107.987 -154.5194
13.200000 107.982 -154.7285
13.400000 107.962 -155.5206
13.600000 107.942 -156.2399
13.800000 107.926 -156.8800
14.000000 107.916 -157.4740
14.300000 107.915 -158.3017
14.500000 107.924 -158.8489
14.750000 107.942 -159.5586
15.000000 107.965 -160.3106
15.250000 107.989 -161.1131
15.500000 108.010 -161.9354
15.750000 108.025 -162.7593
16.000000 108.034 -163.5559
16.250000 108.041 -164.3267
16.500000 108.048 -165.0783
16.750000 108.059 -165.8260
17.000000 108.070 -166.5938
17.250000 108.080 -167.3852
17.500000 108.084 -168.2037
17.750000 108.079 -169.0202
18.000000 108.064 -169.8109
18.250000 108.040 -170.5492
18.500000 108.013 -171.2086
18.750000 107.988 -171.7965
19.000000 107.969 -172.3205
19.250000 107.961 -172.8230
19.500000 107.960 -173.3325
19.750000 107.966 -173.8707
20.000000 107.972 -174.4534
20.299999 107.976 -175.1934
20.600000 107.971 -175.9501
20.900000 107.958 -176.6871
21.200001 107.941 -177.3773
21.400000 107.930 -177.8118
21.799999 107.911 -178.6441
22.000000 107.904 -179.0571
22.400000 107.893 -179.9052
22.700001 107.883 179.4388
23.000000 107.868 178.7819
23.299999 107.850 178.1454
23.600000 107.828 177.5413
24.000000 107.802 176.7888
24.299999 107.785 176.2497
24.700001 107.768 175.5367
25.000000 107.756 174.9919
25.400000 107.738 174.2507
25.799999 107.715 173.5105
26.200001 107.687 172.7968
26.500000 107.663 172.2898
26.900000 107.633 171.6554
27.200001 107.611 171.2049
27.600000 107.587 170.6220
28.000000 107.569 170.0342
28.500000 107.550 169.2571
29.000000 107.528 168.4190
29.500000 107.498 167.5451
30.000000 107.455 166.6855
30.400000 107.414 166.0346
30.700001 107.382 165.5721
31.100000 107.340 164.9835
31.500000 107.300 164.4150
32.000000 107.253 163.7145
32.500000 107.207 163.0159
33.000000 107.160 162.3242
33.500000 107.111 161.6501
34.000000 107.062 160.9996
34.500000 107.014 160.3713
35.000000 106.965 159.7654
35.500000 106.916 159.1861
36.000000 106.868 158.6315
36.500000 106.821 158.0871
37.000000 106.775 157.5347
37.500000 106.726 156.9728
38.200001 106.650 156.2046
38.700001 106.593 155.6899
39.500000 106.507 154.9087
40.000000 106.458 154.4183
40.599998 106.401 153.8059
41.200001 106.343 153.1655
41.799999 106.280 152.5206
42.500000 106.201 151.8134
43.099998 106.137 151.2600
43.700001 106.080 150.7173
44.400002 106.014 150.0547
45.000000 105.952 149.4807
45.500000 105.897 149.0276
46.200001 105.820 148.4390
46.799999 105.756 147.9576
47.500000 105.684 147.4039
48.200001 105.616 146.8410
48.700001 105.566 146.4240
49.400002 105.490 145.8379
50.000000 105.421 145.3714
50.799999 105.331 144.8162
51.500000 105.258 144.3588
52.200001 105.187 143.9022
53.000000 105.105 143.3800
53.799999 105.016 142.9097
54.500000 104.943 142.5810
55.200001 104.885 142.2475
56.000000 104.825 141.7170
57.000000 104.717 140.9338
58.000000 104.583 140.3174
59.000000 104.467 139.8567
60.000000 104.376 139.2704
60.799999 104.291 138.6574
61.500000 104.198 138.1620
62.200001 104.103 137.7723
63.000000 104.004 137.3842
64.000000 103.890 136.8954
65.000000 103.780 136.4008
66.000000 103.671 135.8942
67.000000 103.558 135.4080
68.000000 103.445 134.9719
69.000000 103.335 134.5750
70.000000 103.230 134.1822
71.000000 103.124 133.7806
72.000000 103.014 133.3837
73.000000 102.899 133.0063
74.000000 102.782 132.6616
75.000000 102.666 132.3497
76.199997 102.531 132.0062
77.500000 102.396 131.6316
78.800003 102.260 131.2127
80.000000 102.128 130.8490
81.199997 101.995 130.5443
82.500000 101.858 130.2515
83.800003 101.726 129.9463
85.000000 101.606 129.6587
86.199997 101.488 129.3769
87.500000 101.361 129.0842
88.500000 101.261 128.8723
90.000000 101.109 128.5934
91.199997 100.985 128.3986
92.500000 100.849 128.2234
93.800003 100.717 128.0737
95.000000 100.596 127.9464
96.199997 100.476 127.8430
97.500000 100.350 127.7414
98.800003 100.225 127.6271
100.000000 100.107 127.5228
101.500000 99.959 127.4070
103.000000 99.812 127.3186
104.400002 99.681 127.2660
106.000000 99.536 127.2056
107.500000 99.400 127.1609
109.000000 99.264 127.1461
110.599998 99.122 127.1711
112.000000 99.002 127.2096
113.800003 98.850 127.2740
115.000000 98.748 127.3051
117.199997 98.549 127.2883
118.000000 98.470 127.2817
120.599998 98.224 127.4733
122.000000 98.126 127.6250
124.099998 97.990 127.7838
125.000000 97.930 127.8794
126.500000 97.829 128.0723
128.000000 97.726 128.2683
131.500000 97.471 128.6654
132.000000 97.434 128.7199
134.000000 97.291 128.9371
136.000000 97.153 129.1893
138.000000 97.023 129.4854
140.000000 96.902 129.7939
143.000000 96.717 130.2596
145.000000 96.595 130.5944
147.500000 96.452 131.0046
150.000000 96.320 131.4287
152.500000 96.195 131.8871
155.000000 96.070 132.4014
157.500000 95.949 132.9251
160.000000 95.823 133.4007
162.500000 95.697 133.8482
165.000000 95.584 134.2805
167.500000 95.483 134.7382
170.000000 95.387 135.2318
172.500000 95.295 135.7142
175.000000 95.213 136.2213
177.500000 95.138 136.9004
180.000000 95.072 137.6239
182.500000 94.984 138.0185
185.000000 94.864 138.2863
187.500000 94.757 138.6440
190.000000 94.663 139.1072
192.500000 94.576 139.6179
195.000000 94.504 140.0577
197.500000 94.444 140.4489
200.000000 94.386 140.8850
203.000000 94.305 141.4582
206.000000 94.227 142.0005
209.000000 94.172 142.4378
212.000000 94.124 142.9015
214.000000 94.087 143.2582
218.000000 94.001 143.9323
220.000000 93.959 144.2327
224.000000 93.881 144.8738
227.000000 93.821 145.4262
230.000000 93.771 145.9605
233.000000 93.739 146.4019
236.000000 93.705 146.7774
240.000000 93.653 147.1890
243.000000 93.623 147.4788
247.000000 93.600 148.0195
250.000000 93.572 148.4652
254.000000 93.505 148.9833
258.000000 93.426 149.4343
262.000000 93.372 149.8566
265.000000 93.345 150.1823
269.000000 93.299 150.6564
272.000000 93.249 150.9818
276.000000 93.191 151.3531
280.000000 93.154 151.7598
285.000000 93.100 152.4397
