* Measurement data measured by REW V5.31
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -20.5 dBFS, measurement signal peak level -11.4 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Apr 24, 2024 4:15:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -0.0685 ms (-23 mm, -0.92 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset
* Measurement: Audeze MM-100 L3
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 73.397, 73.2885
1.015000, 73.793, 72.8521
1.030000, 74.180, 72.4342
1.044000, 74.532, 72.0584
1.060000, 74.922, 71.6435
1.075000, 75.275, 71.2666
1.090000, 75.614, 70.9017
1.106000, 75.962, 70.5351
1.120000, 76.263, 70.2506
1.138000, 76.646, 69.9413
1.150000, 76.899, 69.7669
1.172000, 77.361, 69.4963
1.180000, 77.527, 69.4065
1.206000, 78.061, 69.1607
1.220000, 78.343, 69.0518
1.241000, 78.760, 68.9118
1.250000, 78.936, 68.8587
1.265000, 79.225, 68.7769
1.280000, 79.509, 68.7018
1.315000, 80.147, 68.5408
1.320000, 80.235, 68.5184
1.340000, 80.580, 68.4286
1.360000, 80.912, 68.3368
1.380000, 81.230, 68.2016
1.400000, 81.532, 68.0441
1.430000, 81.954, 67.7902
1.450000, 82.214, 67.6085
1.475000, 82.510, 67.3808
1.500000, 82.772, 67.1872
1.525000, 82.999, 67.0375
1.550000, 83.195, 66.9238
1.575000, 83.364, 66.8151
1.600000, 83.511, 66.6859
1.625000, 83.639, 66.5678
1.650000, 83.753, 66.4545
1.675000, 83.856, 66.3403
1.700000, 83.952, 66.2203
1.725000, 84.045, 66.0904
1.750000, 84.140, 65.9471
1.775000, 84.240, 65.7702
1.800000, 84.349, 65.5414
1.825000, 84.470, 65.2954
1.850000, 84.599, 65.0440
1.875000, 84.731, 64.8045
1.900000, 84.861, 64.5809
1.925000, 84.991, 64.3708
1.950000, 85.119, 64.1717
1.975000, 85.245, 63.9636
2.000000, 85.371, 63.7275
2.030000, 85.519, 63.4479
2.060000, 85.665, 63.1661
2.090000, 85.809, 62.8778
2.120000, 85.951, 62.5792
2.140000, 86.044, 62.3726
2.180000, 86.227, 61.9168
2.200000, 86.317, 61.6593
2.240000, 86.493, 61.1402
2.270000, 86.623, 60.7560
2.300000, 86.750, 60.3784
2.330000, 86.876, 60.0071
2.360000, 86.999, 59.6410
2.400000, 87.159, 59.1114
2.430000, 87.276, 58.7106
2.470000, 87.430, 58.1773
2.500000, 87.542, 57.7758
2.540000, 87.688, 57.2346
2.580000, 87.829, 56.6647
2.620000, 87.967, 56.0483
2.650000, 88.067, 55.5846
2.690000, 88.197, 54.9688
2.720000, 88.293, 54.5113
2.760000, 88.416, 53.9116
2.800000, 88.534, 53.2839
2.850000, 88.677, 52.5109
2.900000, 88.812, 51.7565
2.950000, 88.941, 51.0105
3.000000, 89.062, 50.2230
3.040000, 89.154, 49.5764
3.070000, 89.219, 49.0936
3.110000, 89.304, 48.4581
3.150000, 89.384, 47.8373
3.200000, 89.479, 47.0586
3.250000, 89.568, 46.3018
3.300000, 89.651, 45.5793
3.350000, 89.729, 44.8699
3.400000, 89.800, 44.1264
3.450000, 89.865, 43.3776
3.500000, 89.924, 42.6505
3.550000, 89.979, 41.9578
3.600000, 90.029, 41.2828
3.650000, 90.075, 40.6452
3.700000, 90.115, 40.0439
3.750000, 90.151, 39.4594
3.820000, 90.192, 38.6337
3.870000, 90.216, 38.0675
3.950000, 90.250, 37.2408
4.000000, 90.270, 36.7639
4.060000, 90.291, 36.2424
4.120000, 90.308, 35.7706
4.180000, 90.322, 35.3322
4.250000, 90.336, 34.8402
4.310000, 90.348, 34.4693
4.370000, 90.363, 34.1454
4.440000, 90.381, 33.8024
4.500000, 90.398, 33.5626
4.550000, 90.413, 33.3950
4.620000, 90.435, 33.1687
4.680000, 90.458, 32.9924
4.750000, 90.492, 32.8088
4.820000, 90.532, 32.6343
4.870000, 90.565, 32.5296
4.940000, 90.615, 32.4057
5.000000, 90.662, 32.2884
5.080000, 90.730, 32.0993
5.150000, 90.795, 31.9067
5.220000, 90.864, 31.6807
5.300000, 90.950, 31.4038
5.380000, 91.038, 31.0938
5.450000, 91.115, 30.7608
5.520000, 91.190, 30.3815
5.600000, 91.277, 29.8862
5.700000, 91.384, 29.1893
5.800000, 91.483, 28.4256
5.900000, 91.568, 27.5729
6.000000, 91.640, 26.6291
6.080000, 91.689, 25.8201
6.150000, 91.723, 25.1092
6.220000, 91.747, 24.3852
6.300000, 91.762, 23.5424
6.400000, 91.764, 22.4528
6.500000, 91.748, 21.3662
6.600000, 91.711, 20.3464
6.700000, 91.654, 19.3673
6.800000, 91.577, 18.4310
6.900000, 91.485, 17.5804
7.000000, 91.379, 16.8661
7.100000, 91.259, 16.2670
7.200000, 91.129, 15.7885
7.300000, 90.997, 15.4490
7.400000, 90.864, 15.2790
7.500000, 90.731, 15.2636
7.620000, 90.581, 15.4273
7.750000, 90.447, 15.8085
7.880000, 90.341, 16.3993
8.000000, 90.273, 17.0504
8.120000, 90.242, 17.7203
8.250000, 90.249, 18.4633
8.380000, 90.289, 19.1338
8.500000, 90.353, 19.6099
8.620000, 90.440, 19.9585
8.750000, 90.547, 20.1671
8.850000, 90.632, 20.1879
9.000000, 90.763, 20.0156
9.120000, 90.863, 19.7287
9.250000, 90.958, 19.2805
9.380000, 91.040, 18.7120
9.500000, 91.103, 18.1220
9.620000, 91.151, 17.4961
9.750000, 91.185, 16.7829
9.880000, 91.199, 16.0700
10.000000, 91.190, 15.4395
10.150000, 91.155, 14.6524
10.300000, 91.102, 13.9432
10.440000, 91.041, 13.3590
10.600000, 90.966, 12.7777
10.750000, 90.896, 12.3180
10.900000, 90.830, 11.9309
11.060000, 90.766, 11.5537
11.200000, 90.716, 11.2314
11.380000, 90.657, 10.8618
11.500000, 90.620, 10.6366
11.720000, 90.557, 10.2605
11.800000, 90.537, 10.1330
12.060000, 90.475, 9.7318
12.200000, 90.446, 9.4998
12.410000, 90.404, 9.1937
12.500000, 90.386, 9.0813
12.650000, 90.355, 8.9205
12.800000, 90.324, 8.7957
13.150000, 90.260, 8.5977
13.200000, 90.252, 8.5750
13.400000, 90.228, 8.5194
13.600000, 90.214, 8.5056
13.800000, 90.209, 8.5161
14.000000, 90.214, 8.5195
14.300000, 90.235, 8.3952
14.500000, 90.253, 8.2505
14.750000, 90.270, 7.9950
15.000000, 90.277, 7.6653
15.250000, 90.272, 7.2442
15.500000, 90.248, 6.8399
15.750000, 90.202, 6.5075
16.000000, 90.142, 6.2899
16.250000, 90.076, 6.1596
16.500000, 90.012, 6.1555
16.750000, 89.956, 6.2525
17.000000, 89.911, 6.4123
17.250000, 89.876, 6.5818
17.500000, 89.850, 6.7745
17.750000, 89.830, 6.9930
18.000000, 89.818, 7.2323
18.250000, 89.819, 7.4583
18.500000, 89.834, 7.6583
18.750000, 89.863, 7.7897
19.000000, 89.900, 7.8110
19.250000, 89.936, 7.6788
19.500000, 89.959, 7.4431
19.750000, 89.958, 7.1650
20.000000, 89.933, 6.9327
20.299999, 89.879, 6.8038
20.600000, 89.823, 6.9447
20.900000, 89.796, 7.3130
21.200001, 89.816, 7.7176
21.400000, 89.855, 7.8984
21.799999, 89.957, 7.8537
22.000000, 89.998, 7.6106
22.400000, 90.011, 6.8446
22.700001, 89.950, 6.3399
23.000000, 89.845, 6.1582
23.299999, 89.741, 6.3970
23.600000, 89.686, 6.9917
24.000000, 89.736, 7.8335
24.299999, 89.849, 8.0468
24.700001, 90.009, 7.4651
25.000000, 90.065, 6.4890
25.400000, 89.997, 4.9744
25.799999, 89.778, 3.9820
26.200001, 89.507, 4.0866
26.500000, 89.359, 4.8838
26.900000, 89.318, 6.3625
27.200001, 89.403, 7.2566
27.600000, 89.587, 7.6898
28.000000, 89.742, 7.3279
28.500000, 89.816, 6.4812
29.000000, 89.808, 5.9917
29.500000, 89.826, 5.8907
30.000000, 89.886, 5.6948
30.400000, 89.912, 5.3418
30.700001, 89.900, 5.1041
31.100000, 89.856, 5.0390
31.500000, 89.828, 5.3131
32.000000, 89.876, 5.7502
32.500000, 89.970, 5.6511
33.000000, 89.986, 5.0154
33.500000, 89.872, 4.5617
34.000000, 89.716, 4.9499
34.500000, 89.654, 5.9755
35.000000, 89.711, 6.8161
35.500000, 89.792, 7.0294
36.000000, 89.814, 6.9254
36.500000, 89.798, 6.9443
37.000000, 89.800, 7.0971
37.500000, 89.825, 7.0742
38.200001, 89.807, 6.7001
38.700001, 89.740, 6.6119
39.500000, 89.670, 7.0477
40.000000, 89.681, 7.2627
40.599998, 89.686, 7.2636
41.200001, 89.662, 7.3516
41.799999, 89.670, 7.6616
42.500000, 89.749, 7.8092
43.099998, 89.811, 7.6029
43.700001, 89.846, 7.4316
44.400002, 89.923, 7.3632
45.000000, 90.021, 6.9777
45.500000, 90.064, 6.3566
46.200001, 90.018, 5.6501
46.799999, 89.946, 5.6809
47.500000, 89.936, 6.1393
48.200001, 89.974, 6.3630
48.700001, 89.980, 6.3972
49.400002, 89.963, 6.6098
50.000000, 89.968, 6.9699
50.799999, 90.025, 7.3293
51.500000, 90.100, 7.3301
52.200001, 90.176, 6.9282
53.000000, 90.201, 6.0253
53.799999, 90.125, 5.3101
54.500000, 90.057, 5.2336
55.200001, 90.047, 5.2562
56.000000, 90.032, 5.0475
57.000000, 89.951, 5.1345
58.000000, 89.915, 5.7441
59.000000, 89.920, 6.3167
60.000000, 89.946, 6.7072
60.799999, 89.958, 6.8528
61.500000, 89.963, 6.9699
62.200001, 89.977, 7.0298
63.000000, 89.988, 6.9933
64.000000, 89.994, 7.0179
65.000000, 90.009, 7.0341
66.000000, 90.013, 7.2831
67.000000, 90.078, 7.7101
68.000000, 90.156, 7.7185
69.000000, 90.196, 7.7351
70.000000, 90.262, 7.6444
71.000000, 90.295, 7.1682
72.000000, 90.286, 6.7660
73.000000, 90.286, 6.4461
74.000000, 90.280, 6.0519
75.000000, 90.250, 5.7387
76.199997, 90.191, 5.7734
77.500000, 90.176, 6.3533
78.800003, 90.225, 6.8300
80.000000, 90.272, 6.8248
81.199997, 90.255, 6.6228
82.500000, 90.226, 6.5957
83.800003, 90.191, 6.3884
85.000000, 90.148, 6.4359
86.199997, 90.146, 6.5159
87.500000, 90.139, 6.5345
88.500000, 90.141, 6.6570
90.000000, 90.164, 6.6517
91.199997, 90.155, 6.4918
92.500000, 90.121, 6.5679
93.800003, 90.128, 6.8809
95.000000, 90.157, 7.0058
96.199997, 90.162, 7.0751
97.500000, 90.149, 7.2751
98.800003, 90.127, 7.4533
100.000000, 90.095, 7.6517
101.500000, 90.095, 7.9262
103.000000, 90.143, 7.8794
104.400002, 90.197, 7.6640
106.000000, 90.248, 7.4807
107.500000, 90.277, 7.5242
109.000000, 90.293, 7.4832
110.599998, 90.228, 7.2636
112.000000, 90.162, 7.4155
113.800003, 90.147, 7.6038
115.000000, 90.181, 7.7993
117.199997, 90.293, 8.0315
118.000000, 90.326, 8.1005
120.599998, 90.356, 8.0832
122.000000, 90.344, 8.0318
124.099998, 90.341, 7.5067
125.000000, 90.324, 7.2581
126.500000, 90.303, 7.2045
128.000000, 90.311, 7.3613
131.500000, 90.320, 7.6883
132.000000, 90.319, 7.7170
134.000000, 90.325, 7.8346
136.000000, 90.359, 7.9203
138.000000, 90.389, 8.0172
140.000000, 90.403, 8.1730
143.000000, 90.411, 8.3387
145.000000, 90.436, 8.4445
147.500000, 90.461, 8.5308
150.000000, 90.493, 8.6247
152.500000, 90.500, 8.3428
155.000000, 90.498, 8.3323
157.500000, 90.506, 8.4391
160.000000, 90.537, 8.8388
162.500000, 90.609, 8.9341
165.000000, 90.617, 8.5170
167.500000, 90.546, 8.6924
170.000000, 90.535, 9.0960
172.500000, 90.551, 9.1055
175.000000, 90.569, 9.0114
177.500000, 90.573, 9.0163
180.000000, 90.560, 9.2676
182.500000, 90.551, 9.3929
185.000000, 90.541, 9.4123
187.500000, 90.564, 9.4549
190.000000, 90.581, 9.5727
192.500000, 90.591, 9.7657
195.000000, 90.587, 9.7585
197.500000, 90.575, 9.7644
200.000000, 90.574, 9.8057
203.000000, 90.564, 9.7559
206.000000, 90.557, 9.6540
209.000000, 90.583, 9.6280
212.000000, 90.609, 9.6954
