* Measurement data measured by REW V5.31
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -11.0 dBFS, measurement signal peak level -8.4 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -7.0 dBFS using an acoustic timing reference
* Dated: Apr 27, 2024 3:15:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -0.0656 ms (-22 mm, -0.89 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset
* Measurement: Audeze Sine R1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 69.607, 46.5206
1.015000, 69.449, 48.9348
1.030000, 69.304, 51.3545
1.044000, 69.182, 53.5982
1.060000, 69.060, 56.1196
1.075000, 68.963, 58.4169
1.090000, 68.886, 60.6302
1.106000, 68.827, 62.9078
1.120000, 68.801, 64.8727
1.138000, 68.801, 67.3786
1.150000, 68.821, 69.0255
1.172000, 68.894, 71.9563
1.180000, 68.931, 72.9816
1.206000, 69.081, 76.1608
1.220000, 69.179, 77.7638
1.241000, 69.342, 80.0124
1.250000, 69.416, 80.9168
1.265000, 69.543, 82.3440
1.280000, 69.673, 83.6708
1.315000, 69.971, 86.3811
1.320000, 70.012, 86.7252
1.340000, 70.165, 87.9964
1.360000, 70.301, 89.1043
1.380000, 70.411, 90.0136
1.400000, 70.491, 90.7499
1.430000, 70.541, 91.5565
1.450000, 70.518, 91.8889
1.475000, 70.416, 92.0472
1.500000, 70.227, 91.8783
1.525000, 69.957, 91.3787
1.550000, 69.620, 90.5665
1.575000, 69.232, 89.4374
1.600000, 68.807, 87.9873
1.625000, 68.359, 86.2624
1.650000, 67.904, 84.2630
1.675000, 67.456, 81.9808
1.700000, 67.030, 79.3974
1.725000, 66.642, 76.4825
1.750000, 66.305, 73.1916
1.775000, 66.036, 69.4461
1.800000, 65.849, 65.1482
1.825000, 65.757, 60.2211
1.850000, 65.757, 54.5269
1.875000, 65.835, 48.0368
1.900000, 65.979, 40.9326
1.925000, 66.180, 33.5219
1.950000, 66.433, 26.1477
1.975000, 66.729, 19.0867
2.000000, 67.061, 12.5191
2.030000, 67.498, 5.4561
2.060000, 67.966, -0.7238
2.090000, 68.451, -6.1206
2.120000, 68.942, -10.8695
2.140000, 69.267, -13.7427
2.180000, 69.898, -18.9629
2.200000, 70.206, -21.3638
2.240000, 70.842, -25.7068
2.270000, 71.352, -28.5496
2.300000, 71.887, -31.0637
2.330000, 72.439, -33.2892
2.360000, 73.000, -35.2690
2.400000, 73.748, -37.6449
2.430000, 74.300, -39.2470
2.470000, 75.009, -41.1949
2.500000, 75.511, -42.5501
2.540000, 76.127, -44.2598
2.580000, 76.677, -45.9145
2.620000, 77.174, -47.5433
2.650000, 77.520, -48.7116
2.690000, 77.949, -50.1867
2.720000, 78.249, -51.2269
2.760000, 78.625, -52.5235
2.800000, 78.977, -53.7622
2.850000, 79.391, -55.1912
2.900000, 79.783, -56.5007
2.950000, 80.155, -57.7346
3.000000, 80.498, -58.9838
3.040000, 80.748, -59.9799
3.070000, 80.923, -60.7066
3.110000, 81.141, -61.6353
3.150000, 81.345, -62.5067
3.200000, 81.582, -63.5315
3.250000, 81.804, -64.4548
3.300000, 82.013, -65.2707
3.350000, 82.206, -66.0320
3.400000, 82.378, -66.8064
3.450000, 82.532, -67.5586
3.500000, 82.670, -68.2494
3.550000, 82.798, -68.8548
3.600000, 82.917, -69.3812
3.650000, 83.030, -69.8022
3.700000, 83.136, -70.1247
3.750000, 83.230, -70.3838
3.820000, 83.343, -70.6902
3.870000, 83.417, -70.8437
3.950000, 83.533, -70.9391
4.000000, 83.610, -70.9136
4.060000, 83.707, -70.7767
4.120000, 83.805, -70.5206
4.180000, 83.903, -70.1798
4.250000, 84.022, -69.7378
4.310000, 84.133, -69.3197
4.370000, 84.257, -68.8870
4.440000, 84.420, -68.3755
4.500000, 84.573, -67.8792
4.550000, 84.709, -67.4428
4.620000, 84.910, -66.8773
4.680000, 85.091, -66.4590
4.750000, 85.312, -66.0754
4.820000, 85.544, -65.8011
4.870000, 85.719, -65.6358
4.940000, 85.972, -65.4525
5.000000, 86.192, -65.3817
5.080000, 86.483, -65.4416
5.150000, 86.730, -65.6389
5.220000, 86.975, -65.9645
5.300000, 87.253, -66.4412
5.380000, 87.521, -67.0144
5.450000, 87.744, -67.6143
5.520000, 87.954, -68.2931
5.600000, 88.180, -69.1785
5.700000, 88.441, -70.4034
5.800000, 88.676, -71.6809
5.900000, 88.883, -73.0040
6.000000, 89.062, -74.3993
6.080000, 89.186, -75.5499
6.150000, 89.283, -76.5303
6.220000, 89.369, -77.4858
