* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), no input selected, L, volume: no control. Timing signal peak level -8.0 dBFS, measurement signal peak level -8.1 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -7.2 dBFS using an acoustic timing reference
* Dated: Nov 16, 2024 11:05:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Fosi DS1 Delay -0.1323 ms (-45 mm, -1.79 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -46.7 ppm
* Measurement: L5
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 59.509, -17.9642
1.015000, 59.554, -19.0552
1.030000, 59.607, -20.1621
1.044000, 59.664, -21.2044
1.060000, 59.739, -22.3995
1.075000, 59.819, -23.5166
1.090000, 59.909, -24.6202
1.106000, 60.017, -25.7563
1.120000, 60.123, -26.6816
1.138000, 60.278, -27.7618
1.150000, 60.392, -28.4185
1.172000, 60.619, -29.5120
1.180000, 60.707, -29.8817
1.206000, 61.013, -30.9834
1.220000, 61.188, -31.5233
1.241000, 61.462, -32.2783
1.250000, 61.583, -32.5851
1.265000, 61.789, -33.0785
1.280000, 61.999, -33.5536
1.315000, 62.499, -34.6137
1.320000, 62.571, -34.7614
1.340000, 62.859, -35.3472
1.360000, 63.146, -35.9272
1.380000, 63.429, -36.5437
1.400000, 63.705, -37.1762
1.430000, 64.102, -38.1305
1.450000, 64.352, -38.7672
1.475000, 64.649, -39.5261
1.500000, 64.936, -40.1597
1.525000, 65.219, -40.6534
1.550000, 65.498, -41.0368
1.575000, 65.773, -41.3568
1.600000, 66.046, -41.6524
1.625000, 66.316, -41.9138
1.650000, 66.583, -42.1582
1.675000, 66.849, -42.3994
1.700000, 67.112, -42.6484
1.725000, 67.374, -42.9138
1.750000, 67.635, -43.2019
1.775000, 67.895, -43.5314
1.800000, 68.155, -43.9177
1.825000, 68.414, -44.3263
1.850000, 68.673, -44.7228
1.875000, 68.932, -45.0665
1.900000, 69.190, -45.3548
1.925000, 69.448, -45.6005
1.950000, 69.705, -45.8164
1.975000, 69.960, -46.0250
2.000000, 70.214, -46.2465
2.030000, 70.516, -46.5120
2.060000, 70.814, -46.7892
2.090000, 71.107, -47.0879
2.120000, 71.397, -47.4156
2.140000, 71.587, -47.6530
2.180000, 71.959, -48.1953
2.200000, 72.141, -48.5018
2.240000, 72.498, -49.0962
2.270000, 72.760, -49.5053
2.300000, 73.018, -49.8873
2.330000, 73.271, -50.2506
2.360000, 73.520, -50.6033
2.400000, 73.845, -51.1067
2.430000, 74.084, -51.4939
2.470000, 74.396, -52.0258
2.500000, 74.626, -52.4424
2.540000, 74.926, -53.0269
2.580000, 75.219, -53.6512
2.620000, 75.505, -54.2979
2.650000, 75.715, -54.7677
2.690000, 75.987, -55.3761
2.720000, 76.187, -55.8219
2.760000, 76.448, -56.4056
2.800000, 76.701, -57.0209
2.850000, 77.010, -57.7978
2.900000, 77.310, -58.5872
2.950000, 77.601, -59.3918
3.000000, 77.882, -60.2223
3.040000, 78.099, -60.8867
3.070000, 78.258, -61.3777
3.110000, 78.464, -62.0222
3.150000, 78.665, -62.6558
3.200000, 78.909, -63.4639
3.250000, 79.146, -64.2751
3.300000, 79.375, -65.0807
3.350000, 79.595, -65.8842
3.400000, 79.808, -66.7082
3.450000, 80.012, -67.5307
3.500000, 80.209, -68.3352
3.550000, 80.399, -69.1174
3.600000, 80.583, -69.9025
3.650000, 80.761, -70.6772
3.700000, 80.934, -71.4389
3.750000, 81.099, -72.1954
3.820000, 81.320, -73.2661
3.870000, 81.471, -74.0160
3.950000, 81.702, -75.1638
4.000000, 81.840, -75.8681
4.060000, 82.000, -76.6949
4.120000, 82.153, -77.5037
4.180000, 82.298, -78.3011
4.250000, 82.459, -79.2264
4.310000, 82.592, -79.9801
4.370000, 82.720, -80.6958
4.440000, 82.865, -81.5139
4.500000, 82.983, -82.1902
4.550000, 83.077, -82.7361
4.620000, 83.205, -83.4921
4.680000, 83.311, -84.1110
4.750000, 83.432, -84.7874
4.820000, 83.551, -85.4409
4.870000, 83.633, -85.8903
4.940000, 83.745, -86.4909
5.000000, 83.839, -86.9943
5.080000, 83.963, -87.6398
5.150000, 84.070, -88.1679
5.220000, 84.178, -88.6832
5.300000, 84.298, -89.2454
5.380000, 84.418, -89.7822
5.450000, 84.523, -90.2539
5.520000, 84.627, -90.7072
5.600000, 84.747, -91.2125
5.700000, 84.895, -91.8338
5.800000, 85.043, -92.4463
5.900000, 85.191, -93.0711
6.000000, 85.339, -93.6923
6.080000, 85.457, -94.1961
6.150000, 85.559, -94.6338
6.220000, 85.659, -95.0911
6.300000, 85.771, -95.6215
6.400000, 85.909, -96.2950
6.500000, 86.043, -96.9837
6.600000, 86.172, -97.6779
6.700000, 86.296, -98.3956
6.800000, 86.415, -99.1189
6.900000, 86.528, -99.8443
7.000000, 86.633, -100.5564
7.100000, 86.730, -101.2714
7.200000, 86.820, -101.9729
7.300000, 86.905, -102.6543
7.400000, 86.985, -103.3042
7.500000, 87.060, -103.9353
7.620000, 87.144, -104.6528
7.750000, 87.230, -105.3678
7.880000, 87.310, -106.0325
8.000000, 87.383, -106.5943
8.120000, 87.457, -107.1127
8.250000, 87.538, -107.6251
8.380000, 87.622, -108.1000
8.500000, 87.703, -108.5191
8.620000, 87.788, -108.9166
8.750000, 87.883, -109.3444
8.850000, 87.960, -109.6834
9.000000, 88.079, -110.2004
9.120000, 88.175, -110.6391
9.250000, 88.280, -111.1485
9.380000, 88.383, -111.6856
9.500000, 88.474, -112.2128
9.620000, 88.561, -112.7616
9.750000, 88.648, -113.3791
9.880000, 88.729, -114.0012
10.000000, 88.797, -114.5678
10.150000, 88.873, -115.2940
10.300000, 88.939, -115.9706
10.440000, 88.992, -116.5516
10.600000, 89.044, -117.1454
10.750000, 89.088, -117.6226
10.900000, 89.130, -118.0285
11.060000, 89.180, -118.4200
11.200000, 89.229, -118.7521
11.380000, 89.298, -119.1291
11.500000, 89.348, -119.3584
11.720000, 89.448, -119.7625
11.800000, 89.487, -119.9129
12.060000, 89.617, -120.4482
12.200000, 89.689, -120.7992
12.410000, 89.796, -121.3552
12.500000, 89.839, -121.6010
12.650000, 89.906, -122.0175
12.800000, 89.969, -122.4323
13.150000, 90.099, -123.4024
13.200000, 90.116, -123.5417
13.400000, 90.183, -124.0735
13.600000, 90.247, -124.5674
13.800000, 90.310, -125.0284
14.000000, 90.373, -125.4738
14.300000, 90.469, -126.1931
14.500000, 90.530, -126.6716
14.750000, 90.600, -127.2588
15.000000, 90.662, -127.8216
15.250000, 90.719, -128.3864
15.500000, 90.773, -128.8907
15.750000, 90.827, -129.3334
16.000000, 90.886, -129.7341
16.250000, 90.951, -130.1687
16.500000, 91.020, -130.6190
16.750000, 91.088, -131.0995
17.000000, 91.149, -131.6057
17.250000, 91.201, -132.1414
17.500000, 91.241, -132.6386
17.750000, 91.274, -133.0581
18.000000, 91.306, -133.3882
18.250000, 91.345, -133.6648
18.500000, 91.395, -133.8949
18.750000, 91.459, -134.1231
19.000000, 91.533, -134.3969
19.250000, 91.611, -134.7764
19.500000, 91.684, -135.2339
19.750000, 91.745, -135.7467
20.000000, 91.790, -136.2739
20.299999, 91.824, -136.8937
20.600000, 91.842, -137.4025
20.900000, 91.854, -137.7686
21.200001, 91.871, -138.0201
21.400000, 91.888, -138.1389
21.799999, 91.942, -138.3109
22.000000, 91.979, -138.3958
22.400000, 92.065, -138.6473
22.700001, 92.137, -138.9113
23.000000, 92.208, -139.2537
23.299999, 92.274, -139.6865
23.600000, 92.330, -140.1799
24.000000, 92.381, -140.8783
24.299999, 92.401, -141.3996
24.700001, 92.410, -141.9986
25.000000, 92.408, -142.3466
25.400000, 92.409, -142.6960
25.799999, 92.420, -142.9362
26.200001, 92.446, -143.1480
26.500000, 92.473, -143.3242
26.900000, 92.516, -143.5941
27.200001, 92.550, -143.8370
27.600000, 92.592, -144.2052
28.000000, 92.628, -144.5952
28.500000, 92.662, -145.0824
29.000000, 92.691, -145.4894
29.500000, 92.726, -145.8324
30.000000, 92.768, -146.1756
30.400000, 92.803, -146.4934
30.700001, 92.825, -146.7353
31.100000, 92.850, -147.0383
31.500000, 92.874, -147.3074
32.000000, 92.906, -147.5986
32.500000, 92.940, -147.8865
33.000000, 92.973, -148.1687
33.500000, 93.005, -148.4427
34.000000, 93.042, -148.6964
34.500000, 93.086, -148.9892
35.000000, 93.124, -149.3623
35.500000, 93.147, -149.7780
36.000000, 93.155, -150.1338
36.500000, 93.163, -150.4015
37.000000, 93.181, -150.6299
37.500000, 93.205, -150.9034
38.200001, 93.232, -151.3550
38.700001, 93.244, -151.6678
39.500000, 93.261, -152.0853
40.000000, 93.275, -152.3158
40.599998, 93.295, -152.6112
41.200001, 93.316, -152.8992
41.799999, 93.336, -153.1730
42.500000, 93.362, -153.4828
43.099998, 93.386, -153.7576
43.700001, 93.408, -154.0422
44.400002, 93.428, -154.3829
45.000000, 93.442, -154.6424
45.500000, 93.457, -154.8291
46.200001, 93.481, -155.1218
46.799999, 93.498, -155.4210
47.500000, 93.510, -155.7432
48.200001, 93.522, -156.0330
