* Measurement data measured by REW V5.31.1
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.710. Timing signal peak level -6.6 dBFS, measurement signal peak level -6.8 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -8.0 dBFS using an acoustic timing reference
* Dated: May 25, 2024 5:07:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -0.0693 ms (-24 mm, -0.94 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset
* Measurement: Beyerdynamic T90 L5
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 64.668, 23.8380
1.015000, 64.555, 23.8702
1.030000, 64.444, 23.8629
1.044000, 64.341, 23.8175
1.060000, 64.225, 23.7164
1.075000, 64.117, 23.5702
1.090000, 64.012, 23.3722
1.106000, 63.900, 23.1090
1.120000, 63.798, 22.8479
1.138000, 63.662, 22.4776
1.150000, 63.567, 22.2076
1.172000, 63.388, 21.6508
1.180000, 63.322, 21.4220
1.206000, 63.103, 20.5954
1.220000, 62.984, 20.0915
1.241000, 62.806, 19.2478
1.250000, 62.731, 18.8509
1.265000, 62.607, 18.1386
1.280000, 62.487, 17.3579
1.315000, 62.220, 15.2411
1.320000, 62.185, 14.9022
1.340000, 62.049, 13.4479
1.360000, 61.925, 11.8289
1.380000, 61.816, 9.9973
1.400000, 61.724, 7.9698
1.430000, 61.621, 4.5841
1.450000, 61.579, 2.1049
1.475000, 61.557, -1.1883
1.500000, 61.564, -4.5648
1.525000, 61.597, -7.9322
1.550000, 61.655, -11.2452
1.575000, 61.734, -14.4912
1.600000, 61.835, -17.6611
1.625000, 61.954, -20.6964
1.650000, 62.092, -23.5844
1.675000, 62.245, -26.3184
1.700000, 62.414, -28.8964
1.725000, 62.595, -31.3202
1.750000, 62.788, -33.5941
1.775000, 62.991, -35.7410
1.800000, 63.203, -37.7829
1.825000, 63.424, -39.6836
1.850000, 63.659, -41.4117
1.875000, 63.918, -42.9312
1.900000, 64.199, -44.2528
1.925000, 64.500, -45.4048
1.950000, 64.817, -46.4150
1.975000, 65.148, -47.3246
2.000000, 65.487, -48.1713
2.030000, 65.902, -49.0852
2.060000, 66.319, -49.9147
2.090000, 66.732, -50.6813
2.120000, 67.135, -51.4027
2.140000, 67.395, -51.8655
2.180000, 67.888, -52.7787
2.200000, 68.120, -53.2337
2.240000, 68.565, -54.0513
2.270000, 68.889, -54.5699
2.300000, 69.206, -55.0208
2.330000, 69.517, -55.4193
2.360000, 69.821, -55.7794
2.400000, 70.216, -56.2677
2.430000, 70.506, -56.6231
2.470000, 70.883, -57.0890
2.500000, 71.159, -57.4407
2.540000, 71.518, -57.9208
2.580000, 71.868, -58.4229
2.620000, 72.207, -58.9308
2.650000, 72.453, -59.2823
2.690000, 72.772, -59.7190
2.720000, 73.005, -60.0284
2.760000, 73.307, -60.4233
2.800000, 73.600, -60.8481
2.850000, 73.954, -61.3839
2.900000, 74.298, -61.9301
2.950000, 74.630, -62.4879
3.000000, 74.949, -63.0673
3.040000, 75.194, -63.5269
3.070000, 75.373, -63.8624
3.110000, 75.604, -64.2989
3.150000, 75.828, -64.7247
3.200000, 76.099, -65.2768
3.250000, 76.362, -65.8363
3.300000, 76.616, -66.3936
3.350000, 76.861, -66.9488
3.400000, 77.095, -67.5315
3.450000, 77.320, -68.1161
3.500000, 77.535, -68.6844
3.550000, 77.743, -69.2331
3.600000, 77.943, -69.7884
3.650000, 78.136, -70.3369
3.700000, 78.322, -70.8744
3.750000, 78.500, -71.4070
3.820000, 78.736, -72.1732
3.870000, 78.896, -72.7096
3.950000, 79.140, -73.5222
4.000000, 79.286, -74.0192
4.060000, 79.456, -74.5992
4.120000, 79.617, -75.1617
4.180000, 79.771, -75.7150
4.250000, 79.941, -76.3643
4.310000, 80.082, -76.8868
4.370000, 80.218, -77.3782
4.440000, 80.370, -77.9452
4.500000, 80.495, -78.4079
4.550000, 80.595, -78.7775
4.620000, 80.730, -79.2967
4.680000, 80.843, -79.7217
4.750000, 80.973, -80.1831
4.820000, 81.100, -80.6327
4.870000, 81.189, -80.9404
4.940000, 81.310, -81.3487
5.000000, 81.412, -81.6960
5.080000, 81.547, -82.1496
5.150000, 81.663, -82.5255
5.220000, 81.778, -82.9033
5.300000, 81.908, -83.3219
5.380000, 82.035, -83.7282
5.450000, 82.146, -84.0964
5.520000, 82.256, -84.4583
5.600000, 82.381, -84.8743
5.700000, 82.535, -85.4015
5.800000, 82.686, -85.9311
5.900000, 82.833, -86.4824
6.000000, 82.977, -87.0438
6.080000, 83.089, -87.5077
6.150000, 83.184, -87.9073
6.220000, 83.277, -88.3185
6.300000, 83.381, -88.7895
6.400000, 83.505, -89.3831
6.500000, 83.624, -89.9809
6.600000, 83.739, -90.5625
6.700000, 83.848, -91.1415
6.800000, 83.953, -91.7089
6.900000, 84.054, -92.2648
7.000000, 84.153, -92.7934
7.100000, 84.249, -93.3058
7.200000, 84.344, -93.7984
7.300000, 84.437, -94.2785
7.400000, 84.531, -94.7372
7.500000, 84.625, -95.1864
7.620000, 84.738, -95.7104
7.750000, 84.862, -96.2701
7.880000, 84.989, -96.8282
8.000000, 85.106, -97.3443
8.120000, 85.224, -97.8793
8.250000, 85.352, -98.4768
8.380000, 85.478, -99.0892
8.500000, 85.591, -99.6782
8.620000, 85.700, -100.2824
8.750000, 85.812, -100.9417
8.850000, 85.894, -101.4488
9.000000, 86.009, -102.2032
9.120000, 86.094, -102.7886
9.250000, 86.180, -103.3935
9.380000, 86.261, -103.9636
9.500000, 86.332, -104.4532
9.620000, 86.403, -104.8934
9.750000, 86.476, -105.3229
9.880000, 86.546, -105.7134
10.000000, 86.604, -106.0304
10.150000, 86.673, -106.4217
10.300000, 86.743, -106.7895
10.440000, 86.812, -107.1206
10.600000, 86.896, -107.5156
10.750000, 86.982, -107.9270
10.900000, 87.074, -108.3834
11.060000, 87.172, -108.9635
11.200000, 87.255, -109.5658
11.380000, 87.351, -110.3973
11.500000, 87.405, -110.9830
11.720000, 87.482, -112.0760
11.800000, 87.503, -112.4679
12.060000, 87.549, -113.7039
12.200000, 87.562, -114.3369
12.410000, 87.568, -115.1631
12.500000, 87.568, -115.4624
12.650000, 87.564, -115.8869
12.800000, 87.560, -116.2254
13.150000, 87.576, -116.7849
13.200000, 87.582, -116.8537
13.400000, 87.619, -117.1007
13.600000, 87.673, -117.3465
13.800000, 87.739, -117.6304
14.000000, 87.813, -117.9837
14.300000, 87.922, -118.7236
14.500000, 87.985, -119.2861
14.750000, 88.049, -120.0124
15.000000, 88.097, -120.7150
15.250000, 88.140, -121.3964
15.500000, 88.181, -121.9823
15.750000, 88.227, -122.4796
16.000000, 88.284, -122.9279
16.250000, 88.355, -123.4283
16.500000, 88.434, -123.9819
16.750000, 88.515, -124.6164
17.000000, 88.590, -125.3293
17.250000, 88.651, -126.1134
17.500000, 88.693, -126.8874
17.750000, 88.718, -127.5864
18.000000, 88.731, -128.1682
18.250000, 88.742, -128.6310
18.500000, 88.761, -128.9649
18.750000, 88.793, -129.2059
19.000000, 88.843, -129.4055
19.250000, 88.908, -129.6399
19.500000, 88.981, -129.9125
19.750000, 89.056, -130.2284
20.000000, 89.127, -130.5728
20.299999, 89.206, -131.0204
20.600000, 89.281, -131.4440
20.900000, 89.357, -131.8421
21.200001, 89.437, -132.2633
21.400000, 89.491, -132.5727
21.799999, 89.593, -133.2724
22.000000, 89.636, -133.6596
22.400000, 89.699, -134.4808
22.700001, 89.727, -135.0473
23.000000, 89.744, -135.5331
23.299999, 89.760, -135.9565
23.600000, 89.779, -136.3277
24.000000, 89.810, -136.8044
24.299999, 89.832, -137.1887
24.700001, 89.850, -137.6818
25.000000, 89.856, -137.9903
25.400000, 89.865, -138.3018
25.799999, 89.891, -138.5120
26.200001, 89.940, -138.7444
26.500000, 89.986, -138.9975
26.900000, 90.044, -139.4447
27.200001, 90.077, -139.8317
27.600000, 90.105, -140.3280
28.000000, 90.125, -140.7313
28.500000, 90.158, -141.1269
29.000000, 90.207, -141.4911
29.500000, 90.265, -141.9249
30.000000, 90.317, -142.4102
30.400000, 90.351, -142.8175
30.700001, 90.374, -143.1158
31.100000, 90.401, -143.5033
31.500000, 90.424, -143.8842
32.000000, 90.448, -144.3181
32.500000, 90.470, -144.7119
33.000000, 90.493, -145.0637
33.500000, 90.518, -145.4070
34.000000, 90.545, -145.7372
34.500000, 90.574, -146.0615
35.000000, 90.605, -146.3811
35.500000, 90.636, -146.7176
36.000000, 90.665, -147.0632
36.500000, 90.690, -147.4006
37.000000, 90.715, -147.7141
37.500000, 90.744, -148.0315
38.200001, 90.786, -148.5242
38.700001, 90.809, -148.9047
39.500000, 90.840, -149.4831
40.000000, 90.861, -149.8311
40.599998, 90.887, -150.2861
41.200001, 90.905, -150.7540
41.799999, 90.915, -151.1801
42.500000, 90.931, -151.6220
43.099998, 90.950, -152.0005
43.700001, 90.970, -152.3972
44.400002, 90.992, -152.8935
45.000000, 91.006, -153.3902
45.500000, 91.007, -153.8627
46.200001, 90.981, -154.5443
46.799999, 90.935, -155.0822
47.500000, 90.855, -155.5929
48.200001, 90.750, -155.8870
48.700001, 90.669, -155.9166
49.400002, 90.559, -155.6728
50.000000, 90.483, -155.1781
50.799999, 90.447, -154.2009
51.500000, 90.494, -153.3636
52.200001, 90.584, -152.7968
53.000000, 90.705, -152.4611
53.799999, 90.831, -152.4796
54.500000, 90.917, -152.7300
55.200001, 90.985, -153.0244
56.000000, 91.069, -153.5709
57.000000, 91.088, -154.6842
58.000000, 91.014, -155.1146
59.000000, 91.056, -155.1595
60.000000, 91.111, -155.8116
60.799999, 91.108, -156.2875
61.500000, 91.107, -156.5706
62.200001, 91.103, -156.8247
63.000000, 91.085, -157.0387
64.000000, 91.050, -157.1089
65.000000, 91.019, -156.8765
66.000000, 91.037, -156.5087
67.000000, 91.082, -156.3585
68.000000, 91.128, -156.3384
69.000000, 91.183, -156.4641
70.000000, 91.228, -156.7676
71.000000, 91.255, -157.1915
72.000000, 91.252, -157.6636
73.000000, 91.221, -158.0638
74.000000, 91.163, -158.3885
75.000000, 91.071, -158.4930
76.199997, 90.956, -158.1081
77.500000, 90.894, -157.1890
78.800003, 90.933, -156.2147
80.000000, 91.029, -155.6555
81.199997, 91.137, -155.4340
82.500000, 91.241, -155.4290
83.800003, 91.325, -155.5255
85.000000, 91.384, -155.6162
86.199997, 91.437, -155.6746
87.500000, 91.491, -155.8009
88.500000, 91.524, -155.9359
90.000000, 91.565, -156.1478
91.199997, 91.598, -156.3422
92.500000, 91.630, -156.5496
93.800003, 91.660, -156.6749
95.000000, 91.693, -156.6960
96.199997, 91.733, -156.6510
97.500000, 91.787, -156.6139
98.800003, 91.832, -156.8010
100.000000, 91.827, -157.0120
101.500000, 91.806, -156.9902
103.000000, 91.812, -156.9615
104.400002, 91.815, -157.1427
106.000000, 91.804, -157.1328
107.500000, 91.841, -156.9965
109.000000, 91.890, -156.9924
110.599998, 91.932, -156.8229
112.000000, 91.994, -156.5364
113.800003, 92.093, -156.4039
115.000000, 92.156, -156.4966
117.199997, 92.230, -157.0347
118.000000, 92.239, -157.1876
120.599998, 92.290, -157.2560
122.000000, 92.348, -157.2635
124.099998, 92.431, -157.5918
125.000000, 92.455, -157.7816
