* Measurement data measured by REW V5.31.1
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.710. Timing signal peak level -6.5 dBFS, measurement signal peak level -6.5 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -8.0 dBFS using an acoustic timing reference
* Dated: May 25, 2024 4:44:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -0.3858 ms (-132 mm, -5.21 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset
* Measurement: Leather L2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 82.311, 41.0337
1.015000, 82.257, 40.9373
1.030000, 82.202, 40.7990
1.044000, 82.149, 40.6290
1.060000, 82.086, 40.3824
1.075000, 82.025, 40.0964
1.090000, 81.962, 39.7527
1.106000, 81.889, 39.3180
1.120000, 81.819, 38.8779
1.138000, 81.717, 38.2286
1.150000, 81.642, 37.7429
1.172000, 81.494, 36.7331
1.180000, 81.436, 36.3225
1.206000, 81.241, 34.8482
1.220000, 81.132, 33.9633
1.241000, 80.964, 32.5115
1.250000, 80.892, 31.8423
1.265000, 80.772, 30.6624
1.280000, 80.654, 29.3995
1.315000, 80.388, 26.1150
1.320000, 80.352, 25.6057
1.340000, 80.215, 23.4641
1.360000, 80.090, 21.1521
1.380000, 79.980, 18.6252
1.400000, 79.889, 15.9025
1.430000, 79.790, 11.4744
1.450000, 79.754, 8.2949
1.475000, 79.744, 4.0842
1.500000, 79.766, -0.3267
1.525000, 79.815, -4.8477
1.550000, 79.889, -9.3879
1.575000, 79.985, -13.8844
1.600000, 80.102, -18.2832
1.625000, 80.238, -22.4903
1.650000, 80.391, -26.4695
1.675000, 80.560, -30.2013
1.700000, 80.742, -33.6808
1.725000, 80.936, -36.9134
1.750000, 81.140, -39.9116
1.775000, 81.352, -42.7092
1.800000, 81.571, -45.3406
1.825000, 81.797, -47.7851
1.850000, 82.035, -50.0361
1.875000, 82.294, -52.0769
1.900000, 82.575, -53.9153
1.925000, 82.875, -55.5714
1.950000, 83.189, -57.0661
1.975000, 83.515, -58.4367
2.000000, 83.849, -59.7180
2.030000, 84.255, -61.1171
2.060000, 84.660, -62.3915
2.090000, 85.060, -63.5639
2.120000, 85.448, -64.6534
2.140000, 85.696, -65.3421
2.180000, 86.163, -66.6660
2.200000, 86.380, -67.3121
2.240000, 86.791, -68.5127
2.270000, 87.085, -69.3262
2.300000, 87.369, -70.0724
2.330000, 87.645, -70.7602
2.360000, 87.911, -71.3986
2.400000, 88.255, -72.2344
2.430000, 88.504, -72.8295
2.470000, 88.828, -73.5837
2.500000, 89.064, -74.1272
2.540000, 89.373, -74.8309
2.580000, 89.673, -75.5299
2.620000, 89.961, -76.2300
2.650000, 90.170, -76.7265
2.690000, 90.439, -77.3540
2.720000, 90.633, -77.8014
2.760000, 90.885, -78.3696
2.800000, 91.128, -78.9521
2.850000, 91.421, -79.6584
2.900000, 91.706, -80.3425
2.950000, 91.981, -81.0100
3.000000, 92.245, -81.6879
3.040000, 92.447, -82.2229
3.070000, 92.594, -82.6126
3.110000, 92.784, -83.1170
3.150000, 92.968, -83.6050
3.200000, 93.191, -84.2244
3.250000, 93.407, -84.8380
3.300000, 93.617, -85.4354
3.350000, 93.819, -86.0199
3.400000, 94.013, -86.6255
3.450000, 94.199, -87.2294
3.500000, 94.378, -87.8147
3.550000, 94.551, -88.3790
3.600000, 94.717, -88.9485
3.650000, 94.879, -89.5096
3.700000, 95.036, -90.0565
3.750000, 95.186, -90.5947
3.820000, 95.385, -91.3659
3.870000, 95.521, -91.9073
3.950000, 95.730, -92.7357
4.000000, 95.856, -93.2497
4.060000, 96.002, -93.8563
4.120000, 96.142, -94.4486
4.180000, 96.276, -95.0346
4.250000, 96.425, -95.7287
4.310000, 96.548, -96.2981
4.370000, 96.667, -96.8462
4.440000, 96.800, -97.4925
4.500000, 96.909, -98.0324
4.550000, 96.996, -98.4715
4.620000, 97.114, -99.0948
4.680000, 97.211, -99.6147
4.750000, 97.321, -100.1940
4.820000, 97.428, -100.7720
4.870000, 97.502, -101.1783
4.940000, 97.601, -101.7311
5.000000, 97.684, -102.2044
5.080000, 97.791, -102.8236
5.150000, 97.881, -103.3419
5.220000, 97.968, -103.8647
5.300000, 98.064, -104.4517
5.380000, 98.156, -105.0212
5.450000, 98.235, -105.5215
5.520000, 98.312, -106.0038
5.600000, 98.397, -106.5489
5.700000, 98.500, -107.2261
5.800000, 98.599, -107.8861
5.900000, 98.696, -108.5418
6.000000, 98.788, -109.1856
6.080000, 98.860, -109.7038
6.150000, 98.921, -110.1440
6.220000, 98.981, -110.5894
6.300000, 99.048, -111.0907
6.400000, 99.129, -111.7110
6.500000, 99.207, -112.3313
6.600000, 99.282, -112.9390
6.700000, 99.355, -113.5466
6.800000, 99.425, -114.1454
6.900000, 99.493, -114.7414
7.000000, 99.559, -115.3238
7.100000, 99.623, -115.9032
7.200000, 99.684, -116.4726
7.300000, 99.744, -117.0371
7.400000, 99.802, -117.5901
7.500000, 99.858, -118.1426
7.620000, 99.923, -118.7907
7.750000, 99.991, -119.4738
7.880000, 100.057, -120.1464
8.000000, 100.116, -120.7489
8.120000, 100.175, -121.3406
8.250000, 100.236, -121.9692
8.380000, 100.297, -122.5826
8.500000, 100.352, -123.1418
8.620000, 100.406, -123.6901
8.750000, 100.465, -124.2748
8.850000, 100.509, -124.7196
9.000000, 100.575, -125.3742
9.120000, 100.626, -125.8936
9.250000, 100.681, -126.4542
9.380000, 100.734, -127.0083
9.500000, 100.782, -127.5177
9.620000, 100.829, -128.0188
9.750000, 100.877, -128.5545
9.880000, 100.915, -129.0845
10.000000, 100.940, -129.5588
10.150000, 100.957, -130.1699
10.300000, 100.965, -130.7479
10.440000, 100.965, -131.2567
10.600000, 100.961, -131.7994
10.750000, 100.957, -132.2682
10.900000, 100.954, -132.6999
11.060000, 100.953, -133.1471
11.200000, 100.955, -133.5451
11.380000, 100.959, -134.0195
11.500000, 100.962, -134.3147
11.720000, 100.972, -134.8227
11.800000, 100.977, -134.9995
12.060000, 101.002, -135.5774
12.200000, 101.019, -135.9242
12.410000, 101.048, -136.4389
12.500000, 101.060, -136.6581
12.650000, 101.078, -137.0219
12.800000, 101.095, -137.3817
13.150000, 101.126, -138.2493
13.200000, 101.130, -138.3789
13.400000, 101.144, -138.8824
13.600000, 101.156, -139.3572
13.800000, 101.165, -139.7992
14.000000, 101.173, -140.2122
14.300000, 101.186, -140.8517
14.500000, 101.194, -141.2460
14.750000, 101.204, -141.7087
15.000000, 101.216, -142.1504
15.250000, 101.235, -142.6339
15.500000, 101.254, -143.1071
15.750000, 101.269, -143.5637
16.000000, 101.279, -143.9970
16.250000, 101.288, -144.4420
16.500000, 101.295, -144.8464
16.750000, 101.302, -145.2070
17.000000, 101.314, -145.5345
17.250000, 101.331, -145.8696
17.500000, 101.352, -146.2013
17.750000, 101.375, -146.5394
18.000000, 101.396, -146.8912
18.250000, 101.415, -147.2717
18.500000, 101.427, -147.6434
18.750000, 101.434, -147.9825
19.000000, 101.438, -148.2715
19.250000, 101.444, -148.5263
19.500000, 101.454, -148.7290
19.750000, 101.471, -148.8989
20.000000, 101.495, -149.0656
20.299999, 101.532, -149.3299
20.600000, 101.569, -149.6528
20.900000, 101.598, -150.0240
21.200001, 101.614, -150.4216
21.400000, 101.616, -150.6703
21.799999, 101.611, -151.0607
22.000000, 101.608, -151.1976
22.400000, 101.614, -151.4225
22.700001, 101.630, -151.5765
23.000000, 101.652, -151.7665
23.299999, 101.673, -152.0244
23.600000, 101.688, -152.3109
24.000000, 101.695, -152.6648
24.299999, 101.697, -152.8849
24.700001, 101.706, -153.0907
25.000000, 101.724, -153.2193
25.400000, 101.762, -153.4602
25.799999, 101.803, -153.8028
26.200001, 101.834, -154.2273
26.500000, 101.847, -154.5513
26.900000, 101.857, -154.9273
27.200001, 101.865, -155.1694
27.600000, 101.883, -155.4738
28.000000, 101.907, -155.8078
28.500000, 101.930, -156.3120
29.000000, 101.934, -156.8229
29.500000, 101.922, -157.2539
30.000000, 101.909, -157.5803
30.400000, 101.903, -157.8242
30.700001, 101.898, -158.0112
31.100000, 101.889, -158.2724
31.500000, 101.873, -158.5379
32.000000, 101.846, -158.8168
32.500000, 101.817, -159.0397
33.000000, 101.791, -159.2161
33.500000, 101.766, -159.3846
34.000000, 101.742, -159.5378
34.500000, 101.719, -159.6761
35.000000, 101.697, -159.7875
35.500000, 101.675, -159.8798
36.000000, 101.654, -159.9507
36.500000, 101.634, -160.0117
37.000000, 101.614, -160.0654
37.500000, 101.590, -160.1145
38.200001, 101.549, -160.1268
38.700001, 101.517, -160.0748
39.500000, 101.467, -159.8895
40.000000, 101.439, -159.7192
40.599998, 101.408, -159.4623
41.200001, 101.384, -159.1405
41.799999, 101.370, -158.7864
