* Measurement data measured by REW V5.31.1
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.710. Timing signal peak level -4.8 dBFS, measurement signal peak level -4.7 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -8.0 dBFS using an acoustic timing reference
* Dated: May 25, 2024 5:03:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -0.0673 ms (-23 mm, -0.91 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset
* Measurement: Beyerdynamic T90 R5
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 71.478, 36.1782
1.015000, 71.416, 36.2871
1.030000, 71.352, 36.3604
1.044000, 71.290, 36.3941
1.060000, 71.217, 36.3884
1.075000, 71.147, 36.3368
1.090000, 71.074, 36.2374
1.106000, 70.992, 36.0786
1.120000, 70.915, 35.8990
1.138000, 70.807, 35.6150
1.150000, 70.731, 35.3918
1.172000, 70.582, 34.9032
1.180000, 70.525, 34.6945
1.206000, 70.334, 33.9230
1.220000, 70.228, 33.4453
1.241000, 70.066, 32.6418
1.250000, 69.996, 32.2640
1.265000, 69.879, 31.5876
1.280000, 69.762, 30.8500
1.315000, 69.496, 28.8729
1.320000, 69.459, 28.5593
1.340000, 69.315, 27.2207
1.360000, 69.178, 25.7416
1.380000, 69.051, 24.0724
1.400000, 68.935, 22.2258
1.430000, 68.785, 19.1266
1.450000, 68.704, 16.8265
1.475000, 68.622, 13.6851
1.500000, 68.551, 10.2828
1.525000, 68.487, 6.6666
1.550000, 68.431, 2.8837
1.575000, 68.385, -1.0357
1.600000, 68.350, -5.0543
1.625000, 68.328, -9.0788
1.650000, 68.320, -13.0591
1.675000, 68.329, -16.9516
1.700000, 68.357, -20.7215
1.725000, 68.404, -24.3432
1.750000, 68.473, -27.7999
1.775000, 68.565, -31.0995
1.800000, 68.682, -34.2549
1.825000, 68.828, -37.2275
1.850000, 69.007, -39.9925
1.875000, 69.224, -42.5172
1.900000, 69.478, -44.8018
1.925000, 69.763, -46.8645
1.950000, 70.075, -48.7273
1.975000, 70.407, -50.4299
2.000000, 70.754, -52.0105
2.030000, 71.185, -53.7305
2.060000, 71.620, -55.2898
2.090000, 72.052, -56.7164
2.120000, 72.472, -58.0346
2.140000, 72.741, -58.8634
2.180000, 73.240, -60.4425
2.200000, 73.470, -61.2041
2.240000, 73.905, -62.6071
2.270000, 74.219, -63.5472
2.300000, 74.526, -64.4014
2.330000, 74.825, -65.1818
2.360000, 75.116, -65.9001
2.400000, 75.494, -66.8268
2.430000, 75.770, -67.4811
2.470000, 76.127, -68.3054
2.500000, 76.388, -68.8967
2.540000, 76.726, -69.6593
2.580000, 77.053, -70.4121
2.620000, 77.367, -71.1579
2.650000, 77.594, -71.6830
2.690000, 77.886, -72.3420
2.720000, 78.098, -72.8088
2.760000, 78.371, -73.3986
2.800000, 78.635, -73.9987
2.850000, 78.953, -74.7231
2.900000, 79.261, -75.4226
2.950000, 79.560, -76.1034
3.000000, 79.845, -76.7913
3.040000, 80.063, -77.3317
3.070000, 80.221, -77.7239
3.110000, 80.426, -78.2299
3.150000, 80.624, -78.7175
3.200000, 80.863, -79.3341
3.250000, 81.095, -79.9424
3.300000, 81.320, -80.5325
3.350000, 81.537, -81.1075
3.400000, 81.745, -81.7017
3.450000, 81.944, -82.2923
3.500000, 82.135, -82.8625
3.550000, 82.319, -83.4100
3.600000, 82.498, -83.9611
3.650000, 82.671, -84.5023
3.700000, 82.838, -85.0275
3.750000, 82.998, -85.5420
3.820000, 83.211, -86.2775
3.870000, 83.357, -86.7922
3.950000, 83.580, -87.5771
4.000000, 83.715, -88.0636
4.060000, 83.872, -88.6365
4.120000, 84.022, -89.1932
4.180000, 84.166, -89.7420
4.250000, 84.328, -90.3928
4.310000, 84.461, -90.9263
4.370000, 84.590, -91.4409
4.440000, 84.734, -92.0502
4.500000, 84.853, -92.5585
4.550000, 84.949, -92.9716
4.620000, 85.078, -93.5602
4.680000, 85.185, -94.0534
4.750000, 85.307, -94.6063
4.820000, 85.424, -95.1625
4.870000, 85.506, -95.5552
4.940000, 85.616, -96.0913
5.000000, 85.708, -96.5529
5.080000, 85.825, -97.1612
5.150000, 85.924, -97.6749
5.220000, 86.020, -98.1981
5.300000, 86.124, -98.7903
5.380000, 86.224, -99.3679
5.450000, 86.308, -99.8766
5.520000, 86.389, -100.3688
5.600000, 86.478, -100.9290
5.700000, 86.584, -101.6281
5.800000, 86.684, -102.3068
5.900000, 86.779, -102.9746
6.000000, 86.868, -103.6279
6.080000, 86.935, -104.1501
6.150000, 86.992, -104.5882
6.220000, 87.046, -105.0243
6.300000, 87.106, -105.5072
6.400000, 87.178, -106.0948
6.500000, 87.246, -106.6707
6.600000, 87.311, -107.2188
6.700000, 87.374, -107.7511
6.800000, 87.435, -108.2613
6.900000, 87.495, -108.7589
7.000000, 87.555, -109.2332
7.100000, 87.615, -109.6934
7.200000, 87.674, -110.1370
7.300000, 87.734, -110.5758
7.400000, 87.795, -111.0038
7.500000, 87.855, -111.4308
7.620000, 87.929, -111.9352
7.750000, 88.009, -112.4802
7.880000, 88.091, -113.0309
8.000000, 88.166, -113.5379
8.120000, 88.240, -114.0550
8.250000, 88.320, -114.6243
8.380000, 88.398, -115.1963
8.500000, 88.467, -115.7323
8.620000, 88.535, -116.2704
8.750000, 88.605, -116.8504
8.850000, 88.658, -117.2923
9.000000, 88.733, -117.9435
9.120000, 88.790, -118.4545
9.250000, 88.851, -118.9948
9.380000, 88.909, -119.5175
9.500000, 88.963, -119.9878
9.620000, 89.016, -120.4381
9.750000, 89.072, -120.9085
9.880000, 89.122, -121.3688
10.000000, 89.160, -121.7768
10.150000, 89.198, -122.3072
10.300000, 89.230, -122.8208
10.440000, 89.257, -123.2878
10.600000, 89.285, -123.8128
10.750000, 89.314, -124.3020
10.900000, 89.343, -124.7889
11.060000, 89.375, -125.3340
11.200000, 89.402, -125.8489
11.380000, 89.433, -126.5027
11.500000, 89.449, -126.9317
11.720000, 89.472, -127.6934
11.800000, 89.480, -127.9593
12.060000, 89.499, -128.7987
12.200000, 89.508, -129.2550
12.410000, 89.520, -129.8852
12.500000, 89.524, -130.1337
12.650000, 89.529, -130.5197
12.800000, 89.532, -130.8723
13.150000, 89.544, -131.6326
13.200000, 89.547, -131.7407
13.400000, 89.560, -132.1515
13.600000, 89.577, -132.5383
13.800000, 89.597, -132.9110
14.000000, 89.619, -133.2841
14.300000, 89.652, -133.9272
14.500000, 89.673, -134.3633
14.750000, 89.693, -134.9077
15.000000, 89.708, -135.4443
15.250000, 89.724, -136.0118
15.500000, 89.736, -136.5400
15.750000, 89.745, -137.0142
16.000000, 89.753, -137.4303
16.250000, 89.767, -137.8400
16.500000, 89.789, -138.2151
16.750000, 89.822, -138.5814
17.000000, 89.865, -138.9754
17.250000, 89.918, -139.4532
17.500000, 89.974, -140.0081
17.750000, 90.025, -140.6401
18.000000, 90.066, -141.3361
18.250000, 90.092, -142.0836
18.500000, 90.100, -142.8126
18.750000, 90.091, -143.4658
19.000000, 90.069, -143.9929
19.250000, 90.045, -144.3813
19.500000, 90.027, -144.5984
19.750000, 90.027, -144.6679
20.000000, 90.051, -144.6488
20.299999, 90.117, -144.6544
20.600000, 90.216, -144.7878
20.900000, 90.326, -145.1380
21.200001, 90.425, -145.7301
21.400000, 90.473, -146.2162
21.799999, 90.511, -147.2091
22.000000, 90.503, -147.6247
22.400000, 90.456, -148.1430
22.700001, 90.423, -148.1878
23.000000, 90.420, -148.0180
23.299999, 90.459, -147.8116
23.600000, 90.534, -147.7214
24.000000, 90.653, -147.9584
24.299999, 90.724, -148.4117
24.700001, 90.764, -149.1657
25.000000, 90.752, -149.6703
25.400000, 90.707, -150.1040
25.799999, 90.668, -150.2227
26.200001, 90.662, -150.2011
26.500000, 90.680, -150.2282
26.900000, 90.715, -150.3969
27.200001, 90.736, -150.6219
27.600000, 90.749, -150.9685
28.000000, 90.751, -151.2751
28.500000, 90.757, -151.5851
29.000000, 90.777, -151.8815
29.500000, 90.804, -152.2601
30.000000, 90.822, -152.6861
30.400000, 90.829, -153.0217
30.700001, 90.831, -153.2433
31.100000, 90.836, -153.4994
31.500000, 90.843, -153.7311
32.000000, 90.858, -153.9902
32.500000, 90.877, -154.2525
33.000000, 90.897, -154.5170
33.500000, 90.916, -154.7982
34.000000, 90.933, -155.0750
34.500000, 90.947, -155.3404
35.000000, 90.958, -155.5730
35.500000, 90.970, -155.7756
36.000000, 90.985, -155.9579
36.500000, 91.005, -156.1577
37.000000, 91.026, -156.3981
37.500000, 91.041, -156.6790
38.200001, 91.047, -157.0499
38.700001, 91.047, -157.2579
39.500000, 91.057, -157.5286
40.000000, 91.069, -157.7112
40.599998, 91.080, -157.9693
41.200001, 91.084, -158.2170
41.799999, 91.085, -158.4074
42.500000, 91.096, -158.5744
43.099998, 91.115, -158.7496
43.700001, 91.134, -158.9934
44.400002, 91.142, -159.2949
45.000000, 91.143, -159.5098
45.500000, 91.144, -159.6711
46.200001, 91.147, -159.8965
46.799999, 91.148, -160.0855
47.500000, 91.150, -160.3224
48.200001, 91.147, -160.6200
48.700001, 91.133, -160.8360
49.400002, 91.104, -161.0629
50.000000, 91.082, -161.2056
50.799999, 91.050, -161.4250
51.500000, 91.006, -161.5860
52.200001, 90.952, -161.5754
53.000000, 90.909, -161.2804
53.799999, 90.917, -160.8585
54.500000, 90.956, -160.6037
55.200001, 90.997, -160.3810
56.000000, 91.078, -160.0025
57.000000, 91.262, -160.0969
58.000000, 91.332, -161.0173
59.000000, 91.285, -161.3085
60.000000, 91.299, -161.1922
60.799999, 91.326, -161.2881
61.500000, 91.344, -161.4515
62.200001, 91.360, -161.6875
63.000000, 91.367, -162.0421
64.000000, 91.361, -162.4745
65.000000, 91.357, -162.8938
66.000000, 91.343, -163.3633
67.000000, 91.298, -163.7301
68.000000, 91.243, -163.8223
69.000000, 91.195, -163.7357
70.000000, 91.152, -163.5164
71.000000, 91.127, -163.2489
72.000000, 91.113, -163.0853
73.000000, 91.096, -163.0123
74.000000, 91.077, -163.0293
75.000000, 91.046, -163.1399
76.199997, 90.974, -163.2394
77.500000, 90.868, -162.9794
78.800003, 90.781, -162.2136
80.000000, 90.748, -161.1921
81.199997, 90.785, -160.0600
82.500000, 90.890, -159.1360
83.800003, 91.010, -158.5840
85.000000, 91.125, -158.2890
86.199997, 91.237, -158.1532
87.500000, 91.355, -158.1228
88.500000, 91.440, -158.1644
90.000000, 91.552, -158.2888
91.199997, 91.629, -158.4572
92.500000, 91.693, -158.7327
93.800003, 91.736, -159.0547
95.000000, 91.772, -159.3575
96.199997, 91.811, -159.7733
97.500000, 91.835, -160.3772
98.800003, 91.831, -160.8144
100.000000, 91.849, -161.0199
101.500000, 91.877, -161.3927
103.000000, 91.882, -161.7400
104.400002, 91.860, -162.0525
106.000000, 91.787, -162.3173
107.500000, 91.682, -162.2371
109.000000, 91.600, -161.6916
110.599998, 91.579, -161.0314
112.000000, 91.600, -160.4512
113.800003, 91.698, -159.9051
115.000000, 91.765, -159.9012
117.199997, 91.837, -159.6255
118.000000, 91.902, -159.4952
120.599998, 91.930, -160.2674
122.000000, 91.951, -159.6717
124.099998, 92.044, -160.0677
125.000000, 92.040, -160.0844
126.500000, 92.097, -159.9179
128.000000, 92.160, -160.3923
131.500000, 92.116, -161.0449
132.000000, 92.106, -161.0345
134.000000, 92.094, -160.8526
136.000000, 92.100, -160.7626
138.000000, 92.130, -160.6303
140.000000, 92.173, -160.5974
143.000000, 92.253, -160.5104
145.000000, 92.296, -160.5010
147.500000, 92.324, -160.5014
150.000000, 92.342, -160.4591
152.500000, 92.361, -160.4358
155.000000, 92.380, -160.3977
157.500000, 92.414, -160.3376
160.000000, 92.445, -160.3692
162.500000, 92.442, -160.2495
165.000000, 92.457, -159.9988
167.500000, 92.489, -160.1188
170.000000, 92.504, -160.2369
172.500000, 92.510, -160.2049
175.000000, 92.511, -160.0362
177.500000, 92.520, -159.9030
180.000000, 92.533, -159.7147
182.500000, 92.562, -159.5335
185.000000, 92.584, -159.5751
187.500000, 92.593, -159.5863
190.000000, 92.624, -159.4874
192.500000, 92.655, -159.4288
195.000000, 92.669, -159.3802
197.500000, 92.686, -159.3326
200.000000, 92.722, -159.3177
203.000000, 92.764, -159.4041
206.000000, 92.779, -159.4666
209.000000, 92.803, -159.3441
212.000000, 92.859, -159.1658
214.000000, 92.872, -159.2264
218.000000, 92.968, -158.8068
220.000000, 93.040, -159.4742
224.000000, 92.878, -161.3693
227.000000, 92.761, -160.8466
230.000000, 92.816, -159.8679
233.000000, 92.876, -159.1989
236.000000, 92.896, -158.7999
240.000000, 92.943, -158.5386
243.000000, 92.986, -158.3035
247.000000, 93.015, -158.0545
250.000000, 93.023, -158.0331
254.000000, 93.047, -158.0275
258.000000, 93.069, -157.9699
262.000000, 93.107, -157.8913
265.000000, 93.138, -157.8415
269.000000, 93.148, -157.8818
272.000000, 93.141, -157.8600
276.000000, 93.151, -157.7312
280.000000, 93.175, -157.5886
285.000000, 93.202, -157.5006
290.000000, 93.221, -157.3878
295.000000, 93.243, -157.3319
300.000000, 93.270, -157.2911
304.000000, 93.288, -157.1536
307.000000, 93.290, -156.9750
311.000000, 93.267, -156.8383
315.000000, 93.232, -156.9054
320.000000, 93.212, -156.9353
325.000000, 93.214, -156.6296
330.000000, 93.220, -155.9720
335.000000, 93.226, -155.2977
340.000000, 93.265, -154.7807
345.000000, 93.340, -154.1333
350.000000, 93.410, -153.6986
355.000000, 93.480, -153.4727
360.000000, 93.555, -153.3163
365.000000, 93.622, -153.2562
370.000000, 93.669, -153.2164
375.000000, 93.705, -153.2442
382.000000, 93.750, -153.2234
387.000000, 93.782, -153.2532
395.000000, 93.833, -153.1880
400.000000, 93.855, -153.0899
406.000000, 93.871, -152.9760
412.000000, 93.894, -152.8452
418.000000, 93.919, -152.7804
425.000000, 93.926, -152.6259
431.000000, 93.931, -152.3824
437.000000, 93.942, -152.2237
444.000000, 93.961, -152.1000
450.000000, 93.986, -152.0270
455.000000, 94.006, -151.9023
462.000000, 94.024, -151.7261
468.000000, 94.034, -151.5718
475.000000, 94.048, -151.3943
482.000000, 94.065, -151.2440
487.000000, 94.076, -151.1947
494.000000, 94.082, -151.0856
500.000000, 94.092, -150.9031
508.000000, 94.110, -150.6453
515.000000, 94.118, -150.4621
522.000000, 94.124, -150.2049
530.000000, 94.142, -149.8891
538.000000, 94.168, -149.6629
545.000000, 94.187, -149.4801
552.000000, 94.203, -149.3100
560.000000, 94.218, -149.1529
570.000000, 94.227, -148.9538
580.000000, 94.218, -148.7206
590.000000, 94.205, -148.4050
600.000000, 94.193, -148.0312
608.000000, 94.184, -147.7206
615.000000, 94.166, -147.4035
622.000000, 94.146, -147.0128
630.000000, 94.135, -146.5635
640.000000, 94.129, -145.9950
650.000000, 94.130, -145.3698
660.000000, 94.129, -144.7448
670.000000, 94.121, -144.1367
680.000000, 94.119, -143.4592
690.000000, 94.128, -142.7283
700.000000, 94.149, -141.9827
710.000000, 94.185, -141.2328
720.000000, 94.223, -140.5627
730.000000, 94.255, -139.9003
740.000000, 94.285, -139.1754
750.000000, 94.331, -138.3733
762.000000, 94.418, -137.5324
775.000000, 94.512, -136.8506
788.000000, 94.584, -136.2558
800.000000, 94.645, -135.6665
812.000000, 94.712, -135.0671
825.000000, 94.790, -134.4950
838.000000, 94.871, -133.9724
850.000000, 94.942, -133.5688
862.000000, 95.000, -133.2149
875.000000, 95.051, -132.8345
885.000000, 95.085, -132.5743
900.000000, 95.121, -132.1582
912.000000, 95.135, -131.7794
925.000000, 95.148, -131.2764
938.000000, 95.161, -130.7072
950.000000, 95.170, -130.0911
962.000000, 95.178, -129.4327
975.000000, 95.193, -128.5196
988.000000, 95.256, -127.5281
1000.000000, 95.344, -126.8274
1015.000000, 95.427, -126.1989
1030.000000, 95.491, -125.5475
1044.000000, 95.561, -124.9069
1060.000000, 95.645, -124.1591
1075.000000, 95.741, -123.4264
1090.000000, 95.843, -122.8118
1106.000000, 95.949, -122.1887
1120.000000, 96.056, -121.7651
1138.000000, 96.176, -121.3642
1150.000000, 96.243, -121.0578
1172.000000, 96.368, -120.4918
1180.000000, 96.411, -120.3146
1206.000000, 96.552, -119.5606
1220.000000, 96.636, -119.1716
1241.000000, 96.759, -118.5320
1250.000000, 96.817, -118.2758
1265.000000, 96.908, -117.9778
1280.000000, 96.985, -117.7050
1315.000000, 97.086, -117.0973
1320.000000, 97.096, -116.9801
1340.000000, 97.145, -116.3359
1360.000000, 97.191, -115.5861
1380.000000, 97.235, -114.8930
1400.000000, 97.305, -114.0667
1430.000000, 97.424, -112.7013
1450.000000, 97.512, -111.6703
1475.000000, 97.704, -110.2732
1500.000000, 97.939, -109.8629
1525.000000, 98.060, -109.5254
1550.000000, 98.151, -108.9057
1575.000000, 98.231, -108.1909
1600.000000, 98.320, -107.3621
1625.000000, 98.432, -106.6951
1650.000000, 98.543, -105.8936
1675.000000, 98.621, -105.0107
1700.000000, 98.719, -103.8777
1725.000000, 98.865, -102.8190
1750.000000, 99.014, -101.9528
1775.000000, 99.159, -101.1095
1800.000000, 99.311, -100.3023
1825.000000, 99.466, -99.6377
1850.000000, 99.604, -98.9799
1875.000000, 99.748, -98.2099
1900.000000, 99.903, -97.5409
1925.000000, 100.055, -96.8905
1950.000000, 100.212, -96.2222
1975.000000, 100.376, -95.7189
2000.000000, 100.529, -95.3139
2030.000000, 100.703, -94.7892
2060.000000, 100.857, -94.2665
2090.000000, 100.992, -93.6736
2120.000000, 101.126, -93.0257
2140.000000, 101.226, -92.5103
2180.000000, 101.463, -91.3270
2200.000000, 101.589, -90.7599
2240.000000, 101.844, -89.6533
2270.000000, 102.064, -88.7032
2300.000000, 102.339, -87.8828
2330.000000, 102.629, -87.5036
2360.000000, 102.900, -87.2888
2400.000000, 103.278, -87.2486
2430.000000, 103.547, -87.6384
2470.000000, 103.830, -88.3969
2500.000000, 104.003, -88.9769
2540.000000, 104.173, -89.6964
2580.000000, 104.297, -90.0007
2620.000000, 104.443, -89.7584
2650.000000, 104.608, -89.4913
2690.000000, 104.876, -89.4321
2720.000000, 105.077, -89.7000
2760.000000, 105.327, -90.2472
2800.000000, 105.554, -90.9768
2850.000000, 105.799, -92.0849
2900.000000, 106.004, -93.2360
2950.000000, 106.176, -94.4413
3000.000000, 106.310, -95.6371
3040.000000, 106.407, -96.5329
3070.000000, 106.471, -97.2459
3110.000000, 106.537, -98.2092
3150.000000, 106.589, -99.1101
3200.000000, 106.631, -100.1998
3250.000000, 106.642, -101.1242
3300.000000, 106.666, -101.8337
3350.000000, 106.699, -102.6148
3400.000000, 106.725, -103.4184
3450.000000, 106.742, -104.2226
3500.000000, 106.750, -104.9508
3550.000000, 106.768, -105.5366
3600.000000, 106.805, -106.2042
3650.000000, 106.848, -106.9755
3700.000000, 106.894, -107.9108
3750.000000, 106.918, -109.0754
3820.000000, 106.903, -110.7603
3870.000000, 106.870, -112.0533
3950.000000, 106.768, -114.2646
4000.000000, 106.665, -115.6745
4060.000000, 106.515, -117.3601
4120.000000, 106.340, -119.0388
4180.000000, 106.153, -120.8311
4250.000000, 105.883, -123.2719
4310.000000, 105.585, -125.4842
4370.000000, 105.236, -127.8134
4440.000000, 104.764, -130.9576
4500.000000, 104.259, -134.3727
4550.000000, 103.702, -137.7627
4620.000000, 102.568, -142.9563
4680.000000, 101.178, -146.8260
4750.000000, 99.029, -149.3456
4820.000000, 96.257, -147.7460
4870.000000, 93.914, -140.9145
4940.000000, 90.970, -114.4174
5000.000000, 90.688, -80.3555
5080.000000, 92.940, -55.5019
5150.000000, 94.966, -47.2811
5220.000000, 96.572, -43.2812
5300.000000, 97.992, -40.8851
5380.000000, 99.131, -39.1629
5450.000000, 100.031, -38.0291
5520.000000, 100.885, -37.4762
5600.000000, 101.776, -37.8170
5700.000000, 102.691, -39.5554
5800.000000, 103.338, -42.2494
5900.000000, 103.680, -45.2414
6000.000000, 103.739, -47.7620
6080.000000, 103.616, -48.9129
6150.000000, 103.430, -48.9271
6220.000000, 103.239, -47.9113
6300.000000, 103.109, -45.5035
6400.000000, 103.201, -41.4511
6500.000000, 103.640, -37.3113
6600.000000, 104.422, -34.4043
6700.000000, 105.458, -34.1588
6800.000000, 106.466, -37.9516
6900.000000, 107.023, -45.4075
7000.000000, 106.825, -54.1702
7100.000000, 105.827, -61.0383
7200.000000, 104.253, -63.2030
7300.000000, 102.533, -58.5523
7400.000000, 101.348, -46.7089
7500.000000, 101.390, -31.5034
7620.000000, 102.876, -18.2082
7750.000000, 104.961, -13.1509
7880.000000, 106.671, -14.6768
8000.000000, 107.787, -19.0218
8120.000000, 108.532, -24.6101
8250.000000, 109.026, -31.4548
8380.000000, 109.218, -38.8122
8500.000000, 109.070, -45.7997
8620.000000, 108.578, -52.9347
8750.000000, 107.568, -60.3172
8850.000000, 106.404, -64.4353
9000.000000, 104.233, -65.5683
9120.000000, 102.516, -61.4117
9250.000000, 101.080, -53.0910
9380.000000, 100.296, -43.0292
9500.000000, 100.129, -34.5975
9620.000000, 100.288, -28.3059
9750.000000, 100.539, -24.1785
