* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -12.2 dBFS, measurement signal peak level -9.9 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -18.6 dBFS using an acoustic timing reference
* Dated: Nov 16, 2024 10:48:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Fosi DS1 Delay -0.0669 ms (-23 mm, -0.9 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -25.1 ppm
* Measurement: L4
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 65.264, 3.9308
1.015000, 65.307, 3.0427
1.030000, 65.353, 2.1238
1.044000, 65.400, 1.2388
1.060000, 65.459, 0.1956
1.075000, 65.518, -0.8121
1.090000, 65.582, -1.8462
1.106000, 65.657, -2.9696
1.120000, 65.728, -3.9557
1.138000, 65.826, -5.2172
1.150000, 65.897, -6.0531
1.172000, 66.035, -7.5782
1.180000, 66.087, -8.1335
1.206000, 66.267, -9.9224
1.220000, 66.368, -10.8756
1.241000, 66.525, -12.2914
1.250000, 66.594, -12.8927
1.265000, 66.711, -13.8875
1.280000, 66.829, -14.8725
1.315000, 67.110, -17.1302
1.320000, 67.151, -17.4479
1.340000, 67.313, -18.7054
1.360000, 67.474, -19.9400
1.380000, 67.633, -21.1887
1.400000, 67.790, -22.4272
1.430000, 68.017, -24.2362
1.450000, 68.162, -25.4067
1.475000, 68.335, -26.8135
1.500000, 68.503, -28.1223
1.525000, 68.666, -29.3247
1.550000, 68.827, -30.4306
1.575000, 68.986, -31.4686
1.600000, 69.143, -32.4625
1.625000, 69.299, -33.3910
1.650000, 69.455, -34.2627
1.675000, 69.611, -35.0847
1.700000, 69.769, -35.8633
1.725000, 69.928, -36.6041
1.750000, 70.089, -37.3115
1.775000, 70.254, -38.0032
1.800000, 70.423, -38.6954
1.825000, 70.596, -39.3582
1.850000, 70.773, -39.9759
1.875000, 70.955, -40.5296
1.900000, 71.140, -41.0207
1.925000, 71.329, -41.4589
1.950000, 71.520, -41.8537
1.975000, 71.713, -42.2245
2.000000, 71.908, -42.5893
2.030000, 72.143, -42.9990
2.060000, 72.378, -43.3883
2.090000, 72.613, -43.7651
2.120000, 72.846, -44.1357
2.140000, 73.000, -44.3818
2.180000, 73.305, -44.8939
2.200000, 73.455, -45.1635
2.240000, 73.753, -45.6552
2.270000, 73.976, -45.9716
2.300000, 74.198, -46.2513
2.330000, 74.419, -46.5045
2.360000, 74.640, -46.7405
2.400000, 74.931, -47.0796
2.430000, 75.149, -47.3376
2.470000, 75.435, -47.6896
2.500000, 75.648, -47.9654
2.540000, 75.928, -48.3531
2.580000, 76.205, -48.7664
2.620000, 76.478, -49.1841
2.650000, 76.681, -49.4731
2.690000, 76.950, -49.8349
2.720000, 77.149, -50.0954
2.760000, 77.411, -50.4359
2.800000, 77.670, -50.8160
2.850000, 77.987, -51.3141
2.900000, 78.299, -51.8428
2.950000, 78.603, -52.3969
3.000000, 78.901, -52.9690
3.040000, 79.134, -53.4210
3.070000, 79.307, -53.7529
3.110000, 79.534, -54.1898
3.150000, 79.757, -54.6249
3.200000, 80.029, -55.2027
3.250000, 80.295, -55.8074
3.300000, 80.554, -56.4287
3.350000, 80.806, -57.0562
3.400000, 81.052, -57.7034
3.450000, 81.290, -58.3520
3.500000, 81.523, -58.9914
3.550000, 81.748, -59.6223
3.600000, 81.968, -60.2744
3.650000, 82.182, -60.9361
3.700000, 82.389, -61.5997
3.750000, 82.590, -62.2642
3.820000, 82.861, -63.2137
3.870000, 83.047, -63.8849
3.950000, 83.333, -64.9271
4.000000, 83.505, -65.5811
4.060000, 83.704, -66.3637
4.120000, 83.895, -67.1404
4.180000, 84.077, -67.9138
4.250000, 84.281, -68.8197
4.310000, 84.448, -69.5642
4.370000, 84.609, -70.2785
4.440000, 84.790, -71.1068
4.500000, 84.937, -71.8014
4.550000, 85.054, -72.3672
4.620000, 85.213, -73.1550
4.680000, 85.344, -73.8022
4.750000, 85.491, -74.5118
4.820000, 85.633, -75.2016
4.870000, 85.731, -75.6804
4.940000, 85.863, -76.3244
5.000000, 85.972, -76.8637
5.080000, 86.114, -77.5508
5.150000, 86.236, -78.1080
5.220000, 86.355, -78.6499
5.300000, 86.487, -79.2400
5.380000, 86.616, -79.7974
5.450000, 86.727, -80.2772
5.520000, 86.837, -80.7281
5.600000, 86.960, -81.2221
5.700000, 87.111, -81.8171
5.800000, 87.261, -82.3851
5.900000, 87.409, -82.9442
6.000000, 87.557, -83.4816
6.080000, 87.674, -83.9068
6.150000, 87.775, -84.2668
6.220000, 87.874, -84.6373
6.300000, 87.986, -85.0575
6.400000, 88.123, -85.5788
6.500000, 88.257, -86.1016
6.600000, 88.387, -86.6170
6.700000, 88.514, -87.1414
6.800000, 88.637, -87.6591
6.900000, 88.755, -88.1721
7.000000, 88.868, -88.6663
7.100000, 88.976, -89.1547
7.200000, 89.079, -89.6263
7.300000, 89.179, -90.0824
7.400000, 89.278, -90.5118
7.500000, 89.374, -90.9253
7.620000, 89.487, -91.3960
7.750000, 89.608, -91.8739
7.880000, 89.727, -92.3298
8.000000, 89.837, -92.7297
8.120000, 89.948, -93.1244
8.250000, 90.069, -93.5433
8.380000, 90.191, -93.9601
8.500000, 90.303, -94.3572
8.620000, 90.414, -94.7603
8.750000, 90.533, -95.2076
8.850000, 90.623, -95.5646
9.000000, 90.754, -96.1118
9.120000, 90.856, -96.5597
