* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -11.0 dBFS, measurement signal peak level -10.2 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -18.6 dBFS using an acoustic timing reference
* Dated: Nov 16, 2024 10:43:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Fosi DS1 Delay -0.0662 ms (-23 mm, -0.89 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -25.2 ppm
* Measurement: R1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 65.299, 31.9629
1.015000, 65.406, 30.8044
1.030000, 65.516, 29.6004
1.044000, 65.622, 28.4331
1.060000, 65.747, 27.0450
1.075000, 65.869, 25.6886
1.090000, 65.997, 24.2781
1.106000, 66.138, 22.7222
1.120000, 66.267, 21.3360
1.138000, 66.439, 19.5396
1.150000, 66.558, 18.3388
1.172000, 66.782, 16.1365
1.180000, 66.865, 15.3345
1.206000, 67.142, 12.7493
1.220000, 67.295, 11.3745
1.241000, 67.527, 9.3400
1.250000, 67.627, 8.4791
1.265000, 67.796, 7.0599
1.280000, 67.965, 5.6609
1.315000, 68.359, 2.4761
1.320000, 68.416, 2.0302
1.340000, 68.639, 0.2683
1.360000, 68.860, -1.4585
1.380000, 69.077, -3.1905
1.400000, 69.290, -4.9070
1.430000, 69.597, -7.4308
1.450000, 69.793, -9.0818
1.475000, 70.027, -11.0982
1.500000, 70.253, -13.0233
1.525000, 70.471, -14.8380
1.550000, 70.684, -16.5442
1.575000, 70.891, -18.1651
1.600000, 71.093, -19.7224
1.625000, 71.292, -21.1944
1.650000, 71.487, -22.5904
1.675000, 71.680, -23.9196
1.700000, 71.871, -25.1910
1.725000, 72.061, -26.4127
1.750000, 72.250, -27.5926
1.775000, 72.440, -28.7517
1.800000, 72.631, -29.9094
1.825000, 72.823, -31.0405
1.850000, 73.017, -32.1368
1.875000, 73.212, -33.1828
1.900000, 73.406, -34.1746
1.925000, 73.601, -35.1144
1.950000, 73.795, -36.0057
1.975000, 73.988, -36.8632
2.000000, 74.180, -37.7016
2.030000, 74.409, -38.6590
2.060000, 74.635, -39.5712
2.090000, 74.857, -40.4450
2.120000, 75.076, -41.2865
2.140000, 75.219, -41.8327
2.180000, 75.499, -42.9154
2.200000, 75.636, -43.4614
2.240000, 75.904, -44.5159
2.270000, 76.099, -45.2683
2.300000, 76.292, -45.9872
2.330000, 76.480, -46.6741
2.360000, 76.665, -47.3311
2.400000, 76.907, -48.2017
2.430000, 77.084, -48.8304
2.470000, 77.316, -49.6335
2.500000, 77.487, -50.2128
2.540000, 77.711, -50.9585
2.580000, 77.930, -51.6918
2.620000, 78.143, -52.4271
2.650000, 78.299, -52.9579
2.690000, 78.502, -53.6381
2.720000, 78.651, -54.1276
2.760000, 78.846, -54.7517
2.800000, 79.036, -55.3823
2.850000, 79.268, -56.1362
2.900000, 79.495, -56.8486
2.950000, 79.717, -57.5238
3.000000, 79.932, -58.1930
3.040000, 80.100, -58.7147
3.070000, 80.223, -59.0921
3.110000, 80.383, -59.5766
3.150000, 80.541, -60.0400
3.200000, 80.734, -60.6196
3.250000, 80.924, -61.1818
3.300000, 81.111, -61.7137
3.350000, 81.294, -62.2156
3.400000, 81.472, -62.7157
3.450000, 81.647, -63.2012
3.500000, 81.818, -63.6633
3.550000, 81.986, -64.1031
3.600000, 82.153, -64.5491
3.650000, 82.317, -64.9874
3.700000, 82.481, -65.4054
3.750000, 82.641, -65.8024
3.820000, 82.863, -66.3551
3.870000, 83.019, -66.7384
3.950000, 83.264, -67.3297
4.000000, 83.416, -67.7129
4.060000, 83.596, -68.1747
4.120000, 83.775, -68.6198
4.180000, 83.951, -69.0554
4.250000, 84.153, -69.5794
4.310000, 84.324, -70.0222
4.370000, 84.492, -70.4677
4.440000, 84.686, -71.0160
