* Measurement data measured by REW V5.31
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -21.2 dBFS, measurement signal peak level -20.7 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Apr 20, 2024 1:18:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0579 ms (-20 mm, -0.78 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset
* Measurement: Centrance Cerene dB L2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 82.330, -74.9528
1.015000, 82.658, -74.4171
1.030000, 82.975, -73.9442
1.044000, 83.261, -73.5584
1.060000, 83.572, -73.1820
1.075000, 83.847, -72.8907
1.090000, 84.106, -72.6575
1.106000, 84.366, -72.4675
1.120000, 84.587, -72.3415
1.138000, 84.867, -72.2236
1.150000, 85.052, -72.1685
1.172000, 85.385, -72.1152
1.180000, 85.504, -72.1138
1.206000, 85.882, -72.1430
1.220000, 86.080, -72.1767
1.241000, 86.369, -72.2455
1.250000, 86.489, -72.2806
1.265000, 86.685, -72.3450
1.280000, 86.874, -72.4157
1.315000, 87.289, -72.5983
1.320000, 87.345, -72.6259
1.340000, 87.560, -72.7390
1.360000, 87.759, -72.8545
1.380000, 87.943, -73.0105
1.400000, 88.110, -73.1835
1.430000, 88.325, -73.4473
1.450000, 88.445, -73.6282
1.475000, 88.564, -73.8730
1.500000, 88.645, -74.1661
1.525000, 88.689, -74.5106
1.550000, 88.700, -74.8941
1.575000, 88.682, -75.3252
1.600000, 88.638, -75.8097
1.625000, 88.572, -76.2983
1.650000, 88.489, -76.7824
1.675000, 88.393, -77.2541
1.700000, 88.287, -77.7070
1.725000, 88.175, -78.1354
1.750000, 88.062, -78.5341
1.775000, 87.952, -78.9162
1.800000, 87.847, -79.2951
1.825000, 87.752, -79.6407
1.850000, 87.662, -79.9813
1.875000, 87.572, -80.3516
1.900000, 87.478, -80.7565
1.925000, 87.381, -81.1874
1.950000, 87.279, -81.6331
1.975000, 87.173, -82.1001
2.000000, 87.063, -82.5940
2.030000, 86.926, -83.1633
2.060000, 86.782, -83.6928
2.090000, 86.631, -84.1651
2.120000, 86.474, -84.5632
2.140000, 86.366, -84.7793
2.180000, 86.139, -85.0971
2.200000, 86.021, -85.2120
2.240000, 85.768, -85.3852
2.270000, 85.565, -85.4997
2.300000, 85.352, -85.5977
2.330000, 85.131, -85.6668
2.360000, 84.904, -85.6933
2.400000, 84.597, -85.6821
2.430000, 84.364, -85.5864
2.470000, 84.057, -85.2964
2.500000, 83.832, -84.9298
2.540000, 83.539, -84.2027
2.580000, 83.251, -83.1975
2.620000, 82.948, -81.9531
2.650000, 82.708, -80.8469
2.690000, 82.381, -79.1420
2.720000, 82.138, -77.6903
2.760000, 81.830, -75.5263
2.800000, 81.553, -73.1574
2.850000, 81.274, -69.9058
2.900000, 81.096, -66.4106
2.950000, 81.040, -62.7213
3.000000, 81.100, -58.8015
3.040000, 81.220, -55.5594
3.070000, 81.344, -53.1373
3.110000, 81.548, -50.0180
3.150000, 81.787, -47.1195
3.200000, 82.117, -43.9636
3.250000, 82.467, -41.4023
3.300000, 82.829, -39.4229
3.350000, 83.223, -37.8446
3.400000, 83.664, -36.5632
3.450000, 84.140, -35.5601
3.500000, 84.631, -34.8386
3.550000, 85.118, -34.4076
3.600000, 85.584, -34.2976
3.650000, 86.014, -34.4880
3.700000, 86.409, -34.9254
3.750000, 86.782, -35.5352
3.820000, 87.274, -36.6186
3.870000, 87.605, -37.5019
3.950000, 88.098, -39.0567
4.000000, 88.382, -40.1391
4.060000, 88.697, -41.5659
4.120000, 88.985, -43.1355
4.180000, 89.245, -44.8063
4.250000, 89.518, -46.8264
4.310000, 89.729, -48.5397
4.370000, 89.919, -50.2248
4.440000, 90.115, -52.2397
4.500000, 90.260, -54.0438
4.550000, 90.364, -55.5817
4.620000, 90.486, -57.7497
4.680000, 90.573, -59.5481
4.750000, 90.656, -61.5300
4.820000, 90.716, -63.4681
4.870000, 90.745, -64.8654
4.940000, 90.766, -66.8146
5.000000, 90.770, -68.4486
5.080000, 90.758, -70.4860
5.150000, 90.733, -72.0925
5.220000, 90.691, -73.6135
5.300000, 90.624, -75.2700
5.380000, 90.546, -76.7990
5.450000, 90.476, -78.0015
5.520000, 90.406, -79.0231
5.600000, 90.322, -79.9963
5.700000, 90.216, -80.9868
5.800000, 90.129, -81.7644
5.900000, 90.078, -82.3312
6.000000, 90.061, -82.6294
6.080000, 90.070, -82.7572
6.150000, 90.098, -82.8504
6.220000, 90.149, -82.9843
6.300000, 90.237, -83.1496
6.400000, 90.388, -83.3501
6.500000, 90.570, -83.6643
6.600000, 90.770, -84.2043
6.700000, 90.989, -84.9719
6.800000, 91.224, -85.9005
6.900000, 91.457, -87.0069
7.000000, 91.676, -88.3134
7.100000, 91.882, -89.8219
7.200000, 92.074, -91.4499
7.300000, 92.240, -93.1400
7.400000, 92.377, -94.8994
7.500000, 92.487, -96.7501
7.620000, 92.581, -98.9501
7.750000, 92.634, -101.1932
7.880000, 92.636, -103.3532
8.000000, 92.601, -105.1610
8.120000, 92.534, -106.6790
8.250000, 92.427, -108.0238
8.380000, 92.304, -109.0082
8.500000, 92.188, -109.5180
8.620000, 92.073, -109.6469
8.750000, 91.974, -109.4217
8.850000, 91.930, -109.0043
9.000000, 91.916, -108.0047
9.120000, 91.958, -107.0502
9.250000, 92.068, -105.9842
9.380000, 92.237, -104.9281
9.500000, 92.432, -104.0950
9.620000, 92.656, -103.4585
9.750000, 92.925, -102.9815
9.880000, 93.193, -102.7508
10.000000, 93.429, -102.7528
10.150000, 93.704, -103.0302
10.300000, 93.948, -103.5011
10.440000, 94.145, -104.0863
10.600000, 94.338, -104.8503
10.750000, 94.490, -105.6077
10.900000, 94.616, -106.3821
11.060000, 94.726, -107.2047
11.200000, 94.803, -107.9305
11.380000, 94.879, -108.7991
11.500000, 94.914, -109.3322
11.720000, 94.955, -110.2100
11.800000, 94.964, -110.4949
12.060000, 94.970, -111.3130
12.200000, 94.963, -111.7030
12.410000, 94.939, -112.1562
12.500000, 94.923, -112.2965
12.650000, 94.893, -112.4568
12.800000, 94.858, -112.5256
13.150000, 94.785, -112.3985
13.200000, 94.777, -112.3577
13.400000, 94.756, -112.1292
13.600000, 94.751, -111.8333
13.800000, 94.765, -111.5082
14.000000, 94.795, -111.1986
14.300000, 94.870, -110.8919
14.500000, 94.935, -110.7706
14.750000, 95.030, -110.7350
15.000000, 95.140, -110.8554
15.250000, 95.265, -111.2134
15.500000, 95.393, -111.7692
15.750000, 95.512, -112.5097
16.000000, 95.613, -113.3970
16.250000, 95.691, -114.3997
16.500000, 95.746, -115.3882
16.750000, 95.784, -116.2787
17.000000, 95.822, -117.0306
17.250000, 95.873, -117.6814
17.500000, 95.948, -118.2614
17.750000, 96.047, -118.8592
18.000000, 96.163, -119.5509
18.250000, 96.279, -120.3892
18.500000, 96.380, -121.3195
18.750000, 96.454, -122.2514
19.000000, 96.501, -123.0769
19.250000, 96.531, -123.7157
19.500000, 96.561, -124.0970
19.750000, 96.608, -124.2399
20.000000, 96.688, -124.2348
20.299999, 96.830, -124.2411
20.600000, 97.004, -124.3948
20.900000, 97.181, -124.7597
21.200001, 97.335, -125.2902
21.400000, 97.420, -125.6642
21.799999, 97.558, -126.2943
22.000000, 97.624, -126.5283
22.400000, 97.772, -126.9540
22.700001, 97.900, -127.3535
23.000000, 98.027, -127.9288
23.299999, 98.131, -128.6992
23.600000, 98.196, -129.5540
24.000000, 98.220, -130.5849
24.299999, 98.211, -131.1628
24.700001, 98.205, -131.6381
25.000000, 98.220, -131.8828
25.400000, 98.260, -132.2648
25.799999, 98.291, -132.7059
26.200001, 98.297, -133.0043
26.500000, 98.303, -132.9838
26.900000, 98.370, -132.6251
27.200001, 98.495, -132.3217
27.600000, 98.757, -132.3399
28.000000, 99.059, -133.1995
28.500000, 99.345, -135.3704
29.000000, 99.435, -137.9000
29.500000, 99.374, -139.8198
30.000000, 99.304, -140.7996
30.400000, 99.313, -141.2630
30.700001, 99.354, -141.6844
31.100000, 99.414, -142.5002
31.500000, 99.432, -143.5082
32.000000, 99.380, -144.5435
32.500000, 99.314, -144.9502
33.000000, 99.332, -144.9080
33.500000, 99.450, -145.0512
34.000000, 99.597, -145.7029
34.500000, 99.708, -146.6837
35.000000, 99.786, -147.6826
35.500000, 99.861, -148.6923
36.000000, 99.920, -149.8542
36.500000, 99.913, -151.0579
37.000000, 99.829, -151.8391
37.500000, 99.744, -151.8404
38.200001, 99.808, -151.1357
38.700001, 99.967, -151.1083
39.500000, 100.152, -152.1785
40.000000, 100.182, -152.8338
40.599998, 100.224, -153.3106
41.200001, 100.313, -153.9436
41.799999, 100.373, -155.0241
42.500000, 100.344, -156.3109
43.099998, 100.301, -157.0636
43.700001, 100.294, -157.7339
44.400002, 100.297, -158.7386
45.000000, 100.274, -159.6334
45.500000, 100.250, -160.2626
46.200001, 100.240, -160.9914
46.799999, 100.256, -161.5714
47.500000, 100.300, -162.2626
48.200001, 100.362, -163.0845
48.700001, 100.394, -163.7542
49.400002, 100.403, -164.5737
50.000000, 100.407, -164.9849
50.799999, 100.468, -165.3595
51.500000, 100.555, -165.9685
52.200001, 100.612, -166.9319
53.000000, 100.598, -168.1928
53.799999, 100.495, -169.1975
54.500000, 100.383, -169.5313
55.200001, 100.331, -169.5644
56.000000, 100.329, -169.8878
57.000000, 100.283, -170.4458
58.000000, 100.310, -170.5654
59.000000, 100.438, -171.5170
60.000000, 100.463, -173.1748
60.799999, 100.418, -174.3954
61.500000, 100.348, -175.3532
62.200001, 100.249, -176.1259
63.000000, 100.125, -176.6722
64.000000, 99.998, -176.9380
65.000000, 99.928, -177.0528
66.000000, 99.882, -177.3074
67.000000, 99.831, -177.4684
68.000000, 99.824, -177.6411
69.000000, 99.804, -178.2083
70.000000, 99.724, -178.7032
71.000000, 99.655, -178.9249
72.000000, 99.617, -179.2843
73.000000, 99.568, -179.7491
74.000000, 99.527, 179.9401
75.000000, 99.528, 179.6939
76.199997, 99.556, 179.1917
77.500000, 99.531, 178.7519
78.800003, 99.525, 179.0159
80.000000, 99.584, 179.1097
81.199997, 99.642, 178.7238
82.500000, 99.647, 177.7510
83.800003, 99.604, 176.7513
85.000000, 99.561, 175.6868
86.199997, 99.486, 174.7227
87.500000, 99.401, 173.9432
88.500000, 99.317, 173.5373
90.000000, 99.190, 173.3384
91.199997, 99.088, 173.2669
92.500000, 98.999, 173.3452
93.800003, 98.955, 173.2044
95.000000, 98.916, 172.9283
96.199997, 98.889, 172.6045
97.500000, 98.832, 172.1086
98.800003, 98.723, 171.8411
100.000000, 98.620, 171.8535
101.500000, 98.494, 171.8733
103.000000, 98.357, 171.9968
104.400002, 98.257, 172.5381
106.000000, 98.256, 173.3748
107.500000, 98.330, 173.9430
109.000000, 98.448, 174.3036
110.599998, 98.603, 174.5229
112.000000, 98.770, 174.3465
113.800003, 98.864, 173.5273
115.000000, 98.830, 173.2683
117.199997, 98.718, 173.5327
118.000000, 98.694, 173.6837
120.599998, 98.697, 173.1024
122.000000, 98.772, 172.4377
124.099998, 98.889, 170.4512
125.000000, 98.871, 169.8616
126.500000, 98.874, 169.8083
128.000000, 98.945, 169.8146
131.500000, 98.908, 169.1003
132.000000, 98.880, 169.1351
134.000000, 98.761, 169.3565
136.000000, 98.660, 170.0939
138.000000, 98.707, 170.3697
140.000000, 98.719, 169.3870
143.000000, 98.595, 167.6556
145.000000, 98.524, 166.7417
147.500000, 98.545, 166.2668
150.000000, 98.600, 165.7278
152.500000, 98.601, 165.3323
155.000000, 98.602, 164.8043
157.500000, 98.616, 164.4157
160.000000, 98.651, 163.9524
162.500000, 98.632, 163.1258
165.000000, 98.565, 162.5070
167.500000, 98.484, 162.8351
170.000000, 98.431, 163.2804
172.500000, 98.336, 163.1306
175.000000, 98.246, 162.5991
177.500000, 98.179, 162.1458
180.000000, 98.155, 161.9923
182.500000, 98.150, 161.7405
185.000000, 98.111, 161.5377
187.500000, 98.047, 161.2191
190.000000, 97.980, 160.3915
192.500000, 97.933, 159.4874
195.000000, 97.911, 159.1668
197.500000, 97.892, 159.3084
200.000000, 97.837, 159.2947
203.000000, 97.737, 158.8845
206.000000, 97.636, 158.1248
209.000000, 97.586, 157.6574
212.000000, 97.563, 157.3001
214.000000, 97.517, 157.0880
218.000000, 97.412, 156.6790
220.000000, 97.356, 156.4038
224.000000, 97.231, 156.0429
227.000000, 97.215, 155.9277
230.000000, 97.259, 155.9131
233.000000, 97.262, 155.9717
236.000000, 97.187, 156.0502
240.000000, 97.018, 156.2197
243.000000, 96.855, 156.0791
247.000000, 96.693, 155.2220
250.000000, 96.648, 154.5699
254.000000, 96.586, 153.4847
258.000000, 96.449, 152.7598
262.000000, 96.263, 153.0923
265.000000, 96.137, 153.1345
269.000000, 96.069, 152.6523
272.000000, 95.990, 152.5952
276.000000, 95.730, 153.2962
280.000000, 95.502, 154.8359
285.000000, 95.442, 156.2162
290.000000, 95.528, 157.7442
295.000000, 95.664, 159.1526
300.000000, 95.765, 159.4902
304.000000, 95.933, 159.3891
307.000000, 96.073, 158.9046
311.000000, 96.213, 157.6252
315.000000, 96.257, 156.1439
320.000000, 96.176, 154.0186
325.000000, 95.996, 151.9154
330.000000, 95.844, 150.6502
335.000000, 95.650, 150.1692
340.000000, 95.353, 149.9834
345.000000, 95.027, 149.4666
350.000000, 94.919, 148.9643
355.000000, 94.875, 148.7081
360.000000, 94.734, 148.6682
365.000000, 94.573, 149.0504
370.000000, 94.424, 149.2254
375.000000, 94.264, 149.2599
382.000000, 94.071, 149.3523
387.000000, 93.956, 149.3180
395.000000, 93.685, 149.0807
400.000000, 93.447, 149.0959
406.000000, 93.190, 149.3507
412.000000, 93.011, 150.0796
418.000000, 92.756, 150.0844
425.000000, 92.515, 150.1573
431.000000, 92.387, 150.5981
437.000000, 92.249, 151.1998
444.000000, 92.001, 152.1684
450.000000, 91.753, 152.6004
455.000000, 91.588, 152.7825
462.000000, 91.354, 153.0970
468.000000, 91.161, 154.0733
475.000000, 90.963, 155.1422
482.000000, 90.703, 156.0095
487.000000, 90.485, 156.6754
494.000000, 90.124, 157.2835
500.000000, 89.909, 158.4618
508.000000, 89.802, 160.6218
515.000000, 89.656, 162.1798
522.000000, 89.473, 163.9072
530.000000, 89.272, 166.2835
538.000000, 89.078, 168.5052
545.000000, 88.909, 170.4543
552.000000, 88.766, 172.3929
560.000000, 88.681, 174.8611
570.000000, 88.660, 178.5306
580.000000, 88.686, -178.2851
590.000000, 88.737, -175.4123
600.000000, 88.804, -172.5485
608.000000, 88.883, -170.0984
615.000000, 88.963, -168.0726
622.000000, 89.039, -166.3446
630.000000, 89.138, -164.4973
640.000000, 89.358, -162.0564
650.000000, 89.580, -159.7304
660.000000, 89.797, -157.5081
670.000000, 90.074, -155.4442
680.000000, 90.365, -153.6087
690.000000, 90.637, -152.3780
700.000000, 90.891, -151.3999
710.000000, 91.143, -150.4987
720.000000, 91.391, -149.5515
730.000000, 91.667, -148.7398
740.000000, 91.931, -148.2006
750.000000, 92.168, -147.8102
762.000000, 92.457, -147.3505
775.000000, 92.764, -147.0733
788.000000, 93.050, -146.9008
800.000000, 93.278, -146.8224
812.000000, 93.513, -146.8941
825.000000, 93.749, -147.1326
838.000000, 93.944, -147.3974
850.000000, 94.118, -147.6491
862.000000, 94.278, -147.9719
875.000000, 94.440, -148.2691
885.000000, 94.563, -148.4779
900.000000, 94.737, -148.9467
912.000000, 94.868, -149.4846
925.000000, 94.978, -150.1954
938.000000, 95.067, -150.8980
950.000000, 95.129, -151.5891
962.000000, 95.152, -152.2337
975.000000, 95.153, -152.6815
988.000000, 95.121, -153.0085
1000.000000, 95.067, -153.1531
1015.000000, 95.024, -152.8136
1030.000000, 95.039, -152.0782
1044.000000, 95.112, -151.4365
1060.000000, 95.233, -150.9362
1075.000000, 95.364, -150.6272
1090.000000, 95.518, -150.4844
1106.000000, 95.708, -150.6476
1120.000000, 95.872, -151.0930
1138.000000, 96.052, -151.8831
1150.000000, 96.143, -152.4664
1172.000000, 96.249, -153.5372
1180.000000, 96.274, -153.9075
1206.000000, 96.343, -155.0144
1220.000000, 96.377, -155.6111
1241.000000, 96.402, -156.4120
1250.000000, 96.400, -156.6921
1265.000000, 96.389, -157.1120
1280.000000, 96.379, -157.4703
1315.000000, 96.359, -158.1882
1320.000000, 96.356, -158.2790
1340.000000, 96.330, -158.6267
1360.000000, 96.274, -158.9084
1380.000000, 96.211, -159.1368
1400.000000, 96.162, -159.2467
1430.000000, 96.094, -159.2251
1450.000000, 96.051, -159.1495
1475.000000, 96.000, -158.9556
1500.000000, 95.954, -158.7189
1525.000000, 95.915, -158.4470
1550.000000, 95.879, -158.1139
1575.000000, 95.847, -157.7775
1600.000000, 95.828, -157.3730
1625.000000, 95.814, -156.9668
1650.000000, 95.806, -156.5913
1675.000000, 95.795, -156.2461
1700.000000, 95.786, -155.9283
1725.000000, 95.774, -155.5751
1750.000000, 95.759, -155.1464
1775.000000, 95.752, -154.7702
1800.000000, 95.746, -154.3878
1825.000000, 95.733, -153.9595
1850.000000, 95.711, -153.4895
1875.000000, 95.691, -152.9671
1900.000000, 95.688, -152.3694
1925.000000, 95.702, -151.7417
1950.000000, 95.734, -151.1336
1975.000000, 95.785, -150.6970
2000.000000, 95.836, -150.4626
2030.000000, 95.864, -150.3269
2060.000000, 95.849, -150.1932
2090.000000, 95.799, -149.9162
2120.000000, 95.718, -149.4108
2140.000000, 95.652, -148.8399
2180.000000, 95.572, -146.6168
2200.000000, 95.646, -145.0908
2240.000000, 96.009, -143.5531
2270.000000, 96.197, -143.6974
2300.000000, 96.294, -143.7481
2330.000000, 96.389, -143.5873
2360.000000, 96.489, -143.5974
2400.000000, 96.564, -143.6972
2430.000000, 96.613, -143.4926
2470.000000, 96.723, -143.1874
2500.000000, 96.827, -143.1285
2540.000000, 96.978, -143.3239
2580.000000, 97.121, -144.0239
2620.000000, 97.185, -145.2104
2650.000000, 97.151, -146.1109
2690.000000, 97.019, -146.8729
2720.000000, 96.897, -147.0362
2760.000000, 96.755, -146.7678
2800.000000, 96.661, -146.1605
2850.000000, 96.632, -145.1878
2900.000000, 96.693, -144.4408
2950.000000, 96.776, -144.1900
3000.000000, 96.846, -144.2419
3040.000000, 96.911, -144.3865
3070.000000, 96.971, -144.6302
3110.000000, 97.057, -145.2318
3150.000000, 97.128, -146.2211
3200.000000, 97.158, -148.0367
3250.000000, 97.076, -150.3924
3300.000000, 96.827, -152.9651
3350.000000, 96.394, -155.3305
3400.000000, 95.801, -156.9333
3450.000000, 95.099, -157.4009
3500.000000, 94.339, -156.5651
3550.000000, 93.582, -154.3281
3600.000000, 92.896, -150.8049
3650.000000, 92.331, -146.1120
3700.000000, 91.936, -140.4173
3750.000000, 91.760, -134.1485
3820.000000, 91.901, -125.4084
3870.000000, 92.251, -119.7751
3950.000000, 93.140, -112.9954
4000.000000, 93.777, -110.6047
4060.000000, 94.468, -109.3210
4120.000000, 95.022, -108.9807
4180.000000, 95.463, -108.9833
4250.000000, 95.877, -109.2459
4310.000000, 96.133, -109.6032
4370.000000, 96.307, -109.7100
4440.000000, 96.506, -109.1825
4500.000000, 96.729, -108.5492
4550.000000, 96.960, -108.0039
4620.000000, 97.374, -107.6753
4680.000000, 97.766, -108.2360
4750.000000, 98.118, -110.0118
4820.000000, 98.239, -111.9879
4870.000000, 98.227, -112.7993
4940.000000, 98.221, -112.6857
5000.000000, 98.343, -111.7572
5080.000000, 98.776, -110.4517
5150.000000, 99.379, -110.1881
5220.000000, 100.125, -111.2237
5300.000000, 101.070, -114.4612
5380.000000, 102.012, -120.1498
5450.000000, 102.725, -127.5113
5520.000000, 103.173, -137.1309
5600.000000, 103.139, -149.9008
5700.000000, 102.127, -165.6488
5800.000000, 100.236, -177.6669
5900.000000, 97.949, 175.5728
6000.000000, 95.688, 173.1667
6080.000000, 94.039, 173.4086
6150.000000, 92.718, 174.4504
6220.000000, 91.470, 176.0020
6300.000000, 90.103, 178.5034
6400.000000, 88.482, -177.3393
6500.000000, 86.986, -172.3788
6600.000000, 85.547, -167.2276
6700.000000, 84.023, -161.4950
6800.000000, 82.324, -154.3084
6900.000000, 80.425, -143.3834
7000.000000, 78.717, -123.7336
7100.000000, 78.692, -92.1646
7200.000000, 81.155, -66.0010
7300.000000, 84.242, -56.6735
7400.000000, 86.774, -57.4322
7500.000000, 88.539, -62.8923
7620.000000, 89.784, -71.4411
7750.000000, 90.441, -80.5387
7880.000000, 90.590, -89.5958
8000.000000, 90.343, -98.4421
8120.000000, 89.716, -108.0084
8250.000000, 88.544, -119.4741
8380.000000, 86.775, -132.7584
8500.000000, 84.504, -148.7384
8620.000000, 81.750, -174.4214
8750.000000, 80.117, 125.8951
8850.000000, 81.472, 76.6659
9000.000000, 84.644, 40.1258
9120.000000, 86.482, 22.4758
9250.000000, 87.737, 7.2975
9380.000000, 88.324, -6.4875
9500.000000, 88.150, -18.7274
9620.000000, 87.188, -29.1360
9750.000000, 85.350, -36.3994
9880.000000, 82.870, -37.8088
10000.000000, 80.176, -31.3370
10150.000000, 77.430, -1.6531
10300.000000, 79.380, 50.7925
10440.000000, 84.142, 71.6249
10600.000000, 89.286, 69.7065
10750.000000, 92.764, 53.7168
10900.000000, 94.273, 29.8052
11060.000000, 93.607, 3.9971
11200.000000, 91.582, -14.5759
11380.000000, 87.506, -32.8585
11500.000000, 84.136, -43.8336
11720.000000, 83.974, 144.6572
11800.000000, 86.365, 131.1812
12060.000000, 92.065, 104.2024
12200.000000, 93.705, 92.0219
12410.000000, 95.617, 77.3943
12500.000000, 96.404, 71.0334
12650.000000, 97.533, 58.4634
12800.000000, 98.053, 42.9414
13150.000000, 95.148, 10.9854
13200.000000, 94.387, 8.9537
13400.000000, 91.378, 7.8835
13600.000000, 89.155, 13.8162
13800.000000, 87.975, 22.7074
14000.000000, 87.927, 30.5426
14300.000000, 89.201, 30.0792
14500.000000, 89.701, 18.7778
14750.000000, 88.839, -4.0118
15000.000000, 87.237, -40.6631
15250.000000, 86.029, -125.8101
15500.000000, 85.733, 157.9309
15750.000000, 86.681, 129.5193
16000.000000, 87.664, 112.2024
16250.000000, 87.527, 98.3750
16500.000000, 86.443, 90.6765
16750.000000, 85.115, 89.0498
17000.000000, 84.055, 92.4307
17250.000000, 83.567, 95.0200
17500.000000, 82.783, 94.2540
17750.000000, 81.134, 94.9434
18000.000000, 78.803, 102.8196
18250.000000, 76.784, 123.7167
18500.000000, 77.263, 156.8496
18750.000000, 80.162, 178.3440
19000.000000, 83.109, -174.6929
19250.000000, 85.453, -173.8440
19500.000000, 86.998, -177.2202
19750.000000, 87.409, 177.4099
20000.000000, 87.066, 175.0441
20300.000000, 86.814, 174.2385
20600.000000, 86.464, 169.6931
20900.000000, 85.146, 163.2959
21200.000000, 82.991, 158.6725
21400.000000, 81.244, 156.2465
21800.000000, 76.445, 152.7000
22000.000000, 73.062, 154.7426
22400.000000, 64.465, -179.6890
22700.000000, 57.578, -160.8838
23000.000000, 51.162, -163.5735
23300.000000, 46.078, -128.6271
23600.000000, 43.372, -137.5300
24000.000000, 42.139, -118.7806
