* Measurement data measured by REW V5.31
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -8.2 dBFS, measurement signal peak level -8.1 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -7.0 dBFS using an acoustic timing reference
* Dated: Apr 24, 2024 4:47:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -0.1045 ms (-36 mm, -1.41 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset
* Measurement: DCA Aeon 2 Closed R3
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 77.441, 16.7100
1.015000, 77.440, 15.8311
1.030000, 77.443, 14.9067
1.044000, 77.450, 14.0005
1.060000, 77.465, 12.9108
1.075000, 77.485, 11.8335
1.090000, 77.512, 10.6991
1.106000, 77.549, 9.4222
1.120000, 77.586, 8.2465
1.138000, 77.641, 6.6577
1.150000, 77.681, 5.5532
1.172000, 77.763, 3.4356
1.180000, 77.795, 2.6335
1.206000, 77.907, -0.0551
1.220000, 77.971, -1.5484
1.241000, 78.072, -3.8372
1.250000, 78.117, -4.8331
1.265000, 78.194, -6.5090
1.280000, 78.274, -8.2005
1.315000, 78.465, -12.1824
1.320000, 78.493, -12.7528
1.340000, 78.605, -15.0324
1.360000, 78.719, -17.3009
1.380000, 78.833, -19.5896
1.400000, 78.946, -21.8687
1.430000, 79.113, -25.2300
1.450000, 79.222, -27.4268
1.475000, 79.354, -30.1142
1.500000, 79.486, -32.7173
1.525000, 79.619, -35.2171
1.550000, 79.752, -37.6020
1.575000, 79.886, -39.8871
1.600000, 80.022, -42.0872
1.625000, 80.159, -44.1641
1.650000, 80.298, -46.1210
1.675000, 80.439, -47.9630
1.700000, 80.581, -49.6964
1.725000, 80.726, -51.3283
1.750000, 80.874, -52.8657
1.775000, 81.024, -54.3333
1.800000, 81.177, -55.7544
1.825000, 81.333, -57.1004
1.850000, 81.493, -58.3715
1.875000, 81.659, -59.5630
1.900000, 81.829, -60.6764
1.925000, 82.003, -61.7165
1.950000, 82.181, -62.6880
1.975000, 82.361, -63.6132
2.000000, 82.543, -64.5131
2.030000, 82.761, -65.5219
2.060000, 82.979, -66.4628
2.090000, 83.195, -67.3431
2.120000, 83.408, -68.1697
2.140000, 83.547, -68.6940
2.180000, 83.816, -69.7059
2.200000, 83.947, -70.2033
2.240000, 84.201, -71.1337
2.270000, 84.388, -71.7736
2.300000, 84.572, -72.3683
2.330000, 84.753, -72.9230
2.360000, 84.932, -73.4429
2.400000, 85.165, -74.1374
2.430000, 85.338, -74.6350
2.470000, 85.565, -75.2652
2.500000, 85.733, -75.7170
2.540000, 85.953, -76.2961
2.580000, 86.171, -76.8648
2.620000, 86.384, -77.4300
2.650000, 86.541, -77.8250
2.690000, 86.747, -78.3194
2.720000, 86.899, -78.6702
2.760000, 87.099, -79.1156
2.800000, 87.295, -79.5830
2.850000, 87.536, -80.1573
2.900000, 87.772, -80.7219
2.950000, 88.004, -81.2762
3.000000, 88.231, -81.8348
3.040000, 88.409, -82.2709
3.070000, 88.540, -82.5871
3.110000, 88.713, -82.9978
3.150000, 88.882, -83.4001
3.200000, 89.090, -83.9281
3.250000, 89.294, -84.4712
3.300000, 89.494, -85.0186
3.350000, 89.690, -85.5619
3.400000, 89.881, -86.1275
3.450000, 90.069, -86.6957
3.500000, 90.252, -87.2549
3.550000, 90.431, -87.8074
3.600000, 90.605, -88.3838
3.650000, 90.774, -88.9728
3.700000, 90.938, -89.5655
3.750000, 91.098, -90.1599
3.820000, 91.313, -91.0228
3.870000, 91.461, -91.6394
3.950000, 91.690, -92.6086
4.000000, 91.826, -93.2257
4.060000, 91.984, -93.9739
4.120000, 92.136, -94.7259
4.180000, 92.281, -95.4842
4.250000, 92.442, -96.3885
4.310000, 92.574, -97.1414
4.370000, 92.699, -97.8748
4.440000, 92.836, -98.7447
4.500000, 92.947, -99.4879
4.550000, 93.034, -100.1017
4.620000, 93.149, -100.9690
4.680000, 93.243, -101.6904
4.750000, 93.346, -102.4905
4.820000, 93.442, -103.2799
4.870000, 93.507, -103.8370
4.940000, 93.592, -104.5973
5.000000, 93.660, -105.2388
5.080000, 93.746, -106.0583
5.150000, 93.817, -106.7251
5.220000, 93.883, -107.3780
5.300000, 93.953, -108.0962
5.380000, 94.019, -108.7754
5.450000, 94.076, -109.3499
5.520000, 94.132, -109.8828
5.600000, 94.194, -110.4583
