* Measurement data measured by REW V5.31
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -21.6 dBFS, measurement signal peak level -21.3 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Apr 20, 2024 1:03:31 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0259 ms (-8.9 mm, -0.35 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset
* Measurement: Focal Clear OG L4
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 80.542, 84.6385
1.015000, 80.530, 84.1131
1.030000, 80.512, 83.6147
1.044000, 80.490, 83.1750
1.060000, 80.459, 82.7038
1.075000, 80.424, 82.2932
1.090000, 80.384, 81.9115
1.106000, 80.337, 81.5236
1.120000, 80.297, 81.1768
1.138000, 80.248, 80.7033
1.150000, 80.217, 80.3686
1.172000, 80.161, 79.7095
1.180000, 80.140, 79.4508
1.206000, 80.068, 78.5664
1.220000, 80.024, 78.0632
1.241000, 79.949, 77.2755
1.250000, 79.913, 76.9265
1.265000, 79.846, 76.3307
1.280000, 79.770, 75.7190
1.315000, 79.551, 74.2412
1.320000, 79.515, 74.0257
1.340000, 79.352, 73.1570
1.360000, 79.161, 72.2849
1.380000, 78.941, 71.3796
1.400000, 78.687, 70.4752
1.430000, 78.237, 69.1744
1.450000, 77.887, 68.3619
1.475000, 77.373, 67.3996
1.500000, 76.741, 66.4169
1.525000, 75.988, 65.3585
1.550000, 75.132, 64.2027
1.575000, 74.198, 62.9090
1.600000, 73.208, 61.4385
1.625000, 72.185, 59.8047
1.650000, 71.152, 57.9767
1.675000, 70.133, 55.9166
1.700000, 69.152, 53.5771
1.725000, 68.232, 50.8984
1.750000, 67.397, 47.8041
1.775000, 66.673, 44.1769
1.800000, 66.084, 39.8669
1.825000, 65.649, 34.7078
1.850000, 65.371, 28.3109
1.875000, 65.227, 20.0247
1.900000, 65.198, 9.1261
1.925000, 65.270, -4.8268
1.950000, 65.430, -21.1673
1.975000, 65.664, -37.7244
2.000000, 65.958, -52.1838
2.030000, 66.374, -65.4611
2.060000, 66.834, -74.8972
2.090000, 67.318, -81.6343
2.120000, 67.803, -86.5770
2.140000, 68.115, -89.1794
2.180000, 68.692, -93.2794
2.200000, 68.956, -94.9593
2.240000, 69.494, -97.8774
2.270000, 69.932, -99.7992
2.300000, 70.395, -101.5260
2.330000, 70.877, -103.0726
2.360000, 71.369, -104.4514
2.400000, 72.024, -106.0951
2.430000, 72.503, -107.1650
2.470000, 73.110, -108.3818
2.500000, 73.531, -109.1473
2.540000, 74.030, -109.9897
2.580000, 74.450, -110.6961
2.620000, 74.803, -111.3780
2.650000, 75.032, -111.8676
2.690000, 75.298, -112.4823
2.720000, 75.472, -112.9050
2.760000, 75.678, -113.4026
2.800000, 75.861, -113.8531
2.850000, 76.073, -114.2804
2.900000, 76.280, -114.5320
2.950000, 76.488, -114.6166
3.000000, 76.677, -114.6260
3.040000, 76.811, -114.5917
3.070000, 76.903, -114.5368
3.110000, 77.017, -114.4246
3.150000, 77.124, -114.2672
3.200000, 77.255, -114.0362
3.250000, 77.389, -113.7446
3.300000, 77.529, -113.3731
3.350000, 77.671, -112.9151
3.400000, 77.812, -112.4160
3.450000, 77.950, -111.8802
3.500000, 78.089, -111.3169
3.550000, 78.230, -110.7460
3.600000, 78.377, -110.2115
3.650000, 78.530, -109.7059
3.700000, 78.690, -109.1983
3.750000, 78.857, -108.6650
3.820000, 79.100, -107.9401
3.870000, 79.277, -107.4580
3.950000, 79.563, -106.8017
4.000000, 79.742, -106.5118
4.060000, 79.957, -106.2677
4.120000, 80.176, -106.0781
4.180000, 80.397, -105.9423
4.250000, 80.653, -105.9001
4.310000, 80.865, -105.9560
4.370000, 81.068, -106.1182
4.440000, 81.291, -106.4697
4.500000, 81.475, -106.8575
4.550000, 81.623, -107.2277
4.620000, 81.818, -107.8374
4.680000, 81.971, -108.4236
4.750000, 82.131, -109.1808
4.820000, 82.271, -110.0632
4.870000, 82.361, -110.7632
4.940000, 82.471, -111.8060
5.000000, 82.548, -112.7472
5.080000, 82.622, -114.0320
5.150000, 82.659, -115.1838
5.220000, 82.673, -116.4403
5.300000, 82.659, -117.9761
5.380000, 82.609, -119.5329
5.450000, 82.531, -120.8722
5.520000, 82.421, -122.1750
5.600000, 82.260, -123.7258
5.700000, 82.000, -125.7404
5.800000, 81.657, -127.6343
5.900000, 81.221, -129.2939
6.000000, 80.701, -130.8445
6.080000, 80.214, -131.9758
6.150000, 79.722, -132.7380
6.220000, 79.151, -133.1812
6.300000, 78.377, -133.2227
6.400000, 77.245, -132.4915
6.500000, 76.054, -130.4507
6.600000, 74.922, -126.2450
6.700000, 73.806, -118.7504
6.800000, 72.772, -107.0744
6.900000, 72.181, -92.2015
7.000000, 72.433, -77.5497
7.100000, 73.547, -65.9435
7.200000, 75.065, -58.3253
7.300000, 76.519, -54.2021
7.400000, 77.757, -52.5344
7.500000, 78.864, -52.3883
7.620000, 80.038, -53.4615
7.750000, 81.072, -55.7807
7.880000, 81.867, -59.0277
8.000000, 82.431, -62.3941
8.120000, 82.861, -66.0243
8.250000, 83.174, -70.3824
8.380000, 83.339, -74.8402
8.500000, 83.369, -78.9568
8.620000, 83.281, -83.2525
8.750000, 83.051, -87.8448
8.850000, 82.777, -91.2087
9.000000, 82.210, -96.1979
9.120000, 81.603, -99.9355
9.250000, 80.782, -103.4232
9.380000, 79.786, -106.3295
9.500000, 78.694, -108.2011
9.620000, 77.386, -108.7021
9.750000, 75.792, -107.0862
9.880000, 74.301, -102.4032
10.000000, 73.201, -94.2915
10.150000, 72.336, -79.4345
10.300000, 72.436, -64.8663
10.440000, 73.448, -55.6924
10.600000, 74.877, -50.6932
10.750000, 75.985, -49.8788
10.900000, 76.883, -51.2172
11.060000, 77.594, -53.8813
11.200000, 78.014, -56.9544
11.380000, 78.347, -61.1244
11.500000, 78.460, -63.8831
11.720000, 78.510, -68.6303
11.800000, 78.496, -70.1351
12.060000, 78.408, -74.2661
12.200000, 78.388, -75.9881
12.410000, 78.436, -78.0379
12.500000, 78.498, -78.8258
12.650000, 78.658, -80.0801
12.800000, 78.874, -81.4187
13.150000, 79.501, -85.3782
13.200000, 79.592, -86.0403
13.400000, 79.932, -88.8523
13.600000, 80.214, -91.6939
13.800000, 80.423, -94.3627
14.000000, 80.573, -96.5829
14.300000, 80.746, -98.8417
14.500000, 80.889, -99.5081
14.750000, 81.169, -99.7002
15.000000, 81.590, -99.6950
15.250000, 82.125, -100.1859
15.500000, 82.685, -101.4667
15.750000, 83.181, -103.5546
16.000000, 83.540, -106.2512
16.250000, 83.725, -109.2262
16.500000, 83.716, -112.0523
16.750000, 83.519, -114.2820
17.000000, 83.164, -115.4569
17.250000, 82.715, -115.1690
17.500000, 82.276, -113.0524
17.750000, 82.003, -109.1735
18.000000, 82.031, -104.2531
18.250000, 82.411, -99.5681
18.500000, 83.059, -96.2794
18.750000, 83.825, -94.9040
19.000000, 84.569, -95.3666
19.250000, 85.197, -97.3041
19.500000, 85.659, -100.2128
19.750000, 85.935, -103.6489
20.000000, 86.023, -107.1773
20.299999, 85.905, -111.0059
