* Measurement data measured by REW V5.31
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -18.8 dBFS, measurement signal peak level -14.9 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -7.9 dBFS using an acoustic timing reference
* Dated: Apr 24, 2024 6:32:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -0.2195 ms (-75 mm, -2.96 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset
* Measurement: HEDDphone 2 R5
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 61.018, -49.8535
1.015000, 60.768, -54.5914
1.030000, 60.554, -59.5563
1.044000, 60.387, -64.3237
1.060000, 60.242, -69.8286
1.075000, 60.152, -74.9417
1.090000, 60.112, -79.9181
1.106000, 60.127, -85.0223
1.120000, 60.194, -89.3243
1.138000, 60.348, -94.6201
1.150000, 60.491, -97.9836
1.172000, 60.828, -103.7651
1.180000, 60.972, -105.7407
1.206000, 61.509, -111.6502
1.220000, 61.837, -114.5078
1.241000, 62.367, -118.3787
1.250000, 62.607, -119.8901
1.265000, 63.018, -122.2207
1.280000, 63.441, -124.3266
1.315000, 64.447, -128.4357
1.320000, 64.591, -128.9375
1.340000, 65.159, -130.7497
1.360000, 65.707, -132.2676
1.380000, 66.227, -133.5545
1.400000, 66.707, -134.6082
1.430000, 67.329, -135.7647
1.450000, 67.667, -136.2800
1.475000, 67.998, -136.6995
1.500000, 68.258, -136.9870
1.525000, 68.464, -137.1949
1.550000, 68.625, -137.3242
1.575000, 68.746, -137.3914
1.600000, 68.835, -137.4077
1.625000, 68.897, -137.3284
1.650000, 68.938, -137.1477
1.675000, 68.964, -136.8602
1.700000, 68.982, -136.4608
1.725000, 68.997, -135.9449
1.750000, 69.016, -135.3084
1.775000, 69.045, -134.5653
1.800000, 69.089, -133.7300
1.825000, 69.153, -132.7726
1.850000, 69.228, -131.7165
1.875000, 69.301, -130.5924
1.900000, 69.370, -129.4125
1.925000, 69.434, -128.1806
1.950000, 69.496, -126.8991
1.975000, 69.557, -125.5888
2.000000, 69.620, -124.2700
2.030000, 69.699, -122.6393
2.060000, 69.786, -120.9681
2.090000, 69.885, -119.2687
2.120000, 69.997, -117.5545
2.140000, 70.081, -116.4102
2.180000, 70.277, -114.1532
2.200000, 70.390, -113.0471
2.240000, 70.644, -110.7969
2.270000, 70.856, -109.0750
2.300000, 71.086, -107.3541
2.330000, 71.329, -105.6641
2.360000, 71.584, -104.0318
2.400000, 71.937, -102.0307
2.430000, 72.209, -100.6547
2.470000, 72.577, -99.0020
2.500000, 72.853, -97.9100
2.540000, 73.218, -96.6541
2.580000, 73.580, -95.5973
2.620000, 73.950, -94.6453
2.650000, 74.234, -93.9559
2.690000, 74.620, -93.0929
2.720000, 74.912, -92.5042
2.760000, 75.301, -91.8151
2.800000, 75.687, -91.2928
2.850000, 76.158, -90.8428
2.900000, 76.609, -90.6211
2.950000, 77.037, -90.5945
3.000000, 77.449, -90.6909
3.040000, 77.769, -90.8151
3.070000, 78.004, -90.9300
3.110000, 78.309, -91.1167
3.150000, 78.606, -91.3469
3.200000, 78.963, -91.7353
3.250000, 79.305, -92.2259
3.300000, 79.631, -92.8092
3.350000, 79.942, -93.4670
3.400000, 80.236, -94.2039
3.450000, 80.515, -94.9808
3.500000, 80.780, -95.7725
3.550000, 81.032, -96.5725
3.600000, 81.270, -97.4070
3.650000, 81.496, -98.2668
3.700000, 81.708, -99.1575
3.750000, 81.906, -100.0876
3.820000, 82.161, -101.4602
3.870000, 82.328, -102.4452
3.950000, 82.572, -103.9736
4.000000, 82.712, -104.9095
4.060000, 82.866, -106.0216
4.120000, 83.004, -107.1507
4.180000, 83.126, -108.2982
4.250000, 83.250, -109.6423
4.310000, 83.343, -110.7346
4.370000, 83.426, -111.7557
4.440000, 83.508, -112.9052
4.500000, 83.564, -113.8689
4.550000, 83.602, -114.6559
4.620000, 83.643, -115.7380
4.680000, 83.671, -116.6034
4.750000, 83.698, -117.5076
4.820000, 83.717, -118.3314
4.870000, 83.725, -118.8802
4.940000, 83.728, -119.5925
5.000000, 83.728, -120.1626
5.080000, 83.728, -120.8435
5.150000, 83.729, -121.3406
5.220000, 83.731, -121.7680
5.300000, 83.733, -122.1734
5.380000, 83.738, -122.5129
5.450000, 83.750, -122.7911
5.520000, 83.769, -123.0328
5.600000, 83.801, -123.2609
5.700000, 83.852, -123.5021
5.800000, 83.914, -123.7527
5.900000, 83.988, -124.0719
6.000000, 84.075, -124.4254
6.080000, 84.151, -124.7469
6.150000, 84.218, -125.0576
6.220000, 84.284, -125.4257
6.300000, 84.359, -125.9043
6.400000, 84.451, -126.5751
6.500000, 84.538, -127.3124
6.600000, 84.614, -128.0955
6.700000, 84.676, -128.9491
6.800000, 84.727, -129.8494
6.900000, 84.765, -130.7591
7.000000, 84.790, -131.6453
7.100000, 84.800, -132.5335
7.200000, 84.797, -133.4034
7.300000, 84.786, -134.2253
7.400000, 84.766, -134.9775
7.500000, 84.738, -135.6830
7.620000, 84.698, -136.4559
7.750000, 84.656, -137.1860
7.880000, 84.616, -137.8144
8.000000, 84.582, -138.3331
8.120000, 84.557, -138.8245
8.250000, 84.538, -139.3242
8.380000, 84.525, -139.8235
8.500000, 84.515, -140.3228
8.620000, 84.508, -140.8502
8.750000, 84.495, -141.4440
8.850000, 84.478, -141.9214
9.000000, 84.440, -142.6591
9.120000, 84.396, -143.2207
9.250000, 84.332, -143.7682
9.380000, 84.252, -144.2374
9.500000, 84.171, -144.5515
9.620000, 84.084, -144.7061
9.750000, 83.987, -144.7004
9.880000, 83.896, -144.5143
10.000000, 83.822, -144.1598
10.150000, 83.752, -143.5629
10.300000, 83.728, -142.8705
10.440000, 83.754, -142.1893
10.600000, 83.836, -141.5368
10.750000, 83.963, -141.1762
10.900000, 84.125, -141.0922
11.060000, 84.308, -141.4166
11.200000, 84.468, -142.0547
11.380000, 84.646, -143.2231
11.500000, 84.736, -144.1987
11.720000, 84.835, -146.2117
11.800000, 84.847, -146.9723
12.060000, 84.805, -149.4269
12.200000, 84.736, -150.6302
12.410000, 84.586, -152.1285
12.500000, 84.511, -152.6174
12.650000, 84.377, -153.2133
12.800000, 84.247, -153.5527
13.150000, 84.029, -153.5352
13.200000, 84.012, -153.4838
13.400000, 83.986, -153.2218
13.600000, 84.013, -153.0246
13.800000, 84.079, -153.0207
14.000000, 84.157, -153.2678
14.300000, 84.252, -154.1325
14.500000, 84.277, -154.8705
14.750000, 84.255, -155.7792
15.000000, 84.180, -156.5037
15.250000, 84.078, -156.9456
15.500000, 83.967, -156.9914
15.750000, 83.869, -156.6449
16.000000, 83.800, -155.9731
16.250000, 83.771, -155.1101
16.500000, 83.787, -154.0943
16.750000, 83.850, -153.0064
17.000000, 83.966, -151.9433
