* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -9.2 dBFS, measurement signal peak level -7.5 dBFS
* Format: 4M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Aug 23, 2024 3:16:28 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -0.0621 ms (-21 mm, -0.84 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -24.1 ppm
* Measurement: Hifiman Ananda V3 R5
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 68.087, 39.4632
1.015000, 68.083, 39.4291
1.030000, 68.079, 39.3520
1.044000, 68.075, 39.2390
1.060000, 68.071, 39.0585
1.075000, 68.066, 38.8369
1.090000, 68.062, 38.5635
1.106000, 68.056, 38.2208
1.120000, 68.050, 37.8917
1.138000, 68.039, 37.4374
1.150000, 68.031, 37.1148
1.172000, 68.014, 36.4743
1.180000, 68.007, 36.2216
1.206000, 67.983, 35.3407
1.220000, 67.970, 34.8261
1.241000, 67.950, 33.9985
1.250000, 67.942, 33.6227
1.265000, 67.928, 32.9674
1.280000, 67.915, 32.2754
1.315000, 67.890, 30.5159
1.320000, 67.887, 30.2481
1.340000, 67.878, 29.1359
1.360000, 67.872, 27.9614
1.380000, 67.871, 26.6895
1.400000, 67.875, 25.3474
1.430000, 67.893, 23.2414
1.450000, 67.913, 21.7808
1.475000, 67.946, 19.8675
1.500000, 67.985, 17.8848
1.525000, 68.028, 15.9103
1.550000, 68.075, 13.9611
1.575000, 68.127, 12.0243
1.600000, 68.185, 10.0882
1.625000, 68.250, 8.1846
1.650000, 68.322, 6.3142
1.675000, 68.402, 4.4771
1.700000, 68.491, 2.6732
1.725000, 68.590, 0.9025
1.750000, 68.700, -0.8349
1.775000, 68.821, -2.5527
1.800000, 68.954, -4.2634
1.825000, 69.100, -5.9320
1.850000, 69.262, -7.5310
1.875000, 69.442, -9.0268
1.900000, 69.637, -10.4154
1.925000, 69.848, -11.7056
1.950000, 70.070, -12.9079
1.975000, 70.303, -14.0437
2.000000, 70.544, -15.1330
2.030000, 70.840, -16.3620
2.060000, 71.141, -17.5198
2.090000, 71.444, -18.6185
2.120000, 71.743, -19.6680
2.140000, 71.940, -20.3447
2.180000, 72.321, -21.6688
2.200000, 72.506, -22.3206
2.240000, 72.870, -23.5277
2.270000, 73.142, -24.3376
2.300000, 73.415, -25.0764
2.330000, 73.688, -25.7564
2.360000, 73.960, -26.3891
2.400000, 74.320, -27.2139
2.430000, 74.588, -27.8058
2.470000, 74.941, -28.5655
2.500000, 75.201, -29.1205
2.540000, 75.542, -29.8472
2.580000, 75.875, -30.5638
2.620000, 76.201, -31.2515
2.650000, 76.443, -31.7233
2.690000, 76.760, -32.3053
2.720000, 76.994, -32.7147
2.760000, 77.302, -33.2342
2.800000, 77.605, -33.7722
2.850000, 77.976, -34.4397
2.900000, 78.340, -35.1081
2.950000, 78.697, -35.7708
3.000000, 79.045, -36.4187
3.040000, 79.318, -36.9116
3.070000, 79.520, -37.2653
3.110000, 79.784, -37.7223
3.150000, 80.044, -38.1694
3.200000, 80.362, -38.7542
3.250000, 80.675, -39.3586
3.300000, 80.981, -39.9708
3.350000, 81.280, -40.5711
3.400000, 81.573, -41.1712
3.450000, 81.859, -41.7605
3.500000, 82.139, -42.3364
3.550000, 82.413, -42.9062
3.600000, 82.681, -43.5038
3.650000, 82.945, -44.1185
3.700000, 83.202, -44.7340
3.750000, 83.455, -45.3394
3.820000, 83.798, -46.1944
3.870000, 84.037, -46.7998
3.950000, 84.408, -47.7579
4.000000, 84.634, -48.3790
4.060000, 84.898, -49.1370
4.120000, 85.155, -49.8892
4.180000, 85.405, -50.6369
4.250000, 85.687, -51.5228
4.310000, 85.922, -52.2687
4.370000, 86.151, -53.0083
4.440000, 86.410, -53.8918
4.500000, 86.625, -54.6435
4.550000, 86.799, -55.2621
4.620000, 87.036, -56.1361
4.680000, 87.233, -56.8735
4.750000, 87.457, -57.7127
4.820000, 87.674, -58.5567
4.870000, 87.825, -59.1559
4.940000, 88.029, -59.9798
5.000000, 88.200, -60.6832
5.080000, 88.421, -61.6042
5.150000, 88.609, -62.3823
5.220000, 88.793, -63.1601
5.300000, 88.996, -64.0338
5.380000, 89.193, -64.8831
5.450000, 89.361, -65.6217
5.520000, 89.527, -66.3339
5.600000, 89.711, -67.1317
5.700000, 89.934, -68.1121
5.800000, 90.153, -69.0633
5.900000, 90.369, -69.9962
6.000000, 90.582, -70.8995
6.080000, 90.751, -71.6139
6.150000, 90.897, -72.2253
6.220000, 91.042, -72.8450
6.300000, 91.206, -73.5448
6.400000, 91.410, -74.4086
6.500000, 91.612, -75.2768
6.600000, 91.813, -76.1491
6.700000, 92.012, -77.0371
6.800000, 92.210, -77.9254
6.900000, 92.406, -78.8291
7.000000, 92.597, -79.7419
7.100000, 92.784, -80.6714
7.200000, 92.968, -81.6064
7.300000, 93.148, -82.5553
7.400000, 93.325, -83.5109
7.500000, 93.499, -84.4792
7.620000, 93.702, -85.6464
7.750000, 93.913, -86.9161
7.880000, 94.117, -88.2020
8.000000, 94.298, -89.3853
8.120000, 94.474, -90.5700
8.250000, 94.658, -91.8542
8.380000, 94.836, -93.1302
8.500000, 94.994, -94.3039
8.620000, 95.146, -95.4712
8.750000, 95.306, -96.7277
8.850000, 95.425, -97.6905
9.000000, 95.599, -99.1240
9.120000, 95.733, -100.2675
9.250000, 95.873, -101.5024
9.380000, 96.008, -102.7306
9.500000, 96.128, -103.8653
9.620000, 96.242, -104.9918
9.750000, 96.360, -106.2078
9.880000, 96.464, -107.4100
10.000000, 96.546, -108.4999
10.150000, 96.632, -109.8721
10.300000, 96.704, -111.2027
10.440000, 96.760, -112.4077
10.600000, 96.817, -113.7400
10.750000, 96.867, -114.9433
10.900000, 96.915, -116.1077
11.060000, 96.967, -117.3427
11.200000, 97.012, -118.4408
11.380000, 97.068, -119.8257
11.500000, 97.103, -120.7370
11.720000, 97.165, -122.3935
11.800000, 97.186, -122.9948
12.060000, 97.253, -124.9678
