* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -16.1 dBFS, measurement signal peak level -16.1 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -28.3 dBFS using an acoustic timing reference
* Dated: Nov 17, 2024 12:18:54 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Fosi DS1 Delay -0.2206 ms (-76 mm, -2.98 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -25.1 ppm
* Measurement: aftermarket L3
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 64.372, -16.6420
1.015000, 64.705, -18.2309
1.030000, 65.036, -19.8042
1.044000, 65.342, -21.2586
1.060000, 65.688, -22.9038
1.075000, 66.008, -24.4283
1.090000, 66.322, -25.9298
1.106000, 66.655, -27.4765
1.120000, 66.949, -28.7376
1.138000, 67.334, -30.2110
1.150000, 67.595, -31.1071
1.172000, 68.081, -32.5989
1.180000, 68.260, -33.1017
1.206000, 68.846, -34.5993
1.220000, 69.163, -35.3321
1.241000, 69.640, -36.3533
1.250000, 69.844, -36.7666
1.265000, 70.183, -37.4285
1.280000, 70.521, -38.0615
1.315000, 71.295, -39.4544
1.320000, 71.403, -39.6461
1.340000, 71.832, -40.3998
1.360000, 72.249, -41.1366
1.380000, 72.652, -41.9009
1.400000, 73.040, -42.6742
1.430000, 73.589, -43.8322
1.450000, 73.930, -44.6042
1.475000, 74.325, -45.5444
1.500000, 74.690, -46.3936
1.525000, 75.026, -47.1364
1.550000, 75.338, -47.7911
1.575000, 75.628, -48.3942
1.600000, 75.898, -48.9764
1.625000, 76.152, -49.5219
1.650000, 76.393, -50.0430
1.675000, 76.623, -50.5504
1.700000, 76.846, -51.0527
1.725000, 77.064, -51.5574
1.750000, 77.279, -52.0703
1.775000, 77.496, -52.6103
1.800000, 77.716, -53.1941
1.825000, 77.942, -53.7914
1.850000, 78.170, -54.3813
1.875000, 78.396, -54.9358
1.900000, 78.618, -55.4503
1.925000, 78.835, -55.9305
1.950000, 79.048, -56.3833
1.975000, 79.258, -56.8259
2.000000, 79.463, -57.2749
2.030000, 79.705, -57.8005
2.060000, 79.942, -58.3207
2.090000, 80.175, -58.8430
2.120000, 80.404, -59.3737
2.140000, 80.555, -59.7349
2.180000, 80.851, -60.4992
2.200000, 80.997, -60.9081
2.240000, 81.282, -61.7123
2.270000, 81.491, -62.2894
2.300000, 81.695, -62.8447
2.330000, 81.895, -63.3816
2.360000, 82.091, -63.9044
2.400000, 82.346, -64.6239
2.430000, 82.533, -65.1623
2.470000, 82.777, -65.8783
2.500000, 82.956, -66.4186
2.540000, 83.191, -67.1488
2.580000, 83.421, -67.9039
2.620000, 83.645, -68.6834
2.650000, 83.808, -69.2571
2.690000, 84.021, -70.0067
2.720000, 84.177, -70.5579
2.760000, 84.380, -71.2780
2.800000, 84.578, -72.0222
2.850000, 84.819, -72.9458
2.900000, 85.052, -73.8632
2.950000, 85.278, -74.7808
3.000000, 85.496, -75.7237
3.040000, 85.664, -76.4808
3.070000, 85.788, -77.0420
3.110000, 85.948, -77.7795
3.150000, 86.103, -78.5037
3.200000, 86.292, -79.4194
3.250000, 86.474, -80.3294
3.300000, 86.651, -81.2246
3.350000, 86.821, -82.1137
3.400000, 86.985, -83.0242
