* Measurement data measured by REW V5.31
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 1.000. Timing signal peak level -8.7 dBFS, measurement signal peak level -3.5 dBFS
* Format: 4M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Apr 13, 2024 9:40:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -0.1155 ms (-40 mm, -1.56 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: 2.6 ppm
* Measurement: Koss KSC75 R1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 57.961, 14.0227
1.015000, 57.892, 14.0715
1.030000, 57.821, 14.1247
1.044000, 57.752, 14.1795
1.060000, 57.670, 14.2498
1.075000, 57.589, 14.3244
1.090000, 57.505, 14.4084
1.106000, 57.413, 14.5053
1.120000, 57.333, 14.5890
1.138000, 57.232, 14.6899
1.150000, 57.166, 14.7525
1.172000, 57.046, 14.8520
1.180000, 57.002, 14.8788
1.206000, 56.858, 14.9580
1.220000, 56.779, 14.9958
1.241000, 56.655, 15.0477
1.250000, 56.600, 15.0685
1.265000, 56.504, 15.1019
1.280000, 56.405, 15.1343
1.315000, 56.150, 15.2117
1.320000, 56.110, 15.2235
1.340000, 55.945, 15.2741
1.360000, 55.765, 15.3338
1.380000, 55.569, 15.3667
1.400000, 55.355, 15.3999
1.430000, 54.997, 15.4868
1.450000, 54.731, 15.5752
1.475000, 54.364, 15.7211
1.500000, 53.952, 15.8931
1.525000, 53.496, 16.0835
1.550000, 53.002, 16.2930
1.575000, 52.476, 16.5024
1.600000, 51.925, 16.6980
1.625000, 51.353, 16.9234
1.650000, 50.767, 17.1843
1.675000, 50.173, 17.4881
1.700000, 49.578, 17.8436
1.725000, 48.987, 18.2612
1.750000, 48.406, 18.7534
1.775000, 47.842, 19.3174
1.800000, 47.300, 19.9531
1.825000, 46.783, 20.7159
1.850000, 46.277, 21.6416
1.875000, 45.761, 22.7721
1.900000, 45.231, 24.1270
1.925000, 44.693, 25.7149
1.950000, 44.153, 27.5410
1.975000, 43.618, 29.5889
2.000000, 43.097, 31.8359
2.030000, 42.497, 34.8163
2.060000, 41.940, 38.0535
2.090000, 41.436, 41.4631
2.120000, 40.999, 44.9282
2.140000, 40.751, 47.2002
2.180000, 40.377, 51.4505
2.200000, 40.256, 53.3915
2.240000, 40.154, 57.1402
2.270000, 40.189, 59.8788
2.300000, 40.306, 62.4509
2.330000, 40.492, 64.7558
2.360000, 40.734, 66.7193
2.400000, 41.123, 68.6798
2.430000, 41.446, 69.6574
2.470000, 41.897, 70.2995
2.500000, 42.234, 70.2880
2.540000, 42.660, 69.6394
2.580000, 43.058, 68.3720
2.620000, 43.464, 66.7612
2.650000, 43.784, 65.4610
2.690000, 44.231, 63.6411
2.720000, 44.577, 62.2184
2.760000, 45.049, 60.2445
2.800000, 45.526, 58.1315
2.850000, 46.119, 55.3191
2.900000, 46.699, 52.2921
2.950000, 47.262, 49.0749
3.000000, 47.821, 45.8101
3.040000, 48.267, 43.2676
