* Measurement data measured by REW V5.31
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -23.8 dBFS, measurement signal peak level -17.3 dBFS
* Format: 4M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Apr 21, 2024 9:44:16 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0797 ms (-27 mm, -1.08 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset
* Measurement: Koss KSC75 R5
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 65.531, -92.9702
1.015000, 65.595, -93.0952
1.030000, 65.656, -93.2167
1.044000, 65.711, -93.3273
1.060000, 65.771, -93.4510
1.075000, 65.825, -93.5652
1.090000, 65.877, -93.6791
1.106000, 65.931, -93.8067
1.120000, 65.978, -93.9328
1.138000, 66.040, -94.1201
1.150000, 66.081, -94.2601
1.172000, 66.154, -94.5516
1.180000, 66.180, -94.6726
1.206000, 66.260, -95.0916
1.220000, 66.300, -95.3320
1.241000, 66.354, -95.7086
1.250000, 66.375, -95.8750
1.265000, 66.405, -96.1578
1.280000, 66.431, -96.4462
1.315000, 66.467, -97.1329
1.320000, 66.469, -97.2318
1.340000, 66.470, -97.6274
1.360000, 66.455, -98.0193
1.380000, 66.425, -98.4435
1.400000, 66.378, -98.8735
1.430000, 66.272, -99.4952
1.450000, 66.176, -99.8917
1.475000, 66.026, -100.3802
1.500000, 65.841, -100.9045
1.525000, 65.624, -101.4835
1.550000, 65.378, -102.1146
1.575000, 65.105, -102.8139
1.600000, 64.808, -103.5934
1.625000, 64.490, -104.4084
1.650000, 64.153, -105.2538
1.675000, 63.800, -106.1246
1.700000, 63.434, -107.0156
1.725000, 63.057, -107.9220
1.750000, 62.672, -108.8392
1.775000, 62.282, -109.7800
1.800000, 61.889, -110.7575
1.825000, 61.493, -111.7436
1.850000, 61.085, -112.7779
1.875000, 60.651, -113.9170
1.900000, 60.191, -115.1837
1.925000, 59.708, -116.5838
1.950000, 59.208, -118.1201
1.975000, 58.698, -119.8124
2.000000, 58.183, -121.6798
2.030000, 57.566, -124.1115
2.060000, 56.962, -126.7585
2.090000, 56.381, -129.6268
2.120000, 55.832, -132.7239
2.140000, 55.489, -134.9208
2.180000, 54.871, -139.6871
2.200000, 54.596, -142.3163
2.240000, 54.082, -148.3546
2.270000, 53.714, -153.8021
2.300000, 53.363, -160.1524
2.330000, 53.036, -167.4311
2.360000, 52.739, -175.5646
2.400000, 52.403, 172.5901
2.430000, 52.205, 163.4328
2.470000, 52.025, 151.5923
2.500000, 51.963, 143.3672
2.540000, 51.993, 133.5260
2.580000, 52.178, 124.8810
2.620000, 52.545, 117.2040
2.650000, 52.931, 112.0817
2.690000, 53.563, 106.0755
2.720000, 54.099, 102.1377
2.760000, 54.862, 97.5401
2.800000, 55.641, 93.5208
2.850000, 56.572, 89.1646
2.900000, 57.384, 85.3536
2.950000, 58.044, 81.8828
3.000000, 58.605, 78.5677
3.040000, 59.012, 76.0319
3.070000, 59.297, 74.2137
3.110000, 59.652, 71.9050
3.150000, 59.983, 69.7251
3.200000, 60.368, 67.1349
3.250000, 60.728, 64.6837
3.300000, 61.066, 62.3307
3.350000, 61.376, 59.9867
3.400000, 61.654, 57.5900
3.450000, 61.901, 55.1982
3.500000, 62.123, 52.8629
3.550000, 62.323, 50.6084
3.600000, 62.506, 48.4175
3.650000, 62.676, 46.2928
3.700000, 62.831, 44.1831
3.750000, 62.967, 42.0269
3.820000, 63.127, 38.9228
3.870000, 63.222, 36.7122
3.950000, 63.345, 33.2826
4.000000, 63.408, 31.2068
4.060000, 63.469, 28.7496
4.120000, 63.512, 26.2391
4.180000, 63.537, 23.6636
4.250000, 63.546, 20.6255
4.310000, 63.537, 18.0876
4.370000, 63.515, 15.6441
4.440000, 63.472, 12.8314
4.500000, 63.420, 10.3807
4.550000, 63.366, 8.3090
4.620000, 63.275, 5.3903
4.680000, 63.184, 2.9498
4.750000, 63.065, 0.2379
4.820000, 62.930, -2.4023
4.870000, 62.825, -4.2949
4.940000, 62.664, -6.9436
5.000000, 62.514, -9.1855
5.080000, 62.301, -12.0347
5.150000, 62.100, -14.3380
5.220000, 61.885, -16.5466
5.300000, 61.622, -18.9849
5.380000, 61.347, -21.2766
5.450000, 61.099, -23.1035
5.520000, 60.844, -24.6888
5.600000, 60.539, -26.2352
5.700000, 60.147, -27.8088
5.800000, 59.769, -28.9241
5.900000, 59.421, -29.4714
6.000000, 59.091, -29.3469
6.080000, 58.855, -28.8223
6.150000, 58.690, -28.1010
6.220000, 58.579, -27.1871
6.300000, 58.521, -25.8633
6.400000, 58.541, -23.8196
6.500000, 58.660, -21.6511
6.600000, 58.881, -19.6576
6.700000, 59.217, -17.8792
6.800000, 59.647, -16.3373
6.900000, 60.125, -15.2223
7.000000, 60.621, -14.5991
7.100000, 61.142, -14.3716
7.200000, 61.675, -14.4677
7.300000, 62.192, -14.8902
7.400000, 62.683, -15.6108
7.500000, 63.152, -16.5664
7.620000, 63.681, -17.9030
7.750000, 64.201, -19.5311
7.880000, 64.666, -21.3318
8.000000, 65.049, -23.0200
8.120000, 65.388, -24.6838
8.250000, 65.705, -26.4807
8.380000, 65.977, -28.1691
8.500000, 66.191, -29.5819
8.620000, 66.371, -30.8757
8.750000, 66.536, -32.0845
8.850000, 66.646, -32.8431
9.000000, 66.786, -33.7245
9.120000, 66.888, -34.2042
9.250000, 66.998, -34.4761
9.380000, 67.110, -34.5137
9.500000, 67.226, -34.3878
9.620000, 67.361, -34.1164
9.750000, 67.527, -33.6974
9.880000, 67.710, -33.2419
10.000000, 67.895, -32.8176
10.150000, 68.143, -32.3635
10.300000, 68.406, -32.0485
10.440000, 68.662, -31.9001
10.600000, 68.956, -31.9213
10.750000, 69.226, -32.1445
