* Measurement data measured by REW V5.31
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 1.000. Timing signal peak level -25.2 dBFS, measurement signal peak level -10.3 dBFS
* Format: 4M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Apr 13, 2024 10:08:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -0.0671 ms (-23 mm, -0.91 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset
* Measurement: Nokia Earbuds L3
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 56.521, 56.6312
1.015000, 56.481, 58.7240
1.030000, 56.449, 60.8028
1.044000, 56.429, 62.7203
1.060000, 56.417, 64.8728
1.075000, 56.418, 66.8417
1.090000, 56.431, 68.7547
1.106000, 56.462, 70.7383
1.120000, 56.505, 72.4453
1.138000, 56.585, 74.6092
1.150000, 56.652, 76.0287
1.172000, 56.802, 78.5641
1.180000, 56.864, 79.4571
1.206000, 57.088, 82.2671
1.220000, 57.221, 83.7166
1.241000, 57.432, 85.8022
1.250000, 57.526, 86.6626
1.265000, 57.685, 88.0512
1.280000, 57.847, 89.3831
1.315000, 58.225, 92.2716
1.320000, 58.278, 92.6596
1.340000, 58.484, 94.1516
1.360000, 58.678, 95.5511
1.380000, 58.857, 96.8225
1.400000, 59.016, 97.9925
1.430000, 59.208, 99.5926
1.450000, 59.300, 100.5603
1.475000, 59.372, 101.6618
1.500000, 59.410, 102.6456
1.525000, 59.419, 103.5209
1.550000, 59.404, 104.3005
1.575000, 59.367, 104.9752
1.600000, 59.310, 105.5393
1.625000, 59.236, 106.0421
1.650000, 59.147, 106.4932
1.675000, 59.045, 106.9011
1.700000, 58.933, 107.2734
1.725000, 58.813, 107.6169
1.750000, 58.687, 107.9378
1.775000, 58.559, 108.2245
1.800000, 58.429, 108.4648
1.825000, 58.300, 108.6910
1.850000, 58.172, 108.8795
1.875000, 58.041, 109.0015
1.900000, 57.906, 109.0547
1.925000, 57.766, 109.0490
1.950000, 57.620, 108.9958
1.975000, 57.466, 108.8891
2.000000, 57.305, 108.7235
2.030000, 57.101, 108.5059
2.060000, 56.882, 108.2823
2.090000, 56.647, 108.0701
2.120000, 56.396, 107.8866
2.140000, 56.218, 107.7887
2.180000, 55.837, 107.6484
2.200000, 55.635, 107.5918
2.240000, 55.225, 107.4634
2.270000, 54.914, 107.3129
2.300000, 54.597, 107.1183
2.330000, 54.267, 106.8919
2.360000, 53.919, 106.6482
2.400000, 53.417, 106.2790
2.430000, 53.004, 106.0254
2.470000, 52.392, 105.7759
2.500000, 51.881, 105.6954
2.540000, 51.114, 105.7974
2.580000, 50.209, 106.1645
2.620000, 49.086, 106.7352
2.650000, 48.102, 107.3206
2.690000, 46.659, 108.3700
2.720000, 45.522, 109.4259
2.760000, 44.004, 111.3428
2.800000, 42.567, 114.0512
2.850000, 41.026, 119.2523
2.900000, 39.945, 127.6650
2.950000, 39.480, 141.0734
3.000000, 39.622, 160.7587
3.040000, 40.082, 178.8773
3.070000, 40.578, -168.7183
3.110000, 41.380, -155.7078
3.150000, 42.275, -146.6790
3.200000, 43.414, -139.4995
3.250000, 44.459, -135.2746
3.300000, 45.336, -132.9060
3.350000, 46.116, -131.7096
3.400000, 46.885, -131.2756
3.450000, 47.643, -131.3174
3.500000, 48.370, -131.6570
3.550000, 49.046, -132.1952
3.600000, 49.649, -132.9056
3.650000, 50.163, -133.7648
3.700000, 50.581, -134.8181
3.750000, 50.913, -136.1053
3.820000, 51.256, -138.2137
3.870000, 51.432, -139.8125
3.950000, 51.626, -142.3618
4.000000, 51.710, -143.9315
4.060000, 51.779, -145.8563
4.120000, 51.802, -147.9831
4.180000, 51.772, -150.3210
4.250000, 51.676, -153.2112
4.310000, 51.545, -155.6840
4.370000, 51.374, -158.0878
4.440000, 51.124, -160.9302
4.500000, 50.865, -163.5746
4.550000, 50.618, -165.9502
4.620000, 50.220, -169.4913
4.680000, 49.832, -172.6094
4.750000, 49.322, -176.2294
4.820000, 48.745, -179.9709
4.870000, 48.290, 177.1211
4.940000, 47.601, 172.6343
5.000000, 46.971, 168.3988
5.080000, 46.088, 162.3139
5.150000, 45.267, 156.6460
5.220000, 44.362, 150.3241
5.300000, 43.252, 141.7948
5.380000, 42.181, 131.6429
5.450000, 41.385, 121.5887
5.520000, 40.797, 110.8213
5.600000, 40.372, 97.6131
5.700000, 40.117, 80.2727
5.800000, 40.068, 64.3516
5.900000, 40.178, 51.7227
6.000000, 40.490, 41.6168
6.080000, 40.817, 34.9152
6.150000, 41.075, 30.1786
6.220000, 41.238, 26.5558
6.300000, 41.292, 23.5886
6.400000, 41.275, 21.1186
6.500000, 41.246, 19.9425
6.600000, 41.234, 20.3171
6.700000, 41.246, 22.3818
6.800000, 41.274, 25.8661
6.900000, 41.335, 30.1649
7.000000, 41.584, 34.7747
7.100000, 42.132, 39.4820
7.200000, 42.846, 43.6792
7.300000, 43.613, 46.7448
7.400000, 44.403, 48.6595
7.500000, 45.224, 49.7246
7.620000, 46.174, 50.0240
7.750000, 47.067, 49.2029
7.880000, 47.822, 47.4924
8.000000, 48.408, 45.4628
8.120000, 48.883, 43.0741
8.250000, 49.275, 40.0776
8.380000, 49.553, 36.9154
8.500000, 49.717, 33.9267
8.620000, 49.794, 30.7921
8.750000, 49.793, 27.3806
8.850000, 49.738, 24.8149
9.000000, 49.573, 20.9524
9.120000, 49.382, 17.8954
9.250000, 49.130, 14.6898
9.380000, 48.834, 11.5279
9.500000, 48.536, 8.6236
9.620000, 48.225, 5.7549
9.750000, 47.875, 2.6385
9.880000, 47.514, -0.5629
10.000000, 47.176, -3.6170
10.150000, 46.746, -7.6290
10.300000, 46.310, -11.8637
10.440000, 45.898, -16.0544
10.600000, 45.409, -21.0083
10.750000, 44.925, -25.7518
10.900000, 44.407, -30.4796
11.060000, 43.793, -35.1715
11.200000, 43.199, -38.8624
11.380000, 42.358, -42.4486
11.500000, 41.745, -43.7662
11.720000, 40.669, -43.4081
11.800000, 40.344, -42.1974
12.060000, 39.745, -34.7784
12.200000, 39.892, -29.8783
12.410000, 40.598, -23.4159
12.500000, 40.981, -21.4451
12.650000, 41.660, -19.1962
12.800000, 42.279, -17.8234
13.150000, 43.155, -15.7506
13.200000, 43.220, -15.2664
13.400000, 43.376, -12.2841
13.600000, 43.595, -7.0917
13.800000, 44.101, 0.0275
14.000000, 45.069, 7.0561
14.300000, 47.151, 13.4281
14.500000, 48.565, 14.0536
14.750000, 50.052, 11.7563
15.000000, 51.079, 7.3235
15.250000, 51.601, 1.8888
15.500000, 51.593, -3.3389
15.750000, 51.050, -7.2249
16.000000, 50.026, -7.9607
16.250000, 48.858, -3.3727
16.500000, 48.247, 7.3729
16.750000, 48.907, 19.1967
17.000000, 50.343, 25.3285
17.250000, 51.830, 25.2251
17.500000, 52.906, 21.0039
17.750000, 53.492, 14.5785
18.000000, 53.591, 7.1457
18.250000, 53.226, -0.4250
18.500000, 52.422, -7.2075
18.750000, 51.236, -12.2484
19.000000, 49.809, -14.3077
19.250000, 48.496, -12.5254
19.500000, 47.796, -7.9483
19.750000, 47.934, -4.0085
20.000000, 48.591, -3.6657
20.299999, 49.445, -8.0694
20.600000, 50.002, -15.6270
20.900000, 50.185, -24.1837
21.200001, 50.054, -32.0759
21.400000, 49.855, -36.3598
21.799999, 49.426, -41.8465
22.000000, 49.299, -43.1616
22.400000, 49.310, -44.2568
22.700001, 49.421, -44.6282
23.000000, 49.455, -44.5822
23.299999, 49.369, -43.3386
23.600000, 49.291, -40.0897
24.000000, 49.624, -33.3464
24.299999, 50.315, -28.9701
24.700001, 51.420, -26.9858
25.000000, 52.023, -28.1826
25.400000, 52.235, -31.2901
25.799999, 51.735, -33.1803
26.200001, 50.825, -30.6158
