* Measurement data measured by REW V5.31
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -11.0 dBFS, measurement signal peak level -7.3 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Apr 27, 2024 6:44:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -0.0420 ms (-14 mm, -0.57 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset Clock adjustment: -2.8 ppm
* Measurement: Philips Fidelio M1 L1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 62.381, 51.2505
1.015000, 62.308, 52.3472
1.030000, 62.234, 53.4285
1.044000, 62.164, 54.4204
1.060000, 62.084, 55.5297
1.075000, 62.007, 56.5421
1.090000, 61.929, 57.5250
1.106000, 61.849, 58.5448
1.120000, 61.786, 59.4243
1.138000, 61.717, 60.5452
1.150000, 61.678, 61.2861
1.172000, 61.618, 62.6222
1.180000, 61.599, 63.0957
1.206000, 61.543, 64.6104
1.220000, 61.514, 65.4089
1.241000, 61.470, 66.5815
1.250000, 61.450, 67.0742
1.265000, 61.413, 67.8814
1.280000, 61.371, 68.6704
1.315000, 61.242, 70.4349
1.320000, 61.219, 70.6778
1.340000, 61.115, 71.6248
1.360000, 60.986, 72.5325
1.380000, 60.830, 73.3592
1.400000, 60.642, 74.1258
1.430000, 60.292, 75.1840
1.450000, 60.008, 75.8224
1.475000, 59.578, 76.5329
1.500000, 59.038, 77.1269
1.525000, 58.387, 77.5938
1.550000, 57.645, 77.9284
1.575000, 56.832, 78.1030
1.600000, 55.970, 78.0915
1.625000, 55.078, 77.9208
1.650000, 54.180, 77.5732
1.675000, 53.296, 77.0243
1.700000, 52.447, 76.2394
1.725000, 51.657, 75.1693
1.750000, 50.946, 73.7428
1.775000, 50.338, 71.8381
1.800000, 49.855, 69.2793
1.825000, 49.514, 65.8427
1.850000, 49.315, 61.0848
1.875000, 49.236, 54.3475
1.900000, 49.260, 44.8470
1.925000, 49.376, 31.9268
1.950000, 49.571, 15.9586
1.975000, 49.834, -0.8342
2.000000, 50.156, -15.6603
2.030000, 50.604, -29.0734
2.060000, 51.100, -38.3201
2.090000, 51.627, -44.7084
2.120000, 52.165, -49.2552
2.140000, 52.522, -51.5951
2.180000, 53.211, -55.1930
2.200000, 53.546, -56.6127
2.240000, 54.252, -58.8648
2.270000, 54.836, -60.1471
2.300000, 55.459, -61.1630
2.330000, 56.111, -61.9676
2.360000, 56.780, -62.6030
2.400000, 57.677, -63.2886
2.430000, 58.340, -63.6828
2.470000, 59.188, -64.0734
2.500000, 59.782, -64.2830
2.540000, 60.500, -64.4723
2.580000, 61.122, -64.6000
2.620000, 61.666, -64.7093
2.650000, 62.034, -64.7583
2.690000, 62.481, -64.7801
2.720000, 62.787, -64.7628
2.760000, 63.167, -64.6923
2.800000, 63.521, -64.6086
2.850000, 63.945, -64.4350
2.900000, 64.363, -64.1781
2.950000, 64.782, -63.8424
3.000000, 65.181, -63.4747
3.040000, 65.482, -63.1580
3.070000, 65.698, -62.9050
3.110000, 65.976, -62.5515
3.150000, 66.246, -62.1836
3.200000, 66.576, -61.7396
3.250000, 66.904, -61.2977
3.300000, 67.235, -60.8386
3.350000, 67.565, -60.3379
3.400000, 67.888, -59.8287
3.450000, 68.207, -59.3187
3.500000, 68.521, -58.8215
3.550000, 68.832, -58.3589
3.600000, 69.142, -57.9743
3.650000, 69.452, -57.6569
3.700000, 69.762, -57.3664
3.750000, 70.072, -57.0694
3.820000, 70.504, -56.7016
3.870000, 70.810, -56.4900
3.950000, 71.291, -56.2840
4.000000, 71.585, -56.2796
4.060000, 71.932, -56.3751
4.120000, 72.275, -56.5163
4.180000, 72.612, -56.6995
4.250000, 72.995, -57.0108
4.310000, 73.313, -57.3511
4.370000, 73.618, -57.7780
4.440000, 73.958, -58.4113
