* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -6.1 dBFS, measurement signal peak level -6.2 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -23.7 dBFS using an acoustic timing reference
* Dated: Oct 15, 2024 2:16:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Fosi DS1 Delay -0.0605 ms (-21 mm, -0.82 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -26.1 ppm
* Measurement: Misodiko L1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 57.041, 19.4891
1.015000, 56.994, 20.0801
1.030000, 56.951, 20.6702
1.044000, 56.915, 21.2182
1.060000, 56.879, 21.8393
1.075000, 56.851, 22.4143
1.090000, 56.829, 22.9823
1.106000, 56.812, 23.5921
1.120000, 56.802, 24.1509
1.138000, 56.798, 24.9153
1.150000, 56.800, 25.4506
1.172000, 56.811, 26.4688
1.180000, 56.818, 26.8445
1.206000, 56.849, 28.0870
1.220000, 56.870, 28.7608
1.241000, 56.908, 29.7638
1.250000, 56.926, 30.1872
1.265000, 56.957, 30.8797
1.280000, 56.991, 31.5507
1.315000, 57.077, 33.0030
1.320000, 57.090, 33.1948
1.340000, 57.142, 33.9159
1.360000, 57.195, 34.5571
1.380000, 57.247, 35.0708
1.400000, 57.298, 35.4719
1.430000, 57.369, 35.8738
1.450000, 57.413, 36.0028
1.475000, 57.462, 36.0337
1.500000, 57.506, 36.0025
1.525000, 57.548, 35.9457
1.550000, 57.587, 35.8597
1.575000, 57.627, 35.7195
1.600000, 57.666, 35.5038
1.625000, 57.706, 35.2360
1.650000, 57.749, 34.9095
1.675000, 57.794, 34.5183
1.700000, 57.844, 34.0570
1.725000, 57.899, 33.5203
1.750000, 57.959, 32.9040
1.775000, 58.027, 32.1897
1.800000, 58.102, 31.3611
1.825000, 58.186, 30.4491
1.850000, 58.279, 29.4794
1.875000, 58.381, 28.4918
1.900000, 58.490, 27.5029
1.925000, 58.606, 26.5165
1.950000, 58.728, 25.5335
1.975000, 58.856, 24.5422
2.000000, 58.988, 23.5302
2.030000, 59.152, 22.3144
2.060000, 59.319, 21.0906
2.090000, 59.490, 19.8527
2.120000, 59.662, 18.5941
2.140000, 59.777, 17.7403
2.180000, 60.005, 15.9704
2.200000, 60.119, 15.0471
2.240000, 60.350, 13.1933
2.270000, 60.527, 11.8206
2.300000, 60.708, 10.4734
2.330000, 60.891, 9.1555
2.360000, 61.076, 7.8677
2.400000, 61.324, 6.1587
2.430000, 61.510, 4.9033
2.470000, 61.757, 3.2650
2.500000, 61.941, 2.0573
2.540000, 62.181, 0.4663
2.580000, 62.418, -1.1250
2.620000, 62.652, -2.7265
2.650000, 62.827, -3.9048
2.690000, 63.060, -5.4370
2.720000, 63.233, -6.5528
2.760000, 63.462, -7.9915
2.800000, 63.687, -9.4116
2.850000, 63.963, -11.1180
2.900000, 64.232, -12.7495
2.950000, 64.492, -14.3237
3.000000, 64.745, -15.8874
3.040000, 64.943, -17.1174
3.070000, 65.088, -18.0165
3.110000, 65.279, -19.1792
3.150000, 65.465, -20.2963
3.200000, 65.692, -21.6538
3.250000, 65.913, -22.9476
3.300000, 66.128, -24.1700
3.350000, 66.335, -25.3428
3.400000, 66.536, -26.5045
3.450000, 66.729, -27.6328
3.500000, 66.918, -28.7074
3.550000, 67.101, -29.7191
3.600000, 67.280, -30.6886
3.650000, 67.455, -31.5992
3.700000, 67.627, -32.4506
3.750000, 67.793, -33.2589
3.820000, 68.018, -34.3510
3.870000, 68.174, -35.0844
3.950000, 68.420, -36.1552
4.000000, 68.572, -36.7793
4.060000, 68.753, -37.4714
4.120000, 68.930, -38.0986
4.180000, 69.105, -38.6775
4.250000, 69.306, -39.3203
4.310000, 69.479, -39.8221
4.370000, 69.652, -40.2843
4.440000, 69.856, -40.7942
4.500000, 70.032, -41.1809
4.550000, 70.178, -41.4732
4.620000, 70.384, -41.8748
4.680000, 70.561, -42.2070
4.750000, 70.770, -42.5820
4.820000, 70.981, -42.9581
4.870000, 71.133, -43.2124
4.940000, 71.346, -43.5496
5.000000, 71.530, -43.8476
5.080000, 71.774, -44.2669
5.150000, 71.987, -44.6484
5.220000, 72.200, -45.0527
5.300000, 72.443, -45.5198
5.380000, 72.683, -45.9959
5.450000, 72.888, -46.4464
5.520000, 73.089, -46.9112
5.600000, 73.314, -47.4682
5.700000, 73.587, -48.1915
5.800000, 73.849, -48.9217
5.900000, 74.100, -49.6713
6.000000, 74.339, -50.4356
6.080000, 74.521, -51.0533
6.150000, 74.675, -51.5745
6.220000, 74.822, -52.0925
6.300000, 74.982, -52.6697
6.400000, 75.171, -53.3772
6.500000, 75.350, -54.0561
6.600000, 75.520, -54.6762
6.700000, 75.682, -55.2564
6.800000, 75.835, -55.7900
6.900000, 75.983, -56.2750
7.000000, 76.127, -56.6913
7.100000, 76.266, -57.0540
7.200000, 76.403, -57.3640
7.300000, 76.540, -57.6331
7.400000, 76.681, -57.8511
7.500000, 76.824, -58.0296
7.620000, 76.998, -58.2092
7.750000, 77.193, -58.3825
7.880000, 77.394, -58.5429
8.000000, 77.583, -58.6923
