* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -8.8 dBFS, measurement signal peak level -8.9 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -23.7 dBFS using an acoustic timing reference
* Dated: Oct 15, 2024 1:57:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Fosi DS1 Delay -0.0213 ms (-7.3 mm, -0.29 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -26.2 ppm
* Measurement: Philips SHP9500 R2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 49.853, -74.7523
1.015000, 49.805, -74.8796
1.030000, 49.759, -74.8995
1.044000, 49.718, -74.8125
1.060000, 49.675, -74.5776
1.075000, 49.637, -74.2161
1.090000, 49.603, -73.7087
1.106000, 49.568, -73.0035
1.120000, 49.533, -72.2552
1.138000, 49.481, -71.1250
1.150000, 49.442, -70.2718
1.172000, 49.363, -68.5174
1.180000, 49.332, -67.8248
1.206000, 49.230, -65.3722
1.220000, 49.174, -63.9334
1.241000, 49.092, -61.6358
1.250000, 49.058, -60.6040
1.265000, 49.005, -58.8276
1.280000, 48.955, -56.9865
1.315000, 48.862, -52.4788
1.320000, 48.852, -51.8145
1.340000, 48.821, -49.1161
1.360000, 48.808, -46.3624
1.380000, 48.816, -43.6054
1.400000, 48.846, -40.8347
1.430000, 48.941, -36.6505
1.450000, 49.042, -33.8698
1.475000, 49.214, -30.5797
1.500000, 49.440, -27.5699
1.525000, 49.718, -24.6884
1.550000, 50.040, -21.9560
1.575000, 50.401, -19.4357
1.600000, 50.792, -17.1730
1.625000, 51.207, -15.1555
1.650000, 51.640, -13.3905
1.675000, 52.084, -11.8771
1.700000, 52.531, -10.6090
1.725000, 52.976, -9.5763
1.750000, 53.411, -8.7672
1.775000, 53.830, -8.1827
1.800000, 54.226, -7.8215
1.825000, 54.596, -7.6289
1.850000, 54.946, -7.5367
1.875000, 55.287, -7.4669
1.900000, 55.624, -7.4020
1.925000, 55.957, -7.3488
1.950000, 56.286, -7.3159
1.975000, 56.610, -7.3215
2.000000, 56.929, -7.3820
