* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -9.6 dBFS, measurement signal peak level -9.4 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -23.7 dBFS using an acoustic timing reference
* Dated: Oct 15, 2024 2:31:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Fosi DS1 Delay -0.0571 ms (-20 mm, -0.77 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -26.1 ppm
* Measurement: Philips SHP9500 S2 L3
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 53.796, -10.0394
1.015000, 53.832, -10.1720
1.030000, 53.868, -10.2965
1.044000, 53.902, -10.4046
1.060000, 53.942, -10.5177
1.075000, 53.980, -10.6127
1.090000, 54.019, -10.6954
1.106000, 54.061, -10.7650
1.120000, 54.100, -10.8026
1.138000, 54.154, -10.8165
1.150000, 54.191, -10.8062
1.172000, 54.262, -10.7566
1.180000, 54.289, -10.7333
1.206000, 54.379, -10.6284
1.220000, 54.429, -10.5572
1.241000, 54.505, -10.4369
1.250000, 54.539, -10.3817
1.265000, 54.594, -10.2870
1.280000, 54.650, -10.1907
1.315000, 54.780, -9.9714
1.320000, 54.798, -9.9417
1.340000, 54.871, -9.8300
1.360000, 54.942, -9.7309
1.380000, 55.011, -9.6863
1.400000, 55.077, -9.6762
1.430000, 55.170, -9.7044
1.450000, 55.228, -9.7536
1.475000, 55.292, -9.8342
1.500000, 55.348, -9.8940
1.525000, 55.396, -9.9190
1.550000, 55.437, -9.9170
1.575000, 55.474, -9.9146
1.600000, 55.507, -9.9342
1.625000, 55.538, -9.9530
1.650000, 55.569, -9.9784
1.675000, 55.602, -10.0166
1.700000, 55.638, -10.0729
1.725000, 55.678, -10.1522
1.750000, 55.725, -10.2580
1.775000, 55.780, -10.4076
1.800000, 55.844, -10.6160
1.825000, 55.919, -10.8519
1.850000, 56.005, -11.0945
1.875000, 56.099, -11.3169
1.900000, 56.201, -11.5151
1.925000, 56.311, -11.6952
