* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -6.8 dBFS, measurement signal peak level -6.7 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -23.7 dBFS using an acoustic timing reference
* Dated: Oct 15, 2024 2:50:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Fosi DS1 Delay -0.0177 ms (-6.1 mm, -0.24 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -26.0 ppm
* Measurement: Misodiko R2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 57.756, 39.7787
1.015000, 57.735, 40.2222
1.030000, 57.715, 40.6385
1.044000, 57.695, 41.0003
1.060000, 57.672, 41.3795
1.075000, 57.649, 41.6993
1.090000, 57.627, 41.9836
1.106000, 57.602, 42.2546
1.120000, 57.580, 42.4787
1.138000, 57.552, 42.7584
1.150000, 57.534, 42.9391
1.172000, 57.501, 43.2496
1.180000, 57.489, 43.3517
1.206000, 57.450, 43.6547
1.220000, 57.429, 43.7964
1.241000, 57.398, 43.9758
1.250000, 57.384, 44.0391
1.265000, 57.361, 44.1249
1.280000, 57.338, 44.1838
1.315000, 57.283, 44.2049
1.320000, 57.275, 44.1934
1.340000, 57.242, 44.1078
1.360000, 57.208, 43.9562
1.380000, 57.174, 43.6952
1.400000, 57.138, 43.3427
1.430000, 57.081, 42.6581
1.450000, 57.041, 42.0921
1.475000, 56.986, 41.2718
1.500000, 56.921, 40.3692
1.525000, 56.844, 39.4079
1.550000, 56.758, 38.3905
1.575000, 56.666, 37.2998
1.600000, 56.571, 36.1215
1.625000, 56.476, 34.8852
1.650000, 56.385, 33.5896
1.675000, 56.299, 32.2334
1.700000, 56.223, 30.8152
1.725000, 56.159, 29.3339
1.750000, 56.110, 27.7887
1.775000, 56.080, 26.1649
1.800000, 56.071, 24.4499
1.825000, 56.085, 22.6772
1.850000, 56.124, 20.8714
1.875000, 56.184, 19.0701
1.900000, 56.263, 17.2930
1.925000, 56.359, 15.5484
1.950000, 56.470, 13.8414
1.975000, 56.595, 12.1637
2.000000, 56.732, 10.5058
2.030000, 56.909, 8.5708
2.060000, 57.096, 6.6918
2.090000, 57.292, 4.8644
2.120000, 57.493, 3.0837
2.140000, 57.628, 1.9198
2.180000, 57.897, -0.3769
2.200000, 58.032, -1.5159
2.240000, 58.312, -3.7048
2.270000, 58.534, -5.2505
2.300000, 58.766, -6.7127
2.330000, 59.006, -8.0950
2.360000, 59.251, -9.4032
2.400000, 59.584, -11.0804
2.430000, 59.834, -12.2735
2.470000, 60.166, -13.7832
2.500000, 60.410, -14.8632
2.540000, 60.727, -16.2442
2.580000, 61.033, -17.5765
2.620000, 61.333, -18.8642
2.650000, 61.556, -19.7760
2.690000, 61.851, -20.9231
2.720000, 62.071, -21.7347
2.760000, 62.359, -22.7559
2.800000, 62.643, -23.7515
2.850000, 62.990, -24.9254
2.900000, 63.326, -26.0268
2.950000, 63.650, -27.0659
3.000000, 63.964, -28.0707
3.040000, 64.208, -28.8391
3.070000, 64.387, -29.3889
3.110000, 64.621, -30.0875
3.150000, 64.850, -30.7483
3.200000, 65.128, -31.5538
3.250000, 65.400, -32.3219
3.300000, 65.664, -33.0441
3.350000, 65.920, -33.7254
3.400000, 66.167, -34.3945
3.450000, 66.406, -35.0359
3.500000, 66.639, -35.6383
3.550000, 66.865, -36.2008
3.600000, 67.086, -36.7509
3.650000, 67.303, -37.2751
3.700000, 67.514, -37.7666
3.750000, 67.720, -38.2300
3.820000, 67.998, -38.8617
3.870000, 68.191, -39.2864
3.950000, 68.491, -39.9089
4.000000, 68.675, -40.2864
4.060000, 68.891, -40.7180
4.120000, 69.101, -41.1166
4.180000, 69.306, -41.4917
4.250000, 69.539, -41.9233
4.310000, 69.734, -42.2642
4.370000, 69.927, -42.5835
4.440000, 70.149, -42.9538
4.500000, 70.335, -43.2460
4.550000, 70.487, -43.4728
4.620000, 70.697, -43.7935
4.680000, 70.875, -44.0583
4.750000, 71.080, -44.3511
4.820000, 71.282, -44.6467
4.870000, 71.425, -44.8492
4.940000, 71.623, -45.1175
5.000000, 71.790, -45.3528
5.080000, 72.010, -45.6731
5.150000, 72.201, -45.9492
5.220000, 72.390, -46.2367
5.300000, 72.603, -46.5624
5.380000, 72.813, -46.8879
5.450000, 72.994, -47.1970
5.520000, 73.172, -47.5088
5.600000, 73.371, -47.8763
5.700000, 73.615, -48.3532
5.800000, 73.853, -48.8433
5.900000, 74.084, -49.3638
6.000000, 74.310, -49.8999
6.080000, 74.485, -50.3441
6.150000, 74.634, -50.7305
6.220000, 74.779, -51.1344
6.300000, 74.939, -51.6027
6.400000, 75.132, -52.1984
6.500000, 75.316, -52.8019
6.600000, 75.493, -53.3959
6.700000, 75.661, -53.9988
6.800000, 75.821, -54.5946
6.900000, 75.973, -55.1773
7.000000, 76.117, -55.7282
7.100000, 76.252, -56.2638
7.200000, 76.380, -56.7715
7.300000, 76.504, -57.2472
7.400000, 76.625, -57.6784
7.500000, 76.742, -58.0783
7.620000, 76.880, -58.5120
7.750000, 77.029, -58.9210
7.880000, 77.177, -59.2799
8.000000, 77.316, -59.5721
8.120000, 77.459, -59.8444
8.250000, 77.619, -60.1145
8.380000, 77.783, -60.3789
8.500000, 77.939, -60.6386
8.620000, 78.097, -60.9071
8.750000, 78.271, -61.2221
8.850000, 78.404, -61.4920
9.000000, 78.604, -61.9291
9.120000, 78.761, -62.3083
9.250000, 78.926, -62.7479
9.380000, 79.085, -63.2060
9.500000, 79.226, -63.6384
9.620000, 79.361, -64.0635
9.750000, 79.498, -64.5160
9.880000, 79.623, -64.9387
10.000000, 79.726, -65.2872
10.150000, 79.840, -65.7059
10.300000, 79.949, -66.0574
10.440000, 80.048, -66.3257
10.600000, 80.165, -66.5881
10.750000, 80.285, -66.8078
10.900000, 80.414, -67.0219
11.060000, 80.561, -67.3151
11.200000, 80.697, -67.6541
11.380000, 80.871, -68.1611
11.500000, 80.983, -68.5502
11.720000, 81.174, -69.3404
11.800000, 81.238, -69.6470
12.060000, 81.420, -70.6762
12.200000, 81.501, -71.2283
12.410000, 81.602, -71.9503
12.500000, 81.638, -72.1971
12.650000, 81.691, -72.5161
12.800000, 81.742, -72.7103
13.150000, 81.888, -72.7308
13.200000, 81.916, -72.7020
13.400000, 82.050, -72.5260
13.600000, 82.220, -72.3523
13.800000, 82.424, -72.2765
14.000000, 82.649, -72.3937
14.300000, 82.992, -73.0587
14.500000, 83.200, -73.7704
14.750000, 83.415, -74.8471
15.000000, 83.574, -75.9925
15.250000, 83.682, -77.0753
15.500000, 83.750, -77.9036
15.750000, 83.799, -78.3955
16.000000, 83.858, -78.5491
16.250000, 83.950, -78.5073
16.500000, 84.086, -78.3695
16.750000, 84.264, -78.2959
17.000000, 84.469, -78.4064
17.250000, 84.681, -78.7722
17.500000, 84.880, -79.3393
17.750000, 85.053, -80.0260
18.000000, 85.197, -80.7453
18.250000, 85.317, -81.4417
18.500000, 85.420, -82.0307
18.750000, 85.519, -82.4927
19.000000, 85.624, -82.8450
19.250000, 85.741, -83.1614
19.500000, 85.869, -83.4631
19.750000, 86.006, -83.7902
20.000000, 86.146, -84.1658
20.299999, 86.309, -84.7124
20.600000, 86.462, -85.2976
20.900000, 86.602, -85.8783
21.200001, 86.731, -86.4378
21.400000, 86.814, -86.7858
21.799999, 86.977, -87.4118
22.000000, 87.060, -87.7030
22.400000, 87.228, -88.3028
22.700001, 87.354, -88.7625
23.000000, 87.475, -89.2347
23.299999, 87.591, -89.7243
23.600000, 87.701, -90.2040
24.000000, 87.842, -90.8141
24.299999, 87.946, -91.2716
24.700001, 88.080, -91.8808
25.000000, 88.175, -92.3458
25.400000, 88.286, -92.9805
25.799999, 88.375, -93.5450
26.200001, 88.446, -93.9597
26.500000, 88.498, -94.1326
26.900000, 88.581, -94.1678
27.200001, 88.664, -94.1023
27.600000, 88.809, -94.0009
28.000000, 88.986, -94.0017
28.500000, 89.229, -94.2897
29.000000, 89.467, -94.8685
29.500000, 89.679, -95.6492
30.000000, 89.858, -96.5139
30.400000, 89.977, -97.2090
30.700001, 90.054, -97.6863
31.100000, 90.149, -98.2380
31.500000, 90.241, -98.6925
32.000000, 90.364, -99.1528
32.500000, 90.497, -99.5796
33.000000, 90.636, -100.0200
33.500000, 90.772, -100.4881
34.000000, 90.907, -100.9187
34.500000, 91.049, -101.2903
35.000000, 91.204, -101.6448
35.500000, 91.373, -102.0677
36.000000, 91.547, -102.6079
36.500000, 91.716, -103.2790
37.000000, 91.868, -104.0294
37.500000, 92.002, -104.7994
38.200001, 92.175, -105.8071
38.700001, 92.299, -106.5021
39.500000, 92.497, -107.6946
40.000000, 92.608, -108.4910
40.599998, 92.725, -109.4416
41.200001, 92.836, -110.3250
41.799999, 92.949, -111.2059
42.500000, 93.069, -112.2962
43.099998, 93.152, -113.2012
43.700001, 93.227, -113.9907
44.400002, 93.320, -114.8578
45.000000, 93.394, -115.6307
45.500000, 93.440, -116.2420
