* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -8.0 dBFS, measurement signal peak level -8.0 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -23.7 dBFS using an acoustic timing reference
* Dated: Oct 15, 2024 2:41:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Fosi DS1 Delay 0.3807 ms (131 mm, 5.14 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -80.0 ppm
* Measurement: Philips SHP9500 S2 R2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 57.252, 35.2911
1.015000, 57.265, 35.8923
1.030000, 57.279, 36.4623
1.044000, 57.293, 36.9631
1.060000, 57.312, 37.4953
1.075000, 57.331, 37.9524
1.090000, 57.352, 38.3683
1.106000, 57.377, 38.7775
1.120000, 57.403, 39.1280
1.138000, 57.441, 39.5816
1.150000, 57.471, 39.8847
1.172000, 57.530, 40.4305
1.180000, 57.554, 40.6209
1.206000, 57.636, 41.2182
1.220000, 57.684, 41.5217
1.241000, 57.758, 41.9460
1.250000, 57.790, 42.1147
1.265000, 57.845, 42.3762
1.280000, 57.900, 42.6106
1.315000, 58.030, 43.0382
1.320000, 58.048, 43.0844
1.340000, 58.120, 43.2283
1.360000, 58.189, 43.3046
1.380000, 58.254, 43.2701
1.400000, 58.315, 43.1432
1.430000, 58.394, 42.7971
1.450000, 58.438, 42.4580
1.475000, 58.481, 41.9256
1.500000, 58.512, 41.3210
1.525000, 58.530, 40.6720
1.550000, 58.540, 39.9840
1.575000, 58.541, 39.2420
1.600000, 58.537, 38.4330
1.625000, 58.530, 37.5876
1.650000, 58.522, 36.7049
1.675000, 58.514, 35.7831
1.700000, 58.509, 34.8202
1.725000, 58.510, 33.8135
1.750000, 58.517, 32.7598
1.775000, 58.533, 31.6419
1.800000, 58.560, 30.4430
1.825000, 58.600, 29.1900
1.850000, 58.653, 27.8925
1.875000, 58.714, 26.5712
1.900000, 58.783, 25.2408
1.925000, 58.860, 23.9100
1.950000, 58.943, 22.5851
1.975000, 59.031, 21.2595
2.000000, 59.125, 19.9254
2.030000, 59.243, 18.3443
2.060000, 59.366, 16.7836
2.090000, 59.493, 15.2417
2.120000, 59.623, 13.7151
2.140000, 59.710, 12.7037
2.180000, 59.887, 10.6697
2.200000, 59.976, 9.6362
2.240000, 60.159, 7.5785
2.270000, 60.302, 6.0560
2.300000, 60.451, 4.5624
2.330000, 60.603, 3.1048
2.360000, 60.759, 1.6875
2.400000, 60.969, -0.1725
2.430000, 61.128, -1.5211
2.470000, 61.339, -3.2518
2.500000, 61.495, -4.5020
2.540000, 61.700, -6.1116
2.580000, 61.901, -7.6832
2.620000, 62.100, -9.2466
2.650000, 62.250, -10.3912
2.690000, 62.449, -11.8727
2.720000, 62.597, -12.9453
2.760000, 62.794, -14.3172
2.800000, 62.988, -15.6572
2.850000, 63.225, -17.2387
2.900000, 63.457, -18.7116
2.950000, 63.681, -20.0906
3.000000, 63.898, -21.4336
3.040000, 64.068, -22.4766
3.070000, 64.193, -23.2318
3.110000, 64.357, -24.1986
3.150000, 64.517, -25.1160
3.200000, 64.715, -26.2178
3.250000, 64.908, -27.2470
3.300000, 65.097, -28.1910
3.350000, 65.282, -29.0653
3.400000, 65.461, -29.9103
3.450000, 65.636, -30.7132
3.500000, 65.807, -31.4618
3.550000, 65.976, -32.1535
3.600000, 66.144, -32.8132
3.650000, 66.312, -33.4243
3.700000, 66.479, -33.9768
3.750000, 66.644, -34.4769
3.820000, 66.872, -35.1314
3.870000, 67.034, -35.5613
3.950000, 67.294, -36.1865
4.000000, 67.457, -36.5664
4.060000, 67.654, -36.9961
4.120000, 67.853, -37.3752
4.180000, 68.052, -37.7189
4.250000, 68.285, -38.1176
4.310000, 68.486, -38.4486
4.370000, 68.687, -38.7840
4.440000, 68.924, -39.1990
4.500000, 69.127, -39.5364
4.550000, 69.298, -39.8066
4.620000, 69.537, -40.2062
4.680000, 69.740, -40.5646
4.750000, 69.975, -41.0054
4.820000, 70.208, -41.4868
4.870000, 70.374, -41.8377
4.940000, 70.604, -42.3313
5.000000, 70.799, -42.7753
5.080000, 71.053, -43.3973
5.150000, 71.269, -43.9627
5.220000, 71.481, -44.5648
5.300000, 71.717, -45.2707
5.380000, 71.945, -45.9827
5.450000, 72.138, -46.6258
5.520000, 72.324, -47.2683
5.600000, 72.527, -48.0204
5.700000, 72.769, -48.9769
5.800000, 72.998, -49.9133
5.900000, 73.216, -50.8306
6.000000, 73.421, -51.7323
6.080000, 73.577, -52.4448
6.150000, 73.709, -53.0391
6.220000, 73.836, -53.6198
6.300000, 73.976, -54.2536
6.400000, 74.143, -55.0134
6.500000, 74.304, -55.7398
6.600000, 74.462, -56.4144
6.700000, 74.618, -57.0506
6.800000, 74.771, -57.6444
6.900000, 74.922, -58.2131
7.000000, 75.073, -58.7472
7.100000, 75.225, -59.2550
7.200000, 75.376, -59.7397
7.300000, 75.529, -60.2243
7.400000, 75.685, -60.7027
7.500000, 75.843, -61.1801
7.620000, 76.033, -61.7611
7.750000, 76.238, -62.4208
7.880000, 76.441, -63.1174
8.000000, 76.625, -63.7814
8.120000, 76.804, -64.4816
8.250000, 76.991, -65.2739
8.380000, 77.169, -66.0793
8.500000, 77.323, -66.8347
8.620000, 77.466, -67.5956
8.750000, 77.611, -68.4017
8.850000, 77.715, -69.0011
9.000000, 77.858, -69.8614
9.120000, 77.964, -70.5027
9.250000, 78.072, -71.1334
9.380000, 78.173, -71.6972
9.500000, 78.263, -72.1614
9.620000, 78.354, -72.5560
9.750000, 78.451, -72.9178
9.880000, 78.545, -73.2210
10.000000, 78.629, -73.4452
10.150000, 78.731, -73.7049
10.300000, 78.838, -73.9351
10.440000, 78.942, -74.1354
10.600000, 79.068, -74.3797
10.750000, 79.195, -74.6498
10.900000, 79.326, -74.9631
11.060000, 79.466, -75.3901
11.200000, 79.586, -75.8587
11.380000, 79.730, -76.5039
11.500000, 79.815, -76.9538
11.720000, 79.952, -77.7712
11.800000, 79.995, -78.0533
12.060000, 80.118, -78.8964
12.200000, 80.178, -79.2950
12.410000, 80.261, -79.7574
12.500000, 80.296, -79.9015
12.650000, 80.356, -80.0725
12.800000, 80.421, -80.1735
13.150000, 80.608, -80.2776
13.200000, 80.640, -80.2949
13.400000, 80.777, -80.3731
13.600000, 80.927, -80.4999
13.800000, 81.082, -80.6993
14.000000, 81.235, -80.9752
14.300000, 81.450, -81.5581
14.500000, 81.579, -81.9725
14.750000, 81.724, -82.4634
15.000000, 81.861, -82.8937
15.250000, 81.999, -83.3029
15.500000, 82.143, -83.6671
15.750000, 82.290, -84.0201
16.000000, 82.438, -84.3999
16.250000, 82.583, -84.8640
16.500000, 82.718, -85.3548
16.750000, 82.839, -85.8372
17.000000, 82.950, -86.2737
17.250000, 83.056, -86.6678
17.500000, 83.163, -86.9834
17.750000, 83.276, -87.2416
18.000000, 83.399, -87.4887
18.250000, 83.531, -87.7983
18.500000, 83.664, -88.1731
18.750000, 83.793, -88.6124
19.000000, 83.911, -89.0965
19.250000, 84.016, -89.6134
19.500000, 84.108, -90.0931
19.750000, 84.192, -90.5054
20.000000, 84.274, -90.8406
20.299999, 84.376, -91.1948
20.600000, 84.489, -91.5074
20.900000, 84.609, -91.8312
21.200001, 84.732, -92.2172
21.400000, 84.811, -92.5055
21.799999, 84.958, -93.1108
22.000000, 85.026, -93.4122
22.400000, 85.154, -94.0092
22.700001, 85.248, -94.4246
23.000000, 85.342, -94.8251
23.299999, 85.436, -95.2392
23.600000, 85.528, -95.6629
24.000000, 85.646, -96.2439
24.299999, 85.729, -96.7035
24.700001, 85.830, -97.3111
25.000000, 85.897, -97.7480
25.400000, 85.974, -98.2953
25.799999, 86.039, -98.7374
26.200001, 86.098, -99.0534
26.500000, 86.146, -99.2101
26.900000, 86.220, -99.3339
27.200001, 86.285, -99.4071
27.600000, 86.377, -99.5116
28.000000, 86.467, -99.6121
28.500000, 86.572, -99.6751
29.000000, 86.685, -99.5553
29.500000, 86.827, -99.3069
30.000000, 87.006, -99.1032
30.400000, 87.164, -99.0810
30.700001, 87.283, -99.1367
31.100000, 87.437, -99.2734
31.500000, 87.588, -99.4490
32.000000, 87.780, -99.7057
32.500000, 87.975, -100.0624
33.000000, 88.165, -100.5402
33.500000, 88.340, -101.1169
34.000000, 88.506, -101.7087
34.500000, 88.668, -102.3095
35.000000, 88.828, -102.9652
35.500000, 88.978, -103.7025
36.000000, 89.111, -104.4736
36.500000, 89.231, -105.2437
37.000000, 89.340, -106.0049
37.500000, 89.438, -106.7803
38.200001, 89.550, -107.8360
38.700001, 89.616, -108.5299
39.500000, 89.708, -109.5390
40.000000, 89.756, -110.1218
40.599998, 89.800, -110.7670
41.200001, 89.836, -111.2937
41.799999, 89.867, -111.7049
42.500000, 89.899, -112.0213
43.099998, 89.932, -112.1082
43.700001, 89.985, -112.0452
44.400002, 90.075, -111.9179
45.000000, 90.171, -111.7988
45.500000, 90.266, -111.6894
46.200001, 90.426, -111.6364
46.799999, 90.575, -111.7781
47.500000, 90.741, -112.1001
48.200001, 90.900, -112.5100
48.700001, 91.012, -112.8699
49.400002, 91.162, -113.5189
50.000000, 91.268, -114.1926
50.799999, 91.358, -115.1019
51.500000, 91.393, -115.7004
52.200001, 91.414, -115.9251
53.000000, 91.472, -115.7528
53.799999, 91.586, -115.4509
54.500000, 91.723, -115.2227
55.200001, 91.886, -115.1047
56.000000, 92.093, -115.1768
57.000000, 92.357, -115.5813
58.000000, 92.602, -116.3617
59.000000, 92.812, -117.2299
60.000000, 93.025, -118.0715
60.799999, 93.200, -118.9836
61.500000, 93.330, -119.8958
62.200001, 93.434, -120.7769
63.000000, 93.540, -121.6856
64.000000, 93.670, -122.7119
65.000000, 93.785, -123.7649
66.000000, 93.901, -124.7173
67.000000, 94.023, -125.6984
68.000000, 94.124, -126.8071
69.000000, 94.204, -127.8250
70.000000, 94.280, -128.7235
71.000000, 94.358, -129.5861
72.000000, 94.435, -130.4530
73.000000, 94.501, -131.2822
74.000000, 94.559, -132.0593
75.000000, 94.617, -132.7892
76.199997, 94.691, -133.6434
77.500000, 94.774, -134.5457
78.800003, 94.865, -135.4319
80.000000, 94.950, -136.3081
81.199997, 95.031, -137.1875
82.500000, 95.112, -138.1562
83.800003, 95.182, -139.0931
85.000000, 95.243, -139.9500
86.199997, 95.301, -140.8552
87.500000, 95.357, -141.8121
88.500000, 95.396, -142.5460
90.000000, 95.451, -143.6884
91.199997, 95.478, -144.6143
92.500000, 95.490, -145.4438
93.800003, 95.497, -146.0638
95.000000, 95.521, -146.5068
96.199997, 95.570, -146.8791
97.500000, 95.652, -147.3074
98.800003, 95.754, -147.9304
100.000000, 95.844, -148.7141
101.500000, 95.932, -149.8619
103.000000, 95.997, -151.0535
104.400002, 96.043, -152.2143
106.000000, 96.079, -153.5698
107.500000, 96.098, -154.8428
109.000000, 96.098, -156.0251
110.599998, 96.086, -157.1845
112.000000, 96.069, -158.1294
113.800003, 96.032, -159.2657
115.000000, 96.003, -160.0206
117.199997, 95.939, -161.3611
118.000000, 95.916, -161.7923
120.599998, 95.861, -162.9822
122.000000, 95.834, -163.6383
124.099998, 95.768, -164.4255
125.000000, 95.745, -164.6945
126.500000, 95.713, -165.0988
128.000000, 95.685, -165.5815
131.500000, 95.616, -166.6914
132.000000, 95.608, -166.8354
134.000000, 95.585, -167.4031
136.000000, 95.578, -168.0151
138.000000, 95.579, -168.6307
140.000000, 95.582, -169.1667
143.000000, 95.578, -169.9240
145.000000, 95.560, -170.5290
147.500000, 95.523, -171.4002
150.000000, 95.491, -172.2732
152.500000, 95.461, -173.1000
155.000000, 95.423, -173.8664
157.500000, 95.369, -174.5947
160.000000, 95.306, -175.2861
162.500000, 95.238, -175.9114
165.000000, 95.166, -176.4102
167.500000, 95.091, -176.7946
170.000000, 95.020, -177.0917
172.500000, 94.956, -177.3619
175.000000, 94.909, -177.5773
177.500000, 94.874, -177.8190
180.000000, 94.827, -178.1373
182.500000, 94.777, -178.3721
185.000000, 94.741, -178.6161
187.500000, 94.717, -178.8183
190.000000, 94.693, -179.0448
192.500000, 94.671, -179.3280
195.000000, 94.647, -179.6290
197.500000, 94.617, -179.9279
200.000000, 94.587, 179.8391
203.000000, 94.556, 179.5450
206.000000, 94.522, 179.3128
209.000000, 94.483, 179.1791
212.000000, 94.453, 179.0465
214.000000, 94.442, 178.9266
218.000000, 94.419, 178.6962
220.000000, 94.407, 178.5940
224.000000, 94.384, 178.3695
227.000000, 94.374, 178.2583
230.000000, 94.373, 178.0563
233.000000, 94.365, 177.8335
236.000000, 94.358, 177.7404
240.000000, 94.366, 177.6207
243.000000, 94.390, 177.4643
247.000000, 94.447, 177.1387
250.000000, 94.493, 176.7168
254.000000, 94.530, 175.9089
258.000000, 94.515, 174.9820
262.000000, 94.453, 174.0588
265.000000, 94.384, 173.5139
269.000000, 94.277, 173.0579
272.000000, 94.195, 172.8869
276.000000, 94.105, 172.8079
280.000000, 94.049, 172.8784
285.000000, 94.011, 172.9760
290.000000, 93.995, 172.9885
295.000000, 93.980, 172.9477
300.000000, 93.963, 172.8247
304.000000, 93.959, 172.6913
307.000000, 93.959, 172.6127
311.000000, 93.956, 172.5000
315.000000, 93.950, 172.3348
320.000000, 93.929, 172.1290
325.000000, 93.900, 171.9841
330.000000, 93.871, 172.0258
335.000000, 93.876, 172.3977
340.000000, 93.930, 172.6545
345.000000, 93.995, 172.6285
350.000000, 94.057, 172.3733
355.000000, 94.106, 171.9871
360.000000, 94.134, 171.5515
365.000000, 94.151, 171.1777
370.000000, 94.167, 170.8754
375.000000, 94.186, 170.6092
382.000000, 94.214, 170.1685
387.000000, 94.228, 169.8837
395.000000, 94.244, 169.3782
400.000000, 94.254, 169.0562
406.000000, 94.271, 168.6823
412.000000, 94.291, 168.3929
418.000000, 94.313, 168.0795
425.000000, 94.335, 167.5371
431.000000, 94.348, 167.1081
437.000000, 94.359, 166.7168
444.000000, 94.379, 166.3191
450.000000, 94.396, 165.9089
455.000000, 94.405, 165.5820
462.000000, 94.417, 165.1203
468.000000, 94.438, 164.7188
475.000000, 94.464, 164.3229
482.000000, 94.488, 163.8999
487.000000, 94.507, 163.5523
494.000000, 94.534, 163.0986
500.000000, 94.550, 162.7177
508.000000, 94.565, 162.2631
515.000000, 94.580, 161.7570
522.000000, 94.591, 161.2792
530.000000, 94.607, 160.8001
538.000000, 94.641, 160.3121
545.000000, 94.682, 159.8634
552.000000, 94.721, 159.4172
560.000000, 94.754, 158.8366
570.000000, 94.795, 158.0930
580.000000, 94.837, 157.4506
590.000000, 94.888, 156.8347
600.000000, 94.940, 156.1409
608.000000, 94.984, 155.5641
615.000000, 95.026, 154.9914
622.000000, 95.067, 154.3828
630.000000, 95.109, 153.6546
640.000000, 95.156, 152.6835
650.000000, 95.180, 151.4655
660.000000, 95.130, 150.2927
670.000000, 95.086, 150.0121
680.000000, 95.134, 149.6808
690.000000, 95.193, 148.9701
700.000000, 95.239, 148.1636
710.000000, 95.279, 147.2981
720.000000, 95.311, 146.4966
730.000000, 95.346, 145.8073
740.000000, 95.393, 145.0129
750.000000, 95.437, 144.1686
762.000000, 95.486, 143.2128
775.000000, 95.540, 142.1427
788.000000, 95.589, 140.9728
800.000000, 95.636, 139.9780
812.000000, 95.693, 138.8786
825.000000, 95.740, 137.6065
838.000000, 95.786, 136.3913
