* Measurement data measured by REW V5.31
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -15.7 dBFS, measurement signal peak level -14.5 dBFS
* Format: 4M Log Swept Sine, 1 sweep at -10.8 dBFS using an acoustic timing reference
* Dated: Apr 20, 2024 9:41:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0721 ms (-25 mm, -0.97 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset
* Measurement: Pink headset L5
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 67.345, 2.8465
1.015000, 67.439, 2.8364
1.030000, 67.532, 2.8278
1.044000, 67.617, 2.8211
1.060000, 67.712, 2.8146
1.075000, 67.800, 2.8093
1.090000, 67.885, 2.8044
1.106000, 67.976, 2.7984
1.120000, 68.057, 2.7913
1.138000, 68.165, 2.7790
1.150000, 68.239, 2.7693
1.172000, 68.378, 2.7428
1.180000, 68.429, 2.7261
1.206000, 68.595, 2.6718
1.220000, 68.684, 2.6428
1.241000, 68.817, 2.6004
1.250000, 68.872, 2.5828
1.265000, 68.963, 2.5547
1.280000, 69.051, 2.5281
1.315000, 69.242, 2.4734
1.320000, 69.267, 2.4665
1.340000, 69.362, 2.4418
1.360000, 69.446, 2.4227
1.380000, 69.518, 2.3704
1.400000, 69.577, 2.3086
1.430000, 69.636, 2.2255
1.450000, 69.654, 2.1759
1.475000, 69.650, 2.1160
1.500000, 69.615, 2.0474
1.525000, 69.552, 1.9675
1.550000, 69.463, 1.8797
1.575000, 69.352, 1.7663
1.600000, 69.223, 1.6134
1.625000, 69.078, 1.4634
1.650000, 68.922, 1.3192
1.675000, 68.758, 1.1837
1.700000, 68.590, 1.0593
1.725000, 68.420, 0.9484
1.750000, 68.253, 0.8534
1.775000, 68.092, 0.7592
1.800000, 67.940, 0.6513
1.825000, 67.799, 0.5628
1.850000, 67.668, 0.4834
1.875000, 67.541, 0.4007
1.900000, 67.414, 0.3123
1.925000, 67.288, 0.2208
1.950000, 67.163, 0.1297
1.975000, 67.038, 0.0256
2.000000, 66.913, -0.1046
2.030000, 66.762, -0.2460
2.060000, 66.611, -0.3679
