* Measurement data measured by REW V5.31
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -14.4 dBFS, measurement signal peak level -13.2 dBFS
* Format: 4M Log Swept Sine, 1 sweep at -10.8 dBFS using an acoustic timing reference
* Dated: Apr 20, 2024 9:33:28 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0333 ms (-11 mm, -0.45 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset
* Measurement: Pink headset R2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 65.568, -14.7467
1.015000, 65.726, -14.8504
1.030000, 65.880, -14.9347
1.044000, 66.021, -14.9963
1.060000, 66.179, -15.0474
1.075000, 66.325, -15.0773
1.090000, 66.469, -15.0922
1.106000, 66.620, -15.1023
1.120000, 66.750, -15.1234
1.138000, 66.913, -15.1759
1.150000, 67.018, -15.2249
1.172000, 67.205, -15.3427
1.180000, 67.271, -15.3972
1.206000, 67.476, -15.5830
1.220000, 67.581, -15.6843
1.241000, 67.729, -15.8302
1.250000, 67.789, -15.8886
1.265000, 67.885, -15.9777
1.280000, 67.975, -16.0539
1.315000, 68.160, -16.1647
1.320000, 68.184, -16.1712
1.340000, 68.271, -16.1700
1.360000, 68.344, -16.1187
1.380000, 68.405, -16.0499
1.400000, 68.451, -15.9341
1.430000, 68.493, -15.6315
1.450000, 68.501, -15.3373
1.475000, 68.484, -14.8754
1.500000, 68.427, -14.3536
1.525000, 68.329, -13.7934
1.550000, 68.195, -13.1939
1.575000, 68.032, -12.5725
1.600000, 67.846, -11.9420
1.625000, 67.643, -11.2588
1.650000, 67.429, -10.5184
1.675000, 67.212, -9.7162
1.700000, 66.996, -8.8481
1.725000, 66.789, -7.9102
1.750000, 66.597, -6.8994
1.775000, 66.426, -5.8303
1.800000, 66.282, -4.7178
1.825000, 66.169, -3.5251
1.850000, 66.083, -2.2424
1.875000, 66.012, -0.8601
1.900000, 65.953, 0.6125
1.925000, 65.905, 2.1581
1.950000, 65.868, 3.7579
1.975000, 65.841, 5.3756
2.000000, 65.825, 6.9756
2.030000, 65.820, 8.8891
2.060000, 65.831, 10.7626
2.090000, 65.857, 12.5646
2.120000, 65.899, 14.2667
2.140000, 65.936, 15.3334
2.180000, 66.031, 17.2634
2.200000, 66.091, 18.1274
2.240000, 66.244, 19.7970
2.270000, 66.389, 21.0318
2.300000, 66.556, 22.2304
2.330000, 66.742, 23.3680
2.360000, 66.941, 24.4229
2.400000, 67.221, 25.6245
2.430000, 67.437, 26.3850
2.470000, 67.722, 27.2024
2.500000, 67.930, 27.6592
2.540000, 68.192, 28.0537
2.580000, 68.436, 28.2092
2.620000, 68.674, 28.1864
2.650000, 68.853, 28.1089
2.690000, 69.090, 27.9365
2.720000, 69.267, 27.7592
2.760000, 69.496, 27.4631
2.800000, 69.717, 27.0571
2.850000, 69.976, 26.4404
2.900000, 70.212, 25.6970
2.950000, 70.421, 24.8004
3.000000, 70.608, 23.7029
3.040000, 70.745, 22.7207
3.070000, 70.839, 21.9502
3.110000, 70.954, 20.8986
3.150000, 71.056, 19.8369
3.200000, 71.167, 18.4860
3.250000, 71.256, 17.1397
3.300000, 71.326, 15.7924
3.350000, 71.376, 14.3583
3.400000, 71.406, 12.7656
3.450000, 71.417, 11.0821
3.500000, 71.407, 9.3816
3.550000, 71.376, 7.7185
3.600000, 71.323, 6.1090
3.650000, 71.248, 4.5843
3.700000, 71.152, 3.0868
3.750000, 71.035, 1.5166
3.820000, 70.838, -0.8287
3.870000, 70.669, -2.5195
3.950000, 70.348, -5.0666
4.000000, 70.112, -6.4925
4.060000, 69.793, -8.0237
4.120000, 69.436, -9.4882
4.180000, 69.043, -10.9344
4.250000, 68.537, -12.5366
4.310000, 68.060, -13.6813
4.370000, 67.538, -14.4783
4.440000, 66.846, -14.8814
4.500000, 66.162, -14.7567
4.550000, 65.547, -14.3038
4.620000, 64.679, -13.0740
4.680000, 63.987, -11.3319
4.750000, 63.304, -8.2987
4.820000, 62.757, -3.9019
4.870000, 62.424, 0.2177
4.940000, 62.045, 7.1410
5.000000, 61.832, 13.6152
5.080000, 61.765, 21.8727
5.150000, 61.971, 27.9768
5.220000, 62.461, 32.9511
5.300000, 63.277, 37.2723
5.380000, 64.194, 40.1037
5.450000, 64.946, 41.4233
5.520000, 65.591, 41.8168
5.600000, 66.242, 41.3798
5.700000, 66.977, 39.9772
5.800000, 67.610, 38.0225
5.900000, 68.123, 35.5878
6.000000, 68.516, 32.5828
6.080000, 68.755, 29.9320
6.150000, 68.916, 27.6022
6.220000, 69.038, 25.2906
6.300000, 69.128, 22.5786
6.400000, 69.164, 18.9609
6.500000, 69.123, 15.3063
6.600000, 69.011, 11.8709
6.700000, 68.830, 8.5307
6.800000, 68.579, 5.1757
6.900000, 68.267, 1.9900
7.000000, 67.896, -0.8247
7.100000, 67.463, -3.3473
7.200000, 66.981, -5.6106
7.300000, 66.467, -7.4872
7.400000, 65.922, -8.7942
7.500000, 65.347, -9.5040
7.620000, 64.675, -9.6510
7.750000, 64.044, -8.9330
7.880000, 63.522, -7.1468
8.000000, 63.174, -4.9985
8.120000, 63.010, -2.9077
8.250000, 63.036, -0.8286
8.380000, 63.191, 0.6153
8.500000, 63.399, 1.0465
8.620000, 63.661, 0.7118
8.750000, 63.949, -0.3663
8.850000, 64.139, -1.6856
9.000000, 64.373, -4.3595
9.120000, 64.507, -6.8423
9.250000, 64.587, -9.7721
9.380000, 64.603, -12.9411
9.500000, 64.563, -15.8860
9.620000, 64.472, -18.7668
9.750000, 64.317, -21.8474
9.880000, 64.106, -24.7420
10.000000, 63.862, -27.1606
10.150000, 63.500, -29.8947
10.300000, 63.094, -32.1310
10.440000, 62.685, -33.6918
10.600000, 62.210, -34.8592
10.750000, 61.779, -35.3011
10.900000, 61.379, -35.1246
11.060000, 61.016, -34.4081
11.200000, 60.761, -33.3931
11.380000, 60.524, -31.7454
11.500000, 60.426, -30.5388
11.720000, 60.341, -28.2902
11.800000, 60.335, -27.5156
12.060000, 60.371, -25.1900
12.200000, 60.405, -24.0564
12.410000, 60.465, -22.3505
12.500000, 60.492, -21.5685
12.650000, 60.541, -20.1777
12.800000, 60.612, -18.6738
13.150000, 60.931, -14.9863
13.200000, 60.999, -14.5096
13.400000, 61.329, -12.8638
13.600000, 61.718, -11.9210
13.800000, 62.123, -11.8562
14.000000, 62.478, -12.7166
14.300000, 62.806, -15.5377
14.500000, 62.822, -18.0648
14.750000, 62.560, -21.3422
15.000000, 61.958, -24.0765
15.250000, 61.023, -25.2225
15.500000, 59.870, -23.4309
15.750000, 58.799, -17.5333
16.000000, 58.310, -8.1959
16.250000, 58.621, 0.7702
16.500000, 59.462, 6.0832
16.750000, 60.337, 7.3221
17.000000, 60.989, 5.7876
17.250000, 61.340, 2.7139
17.500000, 61.406, -0.9210
17.750000, 61.251, -4.4639
18.000000, 60.956, -7.6034
18.250000, 60.608, -10.2922
18.500000, 60.277, -12.7514
18.750000, 59.979, -15.3336
19.000000, 59.690, -18.3399
19.250000, 59.346, -21.8601
19.500000, 58.889, -25.6293
19.750000, 58.280, -29.2060
20.000000, 57.520, -31.9555
20.299999, 56.495, -33.2667
20.600000, 55.571, -31.6345
20.900000, 55.051, -27.4194
21.200001, 55.107, -22.5093
21.400000, 55.408, -19.8783
21.799999, 56.329, -17.3170
22.000000, 56.835, -17.3982
22.400000, 57.760, -19.9604
22.700001, 58.259, -23.6607
23.000000, 58.462, -28.4867
23.299999, 58.244, -33.7883
23.600000, 57.479, -38.3644
24.000000, 55.492, -39.1107
24.299999, 53.771, -29.5775
24.700001, 53.732, -2.8573
25.000000, 55.614, 8.3350
25.400000, 57.910, 7.4121
25.799999, 58.936, -0.8009
26.200001, 58.682, -9.9197
26.500000, 57.754, -14.6736
26.900000, 55.935, -14.2584
27.200001, 54.880, -7.2276
27.600000, 54.989, 4.1504
28.000000, 56.058, 7.9202
28.500000, 56.917, 4.3141
29.000000, 57.049, -0.6814
29.500000, 57.108, -4.1314
30.000000, 57.341, -7.5505
30.400000, 57.365, -10.4534
30.700001, 57.177, -11.5197
31.100000, 56.857, -9.3735
31.500000, 57.062, -2.8088
32.000000, 58.519, 4.7014
32.500000, 60.278, 5.2226
33.000000, 61.408, 1.0561
33.500000, 61.754, -3.8716
34.000000, 61.457, -6.8073
34.500000, 60.816, -5.8159
35.000000, 60.343, -0.6403
35.500000, 60.434, 5.2646
