* Measurement data measured by REW V5.31
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 1.000. Timing signal peak level -15.5 dBFS, measurement signal peak level -15.6 dBFS
* Format: 4M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Apr 13, 2024 9:58:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -0.1482 ms (-51 mm, -2 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: 2.8 ppm
* Measurement: Samsung Earbuds R4
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 34.206, -11.7880
1.015000, 34.313, -7.1251
1.030000, 34.443, -3.2431
1.044000, 34.587, -0.2565
1.060000, 34.778, 2.4978
1.075000, 34.987, 4.5318
1.090000, 35.226, 6.1276
1.106000, 35.521, 7.4980
1.120000, 35.819, 8.5793
1.138000, 36.259, 9.8939
1.150000, 36.584, 10.7209
1.172000, 37.241, 12.1119
1.180000, 37.496, 12.5703
1.206000, 38.380, 13.9058
1.220000, 38.884, 14.5267
1.241000, 39.668, 15.3318
1.250000, 40.011, 15.6316
1.265000, 40.591, 16.0724
1.280000, 41.176, 16.4414
1.315000, 42.537, 17.0333
1.320000, 42.729, 17.0880
1.340000, 43.485, 17.2334
1.360000, 44.213, 17.2644
1.380000, 44.905, 17.1430
1.400000, 45.551, 16.8927
1.430000, 46.412, 16.3014
1.450000, 46.903, 15.7627
1.475000, 47.419, 14.9485
1.500000, 47.850, 14.0491
1.525000, 48.213, 13.1185
1.550000, 48.516, 12.1804
1.575000, 48.767, 11.2265
1.600000, 48.973, 10.2460
1.625000, 49.140, 9.2803
1.650000, 49.275, 8.3276
1.675000, 49.386, 7.3838
1.700000, 49.479, 6.4425
1.725000, 49.562, 5.4958
1.750000, 49.642, 4.5347
1.775000, 49.725, 3.5320
1.800000, 49.819, 2.4597
1.825000, 49.927, 1.3370
1.850000, 50.043, 0.1429
1.875000, 50.155, -1.1285
1.900000, 50.257, -2.4592
1.925000, 50.350, -3.8267
1.950000, 50.434, -5.2113
1.975000, 50.509, -6.6151
2.000000, 50.577, -8.0436
2.030000, 50.650, -9.7359
2.060000, 50.715, -11.4007
2.090000, 50.772, -13.0374
2.120000, 50.822, -14.6503
2.140000, 50.853, -15.7166
2.180000, 50.909, -17.8710
2.200000, 50.934, -18.9904
2.240000, 50.975, -21.3665
2.270000, 50.997, -23.2833
2.300000, 51.012, -25.2839
2.330000, 51.019, -27.3353
2.360000, 51.019, -29.4092
2.400000, 51.010, -32.2172
2.430000, 50.997, -34.3037
2.470000, 50.972, -37.0301
2.500000, 50.948, -39.0273
2.540000, 50.911, -41.6369
2.580000, 50.866, -44.2853
2.620000, 50.813, -47.1573
2.650000, 50.767, -49.4544
2.690000, 50.698, -52.6591
2.720000, 50.641, -55.1287
2.760000, 50.557, -58.4519
2.800000, 50.467, -61.7978
2.850000, 50.346, -65.8929
2.900000, 50.216, -69.8446
2.950000, 50.078, -73.7657
3.000000, 49.929, -78.0144
3.040000, 49.802, -81.6906
3.070000, 49.702, -84.5637
3.110000, 49.564, -88.4864
3.150000, 49.422, -92.4451
3.200000, 49.240, -97.3701
3.250000, 49.055, -102.1613
3.300000, 48.868, -106.8345
3.350000, 48.673, -111.7117
3.400000, 48.470, -117.0614
3.450000, 48.260, -122.7906
3.500000, 48.050, -128.7210
3.550000, 47.845, -134.6784
3.600000, 47.650, -140.5476
3.650000, 47.467, -146.2828
3.700000, 47.291, -152.1401
3.750000, 47.115, -158.4845
3.820000, 46.877, -168.1989
3.870000, 46.724, -175.4443
3.950000, 46.537, 173.0320
4.000000, 46.469, 166.0302
4.060000, 46.446, 157.5945
4.120000, 46.479, 148.6017
4.180000, 46.560, 139.1414
4.250000, 46.713, 128.1065
4.310000, 46.892, 119.1143
4.370000, 47.116, 110.6588
4.440000, 47.442, 101.0530
4.500000, 47.784, 92.7426
4.550000, 48.105, 85.9176
4.620000, 48.588, 76.8404
4.680000, 49.014, 69.6832
4.750000, 49.504, 61.9982
4.820000, 49.989, 54.6156
4.870000, 50.342, 49.4001
4.940000, 50.840, 42.3411
5.000000, 51.261, 36.6494
5.080000, 51.799, 29.6659
5.150000, 52.238, 23.9818
5.220000, 52.654, 18.3806
5.300000, 53.103, 12.1036
5.380000, 53.522, 6.1788
5.450000, 53.860, 1.3596
5.520000, 54.171, -3.1854
5.600000, 54.494, -8.3127
5.700000, 54.849, -14.6045
5.800000, 55.151, -20.4653
5.900000, 55.400, -25.8651
6.000000, 55.595, -31.1433
6.080000, 55.713, -35.2799
6.150000, 55.790, -38.7067
6.220000, 55.841, -41.9208
6.300000, 55.869, -45.4128
6.400000, 55.858, -49.6806
6.500000, 55.798, -53.7425
6.600000, 55.693, -57.4068
6.700000, 55.539, -60.7460
6.800000, 55.340, -63.8704
6.900000, 55.104, -66.7063
7.000000, 54.836, -69.1230
7.100000, 54.533, -71.1501
7.200000, 54.204, -72.8483
7.300000, 53.869, -74.2228
7.400000, 53.534, -75.1945
7.500000, 53.196, -75.7582
7.620000, 52.808, -76.0670
7.750000, 52.439, -76.1437
7.880000, 52.126, -75.9296
8.000000, 51.867, -75.7077
8.120000, 51.630, -75.7577
8.250000, 51.396, -76.1258
8.380000, 51.125, -76.8192
8.500000, 50.803, -77.8890
8.620000, 50.406, -79.3911
8.750000, 49.821, -81.2021
8.850000, 49.232, -82.6316
9.000000, 48.100, -84.9015
9.120000, 46.787, -86.2176
9.250000, 44.624, -86.1545
9.380000, 41.796, -83.0231
9.500000, 39.627, -72.7543
9.620000, 39.079, -43.8021
9.750000, 40.129, -2.2031
9.880000, 41.975, 16.0727
10.000000, 44.040, 20.2584
10.150000, 46.670, 19.7062
10.300000, 48.658, 16.3427
10.440000, 49.856, 11.7133
10.600000, 50.739, 5.8399
10.750000, 51.239, -0.1031
10.900000, 51.432, -6.3593
11.060000, 51.328, -12.7905
11.200000, 50.977, -18.4391
11.380000, 50.121, -24.9202
11.500000, 49.281, -28.4219
11.720000, 47.167, -32.0228
11.800000, 46.178, -31.5245
12.060000, 43.048, -17.8396
12.200000, 42.801, -2.1783
12.410000, 44.322, 17.1515
12.500000, 45.263, 20.5029
12.650000, 46.954, 21.2866
12.800000, 48.463, 18.3749
13.150000, 50.539, 3.8978
13.200000, 50.705, 1.4160
13.400000, 51.094, -9.2899
13.600000, 51.065, -20.3373
13.800000, 50.629, -31.4893
14.000000, 49.744, -41.8806
14.300000, 47.367, -54.3344
14.500000, 44.904, -56.7130
14.750000, 42.401, -42.7505
15.000000, 42.914, -12.2579
15.250000, 46.236, -2.5001
15.500000, 49.233, -7.2850
15.750000, 51.123, -17.0460
16.000000, 52.196, -28.4757
16.250000, 52.573, -39.9523
16.500000, 52.282, -50.5989
16.750000, 51.292, -59.0956
17.000000, 49.537, -63.1833
17.250000, 47.446, -58.2828
17.500000, 46.324, -39.3758
17.750000, 47.640, -19.5627
18.000000, 50.037, -12.4414
18.250000, 51.981, -13.8430
18.500000, 53.254, -18.6663
18.750000, 53.914, -24.4287
19.000000, 54.075, -29.7827
19.250000, 53.855, -33.6582
19.500000, 53.416, -35.2892
19.750000, 52.985, -34.3132
20.000000, 52.816, -31.3568
20.299999, 53.083, -27.5247
20.600000, 53.643, -25.5672
20.900000, 54.131, -25.7261
21.200001, 54.343, -26.7073
21.400000, 54.332, -26.9594
21.799999, 54.224, -24.8072
22.000000, 54.328, -22.3354
22.400000, 55.207, -17.2486
22.700001, 56.295, -16.0300
23.000000, 57.395, -17.8881
23.299999, 58.264, -22.1566
23.600000, 58.787, -27.7543
24.000000, 58.890, -35.4866
24.299999, 58.541, -40.2188
24.700001, 57.664, -43.0959
25.000000, 56.969, -41.6005
25.400000, 56.597, -35.5725
25.799999, 57.107, -29.8585
26.200001, 57.929, -28.3278
26.500000, 58.366, -29.4146
26.900000, 58.528, -31.6613
27.200001, 58.385, -32.5686
27.600000, 58.115, -31.5383
28.000000, 58.139, -28.6686
28.500000, 58.716, -26.6519
29.000000, 59.288, -28.9395
29.500000, 59.287, -33.4533
30.000000, 58.693, -36.4120
30.400000, 58.116, -35.8564
30.700001, 57.879, -33.9439
31.100000, 57.959, -31.2480
31.500000, 58.305, -30.1782
32.000000, 58.658, -30.8572
32.500000, 58.810, -31.2916
33.000000, 59.095, -30.0688
33.500000, 59.778, -28.9326
34.000000, 60.608, -30.0020
34.500000, 61.191, -32.8495
35.000000, 61.406, -35.4171
35.500000, 61.438, -36.0515
36.000000, 61.587, -34.7701
36.500000, 61.963, -33.1658
37.000000, 62.417, -32.4448
37.500000, 62.786, -32.4566
38.200001, 63.148, -32.5793
38.700001, 63.364, -32.6519
39.500000, 63.596, -33.0640
40.000000, 63.647, -33.0869
40.599998, 63.723, -32.5591
41.200001, 63.900, -32.0936
41.799999, 64.078, -32.1656
42.500000, 64.222, -31.8369
43.099998, 64.519, -30.8664
43.700001, 65.055, -31.0012
44.400002, 65.554, -33.6718
45.000000, 65.600, -35.9113
45.500000, 65.538, -35.9597
46.200001, 65.843, -34.0668
46.799999, 66.443, -34.0823
47.500000, 66.892, -36.8359
48.200001, 66.850, -39.0626
48.700001, 66.744, -38.9197
49.400002, 66.821, -37.3420
50.000000, 67.049, -36.4244
50.799999, 67.325, -36.1023
51.500000, 67.530, -36.1010
52.200001, 67.686, -36.3928
53.000000, 67.773, -36.3441
53.799999, 67.977, -35.6728
54.500000, 68.281, -35.8756
55.200001, 68.513, -36.8990
56.000000, 68.695, -37.8203
57.000000, 69.003, -38.3918
58.000000, 69.457, -38.8735
59.000000, 70.009, -41.0491
60.000000, 70.081, -44.1298
60.799999, 69.922, -43.8431
61.500000, 70.022, -42.1382
62.200001, 70.286, -41.1075
63.000000, 70.548, -40.7876
64.000000, 70.829, -40.4638
65.000000, 71.095, -40.5118
66.000000, 71.313, -40.6372
67.000000, 71.564, -40.7591
68.000000, 71.827, -41.3493
69.000000, 72.031, -42.1109
70.000000, 72.214, -42.5282
71.000000, 72.427, -42.7273
72.000000, 72.671, -42.9557
73.000000, 72.912, -43.4098
74.000000, 73.108, -43.8995
75.000000, 73.288, -44.1626
76.199997, 73.523, -44.4221
77.500000, 73.773, -44.8417
78.800003, 74.011, -45.1890
80.000000, 74.250, -45.5397
81.199997, 74.489, -45.9934
82.500000, 74.742, -46.5153
83.800003, 74.989, -47.0208
85.000000, 75.212, -47.4407
86.199997, 75.441, -47.8624
87.500000, 75.666, -48.4468
88.500000, 75.823, -48.7744
90.000000, 76.084, -49.2550
91.199997, 76.290, -49.7953
92.500000, 76.499, -50.4056
93.800003, 76.692, -50.9510
95.000000, 76.877, -51.2723
96.199997, 77.086, -51.7018
97.500000, 77.296, -52.3613
98.800003, 77.490, -53.0370
100.000000, 77.659, -53.7130
101.500000, 77.845, -54.4441
103.000000, 78.034, -54.8549
104.400002, 78.234, -55.1587
106.000000, 78.453, -55.5846
107.500000, 78.649, -55.9866
109.000000, 78.843, -56.5212
110.599998, 79.050, -57.1717
112.000000, 79.230, -57.7818
113.800003, 79.449, -58.4924
115.000000, 79.588, -58.8706
117.199997, 79.821, -59.5778
118.000000, 79.894, -59.8341
120.599998, 80.183, -60.5217
122.000000, 80.368, -61.2155
124.099998, 80.610, -62.2987
125.000000, 80.706, -62.6646
126.500000, 80.865, -63.2310
128.000000, 81.002, -63.8724
131.500000, 81.282, -64.9813
132.000000, 81.334, -65.1396
134.000000, 81.546, -65.9730
136.000000, 81.730, -66.8290
138.000000, 81.909, -67.5165
140.000000, 82.077, -68.3516
143.000000, 82.338, -69.5141
145.000000, 82.526, -70.3699
147.500000, 82.732, -71.1706
150.000000, 82.930, -71.7711
152.500000, 83.108, -72.5499
155.000000, 83.286, -73.4924
157.500000, 83.460, -74.4722
160.000000, 83.623, -75.3918
162.500000, 83.782, -76.2052
165.000000, 83.946, -76.9630
167.500000, 84.104, -77.7194
170.000000, 84.254, -78.4879
172.500000, 84.400, -79.3230
175.000000, 84.531, -80.0658
177.500000, 84.644, -80.7317
180.000000, 84.742, -81.4944
182.500000, 84.860, -82.2266
185.000000, 84.993, -82.9431
187.500000, 85.079, -83.5894
190.000000, 85.126, -84.1467
192.500000, 85.244, -84.7332
195.000000, 85.412, -85.7458
197.500000, 85.543, -86.6053
200.000000, 85.645, -87.1904
203.000000, 85.755, -88.0576
206.000000, 85.859, -88.9589
209.000000, 85.960, -89.6733
212.000000, 86.066, -90.1931
214.000000, 86.141, -90.5270
218.000000, 86.274, -91.3641
220.000000, 86.323, -91.8862
224.000000, 86.411, -92.8161
227.000000, 86.498, -93.3846
230.000000, 86.590, -93.9827
233.000000, 86.679, -94.6079
236.000000, 86.776, -95.2355
240.000000, 86.900, -96.0937
243.000000, 86.955, -96.6931
247.000000, 87.028, -97.3677
250.000000, 87.095, -97.8000
254.000000, 87.184, -98.4583
258.000000, 87.267, -99.3206
262.000000, 87.336, -100.1635
265.000000, 87.380, -100.7839
269.000000, 87.456, -101.5464
272.000000, 87.514, -102.0423
276.000000, 87.568, -102.6803
280.000000, 87.608, -103.3315
285.000000, 87.651, -104.2468
290.000000, 87.670, -104.9821
295.000000, 87.676, -105.6477
300.000000, 87.678, -105.9947
304.000000, 87.688, -106.2611
307.000000, 87.711, -106.4163
