* Measurement data measured by REW V5.31.1
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.710. Timing signal peak level -20.2 dBFS, measurement signal peak level -18.0 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: May 25, 2024 5:56:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Fosi DS1 w/ Sivga Phoenix Pads Delay -0.0629 ms (-22 mm, -0.85 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -25.7 ppm
* Measurement: Sivga Phoenix Pads L5
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 55.560, 48.4127
1.015000, 55.618, 48.2094
1.030000, 55.672, 47.9944
1.044000, 55.718, 47.7823
1.060000, 55.767, 47.5255
1.075000, 55.808, 47.2695
1.090000, 55.845, 46.9971
1.106000, 55.879, 46.6833
1.120000, 55.906, 46.3825
1.138000, 55.936, 45.9573
1.150000, 55.954, 45.6510
1.172000, 55.980, 45.0416
1.180000, 55.988, 44.8027
1.206000, 56.007, 43.9841
1.220000, 56.013, 43.5190
1.241000, 56.015, 42.7936
1.250000, 56.014, 42.4736
1.265000, 56.010, 41.9292
1.280000, 56.001, 41.3726
1.315000, 55.966, 40.0342
1.320000, 55.959, 39.8392
1.340000, 55.928, 39.0514
1.360000, 55.889, 38.2544
1.380000, 55.843, 37.4120
1.400000, 55.789, 36.5492
1.430000, 55.694, 35.2465
1.450000, 55.620, 34.3723
1.475000, 55.514, 33.2594
1.500000, 55.386, 32.0876
1.525000, 55.235, 30.8437
1.550000, 55.064, 29.5330
1.575000, 54.877, 28.1465
1.600000, 54.676, 26.6779
1.625000, 54.467, 25.1653
1.650000, 54.250, 23.6156
1.675000, 54.032, 22.0350
1.700000, 53.814, 20.4295
1.725000, 53.600, 18.8041
1.750000, 53.394, 17.1633
1.775000, 53.199, 15.4962
1.800000, 53.018, 13.7915
1.825000, 52.854, 12.0723
1.850000, 52.703, 10.3128
1.875000, 52.560, 8.4821
1.900000, 52.422, 6.5767
