* Measurement data measured by REW V5.31
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -22.6 dBFS, measurement signal peak level -20.8 dBFS
* Format: 4M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Apr 20, 2024 9:07:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0953 ms (-33 mm, -1.29 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset
* Measurement: Sennheiser HD202 L2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 55.973, 136.5981
1.015000, 56.131, 135.7821
1.030000, 56.286, 134.9690
1.044000, 56.428, 134.2098
1.060000, 56.588, 133.3378
1.075000, 56.736, 132.5122
1.090000, 56.880, 131.6735
1.106000, 57.033, 130.7548
1.120000, 57.167, 129.9204
1.138000, 57.341, 128.8055
1.150000, 57.457, 128.0403
1.172000, 57.671, 126.5972
1.180000, 57.748, 126.0579
1.206000, 57.998, 124.2887
1.220000, 58.131, 123.3316
1.241000, 58.326, 121.8989
1.250000, 58.408, 121.2878
1.265000, 58.542, 120.2757
1.280000, 58.673, 119.2736
1.315000, 58.959, 116.9836
1.320000, 58.998, 116.6627
1.340000, 59.146, 115.3955
1.360000, 59.282, 114.1565
1.380000, 59.406, 112.9062
1.400000, 59.516, 111.6666
1.430000, 59.653, 109.8493
1.450000, 59.723, 108.6588
1.475000, 59.784, 107.1675
1.500000, 59.813, 105.6212
1.525000, 59.811, 104.0101
1.550000, 59.782, 102.3516
1.575000, 59.729, 100.6429
1.600000, 59.657, 98.8835
1.625000, 59.569, 97.1273
1.650000, 59.469, 95.3864
1.675000, 59.360, 93.6708
1.700000, 59.247, 91.9881
1.725000, 59.133, 90.3435
1.750000, 59.022, 88.7405
1.775000, 58.917, 87.1629
1.800000, 58.823, 85.5931
1.825000, 58.741, 84.0540
1.850000, 58.670, 82.5067
1.875000, 58.602, 80.9077
1.900000, 58.536, 79.2528
1.925000, 58.470, 77.5546
1.950000, 58.405, 75.8282
1.975000, 58.341, 74.0711
2.000000, 58.277, 72.2802
2.030000, 58.200, 70.1482
2.060000, 58.123, 68.0502
2.090000, 58.047, 66.0017
2.120000, 57.970, 64.0149
2.140000, 57.919, 62.7291
2.180000, 57.815, 60.2313
2.200000, 57.763, 58.9966
2.240000, 57.658, 56.4993
2.270000, 57.580, 54.5632
2.300000, 57.502, 52.5813
2.330000, 57.423, 50.5709
2.360000, 57.345, 48.5497
2.400000, 57.240, 45.8214
2.430000, 57.160, 43.8021
2.470000, 57.054, 41.1847
2.500000, 56.974, 39.2960
2.540000, 56.866, 36.8938
2.580000, 56.756, 34.5767
2.620000, 56.647, 32.2181
2.650000, 56.564, 30.4181
2.690000, 56.453, 27.9861
2.720000, 56.369, 26.1527
2.760000, 56.256, 23.7217
2.800000, 56.143, 21.2939
2.850000, 55.999, 18.3641
2.900000, 55.853, 15.6118
2.950000, 55.705, 13.0370
3.000000, 55.555, 10.4879
3.040000, 55.432, 8.4370
3.070000, 55.340, 6.9019
3.110000, 55.215, 4.8709
3.150000, 55.090, 2.8742
3.200000, 54.933, 0.4283
3.250000, 54.776, -1.9008
3.300000, 54.620, -4.0696
3.350000, 54.462, -6.1163
3.400000, 54.304, -8.1325
3.450000, 54.146, -10.1119
3.500000, 53.987, -12.0361
3.550000, 53.830, -13.8923
3.600000, 53.673, -15.6893
3.650000, 53.519, -17.3933
3.700000, 53.367, -18.9926
3.750000, 53.217, -20.5087
3.820000, 53.011, -22.5539
3.870000, 52.864, -23.9507
3.950000, 52.629, -26.0687
4.000000, 52.480, -27.3434
4.060000, 52.303, -28.8221
4.120000, 52.129, -30.2502
4.180000, 51.958, -31.6319
4.250000, 51.752, -33.1895
4.310000, 51.561, -34.4302
4.370000, 51.351, -35.5818
4.440000, 51.086, -36.8888
4.500000, 50.849, -38.0047
4.550000, 50.641, -38.9078
4.620000, 50.322, -40.0727
4.680000, 50.013, -40.8687
4.750000, 49.591, -41.4541
4.820000, 49.082, -41.7293
4.870000, 48.663, -41.7724
4.940000, 48.028, -41.5023
5.000000, 47.473, -40.7884
5.080000, 46.776, -38.7188
5.150000, 46.217, -35.4576
5.220000, 45.649, -30.6108
5.300000, 45.018, -22.8759
5.380000, 44.575, -12.9900
5.450000, 44.507, -3.5650
5.520000, 44.870, 5.3948
5.600000, 45.827, 14.2574
5.700000, 47.521, 22.2386
5.800000, 49.297, 26.4542
5.900000, 50.857, 27.7245
6.000000, 52.281, 27.4464
6.080000, 53.359, 26.5146
6.150000, 54.240, 25.2465
6.220000, 55.048, 23.5536
6.300000, 55.879, 21.2017
6.400000, 56.796, 17.9161
6.500000, 57.603, 14.4619
6.600000, 58.323, 10.8601
6.700000, 58.955, 6.9883
6.800000, 59.500, 2.9825
6.900000, 59.969, -0.9471
7.000000, 60.369, -4.7998
7.100000, 60.700, -8.7497
7.200000, 60.964, -12.6745
7.300000, 61.168, -16.3814
7.400000, 61.312, -19.9012
7.500000, 61.398, -23.3765
7.620000, 61.433, -27.2963
7.750000, 61.394, -30.9829
7.880000, 61.278, -34.2365
8.000000, 61.124, -36.7857
8.120000, 60.945, -38.7056
8.250000, 60.723, -40.0925
8.380000, 60.518, -40.8623
8.500000, 60.382, -41.0037
8.620000, 60.297, -40.6135
8.750000, 60.281, -39.9203
8.850000, 60.340, -39.3637
9.000000, 60.533, -38.5359
9.120000, 60.741, -38.1209
9.250000, 60.995, -38.1105
9.380000, 61.267, -38.4809
9.500000, 61.497, -39.1013
9.620000, 61.685, -39.9891
9.750000, 61.838, -41.1620
9.880000, 61.923, -42.3332
10.000000, 61.928, -43.3322
10.150000, 61.850, -44.4251
10.300000, 61.702, -44.9776
10.440000, 61.512, -44.8960
10.600000, 61.297, -44.0448
10.750000, 61.153, -42.4184
10.900000, 61.095, -40.1758
11.060000, 61.188, -37.5571
11.200000, 61.405, -35.3266
11.380000, 61.806, -33.0660
11.500000, 62.127, -32.0923
11.720000, 62.737, -31.3756
11.800000, 62.940, -31.4506
12.060000, 63.486, -32.5150
12.200000, 63.683, -33.3765
12.410000, 63.853, -34.6467
12.500000, 63.884, -35.0436
12.650000, 63.886, -35.4451
12.800000, 63.859, -35.4172
13.150000, 63.845, -33.4619
13.200000, 63.868, -33.0212
13.400000, 64.054, -31.0335
13.600000, 64.387, -29.1883
13.800000, 64.842, -27.9309
14.000000, 65.342, -27.5465
14.300000, 66.037, -28.5943
14.500000, 66.388, -30.0418
14.750000, 66.664, -32.1514
15.000000, 66.762, -34.1072
15.250000, 66.726, -35.4287
15.500000, 66.629, -35.7449
15.750000, 66.561, -34.9970
16.000000, 66.613, -33.4849
16.250000, 66.819, -31.8587
16.500000, 67.148, -30.6147
16.750000, 67.527, -30.0570
17.000000, 67.885, -30.1271
17.250000, 68.180, -30.5952
17.500000, 68.401, -31.1168
17.750000, 68.573, -31.4269
18.000000, 68.736, -31.4334
18.250000, 68.929, -31.2239
18.500000, 69.175, -30.9998
18.750000, 69.463, -30.9987
19.000000, 69.764, -31.3774
19.250000, 70.036, -32.1695
19.500000, 70.250, -33.2087
19.750000, 70.391, -34.2875
20.000000, 70.467, -35.1753
20.299999, 70.511, -35.7925
20.600000, 70.568, -35.8373
20.900000, 70.694, -35.5269
21.200001, 70.909, -35.2849
21.400000, 71.086, -35.3454
21.799999, 71.453, -36.1790
22.000000, 71.610, -36.9132
22.400000, 71.833, -38.7221
22.700001, 71.920, -40.0406
23.000000, 71.960, -41.1043
23.299999, 71.984, -41.8341
23.600000, 72.021, -42.2062
