* Measurement data measured by REW V5.31
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -18.7 dBFS, measurement signal peak level -18.5 dBFS
* Format: 4M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Apr 20, 2024 9:17:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0313 ms (-11 mm, -0.42 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset
* Measurement: Sennheiser HD202 R4
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 66.020, -87.4972
1.015000, 66.104, -87.3389
1.030000, 66.187, -87.1759
1.044000, 66.263, -87.0192
1.060000, 66.348, -86.8351
1.075000, 66.428, -86.6574
1.090000, 66.506, -86.4753
1.106000, 66.590, -86.2787
1.120000, 66.664, -86.1088
1.138000, 66.760, -85.8956
1.150000, 66.824, -85.7566
1.172000, 66.941, -85.5137
1.180000, 66.984, -85.4334
1.206000, 67.118, -85.1759
1.220000, 67.188, -85.0387
1.241000, 67.289, -84.8338
1.250000, 67.330, -84.7459
1.265000, 67.396, -84.5988
1.280000, 67.459, -84.4504
1.315000, 67.587, -84.0958
1.320000, 67.603, -84.0439
1.340000, 67.660, -83.8320
1.360000, 67.707, -83.6111
1.380000, 67.741, -83.4190
1.400000, 67.762, -83.2306
1.430000, 67.766, -82.9244
1.450000, 67.749, -82.7030
1.475000, 67.702, -82.4093
1.500000, 67.624, -82.1073
1.525000, 67.517, -81.8020
1.550000, 67.382, -81.4928
1.575000, 67.226, -81.2001
1.600000, 67.049, -80.9401
1.625000, 66.858, -80.6723
1.650000, 66.654, -80.3960
1.675000, 66.442, -80.1099
1.700000, 66.226, -79.8131
1.725000, 66.008, -79.5044
1.750000, 65.793, -79.1826
1.775000, 65.585, -78.8636
1.800000, 65.386, -78.5628
1.825000, 65.199, -78.2467
1.850000, 65.023, -77.9219
1.875000, 64.851, -77.5956
1.900000, 64.681, -77.2689
1.925000, 64.512, -76.9396
1.950000, 64.343, -76.6046
1.975000, 64.175, -76.2781
2.000000, 64.007, -75.9734
2.030000, 63.805, -75.5882
2.060000, 63.602, -75.1788
2.090000, 63.398, -74.7404
2.120000, 63.192, -74.2678
2.140000, 63.053, -73.9312
2.180000, 62.772, -73.2216
2.200000, 62.629, -72.8590
2.240000, 62.338, -72.1001
2.270000, 62.115, -71.5097
2.300000, 61.890, -70.8965
2.330000, 61.663, -70.2536
2.360000, 61.435, -69.5738
2.400000, 61.129, -68.6438
2.430000, 60.900, -67.8884
2.470000, 60.596, -66.7778
2.500000, 60.369, -65.8555
2.540000, 60.070, -64.4900
2.580000, 59.771, -62.9822
2.620000, 59.458, -61.3682
2.650000, 59.215, -60.0638
2.690000, 58.885, -58.1893
2.720000, 58.639, -56.6730
2.760000, 58.321, -54.4910
2.800000, 58.023, -52.1573
2.850000, 57.695, -48.9688
2.900000, 57.433, -45.4765
2.950000, 57.247, -41.6896
3.000000, 57.125, -37.6373
3.040000, 57.065, -34.2313
3.070000, 57.042, -31.6113
3.110000, 57.040, -28.0868
3.150000, 57.070, -24.5941
3.200000, 57.152, -20.4176
3.250000, 57.283, -16.5507
3.300000, 57.468, -13.0436
3.350000, 57.723, -9.8228
3.400000, 58.050, -6.8781
3.450000, 58.433, -4.2431
3.500000, 58.850, -1.9539
3.550000, 59.278, -0.0378
3.600000, 59.696, 1.4691
3.650000, 60.089, 2.5964
3.700000, 60.460, 3.4261
3.750000, 60.824, 4.0493
3.820000, 61.330, 4.5983
3.870000, 61.681, 4.7867
3.950000, 62.214, 4.7562
4.000000, 62.521, 4.5088
4.060000, 62.861, 3.9968
4.120000, 63.173, 3.2971
4.180000, 63.461, 2.4539
4.250000, 63.766, 1.3185
4.310000, 64.003, 0.2731
4.370000, 64.215, -0.8389
4.440000, 64.434, -2.2892
4.500000, 64.595, -3.6656
4.550000, 64.711, -4.8800
4.620000, 64.848, -6.6517
4.680000, 64.941, -8.1746
4.750000, 65.024, -9.9268
4.820000, 65.078, -11.7440
4.870000, 65.099, -13.1152
4.940000, 65.104, -15.0969
5.000000, 65.085, -16.8128
5.080000, 65.028, -19.0330
5.150000, 64.949, -20.8869
5.220000, 64.841, -22.7757
5.300000, 64.684, -24.9917
5.380000, 64.492, -27.1736
5.450000, 64.295, -28.9798
5.520000, 64.071, -30.6345
5.600000, 63.781, -32.4362
5.700000, 63.371, -34.5968
5.800000, 62.917, -36.5058
5.900000, 62.422, -37.9882
6.000000, 61.876, -39.0125
6.080000, 61.418, -39.5339
6.150000, 61.022, -39.7398
6.220000, 60.641, -39.6841
6.300000, 60.217, -39.1966
6.400000, 59.704, -37.9151
