* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -16.0 dBFS, measurement signal peak level -15.4 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -21.2 dBFS using an acoustic timing reference
* Dated: Nov 16, 2024 11:29:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Fosi DS1 Delay -0.0285 ms (-9.8 mm, -0.38 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -25.4 ppm
* Measurement: L4
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 56.677, 18.2228
1.015000, 56.838, 16.4018
1.030000, 57.004, 14.5631
1.044000, 57.163, 12.8293
1.060000, 57.352, 10.8256
1.075000, 57.535, 8.9245
1.090000, 57.725, 7.0027
1.106000, 57.936, 4.9436
1.120000, 58.130, 3.1601
1.138000, 58.392, 0.9183
1.150000, 58.573, -0.5379
1.172000, 58.919, -3.1232
1.180000, 59.048, -4.0378
1.206000, 59.479, -6.8960
1.220000, 59.717, -8.3624
1.241000, 60.079, -10.4684
1.250000, 60.236, -11.3374
1.265000, 60.498, -12.7427
1.280000, 60.761, -14.0961
1.315000, 61.371, -17.0674
1.320000, 61.458, -17.4720
1.340000, 61.799, -19.0453
1.360000, 62.134, -20.5500
1.380000, 62.459, -22.0310
1.400000, 62.772, -23.4714
1.430000, 63.214, -25.5420
1.450000, 63.488, -26.8688
1.475000, 63.806, -28.4598
1.500000, 64.101, -29.9437
1.525000, 64.378, -31.3114
1.550000, 64.640, -32.5725
1.575000, 64.886, -33.7561
1.600000, 65.120, -34.8876
1.625000, 65.344, -35.9471
1.650000, 65.558, -36.9451
1.675000, 65.766, -37.8909
1.700000, 65.968, -38.7927
1.725000, 66.166, -39.6581
1.750000, 66.363, -40.4937
1.775000, 66.560, -41.3193
1.800000, 66.758, -42.1530
1.825000, 66.959, -42.9684
1.850000, 67.162, -43.7566
1.875000, 67.362, -44.5030
1.900000, 67.560, -45.2052
1.925000, 67.754, -45.8667
1.950000, 67.945, -46.4913
1.975000, 68.134, -47.0942
2.000000, 68.319, -47.6900
2.030000, 68.538, -48.3718
2.060000, 68.753, -49.0244
2.090000, 68.964, -49.6536
2.120000, 69.171, -50.2645
2.140000, 69.308, -50.6640
2.180000, 69.576, -51.4684
2.200000, 69.709, -51.8815
2.240000, 69.968, -52.6783
2.270000, 70.157, -53.2436
2.300000, 70.342, -53.7821
2.330000, 70.524, -54.2963
2.360000, 70.702, -54.7891
2.400000, 70.935, -55.4554
2.430000, 71.105, -55.9422
2.470000, 71.329, -56.5719
2.500000, 71.494, -57.0327
2.540000, 71.710, -57.6358
2.580000, 71.922, -58.2410
2.620000, 72.129, -58.8564
2.650000, 72.281, -59.3013
2.690000, 72.480, -59.8733
2.720000, 72.626, -60.2873
2.760000, 72.816, -60.8193
2.800000, 73.002, -61.3688
2.850000, 73.230, -62.0384
2.900000, 73.452, -62.6874
2.950000, 73.668, -63.3193
3.000000, 73.878, -63.9603
3.040000, 74.042, -64.4677
3.070000, 74.162, -64.8385
3.110000, 74.318, -65.3195
3.150000, 74.472, -65.7852
3.200000, 74.659, -66.3762
3.250000, 74.841, -66.9593
3.300000, 75.019, -67.5233
3.350000, 75.192, -68.0715
3.400000, 75.360, -68.6308
3.450000, 75.523, -69.1838
3.500000, 75.681, -69.7175
3.550000, 75.836, -70.2292
3.600000, 75.986, -70.7450
3.650000, 76.134, -71.2504
3.700000, 76.278, -71.7384
3.750000, 76.418, -72.2135
3.820000, 76.608, -72.8837
3.870000, 76.739, -73.3488
3.950000, 76.944, -74.0529
4.000000, 77.068, -74.4899
4.060000, 77.214, -75.0022
4.120000, 77.356, -75.4941
4.180000, 77.494, -75.9733
4.250000, 77.650, -76.5350
4.310000, 77.781, -76.9907
4.370000, 77.910, -77.4255
4.440000, 78.057, -77.9327
4.500000, 78.180, -78.3478
4.550000, 78.280, -78.6801
4.620000, 78.419, -79.1492
4.680000, 78.536, -79.5386
4.750000, 78.670, -79.9714
4.820000, 78.804, -80.4037
4.870000, 78.897, -80.7041
4.940000, 79.027, -81.1084
5.000000, 79.137, -81.4571
5.080000, 79.282, -81.9202
5.150000, 79.408, -82.3132
5.220000, 79.532, -82.7134
5.300000, 79.673, -83.1641
5.380000, 79.813, -83.6076
5.450000, 79.932, -84.0118
5.520000, 80.050, -84.4113
5.600000, 80.182, -84.8733
5.700000, 80.344, -85.4608
5.800000, 80.502, -86.0491
5.900000, 80.656, -86.6536
6.000000, 80.805, -87.2640
6.080000, 80.921, -87.7614
6.150000, 81.020, -88.1887
6.220000, 81.115, -88.6274
6.300000, 81.220, -89.1286
6.400000, 81.346, -89.7577
6.500000, 81.466, -90.3877
6.600000, 81.580, -91.0012
6.700000, 81.689, -91.6155
6.800000, 81.792, -92.2176
6.900000, 81.890, -92.8060
7.000000, 81.982, -93.3636
7.100000, 82.068, -93.9051
7.200000, 82.149, -94.4213
7.300000, 82.229, -94.9143
7.400000, 82.306, -95.3729
7.500000, 82.382, -95.8084
7.620000, 82.472, -96.2983
7.750000, 82.567, -96.7907
7.880000, 82.662, -97.2547
8.000000, 82.750, -97.6553
8.120000, 82.839, -98.0448
8.250000, 82.936, -98.4510
8.380000, 83.034, -98.8432
8.500000, 83.123, -99.2042
8.620000, 83.212, -99.5585
8.750000, 83.307, -99.9346
8.850000, 83.380, -100.2210
9.000000, 83.487, -100.6379
9.120000, 83.571, -100.9612
9.250000, 83.660, -101.2959
9.380000, 83.749, -101.6101
9.500000, 83.830, -101.8889
9.620000, 83.912, -102.1443
9.750000, 84.001, -102.4021
9.880000, 84.085, -102.6432
10.000000, 84.158, -102.8451
10.150000, 84.243, -103.1151
10.300000, 84.327, -103.3810
10.440000, 84.406, -103.6314
10.600000, 84.499, -103.9387
10.750000, 84.591, -104.2625
10.900000, 84.686, -104.6220
11.060000, 84.787, -105.0836
11.200000, 84.874, -105.5709
11.380000, 84.977, -106.2296
11.500000, 85.037, -106.6838
11.720000, 85.133, -107.5126
11.800000, 85.164, -107.8034
12.060000, 85.252, -108.7038
12.200000, 85.295, -109.1617
12.410000, 85.358, -109.7571
12.500000, 85.384, -109.9768
12.650000, 85.428, -110.2980
12.800000, 85.475, -110.5768
13.150000, 85.608, -111.1795
13.200000, 85.630, -111.2735
13.400000, 85.723, -111.6626
13.600000, 85.821, -112.0917
13.800000, 85.917, -112.5711
14.000000, 86.005, -113.0931
14.300000, 86.116, -113.9683
14.500000, 86.172, -114.5190
14.750000, 86.227, -115.1085
15.000000, 86.274, -115.5541
15.250000, 86.331, -115.8973
15.500000, 86.403, -116.1302
15.750000, 86.494, -116.3162
16.000000, 86.603, -116.5361
16.250000, 86.723, -116.8942
16.500000, 86.841, -117.3670
16.750000, 86.947, -117.9364
17.000000, 87.035, -118.5519
17.250000, 87.104, -119.1793
17.500000, 87.155, -119.7254
17.750000, 87.197, -120.1476
18.000000, 87.240, -120.4468
18.250000, 87.295, -120.6804
18.500000, 87.365, -120.8759
18.750000, 87.449, -121.0874
19.000000, 87.543, -121.3598
19.250000, 87.639, -121.7389
19.500000, 87.729, -122.1811
19.750000, 87.807, -122.6521
20.000000, 87.873, -123.1092
20.299999, 87.941, -123.6253
20.600000, 88.008, -124.0483
20.900000, 88.080, -124.3986
21.200001, 88.163, -124.7478
21.400000, 88.223, -125.0036
21.799999, 88.344, -125.5934
22.000000, 88.400, -125.9265
22.400000, 88.497, -126.6420
22.700001, 88.555, -127.1382
23.000000, 88.606, -127.5597
23.299999, 88.659, -127.9161
23.600000, 88.720, -128.2205
24.000000, 88.818, -128.6261
24.299999, 88.899, -129.0011
24.700001, 89.001, -129.5980
25.000000, 89.066, -130.0885
25.400000, 89.129, -130.7329
25.799999, 89.175, -131.2463
26.200001, 89.220, -131.5955
26.500000, 89.265, -131.7766
26.900000, 89.349, -131.9875
27.200001, 89.427, -132.2017
27.600000, 89.540, -132.6282
28.000000, 89.645, -133.2130
28.500000, 89.745, -134.0833
29.000000, 89.813, -134.9100
29.500000, 89.865, -135.6044
30.000000, 89.920, -136.1987
30.400000, 89.968, -136.6706
30.700001, 90.004, -137.0249
31.100000, 90.051, -137.4991
31.500000, 90.097, -137.9745
32.000000, 90.152, -138.5555
32.500000, 90.205, -139.1297
33.000000, 90.255, -139.6765
33.500000, 90.303, -140.2017
34.000000, 90.355, -140.6858
34.500000, 90.414, -141.1507
35.000000, 90.475, -141.6231
35.500000, 90.536, -142.1169
36.000000, 90.593, -142.6082
36.500000, 90.649, -143.0919
37.000000, 90.704, -143.5677
37.500000, 90.759, -144.0666
38.200001, 90.828, -144.8083
38.700001, 90.865, -145.3403
39.500000, 90.911, -146.0694
40.000000, 90.945, -146.4465
40.599998, 90.998, -146.9397
41.200001, 91.051, -147.5114
41.799999, 91.093, -148.1201
42.500000, 91.133, -148.8081
43.099998, 91.165, -149.3839
43.700001, 91.194, -149.9312
44.400002, 91.228, -150.5158
45.000000, 91.269, -151.0119
45.500000, 91.306, -151.4729
46.200001, 91.345, -152.1946
46.799999, 91.361, -152.7577
47.500000, 91.387, -153.2553
48.200001, 91.435, -153.7544
48.700001, 91.469, -154.1738
49.400002, 91.505, -154.7709
50.000000, 91.532, -155.2343
50.799999, 91.568, -155.8395
51.500000, 91.595, -156.3826
52.200001, 91.623, -156.9482
53.000000, 91.643, -157.7271
53.799999, 91.614, -158.4783
54.500000, 91.594, -158.8647
55.200001, 91.621, -159.3775
56.000000, 91.622, -160.4683
57.000000, 91.493, -161.4389
58.000000, 91.454, -161.5165
