* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -13.0 dBFS, measurement signal peak level -13.0 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Sep 1, 2024 1:16:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -0.0676 ms (-23 mm, -0.91 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset
* Measurement: Sennheiser HD58x R1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 60.141, -25.5794
1.015000, 60.259, -25.7053
1.030000, 60.380, -25.8240
1.044000, 60.496, -25.9281
1.060000, 60.630, -26.0387
1.075000, 60.759, -26.1339
1.090000, 60.891, -26.2190
1.106000, 61.036, -26.2894
1.120000, 61.169, -26.3192
1.138000, 61.351, -26.3085
1.150000, 61.477, -26.2740
1.172000, 61.720, -26.1703
1.180000, 61.811, -26.1267
1.206000, 62.116, -25.9496
1.220000, 62.285, -25.8377
1.241000, 62.543, -25.6571
1.250000, 62.654, -25.5769
1.265000, 62.841, -25.4424
1.280000, 63.027, -25.3093
1.315000, 63.459, -25.0192
1.320000, 63.520, -24.9813
1.340000, 63.760, -24.8420
1.360000, 63.994, -24.7239
1.380000, 64.219, -24.6696
1.400000, 64.433, -24.6585
1.430000, 64.730, -24.6995
1.450000, 64.909, -24.7653
1.475000, 65.111, -24.8689
1.500000, 65.289, -24.9413
1.525000, 65.448, -24.9658
1.550000, 65.589, -24.9538
1.575000, 65.715, -24.9404
1.600000, 65.830, -24.9546
1.625000, 65.935, -24.9676
1.650000, 66.033, -24.9885
1.675000, 66.128, -25.0248
1.700000, 66.221, -25.0828
1.725000, 66.315, -25.1677
1.750000, 66.413, -25.2838
1.775000, 66.518, -25.4514
1.800000, 66.633, -25.6884
1.825000, 66.758, -25.9573
1.850000, 66.893, -26.2355
1.875000, 67.033, -26.4935
1.900000, 67.178, -26.7261
1.925000, 67.327, -26.9389
1.950000, 67.478, -27.1379
1.975000, 67.631, -27.3462
2.000000, 67.786, -27.5851
2.030000, 67.973, -27.8747
2.060000, 68.161, -28.1762
2.090000, 68.349, -28.4961
2.120000, 68.536, -28.8398
2.140000, 68.659, -29.0845
2.180000, 68.901, -29.6346
2.200000, 69.021, -29.9451
2.240000, 69.258, -30.5618
2.270000, 69.435, -31.0047
2.300000, 69.612, -31.4312
2.330000, 69.788, -31.8454
2.360000, 69.963, -32.2515
2.400000, 70.195, -32.8352
2.430000, 70.368, -33.2800
2.470000, 70.595, -33.8800
2.500000, 70.763, -34.3394
2.540000, 70.984, -34.9689
2.580000, 71.201, -35.6317
2.620000, 71.414, -36.3262
2.650000, 71.573, -36.8352
2.690000, 71.781, -37.4987
2.720000, 71.935, -37.9861
2.760000, 72.138, -38.6230
2.800000, 72.338, -39.2899
2.850000, 72.582, -40.1213
2.900000, 72.821, -40.9500
2.950000, 73.054, -41.7785
3.000000, 73.281, -42.6290
3.040000, 73.459, -43.3082
3.070000, 73.590, -43.8088
3.110000, 73.761, -44.4643
3.150000, 73.929, -45.1062
3.200000, 74.136, -45.9215
3.250000, 74.338, -46.7337
3.300000, 74.536, -47.5314
3.350000, 74.729, -48.3153
3.400000, 74.917, -49.1178
3.450000, 75.101, -49.9162
3.500000, 75.281, -50.6940
3.550000, 75.457, -51.4495
3.600000, 75.629, -52.2092
3.650000, 75.798, -52.9594
3.700000, 75.963, -53.6923
3.750000, 76.125, -54.4107
3.820000, 76.344, -55.4258
3.870000, 76.496, -56.1373
3.950000, 76.734, -57.2350
4.000000, 76.880, -57.9170
4.060000, 77.053, -58.7232
4.120000, 77.221, -59.5081
4.180000, 77.386, -60.2798
4.250000, 77.574, -61.1862
4.310000, 77.732, -61.9378
4.370000, 77.887, -62.6710
4.440000, 78.064, -63.5352
4.500000, 78.212, -64.2588
4.550000, 78.333, -64.8485
4.620000, 78.499, -65.6817
4.680000, 78.639, -66.3831
4.750000, 78.799, -67.1794
4.820000, 78.956, -67.9790
4.870000, 79.066, -68.5444
4.940000, 79.217, -69.3196
5.000000, 79.344, -69.9833
5.080000, 79.509, -70.8575
5.150000, 79.649, -71.6018
5.220000, 79.786, -72.3544
5.300000, 79.937, -73.2052
5.380000, 80.083, -74.0348
5.450000, 80.207, -74.7568
5.520000, 80.327, -75.4563
5.600000, 80.460, -76.2485
5.700000, 80.620, -77.2279
5.800000, 80.772, -78.1687
5.900000, 80.917, -79.0775
6.000000, 81.055, -79.9558
6.080000, 81.161, -80.6454
6.150000, 81.250, -81.2177
6.220000, 81.337, -81.7751
6.300000, 81.433, -82.3820
6.400000, 81.549, -83.1057
6.500000, 81.661, -83.7956
6.600000, 81.771, -84.4333
6.700000, 81.878, -85.0307
6.800000, 81.984, -85.5850
6.900000, 82.090, -86.1084
7.000000, 82.196, -86.5912
7.100000, 82.304, -87.0422
7.200000, 82.413, -87.4633
7.300000, 82.524, -87.8722
7.400000, 82.637, -88.2639
7.500000, 82.752, -88.6478
7.620000, 82.892, -89.0984
7.750000, 83.045, -89.5910
7.880000, 83.201, -90.0937
8.000000, 83.345, -90.5637
8.120000, 83.487, -91.0553
8.250000, 83.640, -91.6081
8.380000, 83.789, -92.1738
8.500000, 83.922, -92.7137
8.620000, 84.050, -93.2638
8.750000, 84.184, -93.8614
8.850000, 84.282, -94.3191
9.000000, 84.423, -94.9971
9.120000, 84.529, -95.5277
9.250000, 84.640, -96.0844
9.380000, 84.745, -96.6190
9.500000, 84.839, -97.0929
9.620000, 84.930, -97.5381
9.750000, 85.026, -97.9940
9.880000, 85.113, -98.4287
10.000000, 85.184, -98.8027
10.150000, 85.262, -99.2776
10.300000, 85.334, -99.7216
10.440000, 85.397, -100.1113
10.600000, 85.467, -100.5361
10.750000, 85.535, -100.9212
10.900000, 85.605, -101.2965
11.060000, 85.682, -101.7180
11.200000, 85.750, -102.1224
11.380000, 85.835, -102.6368
11.500000, 85.890, -102.9763
11.720000, 85.986, -103.5873
11.800000, 86.021, -103.8047
12.060000, 86.133, -104.5131
12.200000, 86.193, -104.9198
12.410000, 86.284, -105.5045
12.500000, 86.321, -105.7446
12.650000, 86.381, -106.1310
12.800000, 86.440, -106.4999
13.150000, 86.574, -107.3496
