* Measurement data measured by REW V5.31
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -13.7 dBFS, measurement signal peak level -9.9 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Apr 28, 2024 12:04:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -0.0380 ms (-13 mm, -0.51 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -12.6 ppm
* Measurement: Sennheiser HD600 S1 L3
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 65.571, -51.5071
1.015000, 65.774, -48.9029
1.030000, 65.972, -46.6564
1.044000, 66.150, -44.8448
1.060000, 66.342, -43.0718
1.075000, 66.509, -41.6646
1.090000, 66.662, -40.4743
1.106000, 66.813, -39.4044
1.120000, 66.943, -38.5960
1.138000, 67.115, -37.6935
1.150000, 67.232, -37.1649
1.172000, 67.452, -36.3241
1.180000, 67.533, -36.0541
1.206000, 67.799, -35.2876
1.220000, 67.943, -34.9352
1.241000, 68.160, -34.4718
1.250000, 68.253, -34.2940
1.265000, 68.406, -34.0219
1.280000, 68.559, -33.7765
1.315000, 68.904, -33.2903
1.320000, 68.952, -33.2292
1.340000, 69.140, -33.0030
1.360000, 69.320, -32.8008
1.380000, 69.491, -32.6692
1.400000, 69.651, -32.5760
1.430000, 69.869, -32.4698
1.450000, 69.997, -32.4210
1.475000, 70.137, -32.3916
1.500000, 70.256, -32.4130
1.525000, 70.358, -32.4840
1.550000, 70.443, -32.5935
1.575000, 70.513, -32.7491
1.600000, 70.570, -32.9563
1.625000, 70.616, -33.1748
1.650000, 70.652, -33.3984
1.675000, 70.679, -33.6221
1.700000, 70.700, -33.8417
1.725000, 70.715, -34.0538
1.750000, 70.726, -34.2556
1.775000, 70.736, -34.4659
1.800000, 70.745, -34.7034
1.825000, 70.754, -34.9299
1.850000, 70.761, -35.1642
1.875000, 70.764, -35.4269
1.900000, 70.761, -35.7194
1.925000, 70.753, -36.0351
1.950000, 70.739, -36.3662
1.975000, 70.720, -36.7188
2.000000, 70.698, -37.0990
2.030000, 70.665, -37.5479
2.060000, 70.628, -37.9810
2.090000, 70.586, -38.3891
2.120000, 70.540, -38.7638
2.140000, 70.508, -38.9912
2.180000, 70.441, -39.4134
2.200000, 70.406, -39.6245
2.240000, 70.329, -40.0380
2.270000, 70.265, -40.3608
2.300000, 70.195, -40.6925
2.330000, 70.121, -41.0265
2.360000, 70.044, -41.3560
2.400000, 69.936, -41.8205
2.430000, 69.853, -42.1497
2.470000, 69.741, -42.5392
2.500000, 69.657, -42.7835
2.540000, 69.545, -43.0316
2.580000, 69.434, -43.2052
2.620000, 69.319, -43.3502
2.650000, 69.228, -43.4327
2.690000, 69.105, -43.5102
2.720000, 69.012, -43.5424
2.760000, 68.889, -43.5454
