* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720
* Format: 2M Log Swept Sine, 1 sweep at -0.8 dBFS with no timing reference
* Dated: Nov 16, 2024 5:30:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; 
* Measurement: Misodiko L3
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 51.436, -107.0846
1.015000, 51.658, -105.0941
1.030000, 51.876, -103.3569
1.044000, 52.075, -101.9519
1.060000, 52.296, -100.5870
1.075000, 52.493, -99.5265
1.090000, 52.681, -98.6634
1.106000, 52.874, -97.9353
1.120000, 53.046, -97.4307
1.138000, 53.278, -96.9331
1.150000, 53.439, -96.6857
1.172000, 53.744, -96.3861
1.180000, 53.858, -96.3215
1.206000, 54.238, -96.2531
1.220000, 54.446, -96.2950
1.241000, 54.762, -96.4454
1.250000, 54.897, -96.5384
1.265000, 55.123, -96.7269
1.280000, 55.347, -96.9533
1.315000, 55.859, -97.6057
1.320000, 55.930, -97.7112
1.340000, 56.209, -98.1598
1.360000, 56.476, -98.6470
1.380000, 56.728, -99.1685
1.400000, 56.964, -99.7211
1.430000, 57.279, -100.6042
1.450000, 57.462, -101.2292
1.475000, 57.657, -102.0686
1.500000, 57.821, -103.0140
1.525000, 57.959, -104.0746
1.550000, 58.073, -105.2376
1.575000, 58.166, -106.4895
1.600000, 58.238, -107.8182
1.625000, 58.293, -109.2132
1.650000, 58.332, -110.6659
1.675000, 58.357, -112.1691
1.700000, 58.370, -113.7173
1.725000, 58.374, -115.3064
1.750000, 58.369, -116.9342
1.775000, 58.358, -118.6000
1.800000, 58.343, -120.3059
1.825000, 58.323, -122.0635
1.850000, 58.289, -123.9142
1.875000, 58.231, -125.9106
1.900000, 58.146, -128.0695
1.925000, 58.041, -130.3909
1.950000, 57.920, -132.8721
1.975000, 57.789, -135.5098
2.000000, 57.654, -138.3000
2.030000, 57.494, -141.8430
2.060000, 57.345, -145.5895
