* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720
* Format: 2M Log Swept Sine, 1 sweep at -0.8 dBFS with no timing reference
* Dated: Nov 16, 2024 5:23:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; 
* Measurement: Misodiko R2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 51.206, -171.6329
1.015000, 51.277, -172.3354
1.030000, 51.345, -172.9936
1.044000, 51.408, -173.5664
1.060000, 51.477, -174.1699
1.075000, 51.541, -174.6846
1.090000, 51.604, -175.1502
1.106000, 51.667, -175.6047
1.120000, 51.718, -175.9893
1.138000, 51.773, -176.4815
1.150000, 51.805, -176.8085
1.172000, 51.852, -177.4024
1.180000, 51.867, -177.6155
1.206000, 51.905, -178.2916
1.220000, 51.920, -178.6419
1.241000, 51.939, -179.1434
1.250000, 51.946, -179.3479
1.265000, 51.955, -179.6722
1.280000, 51.964, -179.9733
1.315000, 51.985, 179.4329
1.320000, 51.988, 179.3623
1.340000, 52.004, 179.1209
1.360000, 52.024, 178.9510
1.380000, 52.049, 178.8607
1.400000, 52.083, 178.8578
1.430000, 52.151, 179.0327
1.450000, 52.211, 179.2779
1.475000, 52.300, 179.7370
1.500000, 52.397, -179.6345
1.525000, 52.497, -178.8518
1.550000, 52.602, -177.9368
1.575000, 52.713, -176.9125
1.600000, 52.831, -175.8032
1.625000, 52.956, -174.6341
1.650000, 53.090, -173.4319
1.675000, 53.234, -172.2237
1.700000, 53.390, -171.0366
1.725000, 53.558, -169.8972
1.750000, 53.739, -168.8303
1.775000, 53.935, -167.8584
1.800000, 54.147, -166.9995
1.825000, 54.376, -166.2548
1.850000, 54.627, -165.5730
1.875000, 54.903, -164.8882
1.900000, 55.201, -164.1990
1.925000, 55.519, -163.5298
1.950000, 55.853, -162.9048
1.975000, 56.200, -162.3440
2.000000, 56.557, -161.8634
2.030000, 56.992, -161.4100
2.060000, 57.431, -161.1065
2.090000, 57.866, -160.9647
2.120000, 58.292, -160.9932
2.140000, 58.568, -161.1099
2.180000, 59.096, -161.5791
2.200000, 59.347, -161.9223
2.240000, 59.836, -162.7513
2.270000, 60.200, -163.4509
2.300000, 60.560, -164.2002
2.330000, 60.915, -164.9916
2.360000, 61.263, -165.8204
2.400000, 61.716, -166.9799
2.430000, 62.043, -167.8899
2.470000, 62.463, -169.1603
2.500000, 62.761, -170.1606
2.540000, 63.136, -171.5700
2.580000, 63.485, -173.0967
2.620000, 63.812, -174.7760
2.650000, 64.044, -176.1192
2.690000, 64.335, -177.9778
2.720000, 64.540, -179.3954
2.760000, 64.794, 178.7148
2.800000, 65.024, 176.8517
2.850000, 65.277, 174.5903
2.900000, 65.489, 172.4152
2.950000, 65.665, 170.2482
3.000000, 65.813, 167.8953
3.040000, 65.911, 165.8700
3.070000, 65.969, 164.3036
3.110000, 66.022, 162.2008
3.150000, 66.043, 160.1338
3.200000, 66.016, 157.6827
3.250000, 65.922, 155.4635
3.300000, 65.754, 153.4902
3.350000, 65.523, 151.5453
3.400000, 65.236, 149.4567
3.450000, 64.889, 147.2891
3.500000, 64.474, 145.1897
3.550000, 63.984, 143.3541
3.600000, 63.409, 142.0361
3.650000, 62.723, 141.5188
3.700000, 61.828, 141.9190
3.750000, 60.639, 143.2723
3.820000, 58.645, 147.8456
3.870000, 57.219, 154.8804
3.950000, 55.496, 178.8246
4.000000, 55.128, -159.4087
4.060000, 55.736, -137.9646
4.120000, 57.447, -125.3411
4.180000, 59.864, -118.8025
4.250000, 62.997, -115.6718
4.310000, 65.530, -115.3334
4.370000, 67.642, -116.4255
4.440000, 69.517, -118.7826
4.500000, 70.804, -121.1548
4.550000, 71.729, -123.2322
4.620000, 72.866, -126.2764
4.680000, 73.750, -129.0503
4.750000, 74.734, -132.5494
4.820000, 75.661, -136.3388
4.870000, 76.266, -139.1435
4.940000, 77.035, -143.0886
5.000000, 77.635, -146.4414
5.080000, 78.377, -150.8899
5.150000, 78.982, -154.8619
5.220000, 79.538, -159.0032
5.300000, 80.109, -163.8409
5.380000, 80.620, -168.6288
5.450000, 81.026, -172.7308
5.520000, 81.398, -176.8316
5.600000, 81.777, 178.3147
5.700000, 82.181, 172.1013
5.800000, 82.516, 166.0089
5.900000, 82.787, 160.0393
6.000000, 82.994, 153.8513
6.080000, 83.113, 148.8001
6.150000, 83.184, 144.4445
6.220000, 83.226, 140.1924
6.300000, 83.239, 135.3212
6.400000, 83.201, 129.0114
6.500000, 83.103, 122.6407
6.600000, 82.946, 116.4444
6.700000, 82.730, 110.2311
6.800000, 82.456, 103.7993
6.900000, 82.121, 97.3500
7.000000, 81.726, 91.0518
7.100000, 81.271, 84.6653
7.200000, 80.756, 78.0778
7.300000, 80.179, 71.4904
7.400000, 79.540, 65.0082
7.500000, 78.839, 58.4071
7.620000, 77.918, 50.2450
7.750000, 76.821, 41.4774
7.880000, 75.620, 32.7350
8.000000, 74.431, 24.4580
8.120000, 73.167, 16.3536
8.250000, 71.713, 8.0800
8.380000, 70.214, 0.1631
8.500000, 68.802, -6.2078
8.620000, 67.374, -10.7819
8.750000, 66.032, -13.6698
8.850000, 65.302, -14.1732
9.000000, 64.738, -11.3250
9.120000, 64.806, -7.6924
9.250000, 65.507, -4.5581
9.380000, 66.704, -2.7382
9.500000, 67.910, -2.5667
9.620000, 69.061, -3.7173
9.750000, 70.256, -5.8243
