* Measurement data measured by REW V5.31
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -7.6 dBFS, measurement signal peak level -7.3 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -8.0 dBFS using an acoustic timing reference
* Dated: Apr 27, 2024 5:39:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Serial Number 22056 Delay -0.0683 ms (-23 mm, -0.92 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset
* Measurement: Dekoni Elite Sheepskin R2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 72.350, -89.1556
1.015000, 72.368, -88.6627
1.030000, 72.386, -88.1390
1.044000, 72.404, -87.6204
1.060000, 72.426, -86.9903
1.075000, 72.449, -86.3610
1.090000, 72.474, -85.6931
1.106000, 72.502, -84.9406
1.120000, 72.527, -84.2551
1.138000, 72.557, -83.3421
1.150000, 72.576, -82.7140
1.172000, 72.609, -81.5282
1.180000, 72.620, -81.0905
1.206000, 72.653, -79.6187
1.220000, 72.670, -78.7952
1.241000, 72.693, -77.5198
1.250000, 72.702, -76.9586
1.265000, 72.717, -76.0040
1.280000, 72.730, -75.0261
1.315000, 72.760, -72.6587
1.320000, 72.764, -72.3114
1.340000, 72.779, -70.9014
1.360000, 72.793, -69.4608
1.380000, 72.807, -68.0337
1.400000, 72.820, -66.6028
1.430000, 72.839, -64.4369
1.450000, 72.852, -62.9893
1.475000, 72.866, -61.1678
1.500000, 72.873, -59.2928
1.525000, 72.873, -57.3604
1.550000, 72.868, -55.3949
1.575000, 72.858, -53.4443
1.600000, 72.846, -51.5513
1.625000, 72.834, -49.7000
1.650000, 72.824, -47.9117
1.675000, 72.817, -46.2048
1.700000, 72.815, -44.5951
1.725000, 72.821, -43.0960
1.750000, 72.836, -41.7178
1.775000, 72.863, -40.4858
1.800000, 72.902, -39.4213
1.825000, 72.956, -38.4853
1.850000, 73.026, -37.6411
1.875000, 73.111, -36.8403
1.900000, 73.210, -36.0728
1.925000, 73.321, -35.3449
1.950000, 73.443, -34.6639
1.975000, 73.572, -34.0529
2.000000, 73.708, -33.5332
2.030000, 73.876, -32.9915
2.060000, 74.047, -32.5469
2.090000, 74.217, -32.2041
2.120000, 74.384, -31.9672
2.140000, 74.492, -31.8698
2.180000, 74.694, -31.8424
2.200000, 74.789, -31.9166
2.240000, 74.971, -32.1578
2.270000, 75.105, -32.3934
2.300000, 75.238, -32.6664
2.330000, 75.369, -32.9733
2.360000, 75.497, -33.3121
2.400000, 75.665, -33.8592
2.430000, 75.788, -34.3113
2.470000, 75.946, -34.9625
2.500000, 76.061, -35.4893
2.540000, 76.209, -36.2474
2.580000, 76.349, -37.0946
2.620000, 76.482, -38.0492
2.650000, 76.578, -38.8004
2.690000, 76.701, -39.8344
2.720000, 76.789, -40.6252
2.760000, 76.902, -41.6882
2.800000, 77.010, -42.7945
2.850000, 77.139, -44.1794
2.900000, 77.261, -45.5573
2.950000, 77.377, -46.9469
3.000000, 77.485, -48.4194
3.040000, 77.566, -49.6421
3.070000, 77.624, -50.5678
