* Measurement data measured by REW V5.31.1
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.710. Timing signal peak level -10.8 dBFS, measurement signal peak level -8.1 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: May 25, 2024 4:16:56 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -0.0719 ms (-25 mm, -0.97 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset
* Measurement: Shure SRH1840 L1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 62.268, -61.0314
1.015000, 62.386, -60.5388
1.030000, 62.504, -60.0396
1.044000, 62.614, -59.5677
1.060000, 62.742, -59.0212
1.075000, 62.862, -58.5019
1.090000, 62.985, -57.9756
1.106000, 63.118, -57.4052
1.120000, 63.237, -56.8964
1.138000, 63.393, -56.2289
1.150000, 63.499, -55.7765
1.172000, 63.694, -54.9409
1.180000, 63.766, -54.6404
1.206000, 63.999, -53.6537
1.220000, 64.125, -53.1181
1.241000, 64.312, -52.3119
1.250000, 64.391, -51.9659
1.265000, 64.522, -51.3895
1.280000, 64.651, -50.8145
1.315000, 64.941, -49.4832
1.320000, 64.981, -49.2948
1.340000, 65.136, -48.5466
1.360000, 65.283, -47.8077
1.380000, 65.421, -47.1192
1.400000, 65.548, -46.4592
1.430000, 65.718, -45.4990
1.450000, 65.816, -44.8817
1.475000, 65.917, -44.1438
1.500000, 65.993, -43.4373
1.525000, 66.045, -42.7463
1.550000, 66.076, -42.0654
1.575000, 66.090, -41.4132
1.600000, 66.090, -40.8042
1.625000, 66.079, -40.1970
1.650000, 66.061, -39.5896
1.675000, 66.038, -38.9798
1.700000, 66.015, -38.3659
1.725000, 65.993, -37.7464
1.750000, 65.978, -37.1195
1.775000, 65.971, -36.5016
1.800000, 65.977, -35.9124
1.825000, 65.997, -35.3509
1.850000, 66.029, -34.8997
1.875000, 66.070, -34.5207
1.900000, 66.116, -34.1558
1.925000, 66.166, -33.7977
1.950000, 66.220, -33.4486
1.975000, 66.278, -33.1287
2.000000, 66.339, -32.8572
2.030000, 66.416, -32.5546
2.060000, 66.495, -32.2835
2.090000, 66.577, -32.0475
2.120000, 66.659, -31.8498
2.140000, 66.714, -31.7407
2.180000, 66.823, -31.5992
2.200000, 66.877, -31.5728
2.240000, 66.987, -31.5450
