* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -14.9 dBFS, measurement signal peak level -7.2 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -24.8 dBFS using an acoustic timing reference
* Dated: Nov 16, 2024 10:05:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -0.2175 ms (-75 mm, -2.94 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -26.5 ppm
* Measurement: aftermarket R1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 65.899, -14.9459
1.015000, 66.199, -15.8835
1.030000, 66.495, -16.8235
1.044000, 66.769, -17.7037
1.060000, 67.076, -18.7131
1.075000, 67.358, -19.6626
1.090000, 67.635, -20.6119
1.106000, 67.926, -21.6052
1.120000, 68.180, -22.4276
1.138000, 68.510, -23.4048
1.150000, 68.730, -24.0092
1.172000, 69.137, -25.0357
1.180000, 69.285, -25.3890
1.206000, 69.766, -26.4604
1.220000, 70.025, -26.9956
1.241000, 70.410, -27.7540
1.250000, 70.574, -28.0651
1.265000, 70.846, -28.5679
1.280000, 71.116, -29.0540
1.315000, 71.731, -30.1397
1.320000, 71.817, -30.2906
1.340000, 72.156, -30.8869
1.360000, 72.486, -31.4736
1.380000, 72.805, -32.0926
1.400000, 73.113, -32.7240
1.430000, 73.550, -33.6725
1.450000, 73.824, -34.3066
1.475000, 74.144, -35.0832
1.500000, 74.439, -35.7951
1.525000, 74.711, -36.4294
1.550000, 74.963, -36.9978
1.575000, 75.196, -37.5304
1.600000, 75.414, -38.0525
1.625000, 75.618, -38.5436
1.650000, 75.812, -39.0128
1.675000, 75.998, -39.4677
1.700000, 76.178, -39.9149
1.725000, 76.356, -40.3599
1.750000, 76.532, -40.8074
1.775000, 76.711, -41.2751
1.800000, 76.894, -41.7793
1.825000, 77.083, -42.2903
1.850000, 77.276, -42.7930
1.875000, 77.469, -43.2661
1.900000, 77.659, -43.7061
1.925000, 77.847, -44.1174
1.950000, 78.033, -44.5047
1.975000, 78.216, -44.8840
2.000000, 78.398, -45.2700
2.030000, 78.613, -45.7188
2.060000, 78.824, -46.1590
2.090000, 79.033, -46.5961
2.120000, 79.238, -47.0351
2.140000, 79.374, -47.3309
2.180000, 79.641, -47.9529
2.200000, 79.772, -48.2856
2.240000, 80.031, -48.9343
2.270000, 80.221, -49.3960
2.300000, 80.408, -49.8373
2.330000, 80.592, -50.2612
2.360000, 80.773, -50.6712
2.400000, 81.010, -51.2395
2.430000, 81.184, -51.6626
2.470000, 81.413, -52.2207
2.500000, 81.582, -52.6383
2.540000, 81.803, -53.1975
2.580000, 82.021, -53.7725
2.620000, 82.234, -54.3655
2.650000, 82.390, -54.7971
2.690000, 82.595, -55.3558
2.720000, 82.746, -55.7634
2.760000, 82.943, -56.2920
2.800000, 83.136, -56.8442
2.850000, 83.372, -57.5267
2.900000, 83.602, -58.1994
2.950000, 83.827, -58.8652
3.000000, 84.045, -59.5459
3.040000, 84.215, -60.0880
3.070000, 84.340, -60.4864
3.110000, 84.504, -61.0064
3.150000, 84.664, -61.5138
3.200000, 84.860, -62.1610
3.250000, 85.050, -62.8054
3.300000, 85.237, -63.4357
3.350000, 85.418, -64.0535
3.400000, 85.594, -64.6843
3.450000, 85.766, -65.3107
3.500000, 85.932, -65.9198
3.550000, 86.095, -66.5095
3.600000, 86.254, -67.1065
3.650000, 86.409, -67.6964
3.700000, 86.561, -68.2719
3.750000, 86.710, -68.8362
3.820000, 86.911, -69.6335
3.870000, 87.050, -70.1915
3.950000, 87.267, -71.0486
4.000000, 87.399, -71.5848
4.060000, 87.554, -72.2200
4.120000, 87.705, -72.8382
4.180000, 87.851, -73.4463
4.250000, 88.017, -74.1609
4.310000, 88.156, -74.7500
4.370000, 88.292, -75.3206
4.440000, 88.447, -75.9907
4.500000, 88.576, -76.5496
4.550000, 88.681, -77.0037
4.620000, 88.825, -77.6442
4.680000, 88.946, -78.1801
4.750000, 89.085, -78.7826
4.820000, 89.220, -79.3856
4.870000, 89.315, -79.8099
4.940000, 89.445, -80.3881
5.000000, 89.554, -80.8834
5.080000, 89.697, -81.5344
5.150000, 89.820, -82.0841
5.220000, 89.940, -82.6381
5.300000, 90.075, -83.2609
5.380000, 90.206, -83.8673
5.450000, 90.318, -84.4022
5.520000, 90.428, -84.9204
5.600000, 90.550, -85.5075
5.700000, 90.698, -86.2368
5.800000, 90.842, -86.9458
5.900000, 90.983, -87.6455
6.000000, 91.120, -88.3285
6.080000, 91.226, -88.8708
6.150000, 91.318, -89.3288
6.220000, 91.407, -89.7899
6.300000, 91.507, -90.3055
6.400000, 91.629, -90.9375
6.500000, 91.747, -91.5609
6.600000, 91.862, -92.1640
6.700000, 91.976, -92.7618
6.800000, 92.086, -93.3424
6.900000, 92.195, -93.9132
7.000000, 92.300, -94.4618
7.100000, 92.402, -94.9999
7.200000, 92.501, -95.5200
7.300000, 92.600, -96.0296
7.400000, 92.699, -96.5196
7.500000, 92.797, -96.9988
7.620000, 92.914, -97.5574
7.750000, 93.040, -98.1458
7.880000, 93.164, -98.7273
8.000000, 93.278, -99.2517
