* Measurement data measured by REW V5.31.1
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.710. Timing signal peak level -7.2 dBFS, measurement signal peak level -6.1 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: May 25, 2024 6:17:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -0.0676 ms (-23 mm, -0.91 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset
* Measurement: Sony MDR-XB700 L4
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 84.353, -5.5372
1.015000, 84.444, -6.7800
1.030000, 84.541, -8.0634
1.044000, 84.638, -9.2981
1.060000, 84.757, -10.7521
1.075000, 84.878, -12.1562
1.090000, 85.007, -13.5967
1.106000, 85.156, -15.1584
1.120000, 85.298, -16.5208
1.138000, 85.498, -18.2445
1.150000, 85.641, -19.3723
1.172000, 85.922, -21.3974
1.180000, 86.029, -22.1240
1.206000, 86.394, -24.4228
1.220000, 86.600, -25.6213
1.241000, 86.917, -27.3685
1.250000, 87.056, -28.0993
1.265000, 87.289, -29.2941
1.280000, 87.525, -30.4613
1.315000, 88.077, -33.0859
1.320000, 88.156, -33.4505
1.340000, 88.467, -34.8851
1.360000, 88.771, -36.2836
1.380000, 89.066, -37.6889
1.400000, 89.349, -39.0811
1.430000, 89.745, -41.1238
1.450000, 89.986, -42.4574
1.475000, 90.261, -44.0754
1.500000, 90.513, -45.5888
1.525000, 90.746, -46.9799
1.550000, 90.965, -48.2583
1.575000, 91.170, -49.4589
1.600000, 91.364, -50.6121
1.625000, 91.548, -51.6917
1.650000, 91.724, -52.7098
1.675000, 91.895, -53.6773
1.700000, 92.063, -54.6041
1.725000, 92.229, -55.4990
1.750000, 92.396, -56.3698
1.775000, 92.565, -57.2403
1.800000, 92.739, -58.1321
1.825000, 92.918, -59.0120
1.850000, 93.102, -59.8653
1.875000, 93.287, -60.6700
1.900000, 93.472, -61.4222
1.925000, 93.657, -62.1268
1.950000, 93.842, -62.7895
1.975000, 94.025, -63.4331
2.000000, 94.208, -64.0795
2.030000, 94.425, -64.8220
2.060000, 94.640, -65.5383
2.090000, 94.852, -66.2365
2.120000, 95.060, -66.9238
2.140000, 95.197, -67.3791
2.180000, 95.466, -68.3097
2.200000, 95.597, -68.7929
2.240000, 95.855, -69.7326
2.270000, 96.044, -70.4029
2.300000, 96.230, -71.0441
2.330000, 96.413, -71.6593
2.360000, 96.593, -72.2525
2.400000, 96.828, -73.0633
2.430000, 97.001, -73.6619
2.470000, 97.227, -74.4453
2.500000, 97.393, -75.0264
2.540000, 97.611, -75.7985
2.580000, 97.824, -76.5865
2.620000, 98.031, -77.3978
2.650000, 98.184, -77.9911
2.690000, 98.382, -78.7618
2.720000, 98.528, -79.3249
2.760000, 98.718, -80.0557
2.800000, 98.904, -80.8078
2.850000, 99.129, -81.7332
2.900000, 99.348, -82.6420
2.950000, 99.559, -83.5411
3.000000, 99.764, -84.4621
3.040000, 99.922, -85.1993
3.070000, 100.037, -85.7435
3.110000, 100.187, -86.4559
3.150000, 100.334, -87.1525
3.200000, 100.511, -88.0316
3.250000, 100.683, -88.9018
3.300000, 100.850, -89.7530
3.350000, 101.012, -90.5928
3.400000, 101.168, -91.4577
3.450000, 101.318, -92.3226
3.500000, 101.463, -93.1678
3.550000, 101.602, -93.9889
3.600000, 101.738, -94.8104
3.650000, 101.869, -95.6181
3.700000, 101.995, -96.4088
3.750000, 102.117, -97.1910
3.820000, 102.279, -98.3036
3.870000, 102.389, -99.0863
3.950000, 102.559, -100.2923
4.000000, 102.661, -101.0353
4.060000, 102.779, -101.9104
4.120000, 102.893, -102.7683
4.180000, 103.002, -103.6176
4.250000, 103.124, -104.6145
4.310000, 103.224, -105.4378
4.370000, 103.320, -106.2336
4.440000, 103.429, -107.1621
4.500000, 103.518, -107.9403
4.550000, 103.589, -108.5760
4.620000, 103.685, -109.4706
