* Measurement data measured by REW V5.31
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -17.8 dBFS, measurement signal peak level -17.2 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Apr 18, 2024 6:18:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; test Delay -0.0903 ms (-31 mm, -1.22 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset
* Measurement: Sony MDR-Z1R L2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 85.287, -93.4095
1.015000, 85.351, -92.5529
1.030000, 85.416, -91.6941
1.044000, 85.476, -90.8903
1.060000, 85.546, -89.9688
1.075000, 85.613, -89.1018
1.090000, 85.682, -88.2315
1.106000, 85.757, -87.2992
1.120000, 85.825, -86.4796
1.138000, 85.915, -85.4206
1.150000, 85.977, -84.7115
1.172000, 86.094, -83.4121
1.180000, 86.137, -82.9446
1.206000, 86.278, -81.4199
1.220000, 86.355, -80.5965
1.241000, 86.470, -79.3599
1.250000, 86.519, -78.8296
1.265000, 86.600, -77.9462
1.280000, 86.679, -77.0639
1.315000, 86.857, -75.0142
1.320000, 86.882, -74.7229
1.340000, 86.976, -73.5628
1.360000, 87.065, -72.4115
1.380000, 87.147, -71.3105
1.400000, 87.221, -70.2387
1.430000, 87.316, -68.6638
1.450000, 87.366, -67.6411
1.475000, 87.413, -66.4120
1.500000, 87.440, -65.2353
1.525000, 87.448, -64.0865
1.550000, 87.439, -62.9586
1.575000, 87.417, -61.8698
1.600000, 87.385, -60.8343
1.625000, 87.344, -59.8101
1.650000, 87.299, -58.7945
1.675000, 87.252, -57.7847
1.700000, 87.206, -56.7782
1.725000, 87.164, -55.7724
1.750000, 87.129, -54.7649
1.775000, 87.104, -53.7712
1.800000, 87.091, -52.8135
1.825000, 87.094, -51.9129
1.850000, 87.110, -51.2082
1.875000, 87.136, -50.6368
1.900000, 87.171, -50.1006
1.925000, 87.212, -49.5869
1.950000, 87.260, -49.0994
1.975000, 87.312, -48.6602
2.000000, 87.369, -48.2902
2.030000, 87.441, -47.8992
2.060000, 87.517, -47.5743
2.090000, 87.594, -47.3213
2.120000, 87.672, -47.1456
2.140000, 87.723, -47.0737
2.180000, 87.821, -47.0624
2.200000, 87.868, -47.1282
2.240000, 87.963, -47.3265
2.270000, 88.036, -47.5135
2.300000, 88.111, -47.7294
2.330000, 88.186, -47.9749
2.360000, 88.263, -48.2514
2.400000, 88.365, -48.7190
2.430000, 88.442, -49.1173
2.470000, 88.543, -49.7074
2.500000, 88.617, -50.1983
2.540000, 88.713, -50.9228
2.580000, 88.806, -51.7480
2.620000, 88.896, -52.6804
2.650000, 88.963, -53.4138
2.690000, 89.052, -54.4272
2.720000, 89.117, -55.2085
2.760000, 89.202, -56.2714
2.800000, 89.285, -57.3969
2.850000, 89.387, -58.8405
2.900000, 89.484, -60.3228
