* Measurement data measured by REW V5.31
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -10.7 dBFS, measurement signal peak level -10.6 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Apr 27, 2024 1:54:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -0.0673 ms (-23 mm, -0.91 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset
* Measurement: Thieaudio Ghost R5
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 66.160, -17.5638
1.015000, 66.753, -18.2825
1.030000, 67.323, -18.9952
1.044000, 67.832, -19.6593
1.060000, 68.380, -20.4221
1.075000, 68.858, -21.1447
1.090000, 69.299, -21.8769
1.106000, 69.731, -22.6633
1.120000, 70.090, -23.3426
1.138000, 70.535, -24.1921
1.150000, 70.822, -24.7417
1.172000, 71.329, -25.7195
1.180000, 71.507, -26.0699
1.206000, 72.065, -27.1649
1.220000, 72.352, -27.7276
1.241000, 72.766, -28.5372
1.250000, 72.937, -28.8721
1.265000, 73.215, -29.4145
1.280000, 73.483, -29.9382
1.315000, 74.071, -31.0927
1.320000, 74.152, -31.2504
1.340000, 74.462, -31.8649
1.360000, 74.758, -32.4537
1.380000, 75.040, -33.0583
1.400000, 75.308, -33.6577
1.430000, 75.685, -34.5247
1.450000, 75.920, -35.0846
1.475000, 76.193, -35.7650
1.500000, 76.430, -36.4190
1.525000, 76.629, -37.0436
1.550000, 76.793, -37.6393
1.575000, 76.928, -38.2287
1.600000, 77.038, -38.8305
1.625000, 77.127, -39.4070
1.650000, 77.199, -39.9600
1.675000, 77.260, -40.4912
1.700000, 77.314, -41.0024
1.725000, 77.366, -41.4951
1.750000, 77.419, -41.9710
1.775000, 77.479, -42.4487
1.800000, 77.550, -42.9458
1.825000, 77.635, -43.4295
1.850000, 77.729, -43.8993
1.875000, 77.826, -44.3525
1.900000, 77.921, -44.7884
1.925000, 78.015, -45.2075
1.950000, 78.108, -45.6101
1.975000, 78.199, -46.0136
2.000000, 78.290, -46.4349
2.030000, 78.398, -46.9204
2.060000, 78.506, -47.3871
2.090000, 78.613, -47.8362
2.120000, 78.720, -48.2690
2.140000, 78.791, -48.5490
2.180000, 78.934, -49.1103
2.200000, 79.006, -49.4000
2.240000, 79.149, -49.9515
2.270000, 79.256, -50.3392
2.300000, 79.362, -50.7071
2.330000, 79.468, -51.0578
2.360000, 79.574, -51.3943
2.400000, 79.715, -51.8725
2.430000, 79.821, -52.2266
2.470000, 79.962, -52.6870
2.500000, 80.068, -53.0255
2.540000, 80.210, -53.4695
2.580000, 80.354, -53.9191
2.620000, 80.498, -54.3803
2.650000, 80.606, -54.7067
2.690000, 80.751, -55.1215
2.720000, 80.860, -55.4210
2.760000, 81.006, -55.8086
2.800000, 81.151, -56.2298
2.850000, 81.333, -56.7612
2.900000, 81.514, -57.2984
2.950000, 81.694, -57.8388
3.000000, 81.873, -58.3941
3.040000, 82.017, -58.8338
3.070000, 82.125, -59.1561
3.110000, 82.269, -59.5793
3.150000, 82.411, -59.9986
3.200000, 82.588, -60.5542
3.250000, 82.763, -61.1317
3.300000, 82.936, -61.7198
3.350000, 83.107, -62.3098
3.400000, 83.277, -62.9267
3.450000, 83.445, -63.5494
3.500000, 83.611, -64.1646
3.550000, 83.775, -64.7737
3.600000, 83.935, -65.4063
3.650000, 84.091, -66.0511
3.700000, 84.243, -66.6999
3.750000, 84.392, -67.3519
3.820000, 84.595, -68.2955
3.870000, 84.736, -68.9669
3.950000, 84.953, -70.0137
4.000000, 85.085, -70.6709
4.060000, 85.237, -71.4591
4.120000, 85.384, -72.2454
4.180000, 85.525, -73.0325
4.250000, 85.684, -73.9602
4.310000, 85.814, -74.7214
4.370000, 85.940, -75.4497
4.440000, 86.079, -76.2958
4.500000, 86.192, -77.0053
4.550000, 86.282, -77.5828
4.620000, 86.404, -78.3869
4.680000, 86.505, -79.0423
4.750000, 86.619, -79.7499
4.820000, 86.729, -80.4267
4.870000, 86.805, -80.8906
