* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -27.4 dBFS, measurement signal peak level -11.0 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -24.4 dBFS using an acoustic timing reference
* Dated: Nov 6, 2024 10:20:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -2.1785 ms (-747 mm, -(2 ft 5.42 in)) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset Clock adjustment: -933.3 ppm
* Measurement: Bass ANC L2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 48.770, -178.6567
1.015000, 48.957, -179.9292
1.030000, 49.145, 178.7704
1.044000, 49.323, 177.5297
1.060000, 49.529, 176.0782
1.075000, 49.725, 174.6833
1.090000, 49.924, 173.2560
1.106000, 50.139, 171.7097
1.120000, 50.330, 170.3592
1.138000, 50.578, 168.6436
1.150000, 50.744, 167.5148
1.172000, 51.053, 165.4761
1.180000, 51.166, 164.7446
1.206000, 51.536, 162.4008
1.220000, 51.737, 161.1589
1.241000, 52.040, 159.3201
1.250000, 52.171, 158.5400
1.265000, 52.389, 157.2496
1.280000, 52.608, 155.9700
1.315000, 53.121, 153.0190
1.320000, 53.195, 152.6007
1.340000, 53.489, 150.9333
1.360000, 53.783, 149.2736
1.380000, 54.077, 147.6185
1.400000, 54.371, 145.9658
1.430000, 54.810, 143.4860
1.450000, 55.101, 141.8313
1.475000, 55.464, 139.7762
1.500000, 55.829, 137.7789
1.525000, 56.195, 135.8574
1.550000, 56.563, 134.0074
1.575000, 56.933, 132.2209
1.600000, 57.303, 130.4897
1.625000, 57.672, 128.8056
1.650000, 58.041, 127.1606
1.675000, 58.408, 125.5470
1.700000, 58.774, 123.9578
1.725000, 59.136, 122.3866
1.750000, 59.496, 120.8273
1.775000, 59.851, 119.2747
1.800000, 60.202, 117.7245
1.825000, 60.548, 116.1768
1.850000, 60.889, 114.6461
1.875000, 61.228, 113.1542
1.900000, 61.564, 111.7064
1.925000, 61.898, 110.2999
1.950000, 62.229, 108.9306
1.975000, 62.556, 107.5943
2.000000, 62.881, 106.2867
2.030000, 63.267, 104.7492
2.060000, 63.648, 103.2396
2.090000, 64.024, 101.7513
2.120000, 64.396, 100.2780
2.140000, 64.640, 99.3012
2.180000, 65.122, 97.3555
2.200000, 65.360, 96.3878
2.240000, 65.827, 94.4841
2.270000, 66.172, 93.0950
2.300000, 66.511, 91.7388
2.330000, 66.846, 90.4127
2.360000, 67.175, 89.1133
2.400000, 67.608, 87.4161
2.430000, 67.926, 86.1651
2.470000, 68.345, 84.5197
2.500000, 68.653, 83.2980
2.540000, 69.058, 81.6800
2.580000, 69.456, 80.0749
2.620000, 69.846, 78.4951
2.650000, 70.132, 77.3317
2.690000, 70.507, 75.8089
2.720000, 70.783, 74.6870
2.760000, 71.145, 73.2157
2.800000, 71.500, 71.7693
2.850000, 71.934, 69.9902
2.900000, 72.359, 68.2360
2.950000, 72.775, 66.5019
3.000000, 73.180, 64.7929
3.040000, 73.496, 63.4476
3.070000, 73.729, 62.4522
3.110000, 74.034, 61.1433
3.150000, 74.333, 59.8546
3.200000, 74.700, 58.2704
3.250000, 75.058, 56.7131
3.300000, 75.409, 55.1784
3.350000, 75.752, 53.6629
3.400000, 76.086, 52.1673
3.450000, 76.412, 50.6948
3.500000, 76.730, 49.2474
3.550000, 77.041, 47.8262
3.600000, 77.345, 46.4309
3.650000, 77.643, 45.0598
3.700000, 77.935, 43.7082
3.750000, 78.219, 42.3725
3.820000, 78.606, 40.5325
3.870000, 78.875, 39.2432
3.950000, 79.293, 37.2290
4.000000, 79.548, 36.0012
4.060000, 79.848, 34.5552
4.120000, 80.139, 33.1310
4.180000, 80.422, 31.7292
4.250000, 80.743, 30.1274
4.310000, 81.011, 28.7874
4.370000, 81.274, 27.4797
4.440000, 81.572, 25.9894
4.500000, 81.821, 24.7350
4.550000, 82.024, 23.7061
4.620000, 82.301, 22.2944
4.680000, 82.534, 21.1144
4.750000, 82.799, 19.7748
4.820000, 83.058, 18.4701
4.870000, 83.239, 17.5554
4.940000, 83.486, 16.2992
5.000000, 83.694, 15.2474
5.080000, 83.965, 13.8843
5.150000, 84.197, 12.7285
5.220000, 84.425, 11.6022
5.300000, 84.679, 10.3475
5.380000, 84.928, 9.1287
5.450000, 85.142, 8.0927
5.520000, 85.353, 7.0853
5.600000, 85.590, 5.9657
5.700000, 85.880, 4.6091
5.800000, 86.165, 3.2974
5.900000, 86.446, 2.0289
6.000000, 86.722, 0.8019
6.080000, 86.940, -0.1537
6.150000, 87.129, -0.9737
6.220000, 87.316, -1.7801
6.300000, 87.529, -2.6848
6.400000, 87.791, -3.7910
6.500000, 88.051, -4.8754
6.600000, 88.307, -5.9435
6.700000, 88.560, -6.9956
6.800000, 88.811, -8.0319
6.900000, 89.058, -9.0562
7.000000, 89.302, -10.0715
7.100000, 89.542, -11.0773
7.200000, 89.779, -12.0732
7.300000, 90.012, -13.0599
7.400000, 90.242, -14.0386
7.500000, 90.467, -15.0088
7.620000, 90.732, -16.1594
7.750000, 91.014, -17.3876
7.880000, 91.288, -18.5978
8.000000, 91.537, -19.6959
8.120000, 91.780, -20.7734
8.250000, 92.038, -21.9190
8.380000, 92.292, -23.0406
8.500000, 92.522, -24.0534
8.620000, 92.749, -25.0458
8.750000, 92.991, -26.0994
8.850000, 93.176, -26.8951
9.000000, 93.450, -28.0657
9.120000, 93.667, -28.9860
9.250000, 93.900, -29.9686
9.380000, 94.131, -30.9373
9.500000, 94.344, -31.8224
9.620000, 94.555, -32.7005
9.750000, 94.782, -33.6442
9.880000, 94.999, -34.5823
10.000000, 95.188, -35.4445
10.150000, 95.412, -36.5167
10.300000, 95.627, -37.5842
10.440000, 95.821, -38.5762
10.600000, 96.041, -39.7050
10.750000, 96.248, -40.7581
10.900000, 96.455, -41.8069
11.060000, 96.675, -42.9218
11.200000, 96.867, -43.8946
11.380000, 97.113, -45.1460
11.500000, 97.277, -45.9816
11.720000, 97.579, -47.5231
11.800000, 97.690, -48.0885
12.060000, 98.055, -49.9498
12.200000, 98.253, -50.9725
12.410000, 98.551, -52.5365
12.500000, 98.678, -53.2196
12.650000, 98.887, -54.3749
12.800000, 99.095, -55.5513
13.150000, 99.568, -58.3756
13.200000, 99.634, -58.7873
13.400000, 99.898, -60.4521
13.600000, 100.157, -62.1422
13.800000, 100.411, -63.8542
14.000000, 100.659, -65.5858
14.300000, 101.021, -68.2189
14.500000, 101.256, -70.0002
14.750000, 101.542, -72.2614
15.000000, 101.822, -74.5659
15.250000, 102.096, -76.9189
15.500000, 102.360, -79.3210
15.750000, 102.611, -81.7690
16.000000, 102.846, -84.2556
16.250000, 103.065, -86.7697
16.500000, 103.267, -89.3000
16.750000, 103.452, -91.8347
17.000000, 103.622, -94.3632
17.250000, 103.778, -96.8777
17.500000, 103.918, -99.3715
17.750000, 104.043, -101.8395
18.000000, 104.154, -104.2771
18.250000, 104.251, -106.6801
18.500000, 104.334, -109.0433
18.750000, 104.404, -111.3619
19.000000, 104.463, -113.6317
19.250000, 104.511, -115.8484
19.500000, 104.549, -118.0095
19.750000, 104.576, -120.1135
20.000000, 104.595, -122.1599
20.299999, 104.606, -124.5399
20.600000, 104.605, -126.8379
20.900000, 104.594, -129.0541
21.200001, 104.571, -131.1876
21.400000, 104.551, -132.5635
21.799999, 104.497, -135.2015
22.000000, 104.465, -136.4625
22.400000, 104.392, -138.8667
22.700001, 104.330, -140.5665
23.000000, 104.265, -142.1799
23.299999, 104.197, -143.7111
23.600000, 104.128, -145.1669
24.000000, 104.035, -147.0059
24.299999, 103.966, -148.3188
24.700001, 103.872, -149.9902
25.000000, 103.799, -151.1848
25.400000, 103.698, -152.6915
25.799999, 103.594, -154.0909
26.200001, 103.491, -155.3798
26.500000, 103.416, -156.2795
26.900000, 103.320, -157.4054
27.200001, 103.251, -158.2053
27.600000, 103.163, -159.2228
28.000000, 103.075, -160.1836
28.500000, 102.964, -161.2872
29.000000, 102.855, -162.2572
29.500000, 102.755, -163.0908
30.000000, 102.668, -163.8204
30.400000, 102.607, -164.3577
