* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -29.3 dBFS, measurement signal peak level -9.5 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -24.4 dBFS using an acoustic timing reference
* Dated: Nov 5, 2024 8:51:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -0.0008 ms (-0.27 mm, -0.01 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: -125.5 ppm
* Measurement: Bass ANC R1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 42.125, 145.8795
1.015000, 42.538, 145.0948
1.030000, 42.946, 144.2859
1.044000, 43.323, 143.5087
1.060000, 43.748, 142.5945
1.075000, 44.142, 141.7131
1.090000, 44.531, 140.8120
1.106000, 44.941, 139.8511
1.120000, 45.293, 139.0443
1.138000, 45.735, 138.0704
1.150000, 46.023, 137.4565
1.172000, 46.539, 136.3905
1.180000, 46.723, 136.0186
1.206000, 47.306, 134.8528
1.220000, 47.612, 134.2455
1.241000, 48.062, 133.3516
1.250000, 48.252, 132.9725
1.265000, 48.563, 132.3436
1.280000, 48.870, 131.7155
1.315000, 49.570, 130.2402
1.320000, 49.668, 130.0272
1.340000, 50.057, 129.1672
1.360000, 50.441, 128.2921
1.380000, 50.820, 127.3993
1.400000, 51.196, 126.4868
1.430000, 51.756, 125.0785
1.450000, 52.127, 124.1140
1.475000, 52.588, 122.9009
1.500000, 53.041, 121.7315
1.525000, 53.484, 120.6216
1.550000, 53.918, 119.5608
1.575000, 54.343, 118.5366
1.600000, 54.760, 117.5384
1.625000, 55.169, 116.5567
1.650000, 55.571, 115.5833
1.675000, 55.966, 114.6114
1.700000, 56.355, 113.6348
1.725000, 56.739, 112.6488
1.750000, 57.117, 111.6489
1.775000, 57.491, 110.6317
1.800000, 57.861, 109.5948
1.825000, 58.227, 108.5403
1.850000, 58.589, 107.4855
1.875000, 58.945, 106.4532
1.900000, 59.294, 105.4482
1.925000, 59.638, 104.4672
1.950000, 59.976, 103.5053
1.975000, 60.308, 102.5585
2.000000, 60.635, 101.6229
2.030000, 61.022, 100.5094
2.060000, 61.402, 99.4008
2.090000, 61.775, 98.2918
2.120000, 62.144, 97.1779
2.140000, 62.386, 96.4304
2.180000, 62.865, 94.9209
2.200000, 63.102, 94.1610
2.240000, 63.567, 92.6543
2.270000, 63.908, 91.5467
2.300000, 64.242, 90.4583
2.330000, 64.571, 89.3865
2.360000, 64.894, 88.3288
2.400000, 65.317, 86.9355
2.430000, 65.628, 85.8995
2.470000, 66.036, 84.5257
2.500000, 66.336, 83.4974
2.540000, 66.732, 82.1254
2.580000, 67.120, 80.7540
2.620000, 67.500, 79.3959
2.650000, 67.779, 78.3907
2.690000, 68.143, 77.0686
2.720000, 68.412, 76.0899
2.760000, 68.763, 74.8007
2.800000, 69.108, 73.5271
2.850000, 69.529, 71.9531
2.900000, 69.942, 70.3942
2.950000, 70.347, 68.8478
3.000000, 70.741, 67.3191
3.040000, 71.048, 66.1123
3.070000, 71.275, 65.2173
3.110000, 71.572, 64.0377
3.150000, 71.863, 62.8735
3.200000, 72.220, 61.4390
3.250000, 72.570, 60.0259
3.300000, 72.914, 58.6317
3.350000, 73.250, 57.2550
3.400000, 73.577, 55.8965
3.450000, 73.897, 54.5580
3.500000, 74.210, 53.2406
3.550000, 74.517, 51.9445
3.600000, 74.818, 50.6695
3.650000, 75.113, 49.4146
3.700000, 75.404, 48.1778
3.750000, 75.688, 46.9576
3.820000, 76.075, 45.2780
3.870000, 76.346, 44.0999
3.950000, 76.768, 42.2526
4.000000, 77.027, 41.1214
4.060000, 77.332, 39.7859
4.120000, 77.630, 38.4717
4.180000, 77.921, 37.1787
4.250000, 78.254, 35.6974
4.310000, 78.532, 34.4509
4.370000, 78.806, 33.2254
4.440000, 79.120, 31.8199
4.500000, 79.383, 30.6339
4.550000, 79.598, 29.6589
4.620000, 79.893, 28.3145
4.680000, 80.141, 27.1815
4.750000, 80.425, 25.8813
4.820000, 80.703, 24.6019
4.870000, 80.898, 23.6995
4.940000, 81.165, 22.4526
5.000000, 81.390, 21.4006
5.080000, 81.683, 20.0228
5.150000, 81.934, 18.8391
5.220000, 82.179, 17.6722
5.300000, 82.453, 16.3589
5.380000, 82.720, 15.0711
5.450000, 82.949, 13.9673
5.520000, 83.173, 12.8842
5.600000, 83.422, 11.6667
5.700000, 83.725, 10.1763
5.800000, 84.019, 8.7281
5.900000, 84.305, 7.3248
6.000000, 84.582, 5.9586
6.080000, 84.798, 4.8927
6.150000, 84.983, 3.9828
6.220000, 85.165, 3.0956
6.300000, 85.369, 2.1070
6.400000, 85.617, 0.9052
6.500000, 85.860, -0.2574
6.600000, 86.099, -1.3781
6.700000, 86.332, -2.4589
6.800000, 86.561, -3.5039
6.900000, 86.786, -4.5135
7.000000, 87.008, -5.4883
7.100000, 87.227, -6.4301
7.200000, 87.443, -7.3421
7.300000, 87.657, -8.2267
7.400000, 87.869, -9.0854
7.500000, 88.079, -9.9191
7.620000, 88.328, -10.8912
7.750000, 88.595, -11.9137
7.880000, 88.860, -12.9058
8.000000, 89.102, -13.7984
8.120000, 89.342, -14.6719
8.250000, 89.599, -15.5974
8.380000, 89.854, -16.5037
8.500000, 90.087, -17.3251
8.620000, 90.318, -18.1324
8.750000, 90.566, -18.9924
8.850000, 90.755, -19.6445
9.000000, 91.037, -20.6075
9.120000, 91.260, -21.3661
9.250000, 91.499, -22.1770
9.380000, 91.737, -22.9766
9.500000, 91.955, -23.7065
9.620000, 92.172, -24.4288
9.750000, 92.405, -25.2032
9.880000, 92.628, -25.9707
