* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -29.6 dBFS, measurement signal peak level -10.1 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -24.4 dBFS using an acoustic timing reference
* Dated: Nov 5, 2024 11:20:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -1.6385 ms (-562 mm, -(1 ft 10.13 in)) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: -387.6 ppm
* Measurement: Bass ANC R4
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 38.983, 167.7379
1.015000, 39.417, 165.5272
1.030000, 39.846, 163.3700
1.044000, 40.238, 161.3977
1.060000, 40.676, 159.1852
1.075000, 41.073, 157.1458
1.090000, 41.456, 155.1396
1.106000, 41.854, 153.0572
1.120000, 42.198, 151.3221
1.138000, 42.643, 149.2289
1.150000, 42.940, 147.9140
1.172000, 43.487, 145.6508
1.180000, 43.687, 144.8701
1.206000, 44.335, 142.4666
1.220000, 44.684, 141.2463
1.241000, 45.205, 139.4964
1.250000, 45.428, 138.7723
1.265000, 45.799, 137.5956
1.280000, 46.167, 136.4518
1.315000, 47.018, 133.8864
1.320000, 47.139, 133.5297
1.340000, 47.616, 132.1223
1.360000, 48.087, 130.7412
1.380000, 48.550, 129.3809
1.400000, 49.005, 128.0367
1.430000, 49.670, 126.0427
1.450000, 50.099, 124.7260
1.475000, 50.622, 123.1127
1.500000, 51.129, 121.5853
1.525000, 51.623, 120.1553
1.550000, 52.105, 118.8076
1.575000, 52.575, 117.5258
1.600000, 53.034, 116.2956
1.625000, 53.484, 115.1047
1.650000, 53.924, 113.9427
1.675000, 54.356, 112.8004
1.700000, 54.780, 111.6703
1.725000, 55.197, 110.5461
1.750000, 55.609, 109.4223
1.775000, 56.015, 108.2946
1.800000, 56.417, 107.1601
1.825000, 56.815, 106.0203
1.850000, 57.207, 104.8931
1.875000, 57.592, 103.8013
1.900000, 57.969, 102.7484
1.925000, 58.339, 101.7292
1.950000, 58.702, 100.7380
1.975000, 59.059, 99.7690
2.000000, 59.409, 98.8175
2.030000, 59.822, 97.6922
2.060000, 60.227, 96.5786
2.090000, 60.626, 95.4705
2.120000, 61.018, 94.3626
2.140000, 61.277, 93.6220
2.180000, 61.787, 92.1327
2.200000, 62.039, 91.3867
2.240000, 62.534, 89.9177
2.270000, 62.897, 88.8474
2.300000, 63.253, 87.8020
2.330000, 63.602, 86.7776
2.360000, 63.945, 85.7700
2.400000, 64.392, 84.4460
2.430000, 64.722, 83.4628
2.470000, 65.153, 82.1588
2.500000, 65.472, 81.1822
2.540000, 65.890, 79.8774
2.580000, 66.301, 78.5735
2.620000, 66.703, 77.2875
2.650000, 66.998, 76.3398
2.690000, 67.383, 75.0969
2.720000, 67.667, 74.1784
2.760000, 68.038, 72.9689
2.800000, 68.402, 71.7729
2.850000, 68.847, 70.2907
2.900000, 69.282, 68.8162
2.950000, 69.709, 67.3480
3.000000, 70.124, 65.8967
3.040000, 70.448, 64.7526
3.070000, 70.686, 63.9044
3.110000, 70.999, 62.7860
3.150000, 71.305, 61.6807
3.200000, 71.680, 60.3154
3.250000, 72.047, 58.9649
3.300000, 72.407, 57.6263
3.350000, 72.758, 56.2999
3.400000, 73.100, 54.9888
3.450000, 73.434, 53.6953
3.500000, 73.760, 52.4201
3.550000, 74.079, 51.1634
3.600000, 74.391, 49.9243
3.650000, 74.697, 48.7014
3.700000, 74.996, 47.4920
3.750000, 75.289, 46.2948
3.820000, 75.686, 44.6425
3.870000, 75.963, 43.4818
3.950000, 76.393, 41.6613
4.000000, 76.656, 40.5467
4.060000, 76.964, 39.2296
4.120000, 77.265, 37.9301
4.180000, 77.557, 36.6490
4.250000, 77.889, 35.1813
4.310000, 78.167, 33.9491
4.370000, 78.439, 32.7418
4.440000, 78.748, 31.3608
4.500000, 79.007, 30.1961
4.550000, 79.218, 29.2389
4.620000, 79.506, 27.9221
4.680000, 79.748, 26.8169
4.750000, 80.024, 25.5562
4.820000, 80.295, 24.3225
4.870000, 80.483, 23.4551
4.940000, 80.742, 22.2606
5.000000, 80.959, 21.2563
5.080000, 81.243, 19.9478
5.150000, 81.486, 18.8308
5.220000, 81.724, 17.7365
5.300000, 81.990, 16.5114
5.380000, 82.250, 15.3143
5.450000, 82.474, 14.2908
5.520000, 82.693, 13.2892
5.600000, 82.939, 12.1686
5.700000, 83.240, 10.8013
5.800000, 83.534, 9.4708
5.900000, 83.823, 8.1760
6.000000, 84.105, 6.9142
6.080000, 84.326, 5.9265
6.150000, 84.517, 5.0774
6.220000, 84.705, 4.2417
6.300000, 84.918, 3.3022
6.400000, 85.179, 2.1504
6.500000, 85.435, 1.0217
6.600000, 85.686, -0.0861
6.700000, 85.933, -1.1742
6.800000, 86.176, -2.2433
6.900000, 86.413, -3.2937
7.000000, 86.647, -4.3265
7.100000, 86.875, -5.3434
7.200000, 87.100, -6.3430
7.300000, 87.319, -7.3232
7.400000, 87.534, -8.2853
7.500000, 87.745, -9.2303
7.620000, 87.991, -10.3369
7.750000, 88.252, -11.4974
7.880000, 88.505, -12.6216
8.000000, 88.734, -13.6218
8.120000, 88.957, -14.5813
8.250000, 89.195, -15.5779
8.380000, 89.429, -16.5281
8.500000, 89.642, -17.3614
8.620000, 89.854, -18.1553
8.750000, 90.083, -18.9756
8.850000, 90.259, -19.5793
9.000000, 90.525, -20.4440
9.120000, 90.739, -21.1107
9.250000, 90.973, -21.8137
9.380000, 91.210, -22.4999
9.500000, 91.430, -23.1304
9.620000, 91.653, -23.7629
9.750000, 91.895, -24.4520
9.880000, 92.131, -25.1541
10.000000, 92.338, -25.8173
10.150000, 92.585, -26.6648
