* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -29.8 dBFS, measurement signal peak level -13.7 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -24.4 dBFS using an acoustic timing reference
* Dated: Nov 7, 2024 12:03:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -0.2332 ms (-80 mm, -3.15 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset Clock adjustment: -102.1 ppm
* Measurement: Bass Passive L4
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 40.368, -162.6811
1.015000, 40.574, -164.0628
1.030000, 40.784, -165.5078
1.044000, 40.982, -166.9157
1.060000, 41.213, -168.5971
1.075000, 41.433, -170.2445
1.090000, 41.657, -171.9581
1.106000, 41.901, -173.8351
1.120000, 42.119, -175.4762
1.138000, 42.403, -177.5514
1.150000, 42.596, -178.9094
1.172000, 42.956, 178.6539
1.180000, 43.088, 177.7844
1.206000, 43.524, 175.0149
1.220000, 43.762, 173.5562
1.241000, 44.122, 171.4052
1.250000, 44.278, 170.4953
1.265000, 44.539, 168.9922
1.280000, 44.802, 167.5036
1.315000, 45.419, 164.0701
1.320000, 45.507, 163.5826
1.340000, 45.862, 161.6370
1.360000, 46.217, 159.6936
1.380000, 46.572, 157.7477
1.400000, 46.926, 155.7952
1.430000, 47.454, 152.8465
1.450000, 47.803, 150.8666
1.475000, 48.238, 148.4028
1.500000, 48.676, 146.0263
1.525000, 49.117, 143.7683
1.550000, 49.562, 141.6215
1.575000, 50.009, 139.5723
1.600000, 50.457, 137.6068
1.625000, 50.904, 135.7110
1.650000, 51.351, 133.8716
1.675000, 51.795, 132.0766
1.700000, 52.236, 130.3146
1.725000, 52.673, 128.5758
1.750000, 53.104, 126.8514
1.775000, 53.528, 125.1336
1.800000, 53.945, 123.4166
1.825000, 54.354, 121.7003
1.850000, 54.755, 120.0055
1.875000, 55.151, 118.3621
1.900000, 55.543, 116.7775
1.925000, 55.929, 115.2478
1.950000, 56.311, 113.7672
1.975000, 56.689, 112.3294
2.000000, 57.061, 110.9284
2.030000, 57.502, 109.2874
2.060000, 57.935, 107.6811
2.090000, 58.362, 106.1002
2.120000, 58.782, 104.5365
2.140000, 59.058, 103.4998
2.180000, 59.600, 101.4331
2.200000, 59.866, 100.4043
2.240000, 60.388, 98.3807
2.270000, 60.770, 96.9064
2.300000, 61.145, 95.4697
2.330000, 61.512, 94.0677
2.360000, 61.873, 92.6971
2.400000, 62.344, 90.9115
2.430000, 62.690, 89.5986
2.470000, 63.142, 87.8755
2.500000, 63.476, 86.5987
2.540000, 63.912, 84.9102
2.580000, 64.339, 83.2366
2.620000, 64.756, 81.5889
2.650000, 65.061, 80.3751
2.690000, 65.458, 78.7872
2.720000, 65.750, 77.6186
2.760000, 66.131, 76.0885
2.800000, 66.503, 74.5878
2.850000, 66.958, 72.7477
2.900000, 67.401, 70.9404
