* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -29.2 dBFS, measurement signal peak level -12.8 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -24.4 dBFS using an acoustic timing reference
* Dated: Nov 6, 2024 12:12:47 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -1.8849 ms (-647 mm, -(2 ft 1.45 in)) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: -628.5 ppm
* Measurement: Bass Passive R5
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 44.589, -148.7664
1.015000, 44.706, -149.4706
1.030000, 44.823, -150.2261
1.044000, 44.933, -150.9801
1.060000, 45.059, -151.9028
1.075000, 45.178, -152.8299
1.090000, 45.297, -153.8190
1.106000, 45.424, -154.9356
1.120000, 45.535, -155.9485
1.138000, 45.674, -157.2856
1.150000, 45.766, -158.1962
1.172000, 45.932, -159.9023
1.180000, 45.991, -160.5339
1.206000, 46.184, -162.6254
1.220000, 46.288, -163.7755
1.241000, 46.443, -165.5312
1.250000, 46.510, -166.2948
1.265000, 46.622, -167.5825
1.280000, 46.734, -168.8894
1.315000, 47.003, -172.0159
1.320000, 47.042, -172.4718
1.340000, 47.201, -174.3196
1.360000, 47.364, -176.2081
1.380000, 47.532, -178.1400
1.400000, 47.705, 179.8820
1.430000, 47.978, 176.8225
1.450000, 48.169, 174.7184
1.475000, 48.419, 172.0267
1.500000, 48.679, 169.3097
1.525000, 48.949, 166.6008
1.550000, 49.228, 163.9152
1.575000, 49.516, 161.2617
1.600000, 49.810, 158.6451
1.625000, 50.110, 156.0673
1.650000, 50.416, 153.5274
1.675000, 50.727, 151.0226
1.700000, 51.042, 148.5486
1.725000, 51.359, 146.1004
1.750000, 51.679, 143.6721
1.775000, 52.000, 141.2577
1.800000, 52.322, 138.8517
1.825000, 52.644, 136.4528
1.850000, 52.969, 134.0761
1.875000, 53.300, 131.7490
1.900000, 53.637, 129.4852
1.925000, 53.979, 127.2885
1.950000, 54.325, 125.1586
1.975000, 54.674, 123.0938
2.000000, 55.025, 121.0901
2.030000, 55.446, 118.7601
2.060000, 55.866, 116.5021
2.090000, 56.283, 114.3063
2.120000, 56.695, 112.1622
2.140000, 56.966, 110.7566
2.180000, 57.496, 107.9909
2.200000, 57.755, 106.6293
2.240000, 58.266, 103.9659
2.270000, 58.645, 102.0335
2.300000, 59.021, 100.1598
2.330000, 59.393, 98.3433
2.360000, 59.760, 96.5812
2.400000, 60.243, 94.3093
2.430000, 60.600, 92.6575
2.470000, 61.067, 90.5150
2.500000, 61.410, 88.9459
2.540000, 61.858, 86.8946
2.580000, 62.295, 84.8828
2.620000, 62.721, 82.9140
2.650000, 63.034, 81.4699
2.690000, 63.442, 79.5905
2.720000, 63.742, 78.2159
2.760000, 64.133, 76.4285
2.800000, 64.516, 74.6908
2.850000, 64.982, 72.5822
2.900000, 65.437, 70.5354
2.950000, 65.879, 68.5381
3.000000, 66.307, 66.5813
3.040000, 66.639, 65.0471
3.070000, 66.883, 63.9166
3.110000, 67.201, 62.4381
3.150000, 67.511, 60.9932
3.200000, 67.890, 59.2347
3.250000, 68.259, 57.5277
3.300000, 68.620, 55.8664
3.350000, 68.970, 54.2392
3.400000, 69.309, 52.6408
3.450000, 69.638, 51.0749
3.500000, 69.958, 49.5453
3.550000, 70.270, 48.0551
3.600000, 70.574, 46.6057
3.650000, 70.872, 45.1962
3.700000, 71.163, 43.8196
3.750000, 71.445, 42.4683
3.820000, 71.828, 40.6183
3.870000, 72.093, 39.3301
3.950000, 72.505, 37.3315
4.000000, 72.756, 36.1229
4.060000, 73.051, 34.7097
4.120000, 73.338, 33.3286
4.180000, 73.617, 31.9769
4.250000, 73.932, 30.4391
4.310000, 74.196, 29.1562
4.370000, 74.455, 27.9063
4.440000, 74.750, 26.4860
4.500000, 74.997, 25.2955
4.550000, 75.198, 24.3215
4.620000, 75.473, 22.9858
4.680000, 75.704, 21.8673
4.750000, 75.968, 20.5925
4.820000, 76.226, 19.3469
4.870000, 76.406, 18.4726
4.940000, 76.653, 17.2699
5.000000, 76.861, 16.2592
5.080000, 77.132, 14.9408
5.150000, 77.364, 13.8135
5.220000, 77.591, 12.7070
5.300000, 77.844, 11.4666
5.380000, 78.091, 10.2529
5.450000, 78.303, 9.2136
5.520000, 78.511, 8.1946
5.600000, 78.743, 7.0518
5.700000, 79.026, 5.6539
5.800000, 79.302, 4.2911
5.900000, 79.571, 2.9633
6.000000, 79.833, 1.6664
6.080000, 80.039, 0.6494
6.150000, 80.215, -0.2261
6.220000, 80.389, -1.0885
6.300000, 80.585, -2.0591
6.400000, 80.825, -3.2513
6.500000, 81.060, -4.4229
6.600000, 81.290, -5.5763
6.700000, 81.516, -6.7133
6.800000, 81.737, -7.8347
6.900000, 81.953, -8.9411
7.000000, 82.164, -10.0347
7.100000, 82.370, -11.1172
7.200000, 82.571, -12.1866
7.300000, 82.767, -13.2399
7.400000, 82.957, -14.2788
7.500000, 83.142, -15.3047
7.620000, 83.357, -16.5105
7.750000, 83.581, -17.7789
7.880000, 83.797, -19.0118
8.000000, 83.989, -20.1108
8.120000, 84.176, -21.1650
8.250000, 84.373, -22.2603
8.380000, 84.565, -23.3053
8.500000, 84.740, -24.2216
