* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -19.1 dBFS, measurement signal peak level -13.0 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -14.4 dBFS using an acoustic timing reference
* Dated: Nov 5, 2024 11:41:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -0.5619 ms (-193 mm, -7.59 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: -471.6 ppm
* Measurement: Classic Ambient R4
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 36.166, 159.4980
1.015000, 36.524, 157.4272
1.030000, 36.875, 155.4358
1.044000, 37.196, 153.6398
1.060000, 37.551, 151.6517
1.075000, 37.872, 149.8414
1.090000, 38.180, 148.0758
1.106000, 38.496, 146.2369
1.120000, 38.769, 144.6661
1.138000, 39.119, 142.7006
1.150000, 39.352, 141.4239
1.172000, 39.778, 139.1526
1.180000, 39.933, 138.3487
1.206000, 40.435, 135.8165
1.220000, 40.704, 134.5035
1.241000, 41.105, 132.5992
1.250000, 41.276, 131.8069
1.265000, 41.561, 130.5175
1.280000, 41.843, 129.2666
1.315000, 42.495, 126.4944
1.320000, 42.587, 126.1148
1.340000, 42.953, 124.6364
1.360000, 43.314, 123.2207
1.380000, 43.670, 121.8659
1.400000, 44.020, 120.5702
1.430000, 44.535, 118.7333
1.450000, 44.870, 117.5774
1.475000, 45.279, 116.2078
1.500000, 45.677, 114.9204
1.525000, 46.065, 113.7058
1.550000, 46.443, 112.5528
1.575000, 46.813, 111.4517
1.600000, 47.175, 110.3949
1.625000, 47.530, 109.3759
1.650000, 47.880, 108.3894
1.675000, 48.224, 107.4315
1.700000, 48.565, 106.4987
1.725000, 48.902, 105.5883
1.750000, 49.237, 104.6985
1.775000, 49.571, 103.8276
1.800000, 49.904, 102.9750
1.825000, 50.238, 102.1436
1.850000, 50.570, 101.3472
1.875000, 50.899, 100.6001
1.900000, 51.224, 99.8990
1.925000, 51.546, 99.2336
1.950000, 51.865, 98.5946
1.975000, 52.181, 97.9736
2.000000, 52.494, 97.3636
2.030000, 52.867, 96.6375
2.060000, 53.237, 95.9100
2.090000, 53.605, 95.1742
2.120000, 53.971, 94.4245
2.140000, 54.214, 93.9152
2.180000, 54.698, 92.8736
2.200000, 54.940, 92.3489
2.240000, 55.423, 91.3408
2.270000, 55.782, 90.6340
2.300000, 56.140, 89.9577
2.330000, 56.496, 89.2980
2.360000, 56.850, 88.6425
2.400000, 57.318, 87.7573
2.430000, 57.665, 87.0734
2.470000, 58.125, 86.1220
2.500000, 58.466, 85.3715
2.540000, 58.915, 84.3168
2.580000, 59.359, 83.2200
2.620000, 59.799, 82.1370
2.650000, 60.126, 81.3446
2.690000, 60.558, 80.3041
2.720000, 60.878, 79.5266
2.760000, 61.300, 78.4810
2.800000, 61.716, 77.4131
2.850000, 62.227, 76.0288
2.900000, 62.726, 74.5738
2.950000, 63.213, 73.0547
3.000000, 63.689, 71.5215
3.040000, 64.063, 70.3012
3.070000, 64.339, 69.3889
3.110000, 64.701, 68.1735
3.150000, 65.055, 66.9546
3.200000, 65.489, 65.4182
3.250000, 65.910, 63.8580
3.300000, 66.320, 62.2657
3.350000, 66.718, 60.6472
3.400000, 67.104, 59.0186
3.450000, 67.479, 57.3924
3.500000, 67.842, 55.7757
3.550000, 68.195, 54.1716
3.600000, 68.536, 52.5799
3.650000, 68.867, 50.9957
3.700000, 69.187, 49.4062
3.750000, 69.496, 47.8045
3.820000, 69.909, 45.5627
3.870000, 70.192, 43.9804
3.950000, 70.624, 41.5097
4.000000, 70.883, 40.0110
4.060000, 71.181, 38.2447
4.120000, 71.465, 36.4846
4.180000, 71.734, 34.7350
4.250000, 72.033, 32.7364
4.310000, 72.278, 31.0831
4.370000, 72.513, 29.4991
4.440000, 72.774, 27.7242
4.500000, 72.986, 26.2367
4.550000, 73.155, 25.0206
4.620000, 73.381, 23.3701
4.680000, 73.567, 22.0195
4.750000, 73.779, 20.5339
4.820000, 73.983, 19.1373
4.870000, 74.123, 18.1808
4.940000, 74.312, 16.8942
5.000000, 74.471, 15.8425
5.080000, 74.680, 14.5208
5.150000, 74.863, 13.4459
5.220000, 75.045, 12.4454
5.300000, 75.251, 11.3774
5.380000, 75.456, 10.3700
5.450000, 75.639, 9.5258
5.520000, 75.826, 8.7155
5.600000, 76.043, 7.8406
5.700000, 76.319, 6.8043
5.800000, 76.599, 5.7830
5.900000, 76.884, 4.7478
6.000000, 77.175, 3.7158
6.080000, 77.409, 2.8871
6.150000, 77.614, 2.1461
6.220000, 77.817, 1.3813
6.300000, 78.047, 0.4794
6.400000, 78.332, -0.6770
6.500000, 78.611, -1.8591
6.600000, 78.881, -3.0688
6.700000, 79.141, -4.3116
6.800000, 79.391, -5.5757
6.900000, 79.630, -6.8379
7.000000, 79.857, -8.0896
7.100000, 80.072, -9.3395
7.200000, 80.275, -10.5747
7.300000, 80.469, -11.7723
7.400000, 80.653, -12.9277
7.500000, 80.828, -14.0490
7.620000, 81.027, -15.3379
7.750000, 81.235, -16.6464
7.880000, 81.434, -17.8711
8.000000, 81.614, -18.9353
8.120000, 81.792, -19.9362
8.250000, 81.983, -20.9537
8.380000, 82.174, -21.9207
8.500000, 82.352, -22.7789
8.620000, 82.530, -23.6064
8.750000, 82.723, -24.4816
8.850000, 82.871, -25.1470
9.000000, 83.092, -26.1326
9.120000, 83.268, -26.9125
9.250000, 83.455, -27.7524
9.380000, 83.640, -28.5859
9.500000, 83.807, -29.3457
9.620000, 83.972, -30.0952
9.750000, 84.147, -30.8953
9.880000, 84.310, -31.6801
10.000000, 84.449, -32.3898
10.150000, 84.610, -33.2596
10.300000, 84.761, -34.1129
10.440000, 84.897, -34.8964
10.600000, 85.049, -35.7825
10.750000, 85.192, -36.6094
10.900000, 85.334, -37.4330
11.060000, 85.482, -38.3098
11.200000, 85.607, -39.0747
11.380000, 85.761, -40.0457
11.500000, 85.859, -40.6824
11.720000, 86.031, -41.8130
11.800000, 86.093, -42.2081
12.060000, 86.289, -43.4260
12.200000, 86.394, -44.0334
12.410000, 86.552, -44.8853
12.500000, 86.621, -45.2308
12.650000, 86.737, -45.7840
12.800000, 86.855, -46.3188
13.150000, 87.141, -47.5401
13.200000, 87.183, -47.7162
13.400000, 87.353, -48.4319
13.600000, 87.524, -49.1699
13.800000, 87.692, -49.9308
14.000000, 87.856, -50.7052
14.300000, 88.089, -51.8690
14.500000, 88.235, -52.6281
14.750000, 88.412, -53.5430
15.000000, 88.585, -54.4144
15.250000, 88.760, -55.2455
