* Measurement data measured by REW V5.31.3
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: Nov 6, 2024 10:17:59 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Trace Arithmetic A times B A = Classic Ambient L1 B = A over B 
* Measurement: Classic Passive L1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 2.200 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
2.200000, 60.818, 75.1981
2.240000, 61.091, 74.9065
2.270000, 61.346, 74.5916
2.300000, 61.604, 74.2683
2.330000, 61.862, 73.9381
2.360000, 62.121, 73.5975
2.400000, 62.465, 73.1206
2.430000, 62.724, 72.7417
2.470000, 63.068, 72.2025
2.500000, 63.326, 71.7696
2.540000, 63.669, 71.1517
2.580000, 64.005, 70.4959
2.620000, 64.330, 69.8289
2.650000, 64.571, 69.3281
2.690000, 64.888, 68.6567
2.720000, 65.123, 68.1473
2.760000, 65.434, 67.4558
2.800000, 65.740, 66.7453
2.850000, 66.118, 65.8227
2.900000, 66.489, 64.8544
2.950000, 66.854, 63.8438
3.000000, 67.213, 62.8163
3.040000, 67.495, 61.9906
3.070000, 67.704, 61.3688
3.110000, 67.979, 60.5350
3.150000, 68.250, 59.6934
3.200000, 68.584, 58.6265
3.250000, 68.911, 57.5381
3.300000, 69.232, 56.4251
3.350000, 69.547, 55.2944
3.400000, 69.855, 54.1563
3.450000, 70.158, 53.0151
3.500000, 70.454, 51.8721
3.550000, 70.745, 50.7267
3.600000, 71.029, 49.5770
3.650000, 71.308, 48.4202
3.700000, 71.581, 47.2537
3.750000, 71.848, 46.0790
3.820000, 72.213, 44.4312
3.870000, 72.466, 43.2579
3.950000, 72.860, 41.3942
4.000000, 73.100, 40.2383
4.060000, 73.381, 38.8544
4.120000, 73.654, 37.4667
4.180000, 73.920, 36.0801
4.250000, 74.221, 34.4758
4.310000, 74.471, 33.1203
4.370000, 74.716, 31.7860
4.440000, 74.993, 30.2474
4.500000, 75.223, 28.9333
4.550000, 75.410, 27.8442
4.620000, 75.665, 26.3382
4.680000, 75.878, 25.0727
4.750000, 76.120, 23.6308
4.820000, 76.354, 22.2161
4.870000, 76.518, 21.2153
4.940000, 76.740, 19.8308
5.000000, 76.926, 18.6664
5.080000, 77.168, 17.1558
5.150000, 77.374, 15.8748
5.220000, 77.575, 14.6208
5.300000, 77.799, 13.2163
5.380000, 78.016, 11.8492
5.450000, 78.203, 10.6901
5.520000, 78.387, 9.5665
5.600000, 78.593, 8.3178
5.700000, 78.845, 6.8043
5.800000, 79.092, 5.3471
5.900000, 79.336, 3.9493
6.000000, 79.576, 2.6050
6.080000, 79.766, 1.5630
6.150000, 79.931, 0.6736
6.220000, 80.095, -0.1955
6.300000, 80.283, -1.1637
6.400000, 80.516, -2.3390
6.500000, 80.748, -3.4838
6.600000, 80.979, -4.6050
6.700000, 81.210, -5.7023
6.800000, 81.441, -6.7774
6.900000, 81.670, -7.8388
7.000000, 81.898, -8.8923
7.100000, 82.126, -9.9363
7.200000, 82.351, -10.9720
7.300000, 82.575, -12.0047
7.400000, 82.796, -13.0381
7.500000, 83.014, -14.0702
7.620000, 83.272, -15.3049
7.750000, 83.544, -16.6411
7.880000, 83.809, -17.9780
8.000000, 84.046, -19.2022
8.120000, 84.275, -20.4145
8.250000, 84.514, -21.7182
8.380000, 84.743, -22.9952
8.500000, 84.945, -24.1433
8.620000, 85.139, -25.2663
8.750000, 85.340, -26.4378
8.850000, 85.488, -27.3003
9.000000, 85.701, -28.5374
9.120000, 85.864, -29.4674
9.250000, 86.036, -30.4066
9.380000, 86.203, -31.2804
9.500000, 86.354, -32.0266
9.620000, 86.506, -32.7122
9.750000, 86.667, -33.3934
9.880000, 86.815, -34.0186
10.000000, 86.934, -34.5484
10.150000, 87.065, -35.1576
10.300000, 87.188, -35.7287
10.440000, 87.300, -36.2338
10.600000, 87.430, -36.7977
10.750000, 87.563, -37.3289
10.900000, 87.702, -37.8672
11.060000, 87.852, -38.4620
11.200000, 87.982, -39.0012
11.380000, 88.146, -39.7173
11.500000, 88.251, -40.2090
11.720000, 88.439, -41.1254
11.800000, 88.506, -41.4601
12.060000, 88.719, -42.5386
12.200000, 88.831, -43.1017
12.410000, 88.992, -43.9144
12.500000, 89.058, -44.2469
12.650000, 89.164, -44.7800
12.800000, 89.266, -45.2855
13.150000, 89.493, -46.3594
13.200000, 89.525, -46.5020
13.400000, 89.654, -47.0484
13.600000, 89.783, -47.5619
13.800000, 89.913, -48.0476
14.000000, 90.040, -48.5090
14.300000, 90.224, -49.1603
14.500000, 90.343, -49.5686
14.750000, 90.488, -50.0514
15.000000, 90.633, -50.5071
15.250000, 90.785, -50.9413
15.500000, 90.936, -51.3609
15.750000, 91.084, -51.7714
16.000000, 91.228, -52.1750
16.250000, 91.365, -52.5679
16.500000, 91.496, -52.9430
16.750000, 91.622, -53.2903
17.000000, 91.748, -53.6013
17.250000, 91.873, -53.8731
17.500000, 92.000, -54.1086
17.750000, 92.127, -54.3186
18.000000, 92.258, -54.5175
18.250000, 92.390, -54.7200
18.500000, 92.522, -54.9373
18.750000, 92.653, -55.1728
19.000000, 92.782, -55.4230
19.250000, 92.907, -55.6771
19.500000, 93.027, -55.9215
19.750000, 93.140, -56.1436
20.000000, 93.249, -56.3333
20.299999, 93.376, -56.5138
20.600000, 93.501, -56.6468
20.900000, 93.627, -56.7437
21.200001, 93.752, -56.8175
21.400000, 93.834, -56.8588
21.799999, 93.995, -56.9273
22.000000, 94.074, -56.9538
22.400000, 94.228, -56.9850
22.700001, 94.340, -56.9850
23.000000, 94.450, -56.9634
23.299999, 94.560, -56.9221
23.600000, 94.669, -56.8650
24.000000, 94.815, -56.7730
24.299999, 94.926, -56.6984
24.700001, 95.072, -56.5987
25.000000, 95.179, -56.5261
25.400000, 95.317, -56.4294
25.799999, 95.449, -56.3223
26.200001, 95.574, -56.1892
26.500000, 95.665, -56.0657
26.900000, 95.785, -55.8708
27.200001, 95.877, -55.7095
27.600000, 95.998, -55.4878
28.000000, 96.116, -55.2665
28.500000, 96.257, -54.9777
29.000000, 96.390, -54.6483
29.500000, 96.523, -54.2922
30.000000, 96.655, -53.9917
30.400000, 96.746, -53.8414
30.700001, 96.794, -53.7675
31.100000, 96.821, -53.6303
31.500000, 96.801, -53.2703
32.000000, 96.738, -52.1780
32.500000, 96.719, -50.1775
33.000000, 96.850, -47.5667
33.500000, 97.174, -45.1369
34.000000, 97.625, -43.6277
34.500000, 98.085, -43.2309
35.000000, 98.461, -43.6197
35.500000, 98.730, -44.3048
36.000000, 98.917, -44.9245
36.500000, 99.060, -45.3589
37.000000, 99.183, -45.6504
37.500000, 99.285, -45.8522
38.200001, 99.388, -45.9330
38.700001, 99.444, -45.7779
39.500000, 99.542, -45.1996
40.000000, 99.616, -44.7287
40.599998, 99.715, -44.1325
41.200001, 99.822, -43.5582
41.799999, 99.930, -43.0633
42.500000, 100.033, -42.5676
43.099998, 100.098, -42.0863
43.700001, 100.157, -41.4691
44.400002, 100.239, -40.6634
45.000000, 100.317, -40.0302
45.500000, 100.375, -39.5568
46.200001, 100.438, -38.8868
46.799999, 100.485, -38.2558
47.500000, 100.541, -37.4930
48.200001, 100.590, -36.7455
48.700001, 100.613, -36.1889
49.400002, 100.629, -35.2911
50.000000, 100.636, -34.3611
50.799999, 100.654, -32.8886
51.500000, 100.687, -31.4400
52.200001, 100.738, -29.9415
53.000000, 100.800, -28.2436
53.799999, 100.851, -26.4691
54.500000, 100.902, -24.7692
55.200001, 100.984, -23.0392
56.000000, 101.106, -21.2282
57.000000, 101.271, -19.2101
58.000000, 101.475, -17.4143
59.000000, 101.719, -16.1900
60.000000, 101.923, -15.5707
60.799999, 102.032, -15.2414
61.500000, 102.089, -14.9335
62.200001, 102.111, -14.5277
63.000000, 102.104, -13.8485
64.000000, 102.074, -12.6929
65.000000, 102.019, -11.3905
66.000000, 101.915, -9.8643
67.000000, 101.788, -7.9192
68.000000, 101.680, -5.5503
69.000000, 101.635, -2.8341
70.000000, 101.683, -0.0776
71.000000, 101.806, 2.4798
72.000000, 101.990, 4.6969
73.000000, 102.203, 6.2795
74.000000, 102.366, 7.1571
75.000000, 102.429, 7.5573
76.199997, 102.347, 7.8851
77.500000, 102.105, 8.6319
78.800003, 101.783, 10.1262
80.000000, 101.476, 12.2488
81.199997, 101.193, 15.0048
82.500000, 100.938, 18.5484
83.800003, 100.749, 22.2491
85.000000, 100.606, 25.5031
86.199997, 100.486, 28.5776
87.500000, 100.389, 31.6048
88.500000, 100.324, 33.6551
90.000000, 100.144, 36.6026
91.199997, 99.955, 39.6267
92.500000, 99.792, 43.1967
93.800003, 99.601, 46.6654
95.000000, 99.370, 49.8315
96.199997, 99.085, 53.0581
97.500000, 98.747, 56.6583
98.800003, 98.390, 60.3479
100.000000, 98.038, 63.9871
101.500000, 97.578, 69.0910
103.000000, 97.113, 74.9778
104.400002, 96.712, 81.0451
106.000000, 96.308, 88.3851
107.500000, 96.015, 95.4300
109.000000, 95.809, 102.4277
110.599998, 95.647, 109.9083
112.000000, 95.532, 116.7101
113.800003, 95.415, 125.6679
115.000000, 95.333, 131.5034
117.199997, 95.162, 141.6041
118.000000, 95.102, 145.0366
120.599998, 95.029, 156.7887
122.000000, 95.203, 163.3297
124.099998, 95.551, 172.8058
125.000000, 95.691, 176.8055
126.500000, 95.894, -176.7468
128.000000, 96.046, -170.6855
131.500000, 96.316, -157.1631
132.000000, 96.361, -155.2797
134.000000, 96.542, -147.9609
136.000000, 96.701, -141.0113
138.000000, 96.803, -134.3236
140.000000, 96.883, -127.2925
143.000000, 96.994, -116.7397
145.000000, 97.019, -109.8539
147.500000, 97.041, -101.5651
150.000000, 97.019, -93.2613
152.500000, 96.910, -84.6701
155.000000, 96.754, -75.8996
157.500000, 96.635, -66.6881
160.000000, 96.565, -56.7072
162.500000, 96.510, -46.8546
165.000000, 96.267, -38.3123
167.500000, 95.924, -29.3559
170.000000, 95.698, -20.0183
172.500000, 95.501, -10.5442
175.000000, 95.305, -0.8489
177.500000, 95.148, 9.1174
180.000000, 95.002, 19.1444
182.500000, 94.732, 29.3208
185.000000, 94.418, 40.0232
