* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -18.2 dBFS, measurement signal peak level -12.4 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -14.4 dBFS using an acoustic timing reference
* Dated: Nov 6, 2024 10:14:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -40.8976 ms (-14.028 m, -(46 ft)) using IR start time relative to Acoustic reference played from HEADPHONE L with no timing offset
* Measurement: Classic Passive L2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 36.133, 141.5014
1.015000, 36.273, 139.0635
1.030000, 36.423, 136.6268
1.044000, 36.572, 134.3593
1.060000, 36.756, 131.7826
1.075000, 36.940, 129.3877
1.090000, 37.136, 127.0214
1.106000, 37.362, 124.5508
1.120000, 37.574, 122.4659
1.138000, 37.870, 119.9122
1.150000, 38.080, 118.2900
1.172000, 38.488, 115.4783
1.180000, 38.644, 114.5060
1.206000, 39.173, 111.5202
1.220000, 39.471, 110.0163
1.241000, 39.931, 107.8855
1.250000, 40.132, 107.0154
1.265000, 40.473, 105.6187
1.280000, 40.818, 104.2847
1.315000, 41.635, 101.3911
1.320000, 41.752, 101.0005
1.340000, 42.221, 99.4896
1.360000, 42.686, 98.0547
1.380000, 43.145, 96.6884
1.400000, 43.594, 95.3841
1.430000, 44.244, 93.5314
1.450000, 44.657, 92.3599
1.475000, 45.152, 90.9774
1.500000, 45.635, 89.7198
1.525000, 46.113, 88.5876
1.550000, 46.585, 87.5604
1.575000, 47.052, 86.6184
1.600000, 47.514, 85.7455
1.625000, 47.970, 84.9276
1.650000, 48.421, 84.1532
1.675000, 48.867, 83.4128
1.700000, 49.306, 82.6987
1.725000, 49.740, 82.0043
1.750000, 50.167, 81.3244
1.775000, 50.589, 80.6549
1.800000, 51.004, 79.9931
1.825000, 51.413, 79.3418
1.850000, 51.815, 78.7209
1.875000, 52.209, 78.1530
1.900000, 52.596, 77.6366
1.925000, 52.977, 77.1610
1.950000, 53.351, 76.7153
1.975000, 53.719, 76.2905
2.000000, 54.082, 75.8787
2.030000, 54.511, 75.3922
2.060000, 54.933, 74.9053
2.090000, 55.349, 74.4102
2.120000, 55.760, 73.9006
2.140000, 56.031, 73.5507
2.180000, 56.569, 72.8251
2.200000, 56.835, 72.4564
2.240000, 57.360, 71.7548
2.270000, 57.747, 71.2744
2.300000, 58.128, 70.8238
2.330000, 58.503, 70.3912
2.360000, 58.873, 69.9661
2.400000, 59.357, 69.3953
2.430000, 59.715, 68.9544
2.470000, 60.186, 68.3380
2.500000, 60.534, 67.8476
2.540000, 60.992, 67.1518
2.580000, 61.444, 66.4252
2.620000, 61.888, 65.7166
2.650000, 62.215, 65.2064
2.690000, 62.645, 64.5448
2.720000, 62.962, 64.0540
2.760000, 63.379, 63.3954
2.800000, 63.788, 62.7202
2.850000, 64.290, 61.8361
2.900000, 64.781, 60.8925
2.950000, 65.261, 59.8972
3.000000, 65.731, 58.8994
3.040000, 66.098, 58.1129
3.070000, 66.369, 57.5272
3.110000, 66.724, 56.7469
3.150000, 67.073, 55.9612
3.200000, 67.499, 54.9610
3.250000, 67.915, 53.9291
3.300000, 68.321, 52.8590
3.350000, 68.717, 51.7650
3.400000, 69.103, 50.6669
3.450000, 69.478, 49.5712
3.500000, 69.843, 48.4781
3.550000, 70.198, 47.3845
3.600000, 70.545, 46.2852
3.650000, 70.882, 45.1734
3.700000, 71.210, 44.0437
3.750000, 71.528, 42.8995
3.820000, 71.957, 41.2921
3.870000, 72.252, 40.1508
3.950000, 72.708, 38.3478
4.000000, 72.982, 37.2347
4.060000, 73.300, 35.8999
4.120000, 73.606, 34.5510
4.180000, 73.900, 33.1974
4.250000, 74.228, 31.6359
4.310000, 74.498, 30.3282
4.370000, 74.758, 29.0550
4.440000, 75.050, 27.5953
4.500000, 75.288, 26.3440
4.550000, 75.479, 25.3053
4.620000, 75.736, 23.8763
4.680000, 75.947, 22.6903
4.750000, 76.184, 21.3627
4.820000, 76.412, 20.0780
4.870000, 76.567, 19.1722
4.940000, 76.776, 17.9249
5.000000, 76.949, 16.8867
5.080000, 77.171, 15.5660
5.150000, 77.360, 14.4752
5.220000, 77.542, 13.4279
5.300000, 77.741, 12.2723
5.380000, 77.935, 11.1672
5.450000, 78.102, 10.2498
5.520000, 78.267, 9.3828
5.600000, 78.452, 8.4459
5.700000, 78.680, 7.3393
5.800000, 78.907, 6.2927
5.900000, 79.135, 5.3044
6.000000, 79.365, 4.3778
6.080000, 79.550, 3.6683
6.150000, 79.713, 3.0592
6.220000, 79.877, 2.4549
6.300000, 80.066, 1.7738
6.400000, 80.306, 0.9409
6.500000, 80.546, 0.1118
6.600000, 80.787, -0.7329
6.700000, 81.028, -1.5934
6.800000, 81.269, -2.4626
6.900000, 81.508, -3.3451
7.000000, 81.742, -4.2495
7.100000, 81.973, -5.1761
7.200000, 82.199, -6.1143
7.300000, 82.419, -7.0563
7.400000, 82.632, -8.0066
7.500000, 82.838, -8.9669
7.620000, 83.077, -10.1107
7.750000, 83.324, -11.3236
7.880000, 83.558, -12.5209
8.000000, 83.764, -13.5927
8.120000, 83.962, -14.6166
8.250000, 84.166, -15.6837
8.380000, 84.363, -16.6954
8.500000, 84.539, -17.5704
8.620000, 84.709, -18.3970
8.750000, 84.890, -19.2378
8.850000, 85.028, -19.8441
9.000000, 85.231, -20.6951
9.120000, 85.392, -21.3322
9.250000, 85.566, -21.9827
9.380000, 85.739, -22.5966
9.500000, 85.898, -23.1371
9.620000, 86.057, -23.6570
9.750000, 86.227, -24.1992
9.880000, 86.387, -24.7221
10.000000, 86.523, -25.1910
10.150000, 86.680, -25.7587
10.300000, 86.826, -26.3031
10.440000, 86.954, -26.7925
10.600000, 87.095, -27.3252
10.750000, 87.226, -27.7963
10.900000, 87.354, -28.2411
11.060000, 87.488, -28.6823
11.200000, 87.602, -29.0424
11.380000, 87.744, -29.4710
11.500000, 87.838, -29.7368
11.720000, 88.008, -30.1890
11.800000, 88.069, -30.3439
12.060000, 88.270, -30.8181
12.200000, 88.378, -31.0583
12.410000, 88.536, -31.4009
12.500000, 88.602, -31.5408
12.650000, 88.710, -31.7650
12.800000, 88.813, -31.9743
13.150000, 89.040, -32.3922
13.200000, 89.071, -32.4420
13.400000, 89.195, -32.6145
13.600000, 89.316, -32.7421
13.800000, 89.438, -32.8253
14.000000, 89.561, -32.8710
14.300000, 89.747, -32.8906
14.500000, 89.875, -32.8901
14.750000, 90.037, -32.8973
15.000000, 90.200, -32.9291
15.250000, 90.365, -32.9931
15.500000, 90.523, -33.0804
15.750000, 90.670, -33.1731
16.000000, 90.805, -33.2440
16.250000, 90.929, -33.2650
16.500000, 91.047, -33.2166
16.750000, 91.162, -33.0880
17.000000, 91.282, -32.8854
17.250000, 91.408, -32.6270
17.500000, 91.543, -32.3391
17.750000, 91.685, -32.0503
18.000000, 91.831, -31.7817
18.250000, 91.977, -31.5448
18.500000, 92.120, -31.3373
18.750000, 92.257, -31.1459
19.000000, 92.387, -30.9521
19.250000, 92.510, -30.7349
19.500000, 92.627, -30.4792
19.750000, 92.740, -30.1780
20.000000, 92.853, -29.8328
20.299999, 92.988, -29.3747
20.600000, 93.126, -28.8902
20.900000, 93.264, -28.3992
21.200001, 93.398, -27.9104
21.400000, 93.485, -27.5836
21.799999, 93.648, -26.9102
22.000000, 93.725, -26.5540
22.400000, 93.875, -25.7870
22.700001, 93.986, -25.1650
23.000000, 94.098, -24.5156
23.299999, 94.213, -23.8553
23.600000, 94.329, -23.1988
24.000000, 94.482, -22.3409
24.299999, 94.594, -21.7076
24.700001, 94.737, -20.8610
25.000000, 94.839, -20.2133
25.400000, 94.970, -19.3217
25.799999, 95.096, -18.3929
26.200001, 95.217, -17.4219
26.500000, 95.306, -16.6625
26.900000, 95.425, -15.6084
27.200001, 95.515, -14.7930
27.600000, 95.637, -13.6924
28.000000, 95.758, -12.5962
28.500000, 95.897, -11.2295
29.000000, 96.017, -9.8007
29.500000, 96.123, -8.2255
30.000000, 96.233, -6.4998
30.400000, 96.327, -5.0698
30.700001, 96.399, -3.9978
31.100000, 96.488, -2.5601
31.500000, 96.561, -1.0414
32.000000, 96.641, 1.1407
32.500000, 96.754, 3.7322
33.000000, 96.955, 6.5460
33.500000, 97.261, 9.1421
34.000000, 97.629, 11.1385
34.500000, 97.989, 12.4581
35.000000, 98.288, 13.3080
35.500000, 98.514, 13.9838
36.000000, 98.683, 14.6989
36.500000, 98.818, 15.5298
37.000000, 98.932, 16.4667
37.500000, 99.025, 17.5001
38.200001, 99.124, 19.1633
38.700001, 99.184, 20.5465
39.500000, 99.283, 23.0627
40.000000, 99.353, 24.7772
40.599998, 99.447, 26.9458
41.200001, 99.557, 29.1891
41.799999, 99.682, 31.4311
42.500000, 99.830, 34.0050
43.099998, 99.957, 36.2160
43.700001, 100.093, 38.4272
44.400002, 100.266, 40.8897
45.000000, 100.409, 42.8385
45.500000, 100.513, 44.3889
46.200001, 100.640, 46.5443
46.799999, 100.744, 48.3918
47.500000, 100.857, 50.4998
48.200001, 100.948, 52.5709
48.700001, 100.996, 54.0863
49.400002, 101.043, 56.3447
50.000000, 101.077, 58.4386
50.799999, 101.132, 61.4074
51.500000, 101.192, 64.0739
52.200001, 101.257, 66.7219
53.000000, 101.322, 69.6927
53.799999, 101.364, 72.6808
54.500000, 101.391, 75.4010
55.200001, 101.428, 78.1933
56.000000, 101.482, 81.3466
57.000000, 101.545, 85.2134
58.000000, 101.602, 89.0559
59.000000, 101.635, 92.8572
60.000000, 101.635, 96.8718
60.799999, 101.644, 100.2626
61.500000, 101.657, 103.2374
62.200001, 101.659, 106.2295
63.000000, 101.647, 109.7721
64.000000, 101.639, 114.3842
65.000000, 101.638, 119.0703
66.000000, 101.636, 123.8690
67.000000, 101.656, 128.8405
68.000000, 101.726, 133.8810
69.000000, 101.853, 138.8174
70.000000, 102.032, 143.4919
71.000000, 102.245, 147.7089
72.000000, 102.444, 151.3473
73.000000, 102.580, 154.5052
74.000000, 102.626, 157.3480
75.000000, 102.561, 160.0857
76.199997, 102.341, 163.6446
77.500000, 101.989, 168.1913
78.800003, 101.589, 173.6003
80.000000, 101.229, 179.3394
81.199997, 100.909, -174.3188
82.500000, 100.631, -166.9650
83.800003, 100.423, -159.4860
85.000000, 100.257, -152.6198
86.199997, 100.121, -145.7701
87.500000, 100.016, -138.5455
88.500000, 99.947, -133.1736
90.000000, 99.812, -125.2650
91.199997, 99.671, -118.6479
92.500000, 99.542, -111.2555
93.800003, 99.412, -103.9777
95.000000, 99.262, -97.3680
96.199997, 99.082, -90.7922
97.500000, 98.864, -83.6933
98.800003, 98.612, -76.5887
100.000000, 98.335, -69.8992
101.500000, 97.939, -61.1864
103.000000, 97.504, -52.0234
104.400002, 97.078, -43.0256
106.000000, 96.578, -32.0846
107.500000, 96.138, -21.1336
109.000000, 95.752, -9.7787
110.599998, 95.407, 2.6882
112.000000, 95.182, 13.8944
113.800003, 95.002, 28.6497
115.000000, 94.928, 38.5883
117.199997, 94.819, 56.6686
118.000000, 94.783, 63.1641
120.599998, 94.915, 83.9692
122.000000, 95.108, 94.1785
124.099998, 95.400, 109.5847
125.000000, 95.532, 116.2154
126.500000, 95.729, 127.1487
128.000000, 95.899, 137.8132
131.500000, 96.251, 161.7061
132.000000, 96.306, 165.0710
134.000000, 96.532, 178.4302
136.000000, 96.741, -168.4641
138.000000, 96.886, -155.6422
140.000000, 96.971, -142.6837
143.000000, 97.071, -123.1429
145.000000, 97.112, -110.2268
147.500000, 97.141, -94.2217
150.000000, 97.106, -78.1085
152.500000, 97.013, -61.8199
155.000000, 96.893, -45.4272
157.500000, 96.753, -28.6285
160.000000, 96.558, -11.2656
162.500000, 96.362, 6.3729
165.000000, 96.202, 23.2809
167.500000, 96.013, 40.1774
170.000000, 95.838, 57.4594
172.500000, 95.629, 75.0488
175.000000, 95.421, 93.0013
177.500000, 95.261, 111.1179
180.000000, 95.128, 129.2497
182.500000, 94.947, 147.4794
185.000000, 94.739, 166.0598
187.500000, 94.551, -175.4423
190.000000, 94.372, -157.0361
192.500000, 94.193, -138.5402
195.000000, 94.005, -119.9138
197.500000, 93.810, -101.1682
200.000000, 93.613, -82.2846
203.000000, 93.377, -59.4694
206.000000, 93.141, -36.5372
209.000000, 92.906, -13.4389
212.000000, 92.677, 9.7957
214.000000, 92.529, 25.3385
218.000000, 92.226, 56.5978
220.000000, 92.075, 72.3419
224.000000, 91.785, 103.9752
227.000000, 91.570, 127.7871
230.000000, 91.363, 151.6973
233.000000, 91.164, 175.7472
236.000000, 90.954, -160.0240
240.000000, 90.671, -127.5707
243.000000, 90.492, -103.3223
247.000000, 90.266, -70.8113
250.000000, 90.095, -46.2357
254.000000, 89.863, -13.2930
258.000000, 89.613, 19.8497
262.000000, 89.364, 53.0793
265.000000, 89.191, 78.1853
269.000000, 88.977, 111.8864
272.000000, 88.818, 137.2319
276.000000, 88.611, 171.3419
280.000000, 88.415, -154.2645
285.000000, 88.215, -111.0033
290.000000, 88.103, -67.5068
295.000000, 88.076, -24.1365
300.000000, 88.072, 19.0573
304.000000, 88.051, 53.7997
307.000000, 88.025, 79.9998
311.000000, 88.018, 115.1785
315.000000, 88.097, 150.5089
320.000000, 88.332, -165.7521
325.000000, 88.604, -122.9755
330.000000, 88.764, -80.9192
335.000000, 88.800, -38.8638
340.000000, 88.767, 3.6228
345.000000, 88.702, 46.5286
350.000000, 88.630, 89.7734
355.000000, 88.578, 133.3574
360.000000, 88.556, 177.1572
365.000000, 88.557, -138.9897
370.000000, 88.561, -95.0974
375.000000, 88.565, -51.0745
382.000000, 88.604, 10.8062
387.000000, 88.663, 55.0000
395.000000, 88.756, 125.6228
400.000000, 88.802, 169.8301
406.000000, 88.848, -137.0623
412.000000, 88.884, -83.8154
418.000000, 88.929, -30.4170
425.000000, 88.983, 31.9756
431.000000, 89.018, 85.5437
437.000000, 89.051, 139.2534
444.000000, 89.088, -157.9182
450.000000, 89.120, -103.9453
455.000000, 89.148, -58.8706
462.000000, 89.190, 4.4189
468.000000, 89.237, 58.8164
475.000000, 89.311, 122.3284
482.000000, 89.391, -174.1157
487.000000, 89.439, -128.7046
494.000000, 89.495, -65.0618
500.000000, 89.532, -10.3770
508.000000, 89.565, 62.7214
515.000000, 89.587, 126.8511
522.000000, 89.604, -168.8398
530.000000, 89.621, -95.1477
538.000000, 89.636, -21.2410
545.000000, 89.645, 43.6516
552.000000, 89.652, 108.7183
560.000000, 89.660, -176.7190
570.000000, 89.674, -83.2246
580.000000, 89.700, 10.6230
590.000000, 89.741, 104.7617
600.000000, 89.791, -160.8857
608.000000, 89.826, -85.2188
615.000000, 89.853, -18.8486
622.000000, 89.882, 47.6846
630.000000, 89.923, 123.9155
640.000000, 89.986, -140.4854
650.000000, 90.062, -44.6792
660.000000, 90.156, 51.3853
