* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -23.0 dBFS, measurement signal peak level -14.3 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -14.4 dBFS using an acoustic timing reference
* Dated: Nov 5, 2024 9:02:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -2.6627 ms (-913 mm, -(2 ft 11.96 in)) using IR start time relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: -889.4 ppm
* Measurement: Classical ANC R2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 40.075, 48.0012
1.015000, 40.105, 49.9368
1.030000, 40.131, 51.8980
1.044000, 40.152, 53.7425
1.060000, 40.170, 55.8550
1.075000, 40.184, 57.8281
1.090000, 40.207, 59.7826
1.106000, 40.296, 61.8377
1.120000, 40.445, 63.6086
1.138000, 40.678, 65.8436
1.150000, 40.848, 67.3030
1.172000, 41.189, 69.9030
1.180000, 41.321, 70.8211
1.206000, 41.776, 73.6901
1.220000, 42.037, 75.1554
1.241000, 42.444, 77.2389
1.250000, 42.624, 78.0877
1.265000, 42.930, 79.4412
1.280000, 43.242, 80.7163
1.315000, 43.989, 83.3787
1.320000, 44.097, 83.7230
1.340000, 44.530, 85.0102
1.360000, 44.962, 86.1550
1.380000, 45.392, 87.1602
1.400000, 45.814, 88.0301
1.430000, 46.428, 89.0924
1.450000, 46.821, 89.6500
1.475000, 47.295, 90.2155
1.500000, 47.766, 90.7094
1.525000, 48.239, 91.1576
1.550000, 48.714, 91.5531
1.575000, 49.190, 91.8876
1.600000, 49.666, 92.1550
1.625000, 50.140, 92.3512
1.650000, 50.611, 92.4735
1.675000, 51.077, 92.5206
1.700000, 51.538, 92.4920
1.725000, 51.992, 92.3880
1.750000, 52.437, 92.2093
1.775000, 52.873, 91.9572
1.800000, 53.297, 91.6339
1.825000, 53.710, 91.2464
1.850000, 54.111, 90.8192
1.875000, 54.503, 90.3817
1.900000, 54.885, 89.9413
1.925000, 55.259, 89.4955
1.950000, 55.626, 89.0411
1.975000, 55.985, 88.5750
2.000000, 56.336, 88.0948
2.030000, 56.750, 87.4965
2.060000, 57.155, 86.8713
2.090000, 57.551, 86.2162
2.120000, 57.941, 85.5291
2.140000, 58.197, 85.0522
2.180000, 58.700, 84.0527
2.200000, 58.948, 83.5333
2.240000, 59.432, 82.4796
2.270000, 59.785, 81.6889
2.300000, 60.129, 80.8998
2.330000, 60.466, 80.1118
2.360000, 60.795, 79.3240
2.400000, 61.222, 78.2721
2.430000, 61.536, 77.4806
2.470000, 61.946, 76.4194
2.500000, 62.247, 75.6175
2.540000, 62.643, 74.5385
2.580000, 63.030, 73.4492
2.620000, 63.407, 72.3583
2.650000, 63.683, 71.5432
