* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -22.5 dBFS, measurement signal peak level -13.7 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -14.4 dBFS using an acoustic timing reference
* Dated: Nov 5, 2024 11:27:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -1.0713 ms (-367 mm, -(1 ft 2.47 in)) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: -355.7 ppm
* Measurement: Classical ANC R4
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 30.928, -2.4449
1.015000, 30.529, 6.1632
1.030000, 30.199, 18.1568
1.044000, 29.960, 32.4905
1.060000, 29.778, 50.6063
1.075000, 29.704, 65.9776
1.090000, 29.730, 77.8532
1.106000, 29.878, 86.8584
1.120000, 30.112, 92.5070
1.138000, 30.547, 97.7478
1.150000, 30.915, 100.3538
1.172000, 31.735, 103.8780
1.180000, 32.076, 104.8587
1.206000, 33.319, 107.2661
1.220000, 34.063, 108.1847
1.241000, 35.257, 109.2021
1.250000, 35.792, 109.5301
1.265000, 36.709, 109.9583
1.280000, 37.650, 110.2596
1.315000, 39.891, 110.5697
1.320000, 40.211, 110.5766
1.340000, 41.482, 110.5261
1.360000, 42.721, 110.3650
1.380000, 43.906, 110.1086
1.400000, 45.021, 109.7690
1.430000, 46.515, 109.1248
1.450000, 47.371, 108.6188
1.475000, 48.283, 107.9335
1.500000, 49.079, 107.2511
1.525000, 49.795, 106.5912
1.550000, 50.443, 105.9458
1.575000, 51.030, 105.3058
1.600000, 51.564, 104.6636
1.625000, 52.052, 104.0133
1.650000, 52.503, 103.3501
1.675000, 52.925, 102.6701
1.700000, 53.326, 101.9702
1.725000, 53.713, 101.2478
1.750000, 54.094, 100.5010
1.775000, 54.477, 99.7282
1.800000, 54.870, 98.9285
1.825000, 55.277, 98.1043
1.850000, 55.690, 97.2701
1.875000, 56.093, 96.4446
1.900000, 56.483, 95.6327
1.925000, 56.859, 94.8331
1.950000, 57.222, 94.0432
1.975000, 57.574, 93.2609
2.000000, 57.916, 92.4840
2.030000, 58.314, 91.5560
2.060000, 58.702, 90.6294
2.090000, 59.080, 89.7014
2.120000, 59.452, 88.7692
2.140000, 59.697, 88.1441
2.180000, 60.182, 86.8831
2.200000, 60.422, 86.2486
2.240000, 60.893, 84.9860
2.270000, 61.235, 84.0520
2.300000, 61.568, 83.1297
2.330000, 61.893, 82.2183
2.360000, 62.210, 81.3164
2.400000, 62.622, 80.1264
2.430000, 62.924, 79.2417
2.470000, 63.318, 78.0697
2.500000, 63.609, 77.1946
2.540000, 63.991, 76.0308
2.580000, 64.367, 74.8715
2.620000, 64.734, 73.7236
2.650000, 65.002, 72.8728
2.690000, 65.352, 71.7520
2.720000, 65.608, 70.9211
2.760000, 65.943, 69.8252
2.800000, 66.270, 68.7416
2.850000, 66.672, 67.4022
2.900000, 67.065, 66.0764
2.950000, 67.451, 64.7637
3.000000, 67.826, 63.4687
3.040000, 68.120, 62.4471
3.070000, 68.336, 61.6891
3.110000, 68.618, 60.6887
3.150000, 68.896, 59.6991
3.200000, 69.237, 58.4758
3.250000, 69.571, 57.2657
3.300000, 69.900, 56.0674
3.350000, 70.222, 54.8830
3.400000, 70.537, 53.7145
3.450000, 70.845, 52.5615
3.500000, 71.147, 51.4223
3.550000, 71.443, 50.2953
3.600000, 71.733, 49.1784
3.650000, 72.019, 48.0699
3.700000, 72.300, 46.9701
3.750000, 72.576, 45.8806
3.820000, 72.952, 44.3740
3.870000, 73.215, 43.3106
3.950000, 73.625, 41.6289
4.000000, 73.876, 40.5882
4.060000, 74.171, 39.3475
4.120000, 74.459, 38.1153
4.180000, 74.741, 36.8937
4.250000, 75.061, 35.4849
4.310000, 75.329, 34.2929
4.370000, 75.590, 33.1148
4.440000, 75.887, 31.7535
4.500000, 76.135, 30.5942
4.550000, 76.337, 29.6354
4.620000, 76.613, 28.3096
4.680000, 76.843, 27.1923
4.750000, 77.104, 25.9132
4.820000, 77.358, 24.6537
4.870000, 77.534, 23.7623
4.940000, 77.775, 22.5291
5.000000, 77.975, 21.4913
5.080000, 78.235, 20.1429
5.150000, 78.456, 18.9971
5.220000, 78.670, 17.8746
5.300000, 78.907, 16.6177
5.380000, 79.137, 15.3960
5.450000, 79.334, 14.3621
5.520000, 79.526, 13.3623
5.600000, 79.740, 12.2540
5.700000, 79.999, 10.9159
5.800000, 80.252, 9.6346
5.900000, 80.500, 8.4140
6.000000, 80.743, 7.2484
6.080000, 80.934, 6.3507
6.150000, 81.100, 5.5887
6.220000, 81.264, 4.8479
6.300000, 81.450, 4.0271
6.400000, 81.681, 3.0372
6.500000, 81.910, 2.0801
6.600000, 82.137, 1.1496
6.700000, 82.363, 0.2447
6.800000, 82.587, -0.6357
6.900000, 82.809, -1.4973
7.000000, 83.030, -2.3439
7.100000, 83.249, -3.1750
7.200000, 83.466, -3.9915
7.300000, 83.681, -4.7955
7.400000, 83.894, -5.5879
7.500000, 84.105, -6.3687
7.620000, 84.356, -7.2912
7.750000, 84.624, -8.2741
7.880000, 84.889, -9.2402
8.000000, 85.130, -10.1200
8.120000, 85.370, -10.9907
8.250000, 85.626, -11.9235
8.380000, 85.880, -12.8496
8.500000, 86.110, -13.7017
8.620000, 86.338, -14.5505
8.750000, 86.580, -15.4662
8.850000, 86.763, -16.1690
9.000000, 87.032, -17.2191
9.120000, 87.241, -18.0488
9.250000, 87.462, -18.9346
9.380000, 87.676, -19.8045
9.500000, 87.869, -20.5832
9.620000, 88.057, -21.3346
9.750000, 88.254, -22.1170
9.880000, 88.441, -22.8582
10.000000, 88.600, -23.5022
10.150000, 88.787, -24.2566
10.300000, 88.968, -24.9553
10.440000, 89.134, -25.5593
10.600000, 89.326, -26.2081
10.750000, 89.515, -26.7861
10.900000, 89.710, -27.3453
11.060000, 89.924, -27.9408
11.200000, 90.115, -28.4657
11.380000, 90.364, -29.1579
11.500000, 90.531, -29.6339
11.720000, 90.838, -30.5316
11.800000, 90.950, -30.8654
12.060000, 91.314, -31.9647
12.200000, 91.510, -32.5570
12.410000, 91.804, -33.4384
12.500000, 91.930, -33.8113
12.650000, 92.139, -34.4259
12.800000, 92.350, -35.0356
13.150000, 92.849, -36.4595
13.200000, 92.921, -36.6668
13.400000, 93.216, -37.5120
13.600000, 93.514, -38.3933
13.800000, 93.815, -39.3167
14.000000, 94.115, -40.2820
14.300000, 94.561, -41.7973
14.500000, 94.854, -42.8409
14.750000, 95.218, -44.1726
15.000000, 95.585, -45.5330
15.250000, 95.958, -46.9328
15.500000, 96.338, -48.3949
15.750000, 96.721, -49.9434
16.000000, 97.106, -51.6012
16.250000, 97.488, -53.3816
16.500000, 97.864, -55.2863
16.750000, 98.232, -57.3109
17.000000, 98.590, -59.4464
17.250000, 98.938, -61.6853
17.500000, 99.273, -64.0240
17.750000, 99.595, -66.4624
18.000000, 99.901, -69.0009
18.250000, 100.189, -71.6376
18.500000, 100.456, -74.3647
18.750000, 100.701, -77.1662
19.000000, 100.920, -80.0216
19.250000, 101.113, -82.9039
19.500000, 101.281, -85.7876
19.750000, 101.423, -88.6511
20.000000, 101.543, -91.4773
20.299999, 101.660, -94.8070
20.600000, 101.751, -98.0643
20.900000, 101.819, -101.2491
21.200001, 101.862, -104.3600
21.400000, 101.878, -106.3892
21.799999, 101.876, -110.3227
22.000000, 101.860, -112.2166
22.400000, 101.801, -115.8344
22.700001, 101.737, -118.3869
23.000000, 101.658, -120.7967
23.299999, 101.568, -123.0642
23.600000, 101.467, -125.1901
24.000000, 101.321, -127.8007
24.299999, 101.204, -129.5870
24.700001, 101.046, -131.7438
25.000000, 100.929, -133.2081
