* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -11.6 dBFS, measurement signal peak level -7.6 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -14.4 dBFS using an acoustic timing reference
* Dated: Nov 6, 2024 9:57:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -0.3492 ms (-120 mm, -4.72 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset Clock adjustment: -9.6 ppm
* Measurement: Electronic ANC L2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 33.858, 97.6830
1.015000, 33.832, 102.1356
1.030000, 33.809, 106.7437
1.044000, 33.791, 111.1216
1.060000, 33.775, 116.1307
1.075000, 33.768, 120.7343
1.090000, 33.794, 125.0210
1.106000, 33.978, 128.4692
1.120000, 34.300, 130.5159
1.138000, 34.821, 132.7446
1.150000, 35.214, 134.0978
1.172000, 36.017, 136.3082
1.180000, 36.333, 137.0212
1.206000, 37.434, 138.9981
1.220000, 38.068, 139.8497
1.241000, 39.061, 140.8590
1.250000, 39.500, 141.1969
1.265000, 40.245, 141.6401
1.280000, 41.002, 141.9399
1.315000, 42.791, 142.1251
1.320000, 43.046, 142.0967
1.340000, 44.060, 141.8570
1.360000, 45.053, 141.4266
1.380000, 46.014, 140.8202
1.400000, 46.931, 140.0516
1.430000, 48.202, 138.6237
1.450000, 48.965, 137.5130
1.475000, 49.826, 136.0358
1.500000, 50.617, 134.6363
1.525000, 51.361, 133.3654
1.550000, 52.063, 132.1902
1.575000, 52.727, 131.0758
1.600000, 53.357, 129.9935
1.625000, 53.957, 128.9207
1.650000, 54.532, 127.8395
1.675000, 55.085, 126.7358
1.700000, 55.621, 125.5985
1.725000, 56.142, 124.4190
1.750000, 56.654, 123.1905
1.775000, 57.161, 121.9079
1.800000, 57.665, 120.5685
1.825000, 58.170, 119.1787
1.850000, 58.670, 117.7766
1.875000, 59.156, 116.4116
1.900000, 59.628, 115.0956
1.925000, 60.084, 113.8227
1.950000, 60.527, 112.5846
1.975000, 60.957, 111.3733
2.000000, 61.376, 110.1812
2.030000, 61.865, 108.7659
2.060000, 62.341, 107.3568
2.090000, 62.805, 105.9435
2.120000, 63.261, 104.5171
2.140000, 63.560, 103.5548
2.180000, 64.150, 101.5960
2.200000, 64.441, 100.6020
2.240000, 65.010, 98.6205
2.270000, 65.422, 97.1611
2.300000, 65.823, 95.7287
2.330000, 66.213, 94.3223
2.360000, 66.593, 92.9397
2.400000, 67.086, 91.1273
2.430000, 67.446, 89.7867
2.470000, 67.914, 88.0162
2.500000, 68.258, 86.6954
2.540000, 68.708, 84.9362
2.580000, 69.148, 83.1744
2.620000, 69.575, 81.4182
2.650000, 69.885, 80.1124
2.690000, 70.288, 78.3929
2.720000, 70.582, 77.1221
2.760000, 70.964, 75.4548
2.800000, 71.335, 73.8187
