* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -10.5 dBFS, measurement signal peak level -7.9 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -14.4 dBFS using an acoustic timing reference
* Dated: Nov 6, 2024 10:38:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -1.8913 ms (-649 mm, -(2 ft 1.54 in)) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset Clock adjustment: -809.0 ppm
* Measurement: Electronic ANC L3
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 40.885, 138.0592
1.015000, 41.267, 137.3068
1.030000, 41.646, 136.5316
1.044000, 42.000, 135.7878
1.060000, 42.404, 134.9148
1.075000, 42.784, 134.0754
1.090000, 43.166, 133.2206
1.106000, 43.574, 132.3154
1.120000, 43.927, 131.5649
1.138000, 44.373, 130.6724
1.150000, 44.666, 130.1171
1.172000, 45.193, 129.1644
1.180000, 45.382, 128.8348
1.206000, 45.984, 127.8085
1.220000, 46.302, 127.2765
1.241000, 46.772, 126.4943
1.250000, 46.970, 126.1624
1.265000, 47.298, 125.6108
1.280000, 47.621, 125.0585
1.315000, 48.361, 123.7530
1.320000, 48.465, 123.5635
1.340000, 48.879, 122.7953
1.360000, 49.287, 122.0091
1.380000, 49.691, 121.2025
1.400000, 50.090, 120.3741
1.430000, 50.684, 119.0892
1.450000, 51.076, 118.2064
1.475000, 51.562, 117.0989
1.500000, 52.039, 116.0462
1.525000, 52.508, 115.0635
1.550000, 52.967, 114.1356
1.575000, 53.418, 113.2466
1.600000, 53.861, 112.3828
1.625000, 54.296, 111.5327
1.650000, 54.724, 110.6869
1.675000, 55.145, 109.8373
1.700000, 55.560, 108.9777
1.725000, 55.969, 108.1027
1.750000, 56.374, 107.2082
1.775000, 56.773, 106.2910
1.800000, 57.168, 105.3494
1.825000, 57.560, 104.3872
1.850000, 57.946, 103.4270
1.875000, 58.326, 102.4967
1.900000, 58.700, 101.6003
1.925000, 59.068, 100.7315
1.950000, 59.430, 99.8832
1.975000, 59.786, 99.0491
2.000000, 60.137, 98.2235
2.030000, 60.552, 97.2370
2.060000, 60.960, 96.2482
2.090000, 61.362, 95.2507
2.120000, 61.758, 94.2391
2.140000, 62.020, 93.5548
2.180000, 62.535, 92.1602
2.200000, 62.790, 91.4541
2.240000, 63.290, 90.0588
2.270000, 63.658, 89.0415
2.300000, 64.020, 88.0466
2.330000, 64.375, 87.0689
2.360000, 64.724, 86.1032
2.400000, 65.181, 84.8260
2.430000, 65.518, 83.8705
2.470000, 65.959, 82.5920
2.500000, 66.285, 81.6255
2.540000, 66.713, 80.3223
2.580000, 67.134, 79.0088
2.620000, 67.546, 77.7092
2.650000, 67.849, 76.7503
2.690000, 68.245, 75.4909
2.720000, 68.537, 74.5579
2.760000, 68.919, 73.3250
2.800000, 69.293, 72.1000
2.850000, 69.752, 70.5722
2.900000, 70.201, 69.0399
2.950000, 70.640, 67.5030
3.000000, 71.068, 65.9783
3.040000, 71.402, 64.7740
3.070000, 71.649, 63.8796
3.110000, 71.971, 62.6982
3.150000, 72.288, 61.5276
3.200000, 72.675, 60.0764
3.250000, 73.054, 58.6342
3.300000, 73.425, 57.1971
3.350000, 73.787, 55.7670
3.400000, 74.140, 54.3495
3.450000, 74.484, 52.9478
3.500000, 74.820, 51.5634
3.550000, 75.148, 50.1964
3.600000, 75.469, 48.8456
3.650000, 75.783, 47.5089
3.700000, 76.090, 46.1825
3.750000, 76.390, 44.8653
3.820000, 76.797, 43.0424
3.870000, 77.079, 41.7599
3.950000, 77.518, 39.7476
4.000000, 77.784, 38.5154
4.060000, 78.097, 37.0579
4.120000, 78.400, 35.6159
4.180000, 78.695, 34.1913
4.250000, 79.029, 32.5591
4.310000, 79.307, 31.1913
4.370000, 79.578, 29.8548
4.440000, 79.887, 28.3290
4.500000, 80.143, 27.0413
4.550000, 80.351, 25.9831
4.620000, 80.636, 24.5300
4.680000, 80.873, 23.3154
4.750000, 81.144, 21.9377
4.820000, 81.409, 20.5966
4.870000, 81.593, 19.6561
4.940000, 81.844, 18.3644
5.000000, 82.055, 17.2832
5.080000, 82.330, 15.8834
5.150000, 82.566, 14.6985
5.220000, 82.797, 13.5457
5.300000, 83.055, 12.2626
5.380000, 83.307, 11.0167
5.450000, 83.524, 9.9576
5.520000, 83.738, 8.9279
5.600000, 83.979, 7.7842
5.700000, 84.274, 6.3984
5.800000, 84.564, 5.0552
5.900000, 84.851, 3.7510
6.000000, 85.133, 2.4855
6.080000, 85.355, 1.4966
6.150000, 85.548, 0.6450
6.220000, 85.738, -0.1962
6.300000, 85.954, -1.1448
6.400000, 86.220, -2.3110
6.500000, 86.482, -3.4589
6.600000, 86.739, -4.5934
6.700000, 86.992, -5.7164
6.800000, 87.240, -6.8261
6.900000, 87.484, -7.9214
7.000000, 87.721, -9.0031
7.100000, 87.953, -10.0734
7.200000, 88.180, -11.1287
7.300000, 88.402, -12.1639
7.400000, 88.618, -13.1794
7.500000, 88.828, -14.1773
7.620000, 89.075, -15.3453
7.750000, 89.335, -16.5681
7.880000, 89.587, -17.7500
8.000000, 89.816, -18.8044
8.120000, 90.040, -19.8212
8.250000, 90.280, -20.8835
8.380000, 90.516, -21.9114
8.500000, 90.733, -22.8321
8.620000, 90.948, -23.7280
8.750000, 91.179, -24.6794
8.850000, 91.356, -25.4016
9.000000, 91.620, -26.4698
9.120000, 91.830, -27.3171
9.250000, 92.054, -28.2321
9.380000, 92.275, -29.1431
9.500000, 92.477, -29.9801
9.620000, 92.676, -30.8140
9.750000, 92.886, -31.7119
9.880000, 93.084, -32.5987
