* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -12.1 dBFS, measurement signal peak level -7.8 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -14.4 dBFS using an acoustic timing reference
* Dated: Nov 6, 2024 10:39:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -0.2519 ms (-86 mm, -3.4 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset Clock adjustment: -101.9 ppm
* Measurement: Electronic Ambient L3
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 39.171, 154.1859
1.015000, 39.365, 153.0728
1.030000, 39.562, 151.9402
1.044000, 39.748, 150.8658
1.060000, 39.964, 149.6181
1.075000, 40.168, 148.4304
1.090000, 40.375, 147.2288
1.106000, 40.599, 145.9489
1.120000, 40.799, 144.8568
1.138000, 41.063, 143.5056
1.150000, 41.242, 142.6361
1.172000, 41.579, 141.0984
1.180000, 41.703, 140.5552
1.206000, 42.114, 138.8388
1.220000, 42.340, 137.9409
1.241000, 42.682, 136.6213
1.250000, 42.830, 136.0641
1.265000, 43.079, 135.1446
1.280000, 43.329, 134.2344
1.315000, 43.918, 132.1365
1.320000, 44.002, 131.8389
1.340000, 44.341, 130.6514
1.360000, 44.679, 129.4671
1.380000, 45.017, 128.2839
1.400000, 45.352, 127.1003
1.430000, 45.851, 125.3228
1.450000, 46.180, 124.1381
1.475000, 46.586, 122.6802
1.500000, 46.993, 121.3013
1.525000, 47.401, 120.0135
1.550000, 47.811, 118.8012
1.575000, 48.221, 117.6473
1.600000, 48.632, 116.5374
1.625000, 49.042, 115.4587
1.650000, 49.451, 114.4010
1.675000, 49.858, 113.3553
1.700000, 50.263, 112.3144
1.725000, 50.665, 111.2724
1.750000, 51.063, 110.2247
1.775000, 51.457, 109.1675
1.800000, 51.846, 108.0990
1.825000, 52.229, 107.0233
1.850000, 52.608, 105.9650
1.875000, 52.983, 104.9531
1.900000, 53.356, 103.9897
1.925000, 53.725, 103.0657
1.950000, 54.091, 102.1716
1.975000, 54.454, 101.2987
2.000000, 54.813, 100.4398
2.030000, 55.240, 99.4184
2.060000, 55.662, 98.3984
2.090000, 56.079, 97.3720
2.120000, 56.491, 96.3329
2.140000, 56.763, 95.6306
2.180000, 57.299, 94.2012
2.200000, 57.563, 93.4799
2.240000, 58.085, 92.0674
2.270000, 58.470, 91.0503
2.300000, 58.849, 90.0638
2.330000, 59.224, 89.0993
2.360000, 59.593, 88.1493
2.400000, 60.078, 86.8927
2.430000, 60.436, 85.9501
2.470000, 60.906, 84.6834
2.500000, 61.254, 83.7203
2.540000, 61.710, 82.4139
2.580000, 62.158, 81.0923
2.620000, 62.597, 79.7897
2.650000, 62.921, 78.8336
2.690000, 63.345, 77.5816
2.720000, 63.658, 76.6551
2.760000, 64.068, 75.4294
2.800000, 64.470, 74.2074
2.850000, 64.963, 72.6739
2.900000, 65.445, 71.1227
