* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -12.5 dBFS, measurement signal peak level -7.6 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -14.4 dBFS using an acoustic timing reference
* Dated: Nov 6, 2024 9:32:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -0.7183 ms (-246 mm, -9.7 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset Clock adjustment: -701.5 ppm
* Measurement: Electronic Passive L1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 37.937, 171.0055
1.015000, 38.223, 170.0670
1.030000, 38.510, 169.0663
1.044000, 38.778, 168.0776
1.060000, 39.083, 166.8850
1.075000, 39.369, 165.7096
1.090000, 39.653, 164.4875
1.106000, 39.957, 163.1701
1.120000, 40.225, 162.0626
1.138000, 40.577, 160.7310
1.150000, 40.815, 159.8957
1.172000, 41.259, 158.4528
1.180000, 41.422, 157.9513
1.206000, 41.960, 156.3837
1.220000, 42.253, 155.5682
1.241000, 42.696, 154.3663
1.250000, 42.887, 153.8553
1.265000, 43.206, 153.0051
1.280000, 43.527, 152.1522
1.315000, 44.275, 150.1295
1.320000, 44.382, 149.8351
1.340000, 44.808, 148.6398
1.360000, 45.233, 147.4128
1.380000, 45.653, 146.1506
1.400000, 46.070, 144.8507
1.430000, 46.684, 142.8283
1.450000, 47.085, 141.4352
1.475000, 47.578, 139.6846
1.500000, 48.066, 138.0199
1.525000, 48.552, 136.4699
1.550000, 49.034, 135.0145
1.575000, 49.514, 133.6302
1.600000, 49.990, 132.2966
1.625000, 50.462, 130.9958
1.650000, 50.930, 129.7127
1.675000, 51.394, 128.4347
1.700000, 51.852, 127.1512
1.725000, 52.305, 125.8536
1.750000, 52.751, 124.5348
1.775000, 53.192, 123.1892
1.800000, 53.626, 121.8135
1.825000, 54.053, 120.4125
1.850000, 54.473, 119.0181
1.875000, 54.886, 117.6709
1.900000, 55.294, 116.3782
1.925000, 55.696, 115.1322
1.950000, 56.092, 113.9236
1.975000, 56.483, 112.7436
2.000000, 56.868, 111.5840
2.030000, 57.323, 110.2092
2.060000, 57.770, 108.8420
2.090000, 58.210, 107.4725
2.120000, 58.643, 106.0923
2.140000, 58.928, 105.1625
2.180000, 59.490, 103.2747
2.200000, 59.766, 102.3210
2.240000, 60.308, 100.4361
2.270000, 60.705, 99.0622
2.300000, 61.095, 97.7218
2.330000, 61.477, 96.4100
2.360000, 61.852, 95.1212
2.400000, 62.342, 93.4292
2.430000, 62.703, 92.1728
2.470000, 63.174, 90.5045
2.500000, 63.521, 89.2524
2.540000, 63.975, 87.5741
2.580000, 64.420, 85.8878
2.620000, 64.854, 84.2157
2.650000, 65.172, 82.9798
2.690000, 65.586, 81.3579
2.720000, 65.890, 80.1603
2.760000, 66.287, 78.5862
2.800000, 66.675, 77.0343
2.850000, 67.148, 75.1182
2.900000, 67.608, 73.2186
2.950000, 68.057, 71.3273
3.000000, 68.492, 69.4480
3.040000, 68.829, 67.9607
3.070000, 69.077, 66.8575
3.110000, 69.400, 65.4052
3.150000, 69.716, 63.9753
3.200000, 70.100, 62.2196
3.250000, 70.475, 60.4971
3.300000, 70.841, 58.8018
3.350000, 71.195, 57.1225
3.400000, 71.538, 55.4574
3.450000, 71.871, 53.8143
3.500000, 72.194, 52.2006
3.550000, 72.508, 50.6218
3.600000, 72.814, 49.0811
3.650000, 73.113, 47.5783
3.700000, 73.404, 46.1039
3.750000, 73.687, 44.6476
3.820000, 74.069, 42.6431
3.870000, 74.332, 41.2433
3.950000, 74.742, 39.0727
4.000000, 74.991, 37.7637
4.060000, 75.284, 36.2377
4.120000, 75.568, 34.7473
4.180000, 75.843, 33.2888
4.250000, 76.155, 31.6313
4.310000, 76.417, 30.2526
4.370000, 76.675, 28.9151
4.440000, 76.970, 27.4057
4.500000, 77.217, 26.1493
4.550000, 77.419, 25.1252
4.620000, 77.697, 23.7234
4.680000, 77.932, 22.5488
4.750000, 78.203, 21.2087
4.820000, 78.471, 19.9025
4.870000, 78.660, 18.9901
4.940000, 78.922, 17.7366
5.000000, 79.143, 16.6787
5.080000, 79.434, 15.2832
5.150000, 79.686, 14.0730
5.220000, 79.936, 12.8767
5.300000, 80.217, 11.5267
