* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -13.7 dBFS, measurement signal peak level -11.0 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -14.4 dBFS using an acoustic timing reference
* Dated: Nov 6, 2024 10:30:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -0.0705 ms (-24 mm, -0.95 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset Clock adjustment: -84.8 ppm
* Measurement: Jazz ANC L3
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 37.274, 163.9691
1.015000, 37.746, 161.4274
1.030000, 38.212, 159.0661
1.044000, 38.640, 156.9884
1.060000, 39.115, 154.7302
1.075000, 39.546, 152.7017
1.090000, 39.959, 150.7458
1.106000, 40.388, 148.7567
1.120000, 40.765, 147.1403
1.138000, 41.260, 145.2438
1.150000, 41.597, 144.0796
1.172000, 42.226, 142.1174
1.180000, 42.459, 141.4508
1.206000, 43.223, 139.4224
1.220000, 43.639, 138.4023
1.241000, 44.267, 136.9445
1.250000, 44.536, 136.3416
1.265000, 44.986, 135.3603
1.280000, 45.435, 134.4030
1.315000, 46.472, 132.2344
1.320000, 46.618, 131.9298
1.340000, 47.199, 130.7189
1.360000, 47.768, 129.5151
1.380000, 48.323, 128.3126
1.400000, 48.862, 127.1066
1.430000, 49.634, 125.2832
1.450000, 50.121, 124.0560
1.475000, 50.698, 122.5285
1.500000, 51.245, 121.0623
1.525000, 51.767, 119.6740
1.550000, 52.267, 118.3521
1.575000, 52.746, 117.0828
1.600000, 53.206, 115.8539
1.625000, 53.650, 114.6544
1.650000, 54.080, 113.4748
1.675000, 54.497, 112.3064
1.700000, 54.903, 111.1421
1.725000, 55.302, 109.9753
1.750000, 55.693, 108.8006
1.775000, 56.081, 107.6130
1.800000, 56.466, 106.4089
1.825000, 56.850, 105.1888
1.850000, 57.231, 103.9672
1.875000, 57.603, 102.7658
1.900000, 57.965, 101.5908
1.925000, 58.319, 100.4406
1.950000, 58.665, 99.3124
1.975000, 59.003, 98.2031
2.000000, 59.333, 97.1096
2.030000, 59.721, 95.8136
