* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -15.9 dBFS, measurement signal peak level -10.9 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -14.4 dBFS using an acoustic timing reference
* Dated: Nov 7, 2024 11:51:15 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -0.1608 ms (-55 mm, -2.17 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset Clock adjustment: -126.2 ppm
* Measurement: Jazz Ambient L4
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 38.216, -161.8439
1.015000, 38.421, -163.3947
1.030000, 38.629, -164.9803
1.044000, 38.826, -166.4939
1.060000, 39.055, -168.2661
1.075000, 39.275, -169.9704
1.090000, 39.499, -171.7149
1.106000, 39.743, -173.6022
1.120000, 39.960, -175.2430
1.138000, 40.243, -177.3124
1.150000, 40.434, -178.6646
1.172000, 40.790, 178.9130
1.180000, 40.920, 178.0497
1.206000, 41.349, 175.3040
1.220000, 41.583, 173.8609
1.241000, 41.936, 171.7374
1.250000, 42.088, 170.8410
1.265000, 42.343, 169.3632
1.280000, 42.599, 167.9033
1.315000, 43.198, 164.5534
1.320000, 43.284, 164.0800
1.340000, 43.628, 162.1962
1.360000, 43.971, 160.3244
1.380000, 44.314, 158.4603
1.400000, 44.655, 156.6002
1.430000, 45.163, 153.8108
1.450000, 45.499, 151.9504
1.475000, 45.917, 149.6459
1.500000, 46.335, 147.4258
1.525000, 46.755, 145.3135
1.550000, 47.177, 143.3005
1.575000, 47.599, 141.3737
1.600000, 48.022, 139.5201
1.625000, 48.443, 137.7271
1.650000, 48.863, 135.9827
1.675000, 49.281, 134.2761
1.700000, 49.696, 132.5975
1.725000, 50.106, 130.9381
1.750000, 50.512, 129.2903
1.775000, 50.913, 127.6472
1.800000, 51.308, 126.0037
1.825000, 51.695, 124.3605
1.850000, 52.077, 122.7373
1.875000, 52.455, 121.1624
1.900000, 52.828, 119.6420
1.925000, 53.197, 118.1720
1.950000, 53.563, 116.7462
1.975000, 53.924, 115.3586
2.000000, 54.281, 114.0032
2.030000, 54.703, 112.4112
2.060000, 55.120, 110.8480
2.090000, 55.531, 109.3052
2.120000, 55.935, 107.7750
2.140000, 56.202, 106.7583
2.180000, 56.726, 104.7271
2.200000, 56.984, 103.7146
2.240000, 57.490, 101.7231
2.270000, 57.863, 100.2728
2.300000, 58.228, 98.8591
2.330000, 58.588, 97.4785
2.360000, 58.941, 96.1266
2.400000, 59.404, 94.3613
2.430000, 59.744, 93.0594
2.470000, 60.190, 91.3448
2.500000, 60.518, 90.0695
2.540000, 60.949, 88.3766
2.580000, 61.371, 86.6929
2.620000, 61.784, 85.0337
2.650000, 62.087, 83.8112
2.690000, 62.482, 82.2110
2.720000, 62.773, 81.0320
2.760000, 63.153, 79.4857
2.800000, 63.525, 77.9652
2.850000, 63.979, 76.0941
2.900000, 64.423, 74.2471
2.950000, 64.857, 72.4181
3.000000, 65.278, 70.6116
3.040000, 65.606, 69.1879
3.070000, 65.847, 68.1337
3.110000, 66.162, 66.7472
3.150000, 66.471, 65.3822
3.200000, 66.848, 63.7048
3.250000, 67.216, 62.0565
3.300000, 67.576, 60.4324
3.350000, 67.926, 58.8264
3.400000, 68.267, 57.2390
3.450000, 68.598, 55.6745
3.500000, 68.920, 54.1366
3.550000, 69.235, 52.6275
3.600000, 69.542, 51.1479
3.650000, 69.842, 49.6962
3.700000, 70.136, 48.2659
3.750000, 70.421, 46.8513
3.820000, 70.808, 44.9012
3.870000, 71.076, 43.5351
3.950000, 71.492, 41.4036
4.000000, 71.745, 40.1072
4.060000, 72.042, 38.5829
4.120000, 72.329, 37.0827
4.180000, 72.608, 35.6062
4.250000, 72.924, 33.9197
4.310000, 73.188, 32.5099
4.370000, 73.445, 31.1355
4.440000, 73.738, 29.5716
4.500000, 73.982, 28.2567
4.550000, 74.181, 27.1783
4.620000, 74.452, 25.6985
4.680000, 74.679, 24.4603
4.750000, 74.938, 23.0529
4.820000, 75.191, 21.6810
4.870000, 75.368, 20.7190
4.940000, 75.609, 19.3964
5.000000, 75.812, 18.2861
5.080000, 76.077, 16.8410
5.150000, 76.304, 15.6089
5.220000, 76.527, 14.4033
5.300000, 76.775, 13.0544
5.380000, 77.017, 11.7360
5.450000, 77.225, 10.6071
5.520000, 77.430, 9.5000
5.600000, 77.659, 8.2590
5.700000, 77.939, 6.7413
5.800000, 78.211, 5.2595
5.900000, 78.478, 3.8107
6.000000, 78.737, 2.3911
6.080000, 78.940, 1.2759
6.150000, 79.114, 0.3151
6.220000, 79.285, -0.6321
6.300000, 79.476, -1.7000
6.400000, 79.710, -3.0146
6.500000, 79.937, -4.3041
6.600000, 80.158, -5.5671
6.700000, 80.374, -6.8070
6.800000, 80.583, -8.0250
6.900000, 80.786, -9.2167
7.000000, 80.984, -10.3809
7.100000, 81.176, -11.5214
7.200000, 81.363, -12.6376
7.300000, 81.546, -13.7257
7.400000, 81.724, -14.7861
7.500000, 81.897, -15.8217
7.620000, 82.100, -17.0305
7.750000, 82.314, -18.2965
7.880000, 82.522, -19.5210
8.000000, 82.710, -20.6162
8.120000, 82.895, -21.6788
8.250000, 83.091, -22.7955
8.380000, 83.283, -23.8798
8.500000, 83.457, -24.8538
8.620000, 83.629, -25.8038
8.750000, 83.812, -26.8079
8.850000, 83.951, -27.5639
9.000000, 84.156, -28.6726
9.120000, 84.317, -29.5385
9.250000, 84.488, -30.4562
9.380000, 84.658, -31.3540
9.500000, 84.812, -32.1654
9.620000, 84.964, -32.9604
9.750000, 85.126, -33.8047
9.880000, 85.279, -34.6328
10.000000, 85.409, -35.3838
10.150000, 85.558, -36.3068
10.300000, 85.699, -37.2169
10.440000, 85.825, -38.0565
10.600000, 85.965, -39.0089
10.750000, 86.097, -39.8983
10.900000, 86.229, -40.7848
11.060000, 86.365, -41.7281
11.200000, 86.480, -42.5512
11.380000, 86.621, -43.5994
11.500000, 86.711, -44.2902
11.720000, 86.869, -45.5298
11.800000, 86.924, -45.9691
12.060000, 87.100, -47.3313
12.200000, 87.192, -48.0208
12.410000, 87.329, -48.9977
12.500000, 87.387, -49.3941
12.650000, 87.483, -50.0264
12.800000, 87.580, -50.6292
13.150000, 87.815, -51.9526
13.200000, 87.850, -52.1367
13.400000, 87.993, -52.8702
13.600000, 88.139, -53.6108
13.800000, 88.287, -54.3678
14.000000, 88.433, -55.1425
14.300000, 88.642, -56.3276
14.500000, 88.774, -57.1178
14.750000, 88.930, -58.0840
15.000000, 89.080, -59.0100
15.250000, 89.229, -59.8857
15.500000, 89.379, -60.7158
15.750000, 89.529, -61.5129
16.000000, 89.680, -62.2942
16.250000, 89.831, -63.0743
16.500000, 89.979, -63.8589
16.750000, 90.123, -64.6455
17.000000, 90.264, -65.4237
17.250000, 90.401, -66.1818
17.500000, 90.533, -66.9102
17.750000, 90.664, -67.6061
18.000000, 90.794, -68.2737
18.250000, 90.925, -68.9220
18.500000, 91.057, -69.5619
18.750000, 91.190, -70.2007
19.000000, 91.322, -70.8420
19.250000, 91.453, -71.4836
19.500000, 91.581, -72.1208
19.750000, 91.708, -72.7490
20.000000, 91.832, -73.3658
20.299999, 91.980, -74.0931
20.600000, 92.127, -74.8135
20.900000, 92.273, -75.5347
21.200001, 92.415, -76.2612
21.400000, 92.508, -76.7476
21.799999, 92.686, -77.7171
22.000000, 92.773, -78.1965
22.400000, 92.941, -79.1394
22.700001, 93.063, -79.8342
23.000000, 93.184, -80.5222
23.299999, 93.301, -81.2048
23.600000, 93.415, -81.8804
24.000000, 93.562, -82.7622
24.299999, 93.669, -83.4059
24.700001, 93.811, -84.2465
25.000000, 93.917, -84.8741
25.400000, 94.053, -85.7214
25.799999, 94.182, -86.5794
26.200001, 94.300, -87.4251
26.500000, 94.381, -88.0336
26.900000, 94.486, -88.7998
27.200001, 94.562, -89.3475
27.600000, 94.663, -90.0638
28.000000, 94.757, -90.7808
28.500000, 94.857, -91.6567
29.000000, 94.932, -92.4311
29.500000, 94.990, -93.0192
30.000000, 95.037, -93.3668
30.400000, 95.074, -93.4307
30.700001, 95.106, -93.3213
31.100000, 95.170, -92.9385
31.500000, 95.282, -92.3190
32.000000, 95.525, -91.4631
32.500000, 95.886, -90.9879
33.000000, 96.308, -91.3022
33.500000, 96.711, -92.4649
34.000000, 97.041, -94.2226
34.500000, 97.278, -96.2199
35.000000, 97.435, -98.1666
35.500000, 97.534, -99.9009
36.000000, 97.602, -101.3680
36.500000, 97.655, -102.5759
37.000000, 97.705, -103.5571
37.500000, 97.762, -104.3467
38.200001, 97.866, -105.1920
38.700001, 97.971, -105.6885
39.500000, 98.202, -106.6042
40.000000, 98.369, -107.4379
40.599998, 98.557, -108.7612
41.200001, 98.704, -110.3182
41.799999, 98.805, -111.9446
42.500000, 98.876, -113.8036
43.099998, 98.900, -115.3097
43.700001, 98.892, -116.6666
44.400002, 98.856, -117.9853
45.000000, 98.814, -118.8908
45.500000, 98.775, -119.5013
46.200001, 98.715, -120.1102
46.799999, 98.668, -120.3716
47.500000, 98.637, -120.3992
48.200001, 98.642, -120.2074
48.700001, 98.672, -119.9837
49.400002, 98.758, -119.6381
50.000000, 98.869, -119.4025
50.799999, 99.058, -119.2798
51.500000, 99.253, -119.4142
52.200001, 99.460, -119.8257
53.000000, 99.685, -120.6105
53.799999, 99.882, -121.6181
54.500000, 100.028, -122.6006
55.200001, 100.145, -123.6091
56.000000, 100.246, -124.6803
57.000000, 100.345, -125.7604
58.000000, 100.449, -126.6120
59.000000, 100.562, -127.3474
60.000000, 100.692, -128.0355
60.799999, 100.801, -128.6448
61.500000, 100.883, -129.1603
62.200001, 100.960, -129.5205
63.000000, 101.071, -129.6920
64.000000, 101.277, -129.7505
65.000000, 101.560, -129.9220
66.000000, 101.906, -130.3886
67.000000, 102.298, -131.3017
68.000000, 102.713, -132.7838
69.000000, 103.118, -134.9032
70.000000, 103.474, -137.5662
71.000000, 103.772, -140.6071
72.000000, 103.998, -143.9315
73.000000, 104.142, -147.3380
74.000000, 104.218, -150.6219
75.000000, 104.250, -153.7077
76.199997, 104.261, -157.1448
77.500000, 104.265, -160.7312
78.800003, 104.251, -164.3561
80.000000, 104.205, -167.7614
81.199997, 104.120, -171.1810
82.500000, 103.973, -174.8770
83.800003, 103.759, -178.4353
85.000000, 103.510, 178.5250
86.199997, 103.226, 175.7739
87.500000, 102.891, 173.1312
88.500000, 102.620, 171.3179
90.000000, 102.192, 168.8829
91.199997, 101.821, 167.1858
92.500000, 101.383, 165.6458
93.800003, 100.910, 164.4915
95.000000, 100.448, 163.8289
96.199997, 99.971, 163.6229
97.500000, 99.456, 163.9824
98.800003, 98.968, 164.9862
100.000000, 98.567, 166.4893
101.500000, 98.173, 168.9990
103.000000, 97.930, 171.8539
104.400002, 97.836, 174.4293
106.000000, 97.848, 176.9655
107.500000, 97.940, 178.8484
109.000000, 98.078, -179.7792
110.599998, 98.243, -178.8248
112.000000, 98.386, -178.2855
113.800003, 98.567, -177.9234
115.000000, 98.674, -177.9418
117.199997, 98.816, -178.1946
118.000000, 98.860, -178.3096
120.599998, 99.002, -178.7852
122.000000, 99.080, -179.1542
124.099998, 99.180, -179.7969
125.000000, 99.216, 179.9333
126.500000, 99.273, 179.5020
128.000000, 99.333, 179.0433
131.500000, 99.445, 177.5089
132.000000, 99.455, 177.2727
134.000000, 99.484, 176.3225
136.000000, 99.504, 175.3740
138.000000, 99.520, 174.3717
140.000000, 99.524, 173.3262
143.000000, 99.502, 171.7654
145.000000, 99.468, 170.7407
147.500000, 99.403, 169.5067
150.000000, 99.323, 168.3152
152.500000, 99.229, 167.1956
155.000000, 99.127, 166.1481
157.500000, 99.017, 165.1471
160.000000, 98.897, 164.2035
162.500000, 98.768, 163.3047
165.000000, 98.627, 162.4364
167.500000, 98.480, 161.6394
170.000000, 98.329, 160.9261
172.500000, 98.174, 160.2621
175.000000, 98.010, 159.6333
177.500000, 97.838, 159.0721
180.000000, 97.660, 158.6026
182.500000, 97.476, 158.2332
185.000000, 97.291, 157.9595
187.500000, 97.111, 157.7696
190.000000, 96.937, 157.6320
192.500000, 96.766, 157.5470
195.000000, 96.598, 157.5074
197.500000, 96.432, 157.5178
200.000000, 96.268, 157.6115
203.000000, 96.080, 157.8715
206.000000, 95.914, 158.2542
209.000000, 95.779, 158.6043
212.000000, 95.662, 158.7855
214.000000, 95.583, 158.8151
218.000000, 95.401, 158.7895
220.000000, 95.297, 158.7953
224.000000, 95.073, 158.9159
227.000000, 94.901, 159.1035
230.000000, 94.729, 159.3581
233.000000, 94.555, 159.6821
236.000000, 94.382, 160.0889
240.000000, 94.155, 160.7745
243.000000, 93.996, 161.3715
247.000000, 93.807, 162.1683
250.000000, 93.672, 162.7235
254.000000, 93.484, 163.4709
258.000000, 93.287, 164.2906
262.000000, 93.086, 165.1998
265.000000, 92.932, 165.9401
269.000000, 92.723, 167.0366
272.000000, 92.564, 167.9600
276.000000, 92.353, 169.3907
280.000000, 92.151, 171.1218
285.000000, 91.941, 173.8023
290.000000, 91.827, 177.0042
295.000000, 91.856, -179.7649
300.000000, 91.987, -177.0726
304.000000, 92.123, -175.2075
307.000000, 92.248, -173.8498
311.000000, 92.474, -172.2100
315.000000, 92.762, -171.2339
320.000000, 93.086, -171.3286
325.000000, 93.250, -172.1373
330.000000, 93.277, -172.7079
335.000000, 93.242, -172.7804
340.000000, 93.190, -172.4860
345.000000, 93.137, -171.9173
350.000000, 93.103, -171.1344
355.000000, 93.109, -170.3341
360.000000, 93.138, -169.7191
365.000000, 93.151, -169.2484
370.000000, 93.143, -168.7622
375.000000, 93.129, -168.1893
382.000000, 93.112, -167.2853
387.000000, 93.105, -166.5835
395.000000, 93.103, -165.3899
400.000000, 93.112, -164.6301
406.000000, 93.132, -163.7145
412.000000, 93.168, -162.7784
418.000000, 93.224, -161.8992
425.000000, 93.299, -161.1223
