* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -15.7 dBFS, measurement signal peak level -11.5 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -14.4 dBFS using an acoustic timing reference
* Dated: Nov 5, 2024 9:18:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -1.4771 ms (-507 mm, -(1 ft 7.95 in)) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: -322.8 ppm
* Measurement: Jazz Passive R3
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 45.214, -147.2161
1.015000, 45.332, -148.7123
1.030000, 45.451, -150.2094
1.044000, 45.564, -151.6103
1.060000, 45.695, -153.2188
1.075000, 45.820, -154.7377
1.090000, 45.947, -156.2709
1.106000, 46.085, -157.9261
1.120000, 46.207, -159.3927
1.138000, 46.364, -161.3008
1.150000, 46.468, -162.5844
1.172000, 46.660, -164.9554
1.180000, 46.730, -165.8219
1.206000, 46.958, -168.6470
1.220000, 47.082, -170.1708
1.241000, 47.267, -172.4550
1.250000, 47.347, -173.4322
1.265000, 47.481, -175.0573
1.280000, 47.616, -176.6765
1.315000, 47.933, 179.5744
1.320000, 47.978, 179.0426
1.340000, 48.162, 176.9264
1.360000, 48.348, 174.8281
1.380000, 48.536, 172.7484
1.400000, 48.726, 170.6873
1.430000, 49.016, 167.6300
1.450000, 49.212, 165.6135
1.475000, 49.462, 163.1158
1.500000, 49.717, 160.6459
1.525000, 49.978, 158.2110
1.550000, 50.242, 155.8170
1.575000, 50.511, 153.4681
1.600000, 50.783, 151.1661
1.625000, 51.058, 148.9118
1.650000, 51.334, 146.7042
1.675000, 51.612, 144.5414
1.700000, 51.891, 142.4206
1.725000, 52.170, 140.3386
1.750000, 52.448, 138.2915
1.775000, 52.725, 136.2753
1.800000, 53.001, 134.2858
1.825000, 53.274, 132.3199
1.850000, 53.547, 130.3787
1.875000, 53.820, 128.4685
1.900000, 54.094, 126.5942
1.925000, 54.369, 124.7582
1.950000, 54.644, 122.9617
1.975000, 54.920, 121.2048
2.000000, 55.194, 119.4871
2.030000, 55.523, 117.4760
2.060000, 55.850, 115.5168
2.090000, 56.174, 113.6060
2.120000, 56.494, 111.7396
2.140000, 56.706, 110.5178
2.180000, 57.123, 108.1223
2.200000, 57.328, 106.9467
2.240000, 57.734, 104.6408
2.270000, 58.035, 102.9540
2.300000, 58.334, 101.3051
2.330000, 58.629, 99.6941
2.360000, 58.922, 98.1204
2.400000, 59.306, 96.0777
2.430000, 59.591, 94.5851
2.470000, 59.966, 92.6438
2.500000, 60.243, 91.2212
2.540000, 60.606, 89.3642
2.580000, 60.963, 87.5481
2.620000, 61.313, 85.7717
2.650000, 61.572, 84.4663
2.690000, 61.911, 82.7623
2.720000, 62.161, 81.5115
2.760000, 62.490, 79.8794
2.800000, 62.813, 78.2864
2.850000, 63.209, 76.3466
2.900000, 63.597, 74.4589
2.950000, 63.977, 72.6169
3.000000, 64.348, 70.8163
3.040000, 64.639, 69.4058
3.070000, 64.853, 68.3658
3.110000, 65.135, 67.0032
3.150000, 65.411, 65.6679
3.200000, 65.750, 64.0357
3.250000, 66.083, 62.4427
3.300000, 66.409, 60.8854
3.350000, 66.729, 59.3594
3.400000, 67.041, 57.8625
3.450000, 67.347, 56.3953
3.500000, 67.646, 54.9581
3.550000, 67.939, 53.5506
3.600000, 68.226, 52.1721
3.650000, 68.509, 50.8207
3.700000, 68.786, 49.4935
3.750000, 69.058, 48.1880
3.820000, 69.429, 46.3965
3.870000, 69.687, 45.1433
3.950000, 70.091, 43.1836
4.000000, 70.338, 41.9861
4.060000, 70.629, 40.5738
4.120000, 70.913, 39.1848
4.180000, 71.190, 37.8188
4.250000, 71.506, 36.2552
4.310000, 71.771, 34.9413
4.370000, 72.030, 33.6509
4.440000, 72.326, 32.1715
4.500000, 72.573, 30.9223
4.550000, 72.775, 29.8947
4.620000, 73.052, 28.4783
4.680000, 73.284, 27.2859
4.750000, 73.549, 25.9196
4.820000, 73.807, 24.5757
4.870000, 73.988, 23.6271
4.940000, 74.235, 22.3162
5.000000, 74.442, 21.2104
5.080000, 74.711, 19.7644
5.150000, 74.940, 18.5246
5.220000, 75.164, 17.3027
